"QueueRank","Candidate","CandidateRank","SourceType","SourceRank","Phase","Set","Window","From","To","Model","Config","ExpectedReportName","ProfileSnapshot","ProfileSha256","StopRule","Status","ReportPath","InitialDeposit","CalendarDays","Years","NetProfit","Balance","TotalReturnPercent","AnnualizedReturnPercent","CagrPercent","ProfitFactor","ExpectedPayoff","SharpeRatio","WinRatePercent","TotalTrades","MaxConsecutiveLosses","MaxDrawdownMoney","MaxDrawdownPercent","BalanceDrawdownMaximal","EquityDrawdownMaximal","RecoveryFactor","RunnerStatus","RunnerEvidence","LogTimestamp","TesterStatsTimestamp"
"1","re_base","1","range_elite_risk_shape_probe","1","phase4_range_elite_risk_shape_model1","re_base.set","2019_full","2019.01.01","2019.12.31","1","configs\001_re_base_2019_full_m1.ini","re_risk_re_base_2019_m1","profiles\re_base.set","4038793A4B0677EA5D3CED74A57B4366C3EDFFFB54CE61A50022EF6F2026A65B","Reject if focused red years stay red, if 2026 drawdown stays excessive, or if 2024 profit engine collapses.","PARSED","outputs\returned_mt5_reports\first_pass_inbox\re_risk_re_base_2019_m1.htm","1000","364","0.9966","-86.19","913.81","-8.62","-8.65","-8.65","0","-28.73","-0.35","0","3","3","123.45","11.9","86.19","123.45","-0.7","REPORT_FOUND","Copied 1 report file(s) into the first-pass inbox.","",""
"2","re_base","2","range_elite_risk_shape_probe","2","phase4_range_elite_risk_shape_model1","re_base.set","2021_full","2021.01.01","2021.12.31","1","configs\002_re_base_2021_full_m1.ini","re_risk_re_base_2021_m1","profiles\re_base.set","4038793A4B0677EA5D3CED74A57B4366C3EDFFFB54CE61A50022EF6F2026A65B","Reject if focused red years stay red, if 2026 drawdown stays excessive, or if 2024 profit engine collapses.","PARSED","outputs\returned_mt5_reports\first_pass_inbox\re_risk_re_base_2021_m1.htm","1000","364","0.9966","-60.96","939.04","-6.1","-6.12","-6.12","0.41","-30.48","-0.11","50","2","1","245.87","20.75","103.6","245.87","-0.25","REPORT_FOUND","Copied 1 report file(s) into the first-pass inbox.","",""
"3","re_base","3","range_elite_risk_shape_probe","3","phase4_range_elite_risk_shape_model1","re_base.set","2023_full","2023.01.01","2023.12.31","1","configs\003_re_base_2023_full_m1.ini","re_risk_re_base_2023_m1","profiles\re_base.set","4038793A4B0677EA5D3CED74A57B4366C3EDFFFB54CE61A50022EF6F2026A65B","Reject if focused red years stay red, if 2026 drawdown stays excessive, or if 2024 profit engine collapses.","PARSED","outputs\returned_mt5_reports\first_pass_inbox\re_risk_re_base_2023_m1.htm","1000","364","0.9966","-129.87","870.13","-12.99","-13.03","-13.03","0.56","-7.64","-5","29.41","17","6","186.7","17.94","145.46","186.7","-0.7","REPORT_FOUND","Copied 1 report file(s) into the first-pass inbox.","",""
"4","re_base","4","range_elite_risk_shape_probe","4","phase4_range_elite_risk_shape_model1","re_base.set","2024_full","2024.01.01","2024.12.31","1","configs\004_re_base_2024_full_m1.ini","re_risk_re_base_2024_m1","profiles\re_base.set","4038793A4B0677EA5D3CED74A57B4366C3EDFFFB54CE61A50022EF6F2026A65B","Reject if focused red years stay red, if 2026 drawdown stays excessive, or if 2024 profit engine collapses.","PARSED","outputs\returned_mt5_reports\first_pass_inbox\re_risk_re_base_2024_m1.htm","1000","365","0.9993","2164.05","3164.05","216.4","216.55","216.65","5.03","103.05","27.5","61.9","21","3","742.2","24.36","170.79","742.2","2.92","REPORT_FOUND","Copied 1 report file(s) into the first-pass inbox.","",""
"5","re_base","5","range_elite_risk_shape_probe","5","phase4_range_elite_risk_shape_model1","re_base.set","2026_ytd","2026.01.01","2026.07.12","1","configs\005_re_base_2026_ytd_m1.ini","re_risk_re_base_2026ytd_m1","profiles\re_base.set","4038793A4B0677EA5D3CED74A57B4366C3EDFFFB54CE61A50022EF6F2026A65B","Reject if focused red years stay red, if 2026 drawdown stays excessive, or if 2024 profit engine collapses.","PARSED","outputs\returned_mt5_reports\first_pass_inbox\re_risk_re_base_2026ytd_m1.htm","1000","192","0.5257","1107.9","2107.9","110.79","210.76","313.12","3.6","100.72","6.54","72.73","11","1","541.45","20.44","300.86","541.45","2.05","REPORT_FOUND","Copied 1 report file(s) into the first-pass inbox.","",""
"6","re_may100","6","range_elite_risk_shape_probe","6","phase4_range_elite_risk_shape_model1","re_may100.set","2019_full","2019.01.01","2019.12.31","1","configs\006_re_may100_2019_full_m1.ini","re_risk_re_may100_2019_m1","profiles\re_may100.set","01641D75F69E77E8624AF25B556B30F38869BD69416DFFB54C455E7231F92E11","Reject if focused red years stay red, if 2026 drawdown stays excessive, or if 2024 profit engine collapses.","PARSED","outputs\returned_mt5_reports\first_pass_inbox\re_risk_re_may100_2019_m1.htm","1000","364","0.9966","-86.19","913.81","-8.62","-8.65","-8.65","0","-28.73","-0.35","0","3","3","123.45","11.9","86.19","123.45","-0.7","REPORT_FOUND","Copied 1 report file(s) into the first-pass inbox.","",""
"7","re_may100","7","range_elite_risk_shape_probe","7","phase4_range_elite_risk_shape_model1","re_may100.set","2021_full","2021.01.01","2021.12.31","1","configs\007_re_may100_2021_full_m1.ini","re_risk_re_may100_2021_m1","profiles\re_may100.set","01641D75F69E77E8624AF25B556B30F38869BD69416DFFB54C455E7231F92E11","Reject if focused red years stay red, if 2026 drawdown stays excessive, or if 2024 profit engine collapses.","PARSED","outputs\returned_mt5_reports\first_pass_inbox\re_risk_re_may100_2021_m1.htm","1000","364","0.9966","-60.96","939.04","-6.1","-6.12","-6.12","0.41","-30.48","-0.11","50","2","1","245.87","20.75","103.6","245.87","-0.25","REPORT_FOUND","Copied 1 report file(s) into the first-pass inbox.","",""
"8","re_may100","8","range_elite_risk_shape_probe","8","phase4_range_elite_risk_shape_model1","re_may100.set","2023_full","2023.01.01","2023.12.31","1","configs\008_re_may100_2023_full_m1.ini","re_risk_re_may100_2023_m1","profiles\re_may100.set","01641D75F69E77E8624AF25B556B30F38869BD69416DFFB54C455E7231F92E11","Reject if focused red years stay red, if 2026 drawdown stays excessive, or if 2024 profit engine collapses.","PARSED","outputs\returned_mt5_reports\first_pass_inbox\re_risk_re_may100_2023_m1.htm","1000","364","0.9966","-141.94","858.06","-14.19","-14.24","-14.24","0.47","-8.35","-5","23.53","17","6","182.54","17.54","141.94","182.54","-0.78","REPORT_FOUND","Copied 1 report file(s) into the first-pass inbox.","",""
"9","re_may100","9","range_elite_risk_shape_probe","9","phase4_range_elite_risk_shape_model1","re_may100.set","2024_full","2024.01.01","2024.12.31","1","configs\009_re_may100_2024_full_m1.ini","re_risk_re_may100_2024_m1","profiles\re_may100.set","01641D75F69E77E8624AF25B556B30F38869BD69416DFFB54C455E7231F92E11","Reject if focused red years stay red, if 2026 drawdown stays excessive, or if 2024 profit engine collapses.","PARSED","outputs\returned_mt5_reports\first_pass_inbox\re_risk_re_may100_2024_m1.htm","1000","365","0.9993","2086.31","3086.31","208.63","208.77","208.87","6.2","260.79","9.14","75","8","2","442.47","12.54","401.53","442.47","4.72","REPORT_FOUND","Copied 1 report file(s) into the first-pass inbox.","",""
"10","re_may100","10","range_elite_risk_shape_probe","10","phase4_range_elite_risk_shape_model1","re_may100.set","2026_ytd","2026.01.01","2026.07.12","1","configs\010_re_may100_2026_ytd_m1.ini","re_risk_re_may100_2026ytd_m1","profiles\re_may100.set","01641D75F69E77E8624AF25B556B30F38869BD69416DFFB54C455E7231F92E11","Reject if focused red years stay red, if 2026 drawdown stays excessive, or if 2024 profit engine collapses.","PARSED","outputs\returned_mt5_reports\first_pass_inbox\re_risk_re_may100_2026ytd_m1.htm","1000","192","0.5257","955.61","1955.61","95.56","181.79","258.19","3.57","68.26","10.42","64.29","14","2","442.99","18.91","164.16","442.99","2.16","REPORT_FOUND","Copied 1 report file(s) into the first-pass inbox.","",""
