"Worker","QueueRank","Candidate","Window","Status","ReportPath","Evidence","PackageSourceSha256","PortableBinarySha256","PortableExpertRecompiled","Started","Finished"
"1","1","dir_mo015_di12_control","older_2015_2018","REPORT_FOUND","outputs\rc2_di_repair_portfolio_discovery_model1_package\reports_here\dir_mo015_di12_control_older_2015_2018_m1.htm","Portable worker exported and copied the full MT5 report.","9141137A9550F3394DE85E1725E018671B4F2A2FF0F43A3EF23F9FB1238CD302","B657F37ADC38A91CC23D013A7B4FF72473B1558C3AF3C2E05C0BFC71B9EF9368","True","2026-07-17T22:20:21","2026-07-17T22:20:44"
"2","2","dir_mo015_di12_control","repair_2019","REPORT_FOUND","outputs\rc2_di_repair_portfolio_discovery_model1_package\reports_here\dir_mo015_di12_control_repair_2019_m1.htm","Portable worker exported and copied the full MT5 report.","9141137A9550F3394DE85E1725E018671B4F2A2FF0F43A3EF23F9FB1238CD302","B4F701B459336ED85D8C17EF71DEF9D3E9CC04AF8E5375973F6553E7BFE9A2D0","False","2026-07-17T22:22:51","2026-07-17T22:23:03"
"3","3","dir_mo015_di12_control","repair_2020","REPORT_FOUND","outputs\rc2_di_repair_portfolio_discovery_model1_package\reports_here\dir_mo015_di12_control_repair_2020_m1.htm","Portable worker exported and copied the full MT5 report.","9141137A9550F3394DE85E1725E018671B4F2A2FF0F43A3EF23F9FB1238CD302","5C0B379C28A086E336798AAC89A5DAF45F050C671AF36D1B5294B6FEF5C444D7","True","2026-07-17T22:20:21","2026-07-17T22:20:38"
"4","4","dir_mo015_di12_control","continuous_2015_2020","REPORT_FOUND","outputs\rc2_di_repair_portfolio_discovery_model1_package\reports_here\dir_mo015_di12_control_continuous_2015_2020_m1.htm","Portable worker exported and copied the full MT5 report.","9141137A9550F3394DE85E1725E018671B4F2A2FF0F43A3EF23F9FB1238CD302","6DA4EBC8318A8A6F4A324D1EF020E9B35624419CAF0347E2B5B710EFEB9AC45E","True","2026-07-17T22:20:22","2026-07-17T22:20:48"
"1","5","dir_mo015_di10_center","older_2015_2018","REPORT_FOUND","outputs\rc2_di_repair_portfolio_discovery_model1_package\reports_here\dir_mo015_di10_center_older_2015_2018_m1.htm","Portable worker exported and copied the full MT5 report.","9141137A9550F3394DE85E1725E018671B4F2A2FF0F43A3EF23F9FB1238CD302","B657F37ADC38A91CC23D013A7B4FF72473B1558C3AF3C2E05C0BFC71B9EF9368","False","2026-07-17T22:20:44","2026-07-17T22:21:02"
"2","6","dir_mo015_di10_center","repair_2019","REPORT_FOUND","outputs\rc2_di_repair_portfolio_discovery_model1_package\reports_here\dir_mo015_di10_center_repair_2019_m1.htm","Portable worker exported and copied the full MT5 report.","9141137A9550F3394DE85E1725E018671B4F2A2FF0F43A3EF23F9FB1238CD302","B4F701B459336ED85D8C17EF71DEF9D3E9CC04AF8E5375973F6553E7BFE9A2D0","False","2026-07-17T22:20:41","2026-07-17T22:20:56"
"3","7","dir_mo015_di10_center","repair_2020","REPORT_FOUND","outputs\rc2_di_repair_portfolio_discovery_model1_package\reports_here\dir_mo015_di10_center_repair_2020_m1.htm","Portable worker exported and copied the full MT5 report.","9141137A9550F3394DE85E1725E018671B4F2A2FF0F43A3EF23F9FB1238CD302","5C0B379C28A086E336798AAC89A5DAF45F050C671AF36D1B5294B6FEF5C444D7","False","2026-07-17T22:20:38","2026-07-17T22:20:52"
"4","8","dir_mo015_di10_center","continuous_2015_2020","REPORT_FOUND","outputs\rc2_di_repair_portfolio_discovery_model1_package\reports_here\dir_mo015_di10_center_continuous_2015_2020_m1.htm","Portable worker exported and copied the full MT5 report.","9141137A9550F3394DE85E1725E018671B4F2A2FF0F43A3EF23F9FB1238CD302","6DA4EBC8318A8A6F4A324D1EF020E9B35624419CAF0347E2B5B710EFEB9AC45E","False","2026-07-17T22:20:48","2026-07-17T22:21:06"
"1","9","dir_mo015_di08_strict","older_2015_2018","REPORT_FOUND","outputs\rc2_di_repair_portfolio_discovery_model1_package\reports_here\dir_mo015_di08_strict_older_2015_2018_m1.htm","Portable worker exported and copied the full MT5 report.","9141137A9550F3394DE85E1725E018671B4F2A2FF0F43A3EF23F9FB1238CD302","B657F37ADC38A91CC23D013A7B4FF72473B1558C3AF3C2E05C0BFC71B9EF9368","False","2026-07-17T22:21:02","2026-07-17T22:21:18"
"2","10","dir_mo015_di08_strict","repair_2019","REPORT_FOUND","outputs\rc2_di_repair_portfolio_discovery_model1_package\reports_here\dir_mo015_di08_strict_repair_2019_m1.htm","Portable worker exported and copied the full MT5 report.","9141137A9550F3394DE85E1725E018671B4F2A2FF0F43A3EF23F9FB1238CD302","B4F701B459336ED85D8C17EF71DEF9D3E9CC04AF8E5375973F6553E7BFE9A2D0","False","2026-07-17T22:20:56","2026-07-17T22:21:12"
