"QueueRank","Candidate","Window","Model","PackageConfig","ExpectedReportName","ReportDestination","ProfileSha256","StopRule"
"1","mre_mo015_control","older_2015_2018","1","outputs\rc2_momentum_risk_extension_model1_package\configs\001_mre_mo015_control_older_2015_2018_m1.ini","mre_mo015_control_older_2015_2018_m1","outputs\rc2_momentum_risk_extension_model1_package\reports_here\mre_mo015_control_older_2015_2018_m1","71786FD23E6318F3BFC8E1661421CFDAABE90175A527B0808FFB26ADAA3A9FC8","Only the nominated 0.20% center may advance, and only with both adjacent profiles, every broad era positive, broad net no worse than control, at least 10% continuous improvement, PF >= 1.50, trades >= 350, DD <= 4%, and recovery >= 4."
"2","mre_mo015_control","middle_2019_2022","1","outputs\rc2_momentum_risk_extension_model1_package\configs\002_mre_mo015_control_middle_2019_2022_m1.ini","mre_mo015_control_middle_2019_2022_m1","outputs\rc2_momentum_risk_extension_model1_package\reports_here\mre_mo015_control_middle_2019_2022_m1","71786FD23E6318F3BFC8E1661421CFDAABE90175A527B0808FFB26ADAA3A9FC8","Only the nominated 0.20% center may advance, and only with both adjacent profiles, every broad era positive, broad net no worse than control, at least 10% continuous improvement, PF >= 1.50, trades >= 350, DD <= 4%, and recovery >= 4."
"3","mre_mo015_control","recent_2023_2026","1","outputs\rc2_momentum_risk_extension_model1_package\configs\003_mre_mo015_control_recent_2023_2026_m1.ini","mre_mo015_control_recent_2023_2026_m1","outputs\rc2_momentum_risk_extension_model1_package\reports_here\mre_mo015_control_recent_2023_2026_m1","71786FD23E6318F3BFC8E1661421CFDAABE90175A527B0808FFB26ADAA3A9FC8","Only the nominated 0.20% center may advance, and only with both adjacent profiles, every broad era positive, broad net no worse than control, at least 10% continuous improvement, PF >= 1.50, trades >= 350, DD <= 4%, and recovery >= 4."
"4","mre_mo015_control","continuous_2015_2026","1","outputs\rc2_momentum_risk_extension_model1_package\configs\004_mre_mo015_control_continuous_2015_2026_m1.ini","mre_mo015_control_continuous_2015_2026_m1","outputs\rc2_momentum_risk_extension_model1_package\reports_here\mre_mo015_control_continuous_2015_2026_m1","71786FD23E6318F3BFC8E1661421CFDAABE90175A527B0808FFB26ADAA3A9FC8","Only the nominated 0.20% center may advance, and only with both adjacent profiles, every broad era positive, broad net no worse than control, at least 10% continuous improvement, PF >= 1.50, trades >= 350, DD <= 4%, and recovery >= 4."
"5","mre_mo0175","older_2015_2018","1","outputs\rc2_momentum_risk_extension_model1_package\configs\005_mre_mo0175_older_2015_2018_m1.ini","mre_mo0175_older_2015_2018_m1","outputs\rc2_momentum_risk_extension_model1_package\reports_here\mre_mo0175_older_2015_2018_m1","A09D078145408E33FDAB0213E79DBBCE4135B9A5F2742CAFB5F7B87220F9C3EC","Only the nominated 0.20% center may advance, and only with both adjacent profiles, every broad era positive, broad net no worse than control, at least 10% continuous improvement, PF >= 1.50, trades >= 350, DD <= 4%, and recovery >= 4."
"6","mre_mo0175","middle_2019_2022","1","outputs\rc2_momentum_risk_extension_model1_package\configs\006_mre_mo0175_middle_2019_2022_m1.ini","mre_mo0175_middle_2019_2022_m1","outputs\rc2_momentum_risk_extension_model1_package\reports_here\mre_mo0175_middle_2019_2022_m1","A09D078145408E33FDAB0213E79DBBCE4135B9A5F2742CAFB5F7B87220F9C3EC","Only the nominated 0.20% center may advance, and only with both adjacent profiles, every broad era positive, broad net no worse than control, at least 10% continuous improvement, PF >= 1.50, trades >= 350, DD <= 4%, and recovery >= 4."
"7","mre_mo0175","recent_2023_2026","1","outputs\rc2_momentum_risk_extension_model1_package\configs\007_mre_mo0175_recent_2023_2026_m1.ini","mre_mo0175_recent_2023_2026_m1","outputs\rc2_momentum_risk_extension_model1_package\reports_here\mre_mo0175_recent_2023_2026_m1","A09D078145408E33FDAB0213E79DBBCE4135B9A5F2742CAFB5F7B87220F9C3EC","Only the nominated 0.20% center may advance, and only with both adjacent profiles, every broad era positive, broad net no worse than control, at least 10% continuous improvement, PF >= 1.50, trades >= 350, DD <= 4%, and recovery >= 4."
"8","mre_mo0175","continuous_2015_2026","1","outputs\rc2_momentum_risk_extension_model1_package\configs\008_mre_mo0175_continuous_2015_2026_m1.ini","mre_mo0175_continuous_2015_2026_m1","outputs\rc2_momentum_risk_extension_model1_package\reports_here\mre_mo0175_continuous_2015_2026_m1","A09D078145408E33FDAB0213E79DBBCE4135B9A5F2742CAFB5F7B87220F9C3EC","Only the nominated 0.20% center may advance, and only with both adjacent profiles, every broad era positive, broad net no worse than control, at least 10% continuous improvement, PF >= 1.50, trades >= 350, DD <= 4%, and recovery >= 4."
"9","mre_mo020_center","older_2015_2018","1","outputs\rc2_momentum_risk_extension_model1_package\configs\009_mre_mo020_center_older_2015_2018_m1.ini","mre_mo020_center_older_2015_2018_m1","outputs\rc2_momentum_risk_extension_model1_package\reports_here\mre_mo020_center_older_2015_2018_m1","20E8DEB7EF688EB368256908A8CA69F7C353793FD5EEEA3F16C995C918AB3C7A","Only the nominated 0.20% center may advance, and only with both adjacent profiles, every broad era positive, broad net no worse than control, at least 10% continuous improvement, PF >= 1.50, trades >= 350, DD <= 4%, and recovery >= 4."
"10","mre_mo020_center","middle_2019_2022","1","outputs\rc2_momentum_risk_extension_model1_package\configs\010_mre_mo020_center_middle_2019_2022_m1.ini","mre_mo020_center_middle_2019_2022_m1","outputs\rc2_momentum_risk_extension_model1_package\reports_here\mre_mo020_center_middle_2019_2022_m1","20E8DEB7EF688EB368256908A8CA69F7C353793FD5EEEA3F16C995C918AB3C7A","Only the nominated 0.20% center may advance, and only with both adjacent profiles, every broad era positive, broad net no worse than control, at least 10% continuous improvement, PF >= 1.50, trades >= 350, DD <= 4%, and recovery >= 4."
