"QueueRank","Candidate","CandidateRank","Role","Phase","Window","From","To","Model","Deposit","Config","ExpectedReportName","ProfileSnapshot","ProfileSha256","SourceSha256","RVRiskPercent","MORiskPercent","PortfolioOpenRiskPercent","StopRule"
"1","mre_mo015_control","1","control","rc2_momentum_risk_extension_model1","older_2015_2018","2015.01.01","2018.12.31","1","10000","configs\001_mre_mo015_control_older_2015_2018_m1.ini","mre_mo015_control_older_2015_2018_m1","profiles\mre_mo015_control.set","71786FD23E6318F3BFC8E1661421CFDAABE90175A527B0808FFB26ADAA3A9FC8","9141137A9550F3394DE85E1725E018671B4F2A2FF0F43A3EF23F9FB1238CD302","0.45","0.15","0.75","Only the nominated 0.20% center may advance, and only with both adjacent profiles, every broad era positive, broad net no worse than control, at least 10% continuous improvement, PF >= 1.50, trades >= 350, DD <= 4%, and recovery >= 4."
"2","mre_mo015_control","1","control","rc2_momentum_risk_extension_model1","middle_2019_2022","2019.01.01","2022.12.31","1","10000","configs\002_mre_mo015_control_middle_2019_2022_m1.ini","mre_mo015_control_middle_2019_2022_m1","profiles\mre_mo015_control.set","71786FD23E6318F3BFC8E1661421CFDAABE90175A527B0808FFB26ADAA3A9FC8","9141137A9550F3394DE85E1725E018671B4F2A2FF0F43A3EF23F9FB1238CD302","0.45","0.15","0.75","Only the nominated 0.20% center may advance, and only with both adjacent profiles, every broad era positive, broad net no worse than control, at least 10% continuous improvement, PF >= 1.50, trades >= 350, DD <= 4%, and recovery >= 4."
"3","mre_mo015_control","1","control","rc2_momentum_risk_extension_model1","recent_2023_2026","2023.01.01","2026.07.16","1","10000","configs\003_mre_mo015_control_recent_2023_2026_m1.ini","mre_mo015_control_recent_2023_2026_m1","profiles\mre_mo015_control.set","71786FD23E6318F3BFC8E1661421CFDAABE90175A527B0808FFB26ADAA3A9FC8","9141137A9550F3394DE85E1725E018671B4F2A2FF0F43A3EF23F9FB1238CD302","0.45","0.15","0.75","Only the nominated 0.20% center may advance, and only with both adjacent profiles, every broad era positive, broad net no worse than control, at least 10% continuous improvement, PF >= 1.50, trades >= 350, DD <= 4%, and recovery >= 4."
"4","mre_mo015_control","1","control","rc2_momentum_risk_extension_model1","continuous_2015_2026","2015.01.01","2026.07.16","1","10000","configs\004_mre_mo015_control_continuous_2015_2026_m1.ini","mre_mo015_control_continuous_2015_2026_m1","profiles\mre_mo015_control.set","71786FD23E6318F3BFC8E1661421CFDAABE90175A527B0808FFB26ADAA3A9FC8","9141137A9550F3394DE85E1725E018671B4F2A2FF0F43A3EF23F9FB1238CD302","0.45","0.15","0.75","Only the nominated 0.20% center may advance, and only with both adjacent profiles, every broad era positive, broad net no worse than control, at least 10% continuous improvement, PF >= 1.50, trades >= 350, DD <= 4%, and recovery >= 4."
"5","mre_mo0175","2","lower_neighbor","rc2_momentum_risk_extension_model1","older_2015_2018","2015.01.01","2018.12.31","1","10000","configs\005_mre_mo0175_older_2015_2018_m1.ini","mre_mo0175_older_2015_2018_m1","profiles\mre_mo0175.set","A09D078145408E33FDAB0213E79DBBCE4135B9A5F2742CAFB5F7B87220F9C3EC","9141137A9550F3394DE85E1725E018671B4F2A2FF0F43A3EF23F9FB1238CD302","0.45","0.175","0.75","Only the nominated 0.20% center may advance, and only with both adjacent profiles, every broad era positive, broad net no worse than control, at least 10% continuous improvement, PF >= 1.50, trades >= 350, DD <= 4%, and recovery >= 4."
"6","mre_mo0175","2","lower_neighbor","rc2_momentum_risk_extension_model1","middle_2019_2022","2019.01.01","2022.12.31","1","10000","configs\006_mre_mo0175_middle_2019_2022_m1.ini","mre_mo0175_middle_2019_2022_m1","profiles\mre_mo0175.set","A09D078145408E33FDAB0213E79DBBCE4135B9A5F2742CAFB5F7B87220F9C3EC","9141137A9550F3394DE85E1725E018671B4F2A2FF0F43A3EF23F9FB1238CD302","0.45","0.175","0.75","Only the nominated 0.20% center may advance, and only with both adjacent profiles, every broad era positive, broad net no worse than control, at least 10% continuous improvement, PF >= 1.50, trades >= 350, DD <= 4%, and recovery >= 4."
"7","mre_mo0175","2","lower_neighbor","rc2_momentum_risk_extension_model1","recent_2023_2026","2023.01.01","2026.07.16","1","10000","configs\007_mre_mo0175_recent_2023_2026_m1.ini","mre_mo0175_recent_2023_2026_m1","profiles\mre_mo0175.set","A09D078145408E33FDAB0213E79DBBCE4135B9A5F2742CAFB5F7B87220F9C3EC","9141137A9550F3394DE85E1725E018671B4F2A2FF0F43A3EF23F9FB1238CD302","0.45","0.175","0.75","Only the nominated 0.20% center may advance, and only with both adjacent profiles, every broad era positive, broad net no worse than control, at least 10% continuous improvement, PF >= 1.50, trades >= 350, DD <= 4%, and recovery >= 4."
"8","mre_mo0175","2","lower_neighbor","rc2_momentum_risk_extension_model1","continuous_2015_2026","2015.01.01","2026.07.16","1","10000","configs\008_mre_mo0175_continuous_2015_2026_m1.ini","mre_mo0175_continuous_2015_2026_m1","profiles\mre_mo0175.set","A09D078145408E33FDAB0213E79DBBCE4135B9A5F2742CAFB5F7B87220F9C3EC","9141137A9550F3394DE85E1725E018671B4F2A2FF0F43A3EF23F9FB1238CD302","0.45","0.175","0.75","Only the nominated 0.20% center may advance, and only with both adjacent profiles, every broad era positive, broad net no worse than control, at least 10% continuous improvement, PF >= 1.50, trades >= 350, DD <= 4%, and recovery >= 4."
"9","mre_mo020_center","3","center","rc2_momentum_risk_extension_model1","older_2015_2018","2015.01.01","2018.12.31","1","10000","configs\009_mre_mo020_center_older_2015_2018_m1.ini","mre_mo020_center_older_2015_2018_m1","profiles\mre_mo020_center.set","20E8DEB7EF688EB368256908A8CA69F7C353793FD5EEEA3F16C995C918AB3C7A","9141137A9550F3394DE85E1725E018671B4F2A2FF0F43A3EF23F9FB1238CD302","0.45","0.20","0.75","Only the nominated 0.20% center may advance, and only with both adjacent profiles, every broad era positive, broad net no worse than control, at least 10% continuous improvement, PF >= 1.50, trades >= 350, DD <= 4%, and recovery >= 4."
"10","mre_mo020_center","3","center","rc2_momentum_risk_extension_model1","middle_2019_2022","2019.01.01","2022.12.31","1","10000","configs\010_mre_mo020_center_middle_2019_2022_m1.ini","mre_mo020_center_middle_2019_2022_m1","profiles\mre_mo020_center.set","20E8DEB7EF688EB368256908A8CA69F7C353793FD5EEEA3F16C995C918AB3C7A","9141137A9550F3394DE85E1725E018671B4F2A2FF0F43A3EF23F9FB1238CD302","0.45","0.20","0.75","Only the nominated 0.20% center may advance, and only with both adjacent profiles, every broad era positive, broad net no worse than control, at least 10% continuous improvement, PF >= 1.50, trades >= 350, DD <= 4%, and recovery >= 4."
