"QueueRank","Candidate","Role","Window","ProfileSha256","SourceSha256","MORiskPercent","Status","ReportPath","InitialDeposit","NetProfit","Balance","TotalReturnPercent","AnnualizedReturnPercent","CagrPercent","ProfitFactor","ExpectedPayoff","TotalTrades","MaxDrawdownPercent","RecoveryFactor","SharpeRatio","RunnerStatus","RunnerEvidence"
"1","mre_mo0175","lower_neighbor","older_2015_2018","A3C41E814622AD0788BB913C1CC08E06D786D8B3961D9D30714151BC1997A632","9141137A9550F3394DE85E1725E018671B4F2A2FF0F43A3EF23F9FB1238CD302","0.175","PARSED","outputs\rc2_momentum_risk_extension_model4_package\reports_here\mre_mo0175_older_2015_2018_m4.htm","10000","861.6","10861.6","8.62","2.16","2.09","1.78","5.67","152","1.08","7.5203","27.28","REPORT_FOUND","Portable worker exported and copied the full MT5 report."
"2","mre_mo0175","lower_neighbor","middle_2019_2022","A3C41E814622AD0788BB913C1CC08E06D786D8B3961D9D30714151BC1997A632","9141137A9550F3394DE85E1725E018671B4F2A2FF0F43A3EF23F9FB1238CD302","0.175","PARSED","outputs\rc2_momentum_risk_extension_model4_package\reports_here\mre_mo0175_middle_2019_2022_m4.htm","10000","290.32","10290.32","2.9","0.73","0.72","1.24","2.23","130","3.19","0.8977","3.38","REPORT_FOUND","Portable worker exported and copied the full MT5 report."
"3","mre_mo0175","lower_neighbor","recent_2023_2026","A3C41E814622AD0788BB913C1CC08E06D786D8B3961D9D30714151BC1997A632","9141137A9550F3394DE85E1725E018671B4F2A2FF0F43A3EF23F9FB1238CD302","0.175","PARSED","outputs\rc2_momentum_risk_extension_model4_package\reports_here\mre_mo0175_recent_2023_2026_m4.htm","10000","464.54","10464.54","4.65","1.31","1.29","1.62","5.88","79","1.55","2.8922","8.47","REPORT_FOUND","Portable worker exported and copied the full MT5 report."
"4","mre_mo0175","lower_neighbor","continuous_2015_2026","A3C41E814622AD0788BB913C1CC08E06D786D8B3961D9D30714151BC1997A632","9141137A9550F3394DE85E1725E018671B4F2A2FF0F43A3EF23F9FB1238CD302","0.175","PARSED","outputs\rc2_momentum_risk_extension_model4_package\reports_here\mre_mo0175_continuous_2015_2026_m4.htm","10000","1760.45","11760.45","17.6","1.53","1.42","1.55","4.86","362","3.24","4.9501","9.03","REPORT_FOUND","Portable worker exported and copied the full MT5 report."
"5","mre_mo020_center","center","older_2015_2018","06AE8127CF2719D7D3A19FEE069ECA3D50B83B3B0329C04F7B08E5F9135AFA5A","9141137A9550F3394DE85E1725E018671B4F2A2FF0F43A3EF23F9FB1238CD302","0.20","PARSED","outputs\rc2_momentum_risk_extension_model4_package\reports_here\mre_mo020_center_older_2015_2018_m4.htm","10000","931.91","10931.91","9.32","2.33","2.25","1.72","6.13","152","1.22","7.2051","26.26","REPORT_FOUND","Portable worker exported and copied the full MT5 report."
"6","mre_mo020_center","center","middle_2019_2022","06AE8127CF2719D7D3A19FEE069ECA3D50B83B3B0329C04F7B08E5F9135AFA5A","9141137A9550F3394DE85E1725E018671B4F2A2FF0F43A3EF23F9FB1238CD302","0.20","PARSED","outputs\rc2_momentum_risk_extension_model4_package\reports_here\mre_mo020_center_middle_2019_2022_m4.htm","10000","236.45","10236.45","2.36","0.59","0.59","1.17","1.82","130","3.59","0.6491","2.6","REPORT_FOUND","Portable worker exported and copied the full MT5 report."
"7","mre_mo020_center","center","recent_2023_2026","06AE8127CF2719D7D3A19FEE069ECA3D50B83B3B0329C04F7B08E5F9135AFA5A","9141137A9550F3394DE85E1725E018671B4F2A2FF0F43A3EF23F9FB1238CD302","0.20","PARSED","outputs\rc2_momentum_risk_extension_model4_package\reports_here\mre_mo020_center_recent_2023_2026_m4.htm","10000","611.98","10611.98","6.12","1.73","1.69","1.76","7.75","79","1.53","3.8101","10.78","REPORT_FOUND","Portable worker exported and copied the full MT5 report."
"8","mre_mo020_center","center","continuous_2015_2026","06AE8127CF2719D7D3A19FEE069ECA3D50B83B3B0329C04F7B08E5F9135AFA5A","9141137A9550F3394DE85E1725E018671B4F2A2FF0F43A3EF23F9FB1238CD302","0.20","PARSED","outputs\rc2_momentum_risk_extension_model4_package\reports_here\mre_mo020_center_continuous_2015_2026_m4.htm","10000","1812.42","11812.42","18.12","1.57","1.45","1.5","5.01","362","3.19","5.1252","8.83","REPORT_FOUND","Portable worker exported and copied the full MT5 report."
"9","mre_mo0225","upper_neighbor","older_2015_2018","F20A653573639F4053FA29015730FFD83F9A6BAB6D6DBACA192362234917C2E4","9141137A9550F3394DE85E1725E018671B4F2A2FF0F43A3EF23F9FB1238CD302","0.225","PARSED","outputs\rc2_momentum_risk_extension_model4_package\reports_here\mre_mo0225_older_2015_2018_m4.htm","10000","1003.98","11003.98","10.04","2.51","2.42","1.71","6.61","152","1.41","6.6559","26.06","REPORT_FOUND","Portable worker exported and copied the full MT5 report."
"10","mre_mo0225","upper_neighbor","middle_2019_2022","F20A653573639F4053FA29015730FFD83F9A6BAB6D6DBACA192362234917C2E4","9141137A9550F3394DE85E1725E018671B4F2A2FF0F43A3EF23F9FB1238CD302","0.225","PARSED","outputs\rc2_momentum_risk_extension_model4_package\reports_here\mre_mo0225_middle_2019_2022_m4.htm","10000","231.21","10231.21","2.31","0.58","0.57","1.15","1.78","130","3.61","0.6285","2.38","REPORT_FOUND","Portable worker exported and copied the full MT5 report."
