"Dimension","Segment","Trades","NetProfit","GrossProfit","GrossLoss","ProfitFactor","WinRatePercent","AverageProfit","AverageHoldMinutes"
"Overall","all","362","1812.42","5433.93","3621.51","1.5005","42.54","5.01","604.67"
"EntrySubtype","other","362","1812.42","5433.93","3621.51","1.5005","42.54","5.01","604.67"
"EntryHour","1","1","87.2","87.2","0","INF","100","87.2","908.67"
"EntryHour","10","58","101.11","659.34","558.23","1.1811","39.66","1.74","567.63"
"EntryHour","11","43","7.78","438.95","431.17","1.018","39.53","0.18","593.7"
"EntryHour","12","19","50.49","206.26","155.77","1.3241","47.37","2.66","639.81"
"EntryHour","13","23","206.42","445.55","239.13","1.8632","43.48","8.97","445.98"
"EntryHour","14","7","2.58","75.68","73.1","1.0353","42.86","0.37","368.11"
"EntryHour","15","27","256.74","498.66","241.92","2.0613","55.56","9.51","737.29"
"EntryHour","16","36","75.59","407.05","331.46","1.2281","47.22","2.1","597.64"
"EntryHour","17","18","-32.6","154.13","186.73","0.8254","33.33","-1.81","631.16"
"EntryHour","18","8","194.56","320.81","126.25","2.5411","50","24.32","677.35"
"EntryHour","19","8","-17.67","165.06","182.73","0.9033","25","-2.21","1286.29"
"EntryHour","20","3","112.53","155.37","42.84","3.6268","66.67","37.51","1463.6"
"EntryHour","21","5","88.16","205.9","117.74","1.7488","60","17.63","933.96"
"EntryHour","22","3","100.04","124.8","24.76","5.0404","66.67","33.35","876.48"
"EntryHour","3","3","332.31","332.31","0","INF","100","110.77","1229.06"
"EntryHour","5","5","-39.63","71.47","111.1","0.6433","20","-7.93","487.18"
"EntryHour","6","25","-13.79","196.98","210.77","0.9346","28","-0.55","466.48"
"EntryHour","7","18","205.17","341.77","136.6","2.502","50","11.4","534.32"
"EntryHour","8","20","-35.31","138.85","174.16","0.7973","30","-1.77","456.12"
"EntryHour","9","32","130.74","407.79","277.05","1.4719","43.75","4.09","557.3"
"EntryYear","2015","21","187.25","362.18","174.93","2.0704","52.38","8.92","541.44"
"EntryYear","2016","36","222.46","527.58","305.12","1.7291","44.44","6.18","649.18"
"EntryYear","2017","46","195.18","647.15","451.97","1.4318","41.3","4.24","531.95"
"EntryYear","2018","50","320.37","682.28","361.91","1.8852","48","6.41","645.24"
"EntryYear","2019","33","-25.89","270.31","296.2","0.9126","33.33","-0.78","622.58"
"EntryYear","2020","31","-38.76","465.22","503.98","0.9231","38.71","-1.25","802.38"
"EntryYear","2021","30","318.3","636.11","317.81","2.0015","30","10.61","387.51"
"EntryYear","2022","36","-16.2","333.57","349.77","0.9537","41.67","-0.45","521.93"
"EntryYear","2023","40","148.32","536.75","388.43","1.3818","45","3.71","599.56"
"EntryYear","2024","32","226.5","609.93","383.43","1.5907","43.75","7.08","539.59"
"EntryYear","2025","5","65.71","153.67","87.96","1.747","60","13.14","1230.4"
"EntryYear","2026","2","209.18","209.18","0","INF","100","104.59","2092.12"
"EntryMonth","1","37","317.44","644.02","326.58","1.972","45.95","8.58","1007.75"
"EntryMonth","10","37","494.12","788.31","294.19","2.6796","37.84","13.35","611.31"
"EntryMonth","11","33","269.02","589.01","319.99","1.8407","42.42","8.15","552.33"
"EntryMonth","12","37","-102.71","375.97","478.68","0.7854","35.14","-2.78","490.68"
"EntryMonth","2","27","-68.58","269.68","338.26","0.7973","29.63","-2.54","513.83"
"EntryMonth","3","32","106.01","342.37","236.36","1.4485","56.25","3.31","726.37"
"EntryMonth","4","14","39.6","178.22","138.62","1.2857","42.86","2.83","494.09"
"EntryMonth","5","23","134.46","355.24","220.78","1.609","47.83","5.85","407.06"
"EntryMonth","6","24","137.09","410.3","273.21","1.5018","41.67","5.71","563.03"
"EntryMonth","7","37","135.47","508.48","373.01","1.3632","43.24","3.66","667.96"
"EntryMonth","8","30","156.95","440.83","283.88","1.5529","50","5.23","445.18"
"EntryMonth","9","31","193.55","531.5","337.95","1.5727","38.71","6.24","568.55"
"Side","buy","223","1141.81","3224.25","2082.44","1.5483","41.7","5.12","618.21"
"Side","sell","139","670.61","2209.68","1539.07","1.4357","43.88","4.82","582.96"
"DayOfWeek","Friday","79","293.37","1151.64","858.27","1.3418","44.3","3.71","980.83"
"DayOfWeek","Monday","64","494.49","1085.53","591.04","1.8366","42.19","7.73","598.9"
"DayOfWeek","Thursday","76","424.56","1118.53","693.97","1.6118","48.68","5.59","499.3"
"DayOfWeek","Tuesday","65","211.19","926.67","715.48","1.2952","40","3.25","434.83"
"DayOfWeek","Wednesday","78","388.81","1151.56","762.75","1.5097","37.18","4.98","472.64"
