"QueueRank","Candidate","Window","Model","PackageConfig","ExpectedReportName","ReportDestination","ProfileSha256","StopRule"
"1","mre_mo020_center","2015","4","outputs\rc2_momentum_risk_extension_yearly_model4_package\configs\001_mre_mo020_2015_m4.ini","mre_mo020_2015_m4","outputs\rc2_momentum_risk_extension_yearly_model4_package\reports_here\mre_mo020_2015_m4","06AE8127CF2719D7D3A19FEE069ECA3D50B83B3B0329C04F7B08E5F9135AFA5A","Apply the frozen annual restart gate; do not retune after results."
"2","mre_mo020_center","2016","4","outputs\rc2_momentum_risk_extension_yearly_model4_package\configs\002_mre_mo020_2016_m4.ini","mre_mo020_2016_m4","outputs\rc2_momentum_risk_extension_yearly_model4_package\reports_here\mre_mo020_2016_m4","06AE8127CF2719D7D3A19FEE069ECA3D50B83B3B0329C04F7B08E5F9135AFA5A","Apply the frozen annual restart gate; do not retune after results."
"3","mre_mo020_center","2017","4","outputs\rc2_momentum_risk_extension_yearly_model4_package\configs\003_mre_mo020_2017_m4.ini","mre_mo020_2017_m4","outputs\rc2_momentum_risk_extension_yearly_model4_package\reports_here\mre_mo020_2017_m4","06AE8127CF2719D7D3A19FEE069ECA3D50B83B3B0329C04F7B08E5F9135AFA5A","Apply the frozen annual restart gate; do not retune after results."
"4","mre_mo020_center","2018","4","outputs\rc2_momentum_risk_extension_yearly_model4_package\configs\004_mre_mo020_2018_m4.ini","mre_mo020_2018_m4","outputs\rc2_momentum_risk_extension_yearly_model4_package\reports_here\mre_mo020_2018_m4","06AE8127CF2719D7D3A19FEE069ECA3D50B83B3B0329C04F7B08E5F9135AFA5A","Apply the frozen annual restart gate; do not retune after results."
"5","mre_mo020_center","2019","4","outputs\rc2_momentum_risk_extension_yearly_model4_package\configs\005_mre_mo020_2019_m4.ini","mre_mo020_2019_m4","outputs\rc2_momentum_risk_extension_yearly_model4_package\reports_here\mre_mo020_2019_m4","06AE8127CF2719D7D3A19FEE069ECA3D50B83B3B0329C04F7B08E5F9135AFA5A","Apply the frozen annual restart gate; do not retune after results."
"6","mre_mo020_center","2020","4","outputs\rc2_momentum_risk_extension_yearly_model4_package\configs\006_mre_mo020_2020_m4.ini","mre_mo020_2020_m4","outputs\rc2_momentum_risk_extension_yearly_model4_package\reports_here\mre_mo020_2020_m4","06AE8127CF2719D7D3A19FEE069ECA3D50B83B3B0329C04F7B08E5F9135AFA5A","Apply the frozen annual restart gate; do not retune after results."
"7","mre_mo020_center","2021","4","outputs\rc2_momentum_risk_extension_yearly_model4_package\configs\007_mre_mo020_2021_m4.ini","mre_mo020_2021_m4","outputs\rc2_momentum_risk_extension_yearly_model4_package\reports_here\mre_mo020_2021_m4","06AE8127CF2719D7D3A19FEE069ECA3D50B83B3B0329C04F7B08E5F9135AFA5A","Apply the frozen annual restart gate; do not retune after results."
"8","mre_mo020_center","2022","4","outputs\rc2_momentum_risk_extension_yearly_model4_package\configs\008_mre_mo020_2022_m4.ini","mre_mo020_2022_m4","outputs\rc2_momentum_risk_extension_yearly_model4_package\reports_here\mre_mo020_2022_m4","06AE8127CF2719D7D3A19FEE069ECA3D50B83B3B0329C04F7B08E5F9135AFA5A","Apply the frozen annual restart gate; do not retune after results."
"9","mre_mo020_center","2023","4","outputs\rc2_momentum_risk_extension_yearly_model4_package\configs\009_mre_mo020_2023_m4.ini","mre_mo020_2023_m4","outputs\rc2_momentum_risk_extension_yearly_model4_package\reports_here\mre_mo020_2023_m4","06AE8127CF2719D7D3A19FEE069ECA3D50B83B3B0329C04F7B08E5F9135AFA5A","Apply the frozen annual restart gate; do not retune after results."
"10","mre_mo020_center","2024","4","outputs\rc2_momentum_risk_extension_yearly_model4_package\configs\010_mre_mo020_2024_m4.ini","mre_mo020_2024_m4","outputs\rc2_momentum_risk_extension_yearly_model4_package\reports_here\mre_mo020_2024_m4","06AE8127CF2719D7D3A19FEE069ECA3D50B83B3B0329C04F7B08E5F9135AFA5A","Apply the frozen annual restart gate; do not retune after results."
"11","mre_mo020_center","2025","4","outputs\rc2_momentum_risk_extension_yearly_model4_package\configs\011_mre_mo020_2025_m4.ini","mre_mo020_2025_m4","outputs\rc2_momentum_risk_extension_yearly_model4_package\reports_here\mre_mo020_2025_m4","06AE8127CF2719D7D3A19FEE069ECA3D50B83B3B0329C04F7B08E5F9135AFA5A","Apply the frozen annual restart gate; do not retune after results."
"12","mre_mo020_center","2026_ytd","4","outputs\rc2_momentum_risk_extension_yearly_model4_package\configs\012_mre_mo020_2026_ytd_m4.ini","mre_mo020_2026_ytd_m4","outputs\rc2_momentum_risk_extension_yearly_model4_package\reports_here\mre_mo020_2026_ytd_m4","06AE8127CF2719D7D3A19FEE069ECA3D50B83B3B0329C04F7B08E5F9135AFA5A","Apply the frozen annual restart gate; do not retune after results."
