"QueueRank","Window","CompletedYear","Status","NetProfit","TotalReturnPercent","CagrPercent","ProfitFactor","TotalTrades","MaxDrawdownPercent","RecoveryFactor","SourceSha256","ProfileSha256","RunnerStatus","RunnerEvidence"
"1","2015","True","PARSED","187.25","1.87","1.88","2.07","21","0.9","2.0622","9141137A9550F3394DE85E1725E018671B4F2A2FF0F43A3EF23F9FB1238CD302","06AE8127CF2719D7D3A19FEE069ECA3D50B83B3B0329C04F7B08E5F9135AFA5A","REPORT_FOUND","Portable worker exported and copied the full MT5 report."
"2","2016","True","PARSED","231.12","2.31","2.31","1.78","36","0.67","3.3789","9141137A9550F3394DE85E1725E018671B4F2A2FF0F43A3EF23F9FB1238CD302","06AE8127CF2719D7D3A19FEE069ECA3D50B83B3B0329C04F7B08E5F9135AFA5A","REPORT_FOUND","Portable worker exported and copied the full MT5 report."
"3","2017","True","PARSED","175.3","1.75","1.76","1.4","46","1.23","1.4152","9141137A9550F3394DE85E1725E018671B4F2A2FF0F43A3EF23F9FB1238CD302","06AE8127CF2719D7D3A19FEE069ECA3D50B83B3B0329C04F7B08E5F9135AFA5A","REPORT_FOUND","Portable worker exported and copied the full MT5 report."
"4","2018","True","PARSED","302.89","3.03","3.04","1.94","49","0.71","4.0887","9141137A9550F3394DE85E1725E018671B4F2A2FF0F43A3EF23F9FB1238CD302","06AE8127CF2719D7D3A19FEE069ECA3D50B83B3B0329C04F7B08E5F9135AFA5A","REPORT_FOUND","Portable worker exported and copied the full MT5 report."
"5","2019","True","PARSED","-52.33","-0.52","-0.53","0.82","33","1.66","-0.312","9141137A9550F3394DE85E1725E018671B4F2A2FF0F43A3EF23F9FB1238CD302","06AE8127CF2719D7D3A19FEE069ECA3D50B83B3B0329C04F7B08E5F9135AFA5A","REPORT_FOUND","Portable worker exported and copied the full MT5 report."
"6","2020","True","PARSED","-64.93","-0.65","-0.65","0.87","31","3","-0.2127","9141137A9550F3394DE85E1725E018671B4F2A2FF0F43A3EF23F9FB1238CD302","06AE8127CF2719D7D3A19FEE069ECA3D50B83B3B0329C04F7B08E5F9135AFA5A","REPORT_FOUND","Portable worker exported and copied the full MT5 report."
"7","2021","True","PARSED","322.06","3.22","3.23","2.11","30","1.39","2.3044","9141137A9550F3394DE85E1725E018671B4F2A2FF0F43A3EF23F9FB1238CD302","06AE8127CF2719D7D3A19FEE069ECA3D50B83B3B0329C04F7B08E5F9135AFA5A","REPORT_FOUND","Portable worker exported and copied the full MT5 report."
"8","2022","True","PARSED","30.51","0.31","0.31","1.1","36","1.28","0.2379","9141137A9550F3394DE85E1725E018671B4F2A2FF0F43A3EF23F9FB1238CD302","06AE8127CF2719D7D3A19FEE069ECA3D50B83B3B0329C04F7B08E5F9135AFA5A","REPORT_FOUND","Portable worker exported and copied the full MT5 report."
"9","2023","True","PARSED","145.64","1.46","1.46","1.42","40","1.32","1.0881","9141137A9550F3394DE85E1725E018671B4F2A2FF0F43A3EF23F9FB1238CD302","06AE8127CF2719D7D3A19FEE069ECA3D50B83B3B0329C04F7B08E5F9135AFA5A","REPORT_FOUND","Portable worker exported and copied the full MT5 report."
"10","2024","True","PARSED","255.23","2.55","2.55","1.79","31","1.17","2.1606","9141137A9550F3394DE85E1725E018671B4F2A2FF0F43A3EF23F9FB1238CD302","06AE8127CF2719D7D3A19FEE069ECA3D50B83B3B0329C04F7B08E5F9135AFA5A","REPORT_FOUND","Portable worker exported and copied the full MT5 report."
"11","2025","True","PARSED","36.22","0.36","0.36","1.49","5","1","0.3584","9141137A9550F3394DE85E1725E018671B4F2A2FF0F43A3EF23F9FB1238CD302","06AE8127CF2719D7D3A19FEE069ECA3D50B83B3B0329C04F7B08E5F9135AFA5A","REPORT_FOUND","Portable worker exported and copied the full MT5 report."
"12","2026_ytd","False","PARSED","209.18","2.09","3.93","0","2","1.19","1.7253","9141137A9550F3394DE85E1725E018671B4F2A2FF0F43A3EF23F9FB1238CD302","06AE8127CF2719D7D3A19FEE069ECA3D50B83B3B0329C04F7B08E5F9135AFA5A","REPORT_FOUND","Portable worker exported and copied the full MT5 report."
