PriorityOrder,IsSourceOrder,NetProfit,ProfitFactor,AcceptedTrades,BlockedTrades,PositiveWindows,MinimumWindowNet,Older2015_2018Net,Middle2019_2022Net,Recent2023_2026Net,MaxClosedDrawdownPercent
DDB045_ANNUAL_RESTART>MTSM_CAP12_ANNUAL>R20_CURRENT_SOURCE_ANNUAL>RRO_DI12_CAP12_CONTINUOUS,False,2067.64,1.8942,368,8,12,40.53,687.51,650.83,729.30,0.8658
DDB045_ANNUAL_RESTART>MTSM_CAP12_ANNUAL>RRO_DI12_CAP12_CONTINUOUS>R20_CURRENT_SOURCE_ANNUAL,False,2067.64,1.8942,368,8,12,40.53,687.51,650.83,729.30,0.8658
DDB045_ANNUAL_RESTART>R20_CURRENT_SOURCE_ANNUAL>MTSM_CAP12_ANNUAL>RRO_DI12_CAP12_CONTINUOUS,False,2067.64,1.8942,368,8,12,40.53,687.51,650.83,729.30,0.8658
DDB045_ANNUAL_RESTART>R20_CURRENT_SOURCE_ANNUAL>RRO_DI12_CAP12_CONTINUOUS>MTSM_CAP12_ANNUAL,False,2067.64,1.8942,368,8,12,40.53,687.51,650.83,729.30,0.8658
DDB045_ANNUAL_RESTART>RRO_DI12_CAP12_CONTINUOUS>MTSM_CAP12_ANNUAL>R20_CURRENT_SOURCE_ANNUAL,False,2067.64,1.8942,368,8,12,40.53,687.51,650.83,729.30,0.8658
DDB045_ANNUAL_RESTART>RRO_DI12_CAP12_CONTINUOUS>R20_CURRENT_SOURCE_ANNUAL>MTSM_CAP12_ANNUAL,False,2067.64,1.8942,368,8,12,40.53,687.51,650.83,729.30,0.8658
MTSM_CAP12_ANNUAL>DDB045_ANNUAL_RESTART>R20_CURRENT_SOURCE_ANNUAL>RRO_DI12_CAP12_CONTINUOUS,False,2067.64,1.8942,368,8,12,40.53,687.51,650.83,729.30,0.8658
MTSM_CAP12_ANNUAL>DDB045_ANNUAL_RESTART>RRO_DI12_CAP12_CONTINUOUS>R20_CURRENT_SOURCE_ANNUAL,False,2067.64,1.8942,368,8,12,40.53,687.51,650.83,729.30,0.8658
MTSM_CAP12_ANNUAL>R20_CURRENT_SOURCE_ANNUAL>DDB045_ANNUAL_RESTART>RRO_DI12_CAP12_CONTINUOUS,False,2067.64,1.8942,368,8,12,40.53,687.51,650.83,729.30,0.8658
MTSM_CAP12_ANNUAL>R20_CURRENT_SOURCE_ANNUAL>RRO_DI12_CAP12_CONTINUOUS>DDB045_ANNUAL_RESTART,True,2067.64,1.8942,368,8,12,40.53,687.51,650.83,729.30,0.8658
MTSM_CAP12_ANNUAL>RRO_DI12_CAP12_CONTINUOUS>DDB045_ANNUAL_RESTART>R20_CURRENT_SOURCE_ANNUAL,False,2067.64,1.8942,368,8,12,40.53,687.51,650.83,729.30,0.8658
MTSM_CAP12_ANNUAL>RRO_DI12_CAP12_CONTINUOUS>R20_CURRENT_SOURCE_ANNUAL>DDB045_ANNUAL_RESTART,False,2067.64,1.8942,368,8,12,40.53,687.51,650.83,729.30,0.8658
R20_CURRENT_SOURCE_ANNUAL>DDB045_ANNUAL_RESTART>MTSM_CAP12_ANNUAL>RRO_DI12_CAP12_CONTINUOUS,False,2067.64,1.8942,368,8,12,40.53,687.51,650.83,729.30,0.8658
R20_CURRENT_SOURCE_ANNUAL>DDB045_ANNUAL_RESTART>RRO_DI12_CAP12_CONTINUOUS>MTSM_CAP12_ANNUAL,False,2067.64,1.8942,368,8,12,40.53,687.51,650.83,729.30,0.8658
R20_CURRENT_SOURCE_ANNUAL>MTSM_CAP12_ANNUAL>DDB045_ANNUAL_RESTART>RRO_DI12_CAP12_CONTINUOUS,False,2067.64,1.8942,368,8,12,40.53,687.51,650.83,729.30,0.8658
R20_CURRENT_SOURCE_ANNUAL>MTSM_CAP12_ANNUAL>RRO_DI12_CAP12_CONTINUOUS>DDB045_ANNUAL_RESTART,False,2067.64,1.8942,368,8,12,40.53,687.51,650.83,729.30,0.8658
R20_CURRENT_SOURCE_ANNUAL>RRO_DI12_CAP12_CONTINUOUS>DDB045_ANNUAL_RESTART>MTSM_CAP12_ANNUAL,False,2067.64,1.8942,368,8,12,40.53,687.51,650.83,729.30,0.8658
R20_CURRENT_SOURCE_ANNUAL>RRO_DI12_CAP12_CONTINUOUS>MTSM_CAP12_ANNUAL>DDB045_ANNUAL_RESTART,False,2067.64,1.8942,368,8,12,40.53,687.51,650.83,729.30,0.8658
RRO_DI12_CAP12_CONTINUOUS>DDB045_ANNUAL_RESTART>MTSM_CAP12_ANNUAL>R20_CURRENT_SOURCE_ANNUAL,False,2067.64,1.8942,368,8,12,40.53,687.51,650.83,729.30,0.8658
RRO_DI12_CAP12_CONTINUOUS>DDB045_ANNUAL_RESTART>R20_CURRENT_SOURCE_ANNUAL>MTSM_CAP12_ANNUAL,False,2067.64,1.8942,368,8,12,40.53,687.51,650.83,729.30,0.8658
RRO_DI12_CAP12_CONTINUOUS>MTSM_CAP12_ANNUAL>DDB045_ANNUAL_RESTART>R20_CURRENT_SOURCE_ANNUAL,False,2067.64,1.8942,368,8,12,40.53,687.51,650.83,729.30,0.8658
RRO_DI12_CAP12_CONTINUOUS>MTSM_CAP12_ANNUAL>R20_CURRENT_SOURCE_ANNUAL>DDB045_ANNUAL_RESTART,False,2067.64,1.8942,368,8,12,40.53,687.51,650.83,729.30,0.8658
RRO_DI12_CAP12_CONTINUOUS>R20_CURRENT_SOURCE_ANNUAL>DDB045_ANNUAL_RESTART>MTSM_CAP12_ANNUAL,False,2067.64,1.8942,368,8,12,40.53,687.51,650.83,729.30,0.8658
RRO_DI12_CAP12_CONTINUOUS>R20_CURRENT_SOURCE_ANNUAL>MTSM_CAP12_ANNUAL>DDB045_ANNUAL_RESTART,False,2067.64,1.8942,368,8,12,40.53,687.51,650.83,729.30,0.8658
