"QueueIndex","Candidate","Window","FromDate","ToDate","Model","Deposit","ProfileSha256","SourceSha256","Config","Status"
"1","rdmc_diversified_repair_v1","2015","2015.01.01","2015.12.31","1","10000","12588915C76A9C7E29B84EC8C5AE79E64E3FDBFBA41221D77E490B3EB15364EC","4740338598E290360946FE414CC6F2FE0CF3B704006860514367DCB996A8D2B5","outputs/rdmc_diversified_repair_model1_package/configs/001_rdmc_diversified_repair_v1_2015_m1.ini","LOCKED_LOCAL_LAUNCH_DISABLED"
"2","rdmc_diversified_repair_v1","2016","2016.01.01","2016.12.31","1","10000","12588915C76A9C7E29B84EC8C5AE79E64E3FDBFBA41221D77E490B3EB15364EC","4740338598E290360946FE414CC6F2FE0CF3B704006860514367DCB996A8D2B5","outputs/rdmc_diversified_repair_model1_package/configs/002_rdmc_diversified_repair_v1_2016_m1.ini","LOCKED_LOCAL_LAUNCH_DISABLED"
"3","rdmc_diversified_repair_v1","2017","2017.01.01","2017.12.31","1","10000","12588915C76A9C7E29B84EC8C5AE79E64E3FDBFBA41221D77E490B3EB15364EC","4740338598E290360946FE414CC6F2FE0CF3B704006860514367DCB996A8D2B5","outputs/rdmc_diversified_repair_model1_package/configs/003_rdmc_diversified_repair_v1_2017_m1.ini","LOCKED_LOCAL_LAUNCH_DISABLED"
"4","rdmc_diversified_repair_v1","2018","2018.01.01","2018.12.31","1","10000","12588915C76A9C7E29B84EC8C5AE79E64E3FDBFBA41221D77E490B3EB15364EC","4740338598E290360946FE414CC6F2FE0CF3B704006860514367DCB996A8D2B5","outputs/rdmc_diversified_repair_model1_package/configs/004_rdmc_diversified_repair_v1_2018_m1.ini","LOCKED_LOCAL_LAUNCH_DISABLED"
"5","rdmc_diversified_repair_v1","2019","2019.01.01","2019.12.31","1","10000","12588915C76A9C7E29B84EC8C5AE79E64E3FDBFBA41221D77E490B3EB15364EC","4740338598E290360946FE414CC6F2FE0CF3B704006860514367DCB996A8D2B5","outputs/rdmc_diversified_repair_model1_package/configs/005_rdmc_diversified_repair_v1_2019_m1.ini","LOCKED_LOCAL_LAUNCH_DISABLED"
"6","rdmc_diversified_repair_v1","2020","2020.01.01","2020.12.31","1","10000","12588915C76A9C7E29B84EC8C5AE79E64E3FDBFBA41221D77E490B3EB15364EC","4740338598E290360946FE414CC6F2FE0CF3B704006860514367DCB996A8D2B5","outputs/rdmc_diversified_repair_model1_package/configs/006_rdmc_diversified_repair_v1_2020_m1.ini","LOCKED_LOCAL_LAUNCH_DISABLED"
"7","rdmc_diversified_repair_v1","2021","2021.01.01","2021.12.31","1","10000","12588915C76A9C7E29B84EC8C5AE79E64E3FDBFBA41221D77E490B3EB15364EC","4740338598E290360946FE414CC6F2FE0CF3B704006860514367DCB996A8D2B5","outputs/rdmc_diversified_repair_model1_package/configs/007_rdmc_diversified_repair_v1_2021_m1.ini","LOCKED_LOCAL_LAUNCH_DISABLED"
"8","rdmc_diversified_repair_v1","2022","2022.01.01","2022.12.31","1","10000","12588915C76A9C7E29B84EC8C5AE79E64E3FDBFBA41221D77E490B3EB15364EC","4740338598E290360946FE414CC6F2FE0CF3B704006860514367DCB996A8D2B5","outputs/rdmc_diversified_repair_model1_package/configs/008_rdmc_diversified_repair_v1_2022_m1.ini","LOCKED_LOCAL_LAUNCH_DISABLED"
"9","rdmc_diversified_repair_v1","2023","2023.01.01","2023.12.31","1","10000","12588915C76A9C7E29B84EC8C5AE79E64E3FDBFBA41221D77E490B3EB15364EC","4740338598E290360946FE414CC6F2FE0CF3B704006860514367DCB996A8D2B5","outputs/rdmc_diversified_repair_model1_package/configs/009_rdmc_diversified_repair_v1_2023_m1.ini","LOCKED_LOCAL_LAUNCH_DISABLED"
"10","rdmc_diversified_repair_v1","2024","2024.01.01","2024.12.31","1","10000","12588915C76A9C7E29B84EC8C5AE79E64E3FDBFBA41221D77E490B3EB15364EC","4740338598E290360946FE414CC6F2FE0CF3B704006860514367DCB996A8D2B5","outputs/rdmc_diversified_repair_model1_package/configs/010_rdmc_diversified_repair_v1_2024_m1.ini","LOCKED_LOCAL_LAUNCH_DISABLED"
"11","rdmc_diversified_repair_v1","2025","2025.01.01","2025.12.31","1","10000","12588915C76A9C7E29B84EC8C5AE79E64E3FDBFBA41221D77E490B3EB15364EC","4740338598E290360946FE414CC6F2FE0CF3B704006860514367DCB996A8D2B5","outputs/rdmc_diversified_repair_model1_package/configs/011_rdmc_diversified_repair_v1_2025_m1.ini","LOCKED_LOCAL_LAUNCH_DISABLED"
"12","rdmc_diversified_repair_v1","2026","2026.01.01","2026.07.12","1","10000","12588915C76A9C7E29B84EC8C5AE79E64E3FDBFBA41221D77E490B3EB15364EC","4740338598E290360946FE414CC6F2FE0CF3B704006860514367DCB996A8D2B5","outputs/rdmc_diversified_repair_model1_package/configs/012_rdmc_diversified_repair_v1_2026_m1.ini","LOCKED_LOCAL_LAUNCH_DISABLED"
