"Dimension","Segment","Trades","NetProfit","GrossProfit","GrossLoss","ProfitFactor","WinRatePercent","AverageProfit","AverageHoldMinutes"
"Overall","all","7","-3.42","34.25","37.67","0.9092","42.86","-0.49","347.48"
"EntrySubtype","other","7","-3.42","34.25","37.67","0.9092","42.86","-0.49","347.48"
"EntryHour","10","2","-9.26","1.44","10.7","0.1346","50","-4.63","269.67"
"EntryHour","11","2","-5.97","0","5.97","0","0","-2.98","600"
"EntryHour","5","1","-21","0","21","0","0","-21","149.33"
"EntryHour","7","2","32.81","32.81","0","INF","100","16.4","271.84"
"EntryYear","2022","7","-3.42","34.25","37.67","0.9092","42.86","-0.49","347.48"
"EntryMonth","10","1","-0.21","0","0.21","0","0","-0.21","1020"
"EntryMonth","11","2","14.34","20.1","5.76","3.4896","50","7.17","142.5"
"EntryMonth","12","1","-21","0","21","0","0","-21","149.33"
"EntryMonth","6","1","-10.7","0","10.7","0","0","-10.7","218.67"
"EntryMonth","7","2","14.15","14.15","0","INF","100","7.08","379.67"
"Side","sell","7","-3.42","34.25","37.67","0.9092","42.86","-0.49","347.48"
"DayOfWeek","Friday","2","32.81","32.81","0","INF","100","16.4","271.84"
"DayOfWeek","Monday","1","-0.21","0","0.21","0","0","-0.21","1020"
"DayOfWeek","Thursday","2","-19.56","1.44","21","0.0686","50","-9.78","235"
"DayOfWeek","Tuesday","1","-5.76","0","5.76","0","0","-5.76","180"
"DayOfWeek","Wednesday","1","-10.7","0","10.7","0","0","-10.7","218.67"
