"Dimension","Segment","Trades","NetProfit","GrossProfit","GrossLoss","ProfitFactor","WinRatePercent","AverageProfit","AverageHoldMinutes"
"Overall","all","6","-18.27","22.18","40.45","0.5483","33.33","-3.04","773.94"
"EntrySubtype","other","6","-18.27","22.18","40.45","0.5483","33.33","-3.04","773.94"
"EntryHour","11","1","-6.84","0","6.84","0","0","-6.84","272.67"
"EntryHour","12","2","-3.55","2.08","5.63","0.3694","50","-1.78","1938.34"
"EntryHour","5","1","-21","0","21","0","0","-21","149.33"
"EntryHour","7","2","13.12","20.1","6.98","2.8797","50","6.56","172.5"
"EntryYear","2022","6","-18.27","22.18","40.45","0.5483","33.33","-3.04","773.94"
"EntryMonth","1","1","2.08","2.08","0","INF","100","2.08","3665"
"EntryMonth","11","1","20.1","20.1","0","INF","100","20.1","105"
"EntryMonth","12","1","-21","0","21","0","0","-21","149.33"
"EntryMonth","2","1","-5.63","0","5.63","0","0","-5.63","211.67"
"EntryMonth","5","2","-13.82","0","13.82","0","0","-6.91","256.34"
"Side","buy","2","-12.47","0","12.47","0","0","-6.24","242.17"
"Side","sell","4","-5.8","22.18","27.98","0.7927","50","-1.45","1039.83"
"DayOfWeek","Friday","4","9.71","22.18","12.47","1.7787","50","2.43","1063.58"
"DayOfWeek","Thursday","1","-21","0","21","0","0","-21","149.33"
"DayOfWeek","Wednesday","1","-6.98","0","6.98","0","0","-6.98","240"
