"Family","Threshold","Trades","Net","PF","PositiveYears","WorstYear","Y2015","Y2016","Y2017","Y2018"
"min_breakout","0.1","118","418.23","1.711","4","64.76","64.76","64.83","171.27","117.37"
"min_breakout","0.2","85","366.87","1.925","4","31.27","31.27","74.2","147.08","114.32"
"min_breakout","0.3","64","313.04","2.259","4","47.14","47.14","78.02","90.36","97.52"
"min_breakout","0.4","47","140.6","1.685","3","-3.26","-3.26","58.16","46.63","39.07"
"min_h1_eff","0.15","124","348.08","1.509","4","71.57","75.44","71.57","110.16","90.91"
"min_h1_eff","0.2","112","416.18","1.721","4","76.35","105.31","76.35","149.32","85.2"
"min_h1_eff","0.25","95","375.21","1.741","4","41.27","124.81","45.36","163.77","41.27"
"min_h1_eff","0.3","79","243.47","1.542","4","18.53","77.24","18.53","100.76","46.94"
"max_h1_eff","0.5","115","414.96","1.701","4","64.76","64.76","106.77","90.34","153.09"
"max_h1_eff","0.6","127","419.63","1.625","4","64.76","64.76","79.4","148.02","127.45"
"max_h1_eff","0.7","134","360.86","1.493","4","45.29","64.76","45.29","125.25","125.56"
"min_d1_eff","0.03","107","220.54","1.369","4","25.37","25.37","41.92","81.82","71.43"
"min_d1_eff","0.05","96","183.82","1.344","3","-14.92","-14.92","56.37","44.41","97.96"
"min_d1_eff","0.08","71","130.39","1.335","3","-20.34","-20.34","40.49","7.81","102.43"
"min_d1_eff","0.1","60","120.92","1.371","2","-20.34","-20.34","25.44","-0.26","116.08"
"max_d1_eff","0.1","75","269.14","1.664","4","9.48","85.1","49.05","125.51","9.48"
"max_d1_eff","0.15","112","400.72","1.687","4","71.29","94.14","87.86","147.43","71.29"
"max_d1_eff","0.2","130","338.72","1.48","4","59.61","79.37","74.49","125.25","59.61"
"min_d1_momentum","1","122","313.05","1.465","4","56.46","75.44","56.46","71.69","109.46"
"min_d1_momentum","2","107","254.78","1.435","4","41.92","47.37","41.92","81.82","83.67"
"min_d1_momentum","4","90","173.04","1.347","3","-14.92","-14.92","56.37","23.7","107.89"
"min_d1_momentum","6","67","123.12","1.339","2","-14.92","-14.92","58.5","-0.26","79.8"
"max_d1_momentum","8","89","299.6","1.647","4","41.47","73.42","41.47","113.42","71.29"
"max_d1_momentum","10","112","343.72","1.556","4","28.21","94.14","28.21","135.34","86.03"
"max_d1_momentum","12","120","391.1","1.604","4","51.83","86.56","51.83","127.15","125.56"
"max_d1_momentum","14","123","402.36","1.606","4","64.99","86.56","64.99","125.25","125.56"
"min_body","0.5","109","388.48","1.707","4","48.5","96.15","48.5","146.19","97.64"
"min_body","0.6","86","277.69","1.65","4","4.22","4.22","66.76","109.61","97.1"
"min_body","0.7","59","176.64","1.588","3","-12.84","-12.84","41.2","83.35","64.93"
"min_close_location","0.6","115","423.71","1.719","4","63.53","73.99","63.53","133.23","152.96"
"min_close_location","0.7","97","329.09","1.653","3","-19.77","-19.77","74.59","141.71","132.56"
"min_close_location","0.8","71","191.05","1.509","3","-36.54","-36.54","13.46","69.37","144.76"
"min_range_atr","1","106","428.76","1.831","4","44.67","64.76","44.67","135.12","184.21"
"min_range_atr","1.25","80","275.96","1.741","4","29.22","70.96","29.22","97.29","78.49"
"min_range_atr","1.5","56","256.22","2.128","4","45.64","45.64","62.64","82.51","65.43"
"min_volume","0.75","110","351.58","1.623","4","70.96","70.96","89.56","92.02","99.04"
"min_volume","1","86","328.17","1.771","4","62.03","70.96","62.03","77.74","117.44"
"min_volume","1.25","52","131.98","1.471","3","-34.93","71.28","-34.93","42.55","53.08"
"min_channel_width","3","125","305.71","1.445","4","31.62","70.96","31.62","137.4","65.73"
"min_channel_width","4","86","197.39","1.396","4","13.91","13.91","14.51","128.38","40.59"
"min_channel_width","5","38","118.37","1.55","2","-22.95","-7.19","34.4","114.11","-22.95"
"max_channel_width","4","49","192.67","1.827","3","-3.13","50.85","59.98","-3.13","84.97"
"max_channel_width","5","97","271.69","1.526","4","11.14","71.95","40.09","11.14","148.51"
"max_channel_width","6","120","415.91","1.664","4","64.76","64.76","82.83","135.9","132.42"
