"EntryTime","ExitTime","EntryYear","EntryMonth","EntryHour","DayOfWeek","Symbol","Side","Volume","EntryPrice","ExitPrice","InitialStop","InitialTarget","InitialRiskMoney","RiskR","HoldMinutes","Profit","Winner","EntrySubtype","EntryComment","ExitComment"
"2022-01-28T12:00:00","2022-01-31T01:05:00","2022","1","12","Friday","XAUUSD","sell","0.01","1791.43","1789.3","1799.31","1775.68","7.88","0.263959","3665","2.08","True","other","MTSM_SELL",""
"2022-02-04T12:00:00","2022-02-04T15:31:40","2022","2","12","Friday","XAUUSD","buy","0.01","1811.04","1805.41","1805.41","1822.3","5.63","-1","211.67","-5.63","False","other","MTSM_BUY","sl 1805.41"
"2022-02-16T12:00:00","2022-02-16T14:45:20","2022","2","12","Wednesday","XAUUSD","buy","0.01","1858.56","1851.86","1851.86","1871.96","6.7","-1","165.33","-6.7","False","other","MTSM_BUY","sl 1851.86"
"2022-03-17T11:12:30","2022-03-17T20:11:40","2022","3","11","Thursday","XAUUSD","buy","0.01","1937.81","1938.66","1929.33","1954.76","8.48","0.100236","539.17","0.85","True","other","MTSM_BUY","sl 1938.66"
"2022-04-13T19:00:00","2022-04-14T09:00:00","2022","4","19","Wednesday","XAUUSD","buy","0.01","1981.03","1972.46","1971.32","2000.45","9.71","-0.92173","840","-8.95","False","other","MTSM_BUY",""
"2022-04-18T10:00:00","2022-04-18T18:00:00","2022","4","10","Monday","XAUUSD","buy","0.01","1989.07","1984.02","1981.96","2003.28","7.11","-0.710267","480","-5.05","False","other","MTSM_BUY",""
"2022-04-29T15:00:00","2022-04-29T15:30:20","2022","4","15","Friday","XAUUSD","buy","0.01","1919.6","1909.69","1909.69","1939.42","9.91","-1","30.33","-9.91","False","other","MTSM_BUY","sl 1909.69"
"2022-05-18T07:00:00","2022-05-18T11:00:00","2022","5","7","Wednesday","XAUUSD","sell","0.03","1808.59","1815.57","1817.76","1790.25","27.51","-0.761178","240","-20.94","False","other","MTSM_SELL",""
"2022-05-23T07:00:00","2022-05-23T15:56:40","2022","5","7","Monday","XAUUSD","buy","0.02","1854.48","1855.42","1845.11","1873.23","18.74","0.10032","536.67","1.88","True","other","MTSM_BUY","sl 1855.42"
"2022-05-27T11:00:00","2022-05-27T15:32:40","2022","5","11","Friday","XAUUSD","buy","0.04","1858.36","1851.52","1851.52","1872.04","27.36","-1","272.67","-27.36","False","other","MTSM_BUY","sl 1851.52"
"2022-06-02T10:00:00","2022-06-02T17:10:20","2022","6","10","Thursday","XAUUSD","buy","0.01","1851.96","1868.45","1843.71","1868.45","8.25","1.998788","430.33","16.49","True","other","MTSM_BUY","tp 1868.45"
"2022-06-27T10:00:00","2022-06-27T14:56:40","2022","6","10","Monday","XAUUSD","buy","0.02","1838.28","1833.91","1833.91","1847.02","8.74","-1","296.67","-8.74","False","other","MTSM_BUY","sl 1833.91"
"2022-06-29T10:00:00","2022-06-29T13:38:40","2022","6","10","Wednesday","XAUUSD","sell","0.01","1817.65","1823","1823","1806.95","5.35","-1","218.67","-5.35","False","other","MTSM_SELL","sl 1823.00"
"2022-07-08T11:00:00","2022-07-08T15:12:40","2022","7","11","Friday","XAUUSD","sell","0.01","1736.54","1744.37","1744.37","1720.87","7.83","-1","252.67","-7.83","False","other","MTSM_SELL","sl 1744.37"
"2022-07-20T10:00:00","2022-07-20T12:37:40","2022","7","10","Wednesday","XAUUSD","sell","0.01","1707.26","1713.75","1713.75","1694.28","6.49","-1","157.67","-6.49","False","other","MTSM_SELL","sl 1713.75"
"2022-09-06T16:00:00","2022-09-07T10:00:00","2022","9","16","Tuesday","XAUUSD","sell","0.01","1707.75","1699.19","1716.45","1690.35","8.7","0.978161","1080","8.51","True","other","MTSM_SELL",""
"2022-09-15T07:00:00","2022-09-15T15:49:40","2022","9","7","Thursday","XAUUSD","sell","0.01","1692.75","1692.17","1698.58","1681.09","5.83","0.099485","529.67","0.58","True","other","MTSM_SELL","sl 1692.17"
"2022-09-28T10:00:00","2022-09-28T13:22:40","2022","9","10","Wednesday","XAUUSD","sell","0.01","1621.74","1630.37","1630.37","1604.49","8.63","-1","202.67","-8.63","False","other","MTSM_SELL","sl 1630.37"
"2022-10-10T07:00:00","2022-10-10T17:47:40","2022","10","7","Monday","XAUUSD","sell","0.01","1688.92","1669.13","1698.82","1669.13","9.9","1.99899","647.67","19.79","True","other","MTSM_SELL","tp 1669.13"
"2022-10-11T06:00:00","2022-10-11T15:00:00","2022","10","6","Tuesday","XAUUSD","sell","0.01","1665.45","1670.23","1674.12","1648.11","8.67","-0.551326","540","-4.78","False","other","MTSM_SELL",""
"2022-10-21T07:00:00","2022-10-21T15:58:40","2022","10","7","Friday","XAUUSD","sell","0.01","1621.67","1628.81","1628.81","1607.39","7.14","-1","538.67","-7.14","False","other","MTSM_SELL","sl 1628.81"
"2022-10-31T11:00:00","2022-11-01T04:00:00","2022","10","11","Monday","XAUUSD","sell","0.01","1637.12","1637.28","1646.07","1619.22","8.95","-0.023464","1020","-0.21","False","other","MTSM_SELL",""
"2022-11-08T11:00:00","2022-11-08T14:00:00","2022","11","11","Tuesday","XAUUSD","sell","0.01","1666.9","1672.66","1673.75","1653.2","6.85","-0.840876","180","-5.76","False","other","MTSM_SELL",""
"2022-11-21T10:00:00","2022-11-22T03:00:00","2022","11","10","Monday","XAUUSD","sell","0.01","1742.59","1740.86","1747.88","1732.01","5.29","0.31758","1020","1.68","True","other","MTSM_SELL",""
"2022-11-25T07:00:00","2022-11-25T15:22:40","2022","11","7","Friday","XAUUSD","sell","0.1","1758.61","1747.72","1761.68","1747.72","30.7","3.547231","502.67","108.9","True","other","RRO;Band VWAP reversion;Upper-","tp 1747.72"
"2022-12-15T10:00:00","2022-12-15T17:00:00","2022","12","10","Thursday","XAUUSD","sell","0.01","1789.01","1783.06","1796.94","1773.16","7.93","0.750315","420","5.95","True","other","MTSM_SELL",""
"2022-12-22T05:00:00","2022-12-22T07:29:20","2022","12","5","Thursday","XAUUSD","sell","0.1","1818.41","1820.51","1820.51","1809.41","21","-1","149.33","-21","False","other","RRO;Band VWAP reversion;Upper-","sl 1820.51"
