"Dimension","Segment","Trades","NetProfit","GrossProfit","GrossLoss","ProfitFactor","WinRatePercent","AverageProfit","AverageHoldMinutes"
"Overall","all","27","6.24","166.71","160.47","1.0389","37.04","0.23","561.76"
"EntrySubtype","other","27","6.24","166.71","160.47","1.0389","37.04","0.23","561.76"
"EntryHour","10","8","-10.14","24.12","34.26","0.704","37.5","-1.27","403.25"
"EntryHour","11","5","-40.31","0.85","41.16","0.0207","20","-8.06","452.9"
"EntryHour","12","3","-10.25","2.08","12.33","0.1687","33.33","-3.42","1347.33"
"EntryHour","15","1","-9.91","0","9.91","0","0","-9.91","30.33"
"EntryHour","16","1","8.51","8.51","0","INF","100","8.51","1080"
"EntryHour","19","1","-8.95","0","8.95","0","0","-8.95","840"
"EntryHour","5","1","-21","0","21","0","0","-21","149.33"
"EntryHour","6","1","-4.78","0","4.78","0","0","-4.78","540"
"EntryHour","7","6","103.07","131.15","28.08","4.6706","66.67","17.18","499.22"
"EntryYear","2022","27","6.24","166.71","160.47","1.0389","37.04","0.23","561.76"
"EntryMonth","1","1","2.08","2.08","0","INF","100","2.08","3665"
"EntryMonth","10","4","7.66","19.79","12.13","1.6315","25","1.91","686.58"
"EntryMonth","11","3","104.82","110.58","5.76","19.1979","66.67","34.94","567.56"
"EntryMonth","12","2","-15.05","5.95","21","0.2833","50","-7.52","284.67"
"EntryMonth","2","2","-12.33","0","12.33","0","0","-6.16","188.5"
"EntryMonth","3","1","0.85","0.85","0","INF","100","0.85","539.17"
"EntryMonth","4","3","-23.91","0","23.91","0","0","-7.97","450.11"
"EntryMonth","5","3","-46.42","1.88","48.3","0.0389","33.33","-15.47","349.78"
"EntryMonth","6","3","2.4","16.49","14.09","1.1703","33.33","0.8","315.22"
"EntryMonth","7","2","-14.32","0","14.32","0","0","-7.16","205.17"
"EntryMonth","9","3","0.46","9.09","8.63","1.0533","66.67","0.15","604.11"
"Side","buy","10","-53.12","19.22","72.34","0.2657","30","-5.31","380.28"
"Side","sell","17","59.36","147.49","88.13","1.6736","41.18","3.49","668.51"
"DayOfWeek","Friday","7","53.11","110.98","57.87","1.9177","28.57","7.59","781.95"
"DayOfWeek","Monday","6","9.35","23.35","14","1.6679","50","1.56","666.83"
"DayOfWeek","Thursday","5","2.87","23.87","21","1.1367","80","0.57","413.7"
"DayOfWeek","Tuesday","3","-2.03","8.51","10.54","0.8074","33.33","-0.68","600"
"DayOfWeek","Wednesday","6","-57.06","0","57.06","0","0","-9.51","304.06"
