"EntryTime","ExitTime","EntryYear","EntryMonth","EntryHour","DayOfWeek","Symbol","Side","Volume","EntryPrice","ExitPrice","InitialStop","InitialTarget","InitialRiskMoney","RiskR","HoldMinutes","Profit","Winner","EntrySubtype","EntryComment","ExitComment"
"2015-07-31T14:00:00","2015-07-31T15:30:40","2015","7","14","Friday","XAUUSD","sell","0.01","1081.12","1086.54","1086.54","1070.27","5.42","-1","90.67","-5.42","False","other","MTSM_SELL","sl 1086.54"
"2015-11-04T01:45:00","2015-12-07T01:05:00","2015","11","1","Wednesday","XAUUSD","sell","0.01","1119.99","1085.2","1142.08",,"22.09","1.50249","47480","33.19","True","other","DDB;DDB;Daily Donchian sell;AD",""
"2016-01-13T12:00:00","2016-01-13T16:16:40","2016","1","12","Wednesday","XAUUSD","sell","0.02","1081.16","1085.85","1085.85","1071.78","9.38","-1","256.67","-9.38","False","other","MTSM_SELL","sl 1085.85"
"2016-01-25T12:00:00","2016-01-26T09:06:40","2016","1","12","Monday","XAUUSD","buy","0.01","1104.59","1115.21","1099.28","1115.21","5.31","1.975518","1266.67","10.49","True","other","MTSM_BUY","tp 1115.21"
"2016-02-04T02:30:00","2016-03-15T01:05:00","2016","2","2","Thursday","XAUUSD","buy","0.01","1141.82","1235.18","1121.36",,"20.46","4.324047","57515","88.47","True","other","DDB;DDB;Daily Donchian buy;ADX",""
"2016-04-29T11:00:00","2016-04-29T17:55:20","2016","4","11","Friday","XAUUSD","buy","0.01","1277.27","1290.55","1270.63","1290.55","6.64","2","415.33","13.28","True","other","MTSM_BUY","tp 1290.55"
"2016-06-29T09:00:00","2016-06-29T14:00:00","2016","6","9","Wednesday","XAUUSD","buy","0.01","1321.06","1317.19","1315.44","1332.29","5.62","-0.688612","300","-3.87","False","other","MTSM_BUY",""
"2016-11-02T09:00:00","2016-11-02T18:17:40","2016","11","9","Wednesday","XAUUSD","buy","0.01","1294.22","1305.33","1288.66","1305.33","5.56","1.998201","557.67","11.11","True","other","MTSM_BUY","tp 1305.33"
"2016-11-22T06:00:00","2016-11-22T09:00:00","2016","11","6","Tuesday","XAUUSD","buy","0.01","1218.2","1215.24","1213.04","1228.52","5.16","-0.573643","180","-2.96","False","other","MTSM_BUY",""
"2016-12-05T17:00:00","2016-12-05T19:38:40","2016","12","17","Monday","XAUUSD","sell","0.01","1164.24","1170.51","1170.51","1151.71","6.27","-1","158.67","-6.27","False","other","MTSM_SELL","sl 1170.51"
"2016-12-15T17:00:00","2016-12-16T08:00:00","2016","12","17","Thursday","XAUUSD","sell","0.01","1129.34","1131.9","1137.7","1112.63","8.36","-0.312201","900","-2.61","False","other","MTSM_SELL",""
"2016-12-20T08:00:00","2016-12-21T03:58:40","2016","12","8","Tuesday","XAUUSD","sell","0.02","1135.17","1134.69","1139.96","1125.59","9.58","0.090814","1198.67","0.87","True","other","MTSM_SELL","sl 1134.69"
"2017-01-19T10:00:00","2017-01-19T11:01:40","2017","1","10","Thursday","XAUUSD","sell","0.02","1199.45","1203.85","1203.85","1190.66","8.8","-1","61.67","-8.8","False","other","MTSM_SELL","sl 1203.85"
"2017-01-27T15:00:00","2017-01-27T15:30:40","2017","1","15","Friday","XAUUSD","sell","0.02","1182.27","1186.31","1186.31","1174.19","8.08","-1","30.67","-8.08","False","other","MTSM_SELL","sl 1186.31"
"2017-02-16T16:00:00","2017-02-16T16:53:20","2017","2","16","Thursday","XAUUSD","sell","0.1","1236.47","1239.76","1239.76","1229.64","32.9","-1","53.33","-32.9","False","other","RRO;Band VWAP reversion;Upper-","sl 1239.76"
"2017-02-24T01:05:00","2017-03-03T01:05:00","2017","2","1","Friday","XAUUSD","buy","0.01","1249.66","1234.2","1230.31",,"19.35","-0.845478","10080","-16.36","False","other","DDB;DDB;Daily Donchian buy;ADX",""
