"Streak","LastLossState","OldAllows","NewAllows","EquivalentWhenTimestampValid","NewNeverLooser"
"0","missing","True","True","True","True"
"0","recent","False","False","True","True"
"0","elapsed","True","True","True","True"
"1","missing","True","True","True","True"
"1","recent","False","False","True","True"
"1","elapsed","True","True","True","True"
"2","missing","True","False","True","True"
"2","recent","False","False","True","True"
"2","elapsed","True","True","True","True"
"3","missing","True","False","True","True"
"3","recent","False","False","True","True"
"3","elapsed","True","True","True","True"
"4","missing","False","False","True","True"
"4","recent","False","False","True","True"
"4","elapsed","True","True","True","True"
"5","missing","False","False","True","True"
"5","recent","False","False","True","True"
"5","elapsed","True","True","True","True"
"6","missing","False","False","True","True"
"6","recent","False","False","True","True"
"6","elapsed","True","True","True","True"
