"QueueRank","Rank","Wave","Phase","Role","Candidate","Profile","Set","Window","From","To","Model","Deposit","InitialDeposit","PackageConfig","SourceConfig","ExpectedReportName","ReportDestination","ProfileSha256","SourceSha256","ConfigSha256","MinNetProfit","MinProfitFactor","MinTrades","MaxDrawdownPercent","MinRecoveryFactor","MinCagrPercent","MaxParallelism","StopRule","Status"
"1","1","1","wave_01_m1_critical","critical","rdmc_money_ready_gate_repair_v1","rdmc_money_ready_gate_repair_v1","frozen_gate_repair","2019","2019.01.01","2019.12.31","1","10000","10000","outputs\rdmc_money_ready_gate_repair_executable_package\configs\001_rdmc_mrgr_exec_w01_m1_critical_2019.ini","outputs\rdmc_money_ready_gate_repair_executable_package\configs\001_rdmc_mrgr_exec_w01_m1_critical_2019.ini","rdmc_mrgr_exec_w01_m1_critical_2019","outputs\rdmc_money_ready_gate_repair_executable_package\reports_here\rdmc_mrgr_exec_w01_m1_critical_2019","8A2D3B36ACD6A7B754B20A5D8AF8A98ED2F2AFD739B03CC3EE1A82BD8C2E3E3E","104F1B2D77876FA9856C8BECF7BF2D81DAB187F54BF3ED12C07493BCD6F6D6C8","B2A3DCD82E078D5D1B17170A48C2D6CA2BFE041D5E651919D863A9CDF92F4381","0.01","1.05","15","3","0","0","2","Reject immediately unless net>0, PF>=1.05, trades meet the frozen floor, and equity drawdown<=3%.","LOCKED_LOCAL_LAUNCH_DISABLED"
"2","2","1","wave_01_m1_critical","critical","rdmc_money_ready_gate_repair_v1","rdmc_money_ready_gate_repair_v1","frozen_gate_repair","2022","2022.01.01","2022.12.31","1","10000","10000","outputs\rdmc_money_ready_gate_repair_executable_package\configs\002_rdmc_mrgr_exec_w01_m1_critical_2022.ini","outputs\rdmc_money_ready_gate_repair_executable_package\configs\002_rdmc_mrgr_exec_w01_m1_critical_2022.ini","rdmc_mrgr_exec_w01_m1_critical_2022","outputs\rdmc_money_ready_gate_repair_executable_package\reports_here\rdmc_mrgr_exec_w01_m1_critical_2022","8A2D3B36ACD6A7B754B20A5D8AF8A98ED2F2AFD739B03CC3EE1A82BD8C2E3E3E","104F1B2D77876FA9856C8BECF7BF2D81DAB187F54BF3ED12C07493BCD6F6D6C8","BD8538B00257E8E8A3287ECEF4A8914FB5718A9896632B94C359B886D024D2AE","0.01","1.05","20","3","0","0","2","Reject immediately unless net>0, PF>=1.05, trades meet the frozen floor, and equity drawdown<=3%.","LOCKED_LOCAL_LAUNCH_DISABLED"
"3","3","2","wave_02_m1_broad","broad","rdmc_money_ready_gate_repair_v1","rdmc_money_ready_gate_repair_v1","frozen_gate_repair","older_2015_2018","2015.01.01","2018.12.31","1","10000","10000","outputs\rdmc_money_ready_gate_repair_executable_package\configs\003_rdmc_mrgr_exec_w02_m1_broad_older_2015_2018.ini","outputs\rdmc_money_ready_gate_repair_executable_package\configs\003_rdmc_mrgr_exec_w02_m1_broad_older_2015_2018.ini","rdmc_mrgr_exec_w02_m1_broad_older_2015_2018","outputs\rdmc_money_ready_gate_repair_executable_package\reports_here\rdmc_mrgr_exec_w02_m1_broad_older_2015_2018","8A2D3B36ACD6A7B754B20A5D8AF8A98ED2F2AFD739B03CC3EE1A82BD8C2E3E3E","104F1B2D77876FA9856C8BECF7BF2D81DAB187F54BF3ED12C07493BCD6F6D6C8","1FAEB4B9A01DA3B58C60877CA8617F15121F4CFAA9CF9CABE4649F2E27BEFAFB","0.01","1.2","80","5","0","0","4","Reject unless every disjoint broad era is profitable with PF>=1.20, sufficient activity, and equity drawdown<=5%.","LOCKED_LOCAL_LAUNCH_DISABLED"
"4","4","2","wave_02_m1_broad","broad","rdmc_money_ready_gate_repair_v1","rdmc_money_ready_gate_repair_v1","frozen_gate_repair","middle_2019_2022","2019.01.01","2022.12.31","1","10000","10000","outputs\rdmc_money_ready_gate_repair_executable_package\configs\004_rdmc_mrgr_exec_w02_m1_broad_middle_2019_2022.ini","outputs\rdmc_money_ready_gate_repair_executable_package\configs\004_rdmc_mrgr_exec_w02_m1_broad_middle_2019_2022.ini","rdmc_mrgr_exec_w02_m1_broad_middle_2019_2022","outputs\rdmc_money_ready_gate_repair_executable_package\reports_here\rdmc_mrgr_exec_w02_m1_broad_middle_2019_2022","8A2D3B36ACD6A7B754B20A5D8AF8A98ED2F2AFD739B03CC3EE1A82BD8C2E3E3E","104F1B2D77876FA9856C8BECF7BF2D81DAB187F54BF3ED12C07493BCD6F6D6C8","6819B714FFD10AF59EB5A8F0C187066041E845B7DEB89AB114A19246C8673E2D","0.01","1.2","80","5","0","0","4","Reject unless every disjoint broad era is profitable with PF>=1.20, sufficient activity, and equity drawdown<=5%.","LOCKED_LOCAL_LAUNCH_DISABLED"
"5","5","2","wave_02_m1_broad","broad","rdmc_money_ready_gate_repair_v1","rdmc_money_ready_gate_repair_v1","frozen_gate_repair","recent_2023_2026","2023.01.01","2026.07.12","1","10000","10000","outputs\rdmc_money_ready_gate_repair_executable_package\configs\005_rdmc_mrgr_exec_w02_m1_broad_recent_2023_2026.ini","outputs\rdmc_money_ready_gate_repair_executable_package\configs\005_rdmc_mrgr_exec_w02_m1_broad_recent_2023_2026.ini","rdmc_mrgr_exec_w02_m1_broad_recent_2023_2026","outputs\rdmc_money_ready_gate_repair_executable_package\reports_here\rdmc_mrgr_exec_w02_m1_broad_recent_2023_2026","8A2D3B36ACD6A7B754B20A5D8AF8A98ED2F2AFD739B03CC3EE1A82BD8C2E3E3E","104F1B2D77876FA9856C8BECF7BF2D81DAB187F54BF3ED12C07493BCD6F6D6C8","199558F67A30100607163C7DD5B779FB9796F3F1D53E4761373BDCFF5476C98F","0.01","1.2","30","5","0","0","4","Reject unless every disjoint broad era is profitable with PF>=1.20, sufficient activity, and equity drawdown<=5%.","LOCKED_LOCAL_LAUNCH_DISABLED"
"6","6","2","wave_02_m1_broad","continuous","rdmc_money_ready_gate_repair_v1","rdmc_money_ready_gate_repair_v1","frozen_gate_repair","continuous_2015_2026","2015.01.01","2026.07.12","1","10000","10000","outputs\rdmc_money_ready_gate_repair_executable_package\configs\006_rdmc_mrgr_exec_w02_m1_continuous_continuous_2015_2026.ini","outputs\rdmc_money_ready_gate_repair_executable_package\configs\006_rdmc_mrgr_exec_w02_m1_continuous_continuous_2015_2026.ini","rdmc_mrgr_exec_w02_m1_continuous_continuous_2015_2026","outputs\rdmc_money_ready_gate_repair_executable_package\reports_here\rdmc_mrgr_exec_w02_m1_continuous_continuous_2015_2026","8A2D3B36ACD6A7B754B20A5D8AF8A98ED2F2AFD739B03CC3EE1A82BD8C2E3E3E","104F1B2D77876FA9856C8BECF7BF2D81DAB187F54BF3ED12C07493BCD6F6D6C8","7DBE67E1798C65BE05787C18705DA7E7FCFD057CEAE522611C33CB26D9EB8E06","0.01","1.25","250","5","2","0.75","4","Model1 is triage only: require net>0, PF>=1.25, >=250 trades, <=5% drawdown, >=2 recovery, and >=0.75% CAGR.","LOCKED_LOCAL_LAUNCH_DISABLED"
"7","7","3","wave_03_m4_critical","critical","rdmc_money_ready_gate_repair_v1","rdmc_money_ready_gate_repair_v1","frozen_gate_repair","2019","2019.01.01","2019.12.31","4","10000","10000","outputs\rdmc_money_ready_gate_repair_executable_package\configs\007_rdmc_mrgr_exec_w03_m4_critical_2019.ini","outputs\rdmc_money_ready_gate_repair_executable_package\configs\007_rdmc_mrgr_exec_w03_m4_critical_2019.ini","rdmc_mrgr_exec_w03_m4_critical_2019","outputs\rdmc_money_ready_gate_repair_executable_package\reports_here\rdmc_mrgr_exec_w03_m4_critical_2019","8A2D3B36ACD6A7B754B20A5D8AF8A98ED2F2AFD739B03CC3EE1A82BD8C2E3E3E","104F1B2D77876FA9856C8BECF7BF2D81DAB187F54BF3ED12C07493BCD6F6D6C8","F230F18487C259740E974C120FE9348558462DEB22D1459C8C02FD1A6038FBC9","0.01","1.05","15","3","0","0","2","Reject immediately unless net>0, PF>=1.05, trades meet the frozen floor, and equity drawdown<=3%.","LOCKED_LOCAL_LAUNCH_DISABLED"
"8","8","3","wave_03_m4_critical","critical","rdmc_money_ready_gate_repair_v1","rdmc_money_ready_gate_repair_v1","frozen_gate_repair","2022","2022.01.01","2022.12.31","4","10000","10000","outputs\rdmc_money_ready_gate_repair_executable_package\configs\008_rdmc_mrgr_exec_w03_m4_critical_2022.ini","outputs\rdmc_money_ready_gate_repair_executable_package\configs\008_rdmc_mrgr_exec_w03_m4_critical_2022.ini","rdmc_mrgr_exec_w03_m4_critical_2022","outputs\rdmc_money_ready_gate_repair_executable_package\reports_here\rdmc_mrgr_exec_w03_m4_critical_2022","8A2D3B36ACD6A7B754B20A5D8AF8A98ED2F2AFD739B03CC3EE1A82BD8C2E3E3E","104F1B2D77876FA9856C8BECF7BF2D81DAB187F54BF3ED12C07493BCD6F6D6C8","BFF60E02A0C5FCF8BF3360A62CCF9806C1C8338AF78CE30AE82F7F281772F39E","0.01","1.05","20","3","0","0","2","Reject immediately unless net>0, PF>=1.05, trades meet the frozen floor, and equity drawdown<=3%.","LOCKED_LOCAL_LAUNCH_DISABLED"
"9","9","4","wave_04_m4_broad","broad","rdmc_money_ready_gate_repair_v1","rdmc_money_ready_gate_repair_v1","frozen_gate_repair","older_2015_2018","2015.01.01","2018.12.31","4","10000","10000","outputs\rdmc_money_ready_gate_repair_executable_package\configs\009_rdmc_mrgr_exec_w04_m4_broad_older_2015_2018.ini","outputs\rdmc_money_ready_gate_repair_executable_package\configs\009_rdmc_mrgr_exec_w04_m4_broad_older_2015_2018.ini","rdmc_mrgr_exec_w04_m4_broad_older_2015_2018","outputs\rdmc_money_ready_gate_repair_executable_package\reports_here\rdmc_mrgr_exec_w04_m4_broad_older_2015_2018","8A2D3B36ACD6A7B754B20A5D8AF8A98ED2F2AFD739B03CC3EE1A82BD8C2E3E3E","104F1B2D77876FA9856C8BECF7BF2D81DAB187F54BF3ED12C07493BCD6F6D6C8","A66CC18E050199F592D5C641D23B71B6A07178708725A9CF0000D22B6D4C92C6","0.01","1.2","80","5","0","0","4","Reject unless every disjoint broad era is profitable with PF>=1.20, sufficient activity, and equity drawdown<=5%.","LOCKED_LOCAL_LAUNCH_DISABLED"
"10","10","4","wave_04_m4_broad","broad","rdmc_money_ready_gate_repair_v1","rdmc_money_ready_gate_repair_v1","frozen_gate_repair","middle_2019_2022","2019.01.01","2022.12.31","4","10000","10000","outputs\rdmc_money_ready_gate_repair_executable_package\configs\010_rdmc_mrgr_exec_w04_m4_broad_middle_2019_2022.ini","outputs\rdmc_money_ready_gate_repair_executable_package\configs\010_rdmc_mrgr_exec_w04_m4_broad_middle_2019_2022.ini","rdmc_mrgr_exec_w04_m4_broad_middle_2019_2022","outputs\rdmc_money_ready_gate_repair_executable_package\reports_here\rdmc_mrgr_exec_w04_m4_broad_middle_2019_2022","8A2D3B36ACD6A7B754B20A5D8AF8A98ED2F2AFD739B03CC3EE1A82BD8C2E3E3E","104F1B2D77876FA9856C8BECF7BF2D81DAB187F54BF3ED12C07493BCD6F6D6C8","D54552D0E5F8E554EF3AC084451CE7D65B28125CC2C2D38E69AFAFF13F7B5626","0.01","1.2","80","5","0","0","4","Reject unless every disjoint broad era is profitable with PF>=1.20, sufficient activity, and equity drawdown<=5%.","LOCKED_LOCAL_LAUNCH_DISABLED"
