TestWindow,EntryTime,ExitTime,EntryYear,Side,Profit,RiskR,SignalBarTime,SignalHigh,SignalLow,ATR20,SignalRangeATR,Pass_srg_min100,Pass_srg_min125_center,Pass_srg_min150
2019,2019-01-03T09:00:00,2019-01-03T12:34:45,2019,buy,-10.3,-1.015779,2019-01-03T08:00:00,1292.24,1289.37,2.866500,1.001221,True,False,False
2019,2019-01-14T11:00:00,2019-01-14T15:39:40,2019,buy,-12.03,-1,2019-01-14T10:00:00,1294.07,1292.01,2.119500,0.971927,False,False,False
2019,2019-01-23T11:00:00,2019-01-23T15:16:19,2019,buy,-13.92,-1.002882,2019-01-23T10:00:00,1286.37,1284.03,1.608000,1.455224,True,True,False
2019,2019-01-25T10:00:00,2019-01-25T16:16:56,2019,buy,28.08,2,2019-01-25T09:00:00,1285.03,1283.28,1.819000,0.962067,False,False,False
2019,2019-01-29T09:00:00,2019-01-29T15:11:48,2019,buy,26.1,2.007692,2019-01-29T08:00:00,1306.38,1303.97,1.686500,1.428995,True,True,False
2019,2019-01-31T16:00:00,2019-01-31T19:00:00,2019,buy,-8.3,-0.719237,2019-01-31T15:00:00,1326.25,1322.72,2.495500,1.414546,True,True,False
2019,2019-02-15T12:00:00,2019-02-15T18:00:00,2019,buy,-4.86,-0.364045,2019-02-15T11:00:00,1316.02,1314.27,2.217000,0.789355,False,False,False
2019,2019-03-06T09:00:00,2019-03-06T11:07:31,2019,buy,-14.91,-1.006073,2019-03-06T08:00:00,1290.58,1287.52,2.085500,1.467274,True,True,False
2019,2019-03-13T11:00:00,2019-03-14T03:12:44,2019,buy,-0.15,-0.011161,2019-03-13T10:00:00,1306.95,1303.85,1.889000,1.641080,True,True,True
2019,2019-03-22T16:00:00,2019-03-26T07:00:00,2019,buy,9.84,0.947977,2019-03-22T15:00:00,1314.92,1309.64,2.512000,2.101911,True,True,True
2019,2019-04-08T15:00:01,2019-04-08T15:50:51,2019,buy,26.46,2.022936,2019-04-08T14:00:00,1298.33,1297.15,1.389000,0.849532,False,False,False
2019,2019-04-30T13:00:00,2019-04-30T15:40:09,2019,buy,-13.64,-1.027108,2019-04-30T12:00:00,1285.36,1283.56,1.422000,1.265823,True,True,False
2019,2019-05-31T10:00:00,2019-05-31T17:40:10,2019,buy,26.16,2,2019-05-31T09:00:00,1294.55,1291.75,2.052500,1.364190,True,True,False
2019,2019-06-03T11:00:00,2019-06-04T06:00:00,2019,buy,16.67,1.290248,2019-06-03T10:00:00,1315.32,1309.36,2.870000,2.076655,True,True,True
2019,2019-06-14T06:00:00,2019-06-14T16:00:00,2019,buy,3.38,0.303957,2019-06-14T05:00:00,1347.85,1343.62,2.373000,1.782554,True,True,True
2019,2019-07-30T13:00:00,2019-07-31T05:00:00,2019,buy,-1.49,-0.121138,2019-07-30T12:00:00,1429.15,1426.15,2.613000,1.148106,True,False,False
2019,2019-08-05T16:00:00,2019-08-05T18:06:25,2019,buy,-8.2,-1.034048,2019-08-05T15:00:00,1463.55,1458.86,4.540000,1.033040,True,False,False
2019,2019-08-13T10:00:00,2019-08-13T15:04:57,2019,buy,0.84,0.098707,2019-08-13T09:00:00,1524.64,1518.23,4.368000,1.467491,True,True,False
2019,2019-08-28T15:00:00,2019-08-28T16:50:34,2019,buy,-7.99,-1,2019-08-28T14:00:00,1545.92,1542.14,3.840000,0.984375,False,False,False
2019,2019-08-29T10:00:00,2019-08-29T11:00:10,2019,buy,-9.22,-1.005453,2019-08-29T09:00:00,1550.30,1543.79,3.834500,1.697744,True,True,True
2019,2019-09-20T09:00:00,2019-09-20T15:00:00,2019,buy,-12.2,-0.925645,2019-09-20T08:00:00,1505.94,1503.23,2.751000,0.985096,False,False,False
2019,2019-09-23T17:00:00,2019-09-24T03:00:00,2019,buy,-3.81,-0.287764,2019-09-23T16:00:00,1522.46,1516.99,3.702000,1.477580,True,True,False
2019,2019-10-14T13:00:00,2019-10-15T10:00:00,2019,buy,-4.31,-0.458511,2019-10-14T12:00:00,1496.18,1489.84,4.209500,1.506117,True,True,True
2019,2019-10-23T10:00:00,2019-10-24T11:00:00,2019,buy,-6.95,-0.595544,2019-10-23T09:00:00,1491.52,1488.09,2.125000,1.614118,True,True,True
2019,2019-10-25T11:00:00,2019-10-25T18:17:20,2019,buy,1.16,0.100346,2019-10-25T10:00:00,1506.91,1504.27,2.588000,1.020093,True,False,False
