"QueueRank","Wave","Role","Candidate","Profile","Set","Window","From","To","Model","Deposit","InitialDeposit","PackageConfig","SourceConfig","ExpectedReportName","ReportDestination","ProfileSha256","SourceSha256","ConfigSha256","MinNetProfit","MinProfitFactor","MinTrades","MaxDrawdownPercent","MinRecoveryFactor","MinCagrPercent","MaxParallelism","StopRule","Status"
"1","1","annual","rdmc_tiered_momentum_v7_annual","rdmc_tiered_momentum_v7","frozen_tiered_momentum","2017","2017.01.01","2017.12.31","4","10000","10000","outputs\rdmc_tiered_momentum_v7_annual_package\configs\001_rdmc_tmv7a_w01_m4_annual_2017.ini","outputs\rdmc_tiered_momentum_v7_annual_package\configs\001_rdmc_tmv7a_w01_m4_annual_2017.ini","rdmc_tmv7a_w01_m4_annual_2017","outputs\rdmc_tiered_momentum_v7_annual_package\reports_here\rdmc_tmv7a_w01_m4_annual_2017","6E2EF7B031FF30216876E0232A8CE9D6BFC9F7913A863103DC9B12C1A04A100C","27CAD37CD903032335DA570CDEC75AC39C2EA6BEF04CA264D1586EDC866F6AF6","2474DB83ADC5D8475E8B26A8AD59958E89A0E913C44E015FCC13F554C0A49723","0.01","1","1","3","0","0","1","Every independent annual restart must be profitable with PF at least 1.0 and drawdown no higher than 3%.","FROZEN_STAGED_GATE"
"2","1","annual","rdmc_tiered_momentum_v7_annual","rdmc_tiered_momentum_v7","frozen_tiered_momentum","2025","2025.01.01","2025.12.31","4","10000","10000","outputs\rdmc_tiered_momentum_v7_annual_package\configs\002_rdmc_tmv7a_w01_m4_annual_2025.ini","outputs\rdmc_tiered_momentum_v7_annual_package\configs\002_rdmc_tmv7a_w01_m4_annual_2025.ini","rdmc_tmv7a_w01_m4_annual_2025","outputs\rdmc_tiered_momentum_v7_annual_package\reports_here\rdmc_tmv7a_w01_m4_annual_2025","6E2EF7B031FF30216876E0232A8CE9D6BFC9F7913A863103DC9B12C1A04A100C","27CAD37CD903032335DA570CDEC75AC39C2EA6BEF04CA264D1586EDC866F6AF6","7B5FAC6CA2C1262F727B9B30263F4CA22ECAE1191F38F7A0E62D32509F6459C3","0.01","1","1","3","0","0","1","Every independent annual restart must be profitable with PF at least 1.0 and drawdown no higher than 3%.","FROZEN_STAGED_GATE"
"3","2","annual","rdmc_tiered_momentum_v7_annual","rdmc_tiered_momentum_v7","frozen_tiered_momentum","2015","2015.01.01","2015.12.31","4","10000","10000","outputs\rdmc_tiered_momentum_v7_annual_package\configs\003_rdmc_tmv7a_w02_m4_annual_2015.ini","outputs\rdmc_tiered_momentum_v7_annual_package\configs\003_rdmc_tmv7a_w02_m4_annual_2015.ini","rdmc_tmv7a_w02_m4_annual_2015","outputs\rdmc_tiered_momentum_v7_annual_package\reports_here\rdmc_tmv7a_w02_m4_annual_2015","6E2EF7B031FF30216876E0232A8CE9D6BFC9F7913A863103DC9B12C1A04A100C","27CAD37CD903032335DA570CDEC75AC39C2EA6BEF04CA264D1586EDC866F6AF6","A39AD6FD856DAF8E364FF63FFA92EE88A3E71BC78650F5531EC7623C54937320","0.01","1","1","3","0","0","1","Every independent annual restart must be profitable with PF at least 1.0 and drawdown no higher than 3%.","FROZEN_STAGED_GATE"
"4","2","annual","rdmc_tiered_momentum_v7_annual","rdmc_tiered_momentum_v7","frozen_tiered_momentum","2016","2016.01.01","2016.12.31","4","10000","10000","outputs\rdmc_tiered_momentum_v7_annual_package\configs\004_rdmc_tmv7a_w02_m4_annual_2016.ini","outputs\rdmc_tiered_momentum_v7_annual_package\configs\004_rdmc_tmv7a_w02_m4_annual_2016.ini","rdmc_tmv7a_w02_m4_annual_2016","outputs\rdmc_tiered_momentum_v7_annual_package\reports_here\rdmc_tmv7a_w02_m4_annual_2016","6E2EF7B031FF30216876E0232A8CE9D6BFC9F7913A863103DC9B12C1A04A100C","27CAD37CD903032335DA570CDEC75AC39C2EA6BEF04CA264D1586EDC866F6AF6","5D435EFD44666E55C2BECE640182698220D29A8ED766E99104971BD33E3D1C91","0.01","1","1","3","0","0","1","Every independent annual restart must be profitable with PF at least 1.0 and drawdown no higher than 3%.","FROZEN_STAGED_GATE"
"5","2","annual","rdmc_tiered_momentum_v7_annual","rdmc_tiered_momentum_v7","frozen_tiered_momentum","2018","2018.01.01","2018.12.31","4","10000","10000","outputs\rdmc_tiered_momentum_v7_annual_package\configs\005_rdmc_tmv7a_w02_m4_annual_2018.ini","outputs\rdmc_tiered_momentum_v7_annual_package\configs\005_rdmc_tmv7a_w02_m4_annual_2018.ini","rdmc_tmv7a_w02_m4_annual_2018","outputs\rdmc_tiered_momentum_v7_annual_package\reports_here\rdmc_tmv7a_w02_m4_annual_2018","6E2EF7B031FF30216876E0232A8CE9D6BFC9F7913A863103DC9B12C1A04A100C","27CAD37CD903032335DA570CDEC75AC39C2EA6BEF04CA264D1586EDC866F6AF6","1304C0AF9E3F129C765C669813C7F74A5B4596C9B6F7A0747E372A99B1AB50B3","0.01","1","1","3","0","0","1","Every independent annual restart must be profitable with PF at least 1.0 and drawdown no higher than 3%.","FROZEN_STAGED_GATE"
"6","2","annual","rdmc_tiered_momentum_v7_annual","rdmc_tiered_momentum_v7","frozen_tiered_momentum","2019","2019.01.01","2019.12.31","4","10000","10000","outputs\rdmc_tiered_momentum_v7_annual_package\configs\006_rdmc_tmv7a_w02_m4_annual_2019.ini","outputs\rdmc_tiered_momentum_v7_annual_package\configs\006_rdmc_tmv7a_w02_m4_annual_2019.ini","rdmc_tmv7a_w02_m4_annual_2019","outputs\rdmc_tiered_momentum_v7_annual_package\reports_here\rdmc_tmv7a_w02_m4_annual_2019","6E2EF7B031FF30216876E0232A8CE9D6BFC9F7913A863103DC9B12C1A04A100C","27CAD37CD903032335DA570CDEC75AC39C2EA6BEF04CA264D1586EDC866F6AF6","1E19CDA3AC3574267BB872E9FE37ABEACFDBFABDEA304828C3EF7D3D8A4CA2EA","0.01","1","1","3","0","0","1","Every independent annual restart must be profitable with PF at least 1.0 and drawdown no higher than 3%.","FROZEN_STAGED_GATE"
"7","2","annual","rdmc_tiered_momentum_v7_annual","rdmc_tiered_momentum_v7","frozen_tiered_momentum","2020","2020.01.01","2020.12.31","4","10000","10000","outputs\rdmc_tiered_momentum_v7_annual_package\configs\007_rdmc_tmv7a_w02_m4_annual_2020.ini","outputs\rdmc_tiered_momentum_v7_annual_package\configs\007_rdmc_tmv7a_w02_m4_annual_2020.ini","rdmc_tmv7a_w02_m4_annual_2020","outputs\rdmc_tiered_momentum_v7_annual_package\reports_here\rdmc_tmv7a_w02_m4_annual_2020","6E2EF7B031FF30216876E0232A8CE9D6BFC9F7913A863103DC9B12C1A04A100C","27CAD37CD903032335DA570CDEC75AC39C2EA6BEF04CA264D1586EDC866F6AF6","856A7F661D2011C3B97B597A19BC8DB3DBB30E5CB515DAA10E68704251165CDF","0.01","1","1","3","0","0","1","Every independent annual restart must be profitable with PF at least 1.0 and drawdown no higher than 3%.","FROZEN_STAGED_GATE"
"8","2","annual","rdmc_tiered_momentum_v7_annual","rdmc_tiered_momentum_v7","frozen_tiered_momentum","2021","2021.01.01","2021.12.31","4","10000","10000","outputs\rdmc_tiered_momentum_v7_annual_package\configs\008_rdmc_tmv7a_w02_m4_annual_2021.ini","outputs\rdmc_tiered_momentum_v7_annual_package\configs\008_rdmc_tmv7a_w02_m4_annual_2021.ini","rdmc_tmv7a_w02_m4_annual_2021","outputs\rdmc_tiered_momentum_v7_annual_package\reports_here\rdmc_tmv7a_w02_m4_annual_2021","6E2EF7B031FF30216876E0232A8CE9D6BFC9F7913A863103DC9B12C1A04A100C","27CAD37CD903032335DA570CDEC75AC39C2EA6BEF04CA264D1586EDC866F6AF6","AF81A0CD8C8C75F137B0ABAC7747D9BBB1EA0C52203FE8A870D1705E8FFEA4CA","0.01","1","1","3","0","0","1","Every independent annual restart must be profitable with PF at least 1.0 and drawdown no higher than 3%.","FROZEN_STAGED_GATE"
"9","2","annual","rdmc_tiered_momentum_v7_annual","rdmc_tiered_momentum_v7","frozen_tiered_momentum","2022","2022.01.01","2022.12.31","4","10000","10000","outputs\rdmc_tiered_momentum_v7_annual_package\configs\009_rdmc_tmv7a_w02_m4_annual_2022.ini","outputs\rdmc_tiered_momentum_v7_annual_package\configs\009_rdmc_tmv7a_w02_m4_annual_2022.ini","rdmc_tmv7a_w02_m4_annual_2022","outputs\rdmc_tiered_momentum_v7_annual_package\reports_here\rdmc_tmv7a_w02_m4_annual_2022","6E2EF7B031FF30216876E0232A8CE9D6BFC9F7913A863103DC9B12C1A04A100C","27CAD37CD903032335DA570CDEC75AC39C2EA6BEF04CA264D1586EDC866F6AF6","EFAFBFB75366445D24C6B3F978104CE980B302E0EEF71B191448E0DF968AA9EC","0.01","1","1","3","0","0","1","Every independent annual restart must be profitable with PF at least 1.0 and drawdown no higher than 3%.","FROZEN_STAGED_GATE"
"10","2","annual","rdmc_tiered_momentum_v7_annual","rdmc_tiered_momentum_v7","frozen_tiered_momentum","2023","2023.01.01","2023.12.31","4","10000","10000","outputs\rdmc_tiered_momentum_v7_annual_package\configs\010_rdmc_tmv7a_w02_m4_annual_2023.ini","outputs\rdmc_tiered_momentum_v7_annual_package\configs\010_rdmc_tmv7a_w02_m4_annual_2023.ini","rdmc_tmv7a_w02_m4_annual_2023","outputs\rdmc_tiered_momentum_v7_annual_package\reports_here\rdmc_tmv7a_w02_m4_annual_2023","6E2EF7B031FF30216876E0232A8CE9D6BFC9F7913A863103DC9B12C1A04A100C","27CAD37CD903032335DA570CDEC75AC39C2EA6BEF04CA264D1586EDC866F6AF6","2274EBCD83A25E459C0EF111699D3E5D62908D645ECBC50DB12DA21EB8FC2292","0.01","1","1","3","0","0","1","Every independent annual restart must be profitable with PF at least 1.0 and drawdown no higher than 3%.","FROZEN_STAGED_GATE"
