QueueRank,Wave,Window,Model,GatePass,Reasons,NetProfit,ProfitFactor,TotalTrades,MaxDrawdownPercent,RecoveryFactor
1,1,older_2015_2018,1,True,PASS,168.74,1.53,65,1.52,1.091
2,1,middle_2019_2022,1,True,PASS,544.51,2.45,85,0.96,5.5939
3,1,recent_2023_2026,1,True,PASS,469.03,2.73,47,1.67,2.733
4,1,continuous_2015_2026,1,True,PASS,1227.6,2.23,200,1.51,7.3925
5,2,2019,4,True,PASS,5.56,1.09,20,0.38,0.1448
6,2,2022,4,True,PASS,81.29,1.98,20,0.51,1.5723
7,3,older_2015_2018,4,True,PASS,169.01,1.53,65,1.52,1.0926
8,3,middle_2019_2022,4,True,PASS,496.35,2.4,77,1.06,4.6176
9,3,recent_2023_2026,4,True,PASS,398.25,2.47,46,1.68,2.3084
10,3,continuous_2015_2026,4,True,PASS,1124.66,2.19,190,1.52,6.7361
