"QueueRank","Wave","Role","Candidate","Profile","Set","Window","From","To","Model","Deposit","InitialDeposit","PackageConfig","SourceConfig","ExpectedReportName","ReportDestination","ProfileSha256","SourceSha256","ConfigSha256","MinNetProfit","MinProfitFactor","MinTrades","MaxDrawdownPercent","MinRecoveryFactor","MinCagrPercent","MaxParallelism","StopRule","Status"
"1","1","broad","rdmc_tiered_momentum_v7_broad","rdmc_tiered_momentum_v7","frozen_tiered_momentum","older_2015_2018","2015.01.01","2018.12.31","1","10000","10000","outputs\rdmc_tiered_momentum_v7_broad_package\configs\001_rdmc_tmv7b_w01_m1_broad_older_2015_2018.ini","outputs\rdmc_tiered_momentum_v7_broad_package\configs\001_rdmc_tmv7b_w01_m1_broad_older_2015_2018.ini","rdmc_tmv7b_w01_m1_broad_older_2015_2018","outputs\rdmc_tiered_momentum_v7_broad_package\reports_here\rdmc_tmv7b_w01_m1_broad_older_2015_2018","6E2EF7B031FF30216876E0232A8CE9D6BFC9F7913A863103DC9B12C1A04A100C","27CAD37CD903032335DA570CDEC75AC39C2EA6BEF04CA264D1586EDC866F6AF6","1EE1DDD14208A6EEF3D629E2ECD7CB69C1AC04FED798CA765EB8D3DE0C7DAAA8","0.01","1.15","60","3","1","0","1","Reject the exact identity if any completed row is red or fails its frozen quality, activity, drawdown, recovery, or CAGR floor.","FROZEN_STAGED_GATE"
"2","1","broad","rdmc_tiered_momentum_v7_broad","rdmc_tiered_momentum_v7","frozen_tiered_momentum","middle_2019_2022","2019.01.01","2022.12.31","1","10000","10000","outputs\rdmc_tiered_momentum_v7_broad_package\configs\002_rdmc_tmv7b_w01_m1_broad_middle_2019_2022.ini","outputs\rdmc_tiered_momentum_v7_broad_package\configs\002_rdmc_tmv7b_w01_m1_broad_middle_2019_2022.ini","rdmc_tmv7b_w01_m1_broad_middle_2019_2022","outputs\rdmc_tiered_momentum_v7_broad_package\reports_here\rdmc_tmv7b_w01_m1_broad_middle_2019_2022","6E2EF7B031FF30216876E0232A8CE9D6BFC9F7913A863103DC9B12C1A04A100C","27CAD37CD903032335DA570CDEC75AC39C2EA6BEF04CA264D1586EDC866F6AF6","0664E327183CE636D831BBA1566117CEFEB961B7505DA369296997C66F11928E","0.01","1.1","50","3","0.5","0","1","Reject the exact identity if any completed row is red or fails its frozen quality, activity, drawdown, recovery, or CAGR floor.","FROZEN_STAGED_GATE"
"3","1","broad","rdmc_tiered_momentum_v7_broad","rdmc_tiered_momentum_v7","frozen_tiered_momentum","recent_2023_2026","2023.01.01","2026.07.12","1","10000","10000","outputs\rdmc_tiered_momentum_v7_broad_package\configs\003_rdmc_tmv7b_w01_m1_broad_recent_2023_2026.ini","outputs\rdmc_tiered_momentum_v7_broad_package\configs\003_rdmc_tmv7b_w01_m1_broad_recent_2023_2026.ini","rdmc_tmv7b_w01_m1_broad_recent_2023_2026","outputs\rdmc_tiered_momentum_v7_broad_package\reports_here\rdmc_tmv7b_w01_m1_broad_recent_2023_2026","6E2EF7B031FF30216876E0232A8CE9D6BFC9F7913A863103DC9B12C1A04A100C","27CAD37CD903032335DA570CDEC75AC39C2EA6BEF04CA264D1586EDC866F6AF6","36D5026D869937DD6E0A803EDA3024875A7B29A5B6D97E650A842E412E99E45C","0.01","1.1","40","3","0.5","0","1","Reject the exact identity if any completed row is red or fails its frozen quality, activity, drawdown, recovery, or CAGR floor.","FROZEN_STAGED_GATE"
"4","1","continuous","rdmc_tiered_momentum_v7_broad","rdmc_tiered_momentum_v7","frozen_tiered_momentum","continuous_2015_2026","2015.01.01","2026.07.12","1","10000","10000","outputs\rdmc_tiered_momentum_v7_broad_package\configs\004_rdmc_tmv7b_w01_m1_continuous_continuous_2015_2026.ini","outputs\rdmc_tiered_momentum_v7_broad_package\configs\004_rdmc_tmv7b_w01_m1_continuous_continuous_2015_2026.ini","rdmc_tmv7b_w01_m1_continuous_continuous_2015_2026","outputs\rdmc_tiered_momentum_v7_broad_package\reports_here\rdmc_tmv7b_w01_m1_continuous_continuous_2015_2026","6E2EF7B031FF30216876E0232A8CE9D6BFC9F7913A863103DC9B12C1A04A100C","27CAD37CD903032335DA570CDEC75AC39C2EA6BEF04CA264D1586EDC866F6AF6","F947B5627091E41C0C4EC0DD9C1214AB77CAFC2ACA694AFB6D22EF5DE20DED67","0.01","1.2","160","4","1.5","0.25","1","Reject the exact identity if any completed row is red or fails its frozen quality, activity, drawdown, recovery, or CAGR floor.","FROZEN_STAGED_GATE"
"5","2","critical","rdmc_tiered_momentum_v7_broad","rdmc_tiered_momentum_v7","frozen_tiered_momentum","2019","2019.01.01","2019.12.31","4","10000","10000","outputs\rdmc_tiered_momentum_v7_broad_package\configs\005_rdmc_tmv7b_w02_m4_critical_2019.ini","outputs\rdmc_tiered_momentum_v7_broad_package\configs\005_rdmc_tmv7b_w02_m4_critical_2019.ini","rdmc_tmv7b_w02_m4_critical_2019","outputs\rdmc_tiered_momentum_v7_broad_package\reports_here\rdmc_tmv7b_w02_m4_critical_2019","6E2EF7B031FF30216876E0232A8CE9D6BFC9F7913A863103DC9B12C1A04A100C","27CAD37CD903032335DA570CDEC75AC39C2EA6BEF04CA264D1586EDC866F6AF6","4DA0A06DF79112561F104F8BCA18F79AE51D216FD3D95C17576DBE913084F030","0.01","1.05","15","3","0","0","1","Reject the exact identity if any completed row is red or fails its frozen quality, activity, drawdown, recovery, or CAGR floor.","FROZEN_STAGED_GATE"
"6","2","critical","rdmc_tiered_momentum_v7_broad","rdmc_tiered_momentum_v7","frozen_tiered_momentum","2022","2022.01.01","2022.12.31","4","10000","10000","outputs\rdmc_tiered_momentum_v7_broad_package\configs\006_rdmc_tmv7b_w02_m4_critical_2022.ini","outputs\rdmc_tiered_momentum_v7_broad_package\configs\006_rdmc_tmv7b_w02_m4_critical_2022.ini","rdmc_tmv7b_w02_m4_critical_2022","outputs\rdmc_tiered_momentum_v7_broad_package\reports_here\rdmc_tmv7b_w02_m4_critical_2022","6E2EF7B031FF30216876E0232A8CE9D6BFC9F7913A863103DC9B12C1A04A100C","27CAD37CD903032335DA570CDEC75AC39C2EA6BEF04CA264D1586EDC866F6AF6","D17FE59FFF218B7BCCCC7949EE9170892A62EA8BA5295CC8B62F813A47768E8A","0.01","1.05","15","3","0","0","1","Reject the exact identity if any completed row is red or fails its frozen quality, activity, drawdown, recovery, or CAGR floor.","FROZEN_STAGED_GATE"
"7","3","broad","rdmc_tiered_momentum_v7_broad","rdmc_tiered_momentum_v7","frozen_tiered_momentum","older_2015_2018","2015.01.01","2018.12.31","4","10000","10000","outputs\rdmc_tiered_momentum_v7_broad_package\configs\007_rdmc_tmv7b_w03_m4_broad_older_2015_2018.ini","outputs\rdmc_tiered_momentum_v7_broad_package\configs\007_rdmc_tmv7b_w03_m4_broad_older_2015_2018.ini","rdmc_tmv7b_w03_m4_broad_older_2015_2018","outputs\rdmc_tiered_momentum_v7_broad_package\reports_here\rdmc_tmv7b_w03_m4_broad_older_2015_2018","6E2EF7B031FF30216876E0232A8CE9D6BFC9F7913A863103DC9B12C1A04A100C","27CAD37CD903032335DA570CDEC75AC39C2EA6BEF04CA264D1586EDC866F6AF6","73CA274DE61920DA5DB5B539017E4C1C244B8422FC3EE39CCD01ADD29728F9AE","0.01","1.15","60","4","1","0","1","Reject the exact identity if any completed row is red or fails its frozen quality, activity, drawdown, recovery, or CAGR floor.","FROZEN_STAGED_GATE"
"8","3","broad","rdmc_tiered_momentum_v7_broad","rdmc_tiered_momentum_v7","frozen_tiered_momentum","middle_2019_2022","2019.01.01","2022.12.31","4","10000","10000","outputs\rdmc_tiered_momentum_v7_broad_package\configs\008_rdmc_tmv7b_w03_m4_broad_middle_2019_2022.ini","outputs\rdmc_tiered_momentum_v7_broad_package\configs\008_rdmc_tmv7b_w03_m4_broad_middle_2019_2022.ini","rdmc_tmv7b_w03_m4_broad_middle_2019_2022","outputs\rdmc_tiered_momentum_v7_broad_package\reports_here\rdmc_tmv7b_w03_m4_broad_middle_2019_2022","6E2EF7B031FF30216876E0232A8CE9D6BFC9F7913A863103DC9B12C1A04A100C","27CAD37CD903032335DA570CDEC75AC39C2EA6BEF04CA264D1586EDC866F6AF6","7054E56317BE491D0375AF410EEFD22519776BCE3F1E53EFDC3E988A0C481A9F","0.01","1.15","50","4","0.75","0","1","Reject the exact identity if any completed row is red or fails its frozen quality, activity, drawdown, recovery, or CAGR floor.","FROZEN_STAGED_GATE"
"9","3","broad","rdmc_tiered_momentum_v7_broad","rdmc_tiered_momentum_v7","frozen_tiered_momentum","recent_2023_2026","2023.01.01","2026.07.12","4","10000","10000","outputs\rdmc_tiered_momentum_v7_broad_package\configs\009_rdmc_tmv7b_w03_m4_broad_recent_2023_2026.ini","outputs\rdmc_tiered_momentum_v7_broad_package\configs\009_rdmc_tmv7b_w03_m4_broad_recent_2023_2026.ini","rdmc_tmv7b_w03_m4_broad_recent_2023_2026","outputs\rdmc_tiered_momentum_v7_broad_package\reports_here\rdmc_tmv7b_w03_m4_broad_recent_2023_2026","6E2EF7B031FF30216876E0232A8CE9D6BFC9F7913A863103DC9B12C1A04A100C","27CAD37CD903032335DA570CDEC75AC39C2EA6BEF04CA264D1586EDC866F6AF6","28793385F56BC0BDC4BA7603CAA00E884907BE056715C7FB0580BC92712FB12D","0.01","1.15","40","4","0.75","0","1","Reject the exact identity if any completed row is red or fails its frozen quality, activity, drawdown, recovery, or CAGR floor.","FROZEN_STAGED_GATE"
"10","3","continuous","rdmc_tiered_momentum_v7_broad","rdmc_tiered_momentum_v7","frozen_tiered_momentum","continuous_2015_2026","2015.01.01","2026.07.12","4","10000","10000","outputs\rdmc_tiered_momentum_v7_broad_package\configs\010_rdmc_tmv7b_w03_m4_continuous_continuous_2015_2026.ini","outputs\rdmc_tiered_momentum_v7_broad_package\configs\010_rdmc_tmv7b_w03_m4_continuous_continuous_2015_2026.ini","rdmc_tmv7b_w03_m4_continuous_continuous_2015_2026","outputs\rdmc_tiered_momentum_v7_broad_package\reports_here\rdmc_tmv7b_w03_m4_continuous_continuous_2015_2026","6E2EF7B031FF30216876E0232A8CE9D6BFC9F7913A863103DC9B12C1A04A100C","27CAD37CD903032335DA570CDEC75AC39C2EA6BEF04CA264D1586EDC866F6AF6","860E1D8A11F302CD8611D4AAA7AA22EEB82E405B95EA37E7BB104218E7C1F406","0.01","1.2","160","4","1.5","0.25","1","Reject the exact identity if any completed row is red or fails its frozen quality, activity, drawdown, recovery, or CAGR floor.","FROZEN_STAGED_GATE"
