EntryTime,Lane,Volume,EntryBalance,InitialRiskMoney,InitialRiskPercent,HardCapPercent,Pass,EntryComment
2015-07-31T14:00:00,momentum,0.01,10000.00,5.42,0.0542,0.10,True,MTSM_SELL
2015-11-04T01:45:00,daily_donchian,0.01,9994.57,22.09,0.2210,0.50,True,DDB;DDB;Daily Donchian sell;AD
2015-12-07T16:00:00,momentum,0.01,10027.76,4.24,0.0423,0.10,True,MTSM_SELL
2015-12-23T11:00:00,momentum,0.01,10036.28,4.47,0.0445,0.10,True,MTSM_SELL
2016-01-13T12:00:00,momentum,0.02,10036.46,9.38,0.0935,0.10,True,MTSM_SELL
2016-01-25T10:00:00,momentum,0.01,10027.08,4.99,0.0498,0.10,True,MTSM_BUY
2016-02-04T02:30:00,daily_donchian,0.01,10036.94,20.46,0.2038,0.50,True,DDB;DDB;Daily Donchian buy;ADX
2016-04-29T11:00:00,momentum,0.01,10125.41,6.64,0.0656,0.10,True,MTSM_BUY
2016-06-08T10:00:00,momentum,0.01,10138.69,4.02,0.0397,0.10,True,MTSM_BUY
2016-06-29T09:00:00,momentum,0.01,10146.81,5.62,0.0554,0.10,True,MTSM_BUY
2016-07-27T16:00:00,momentum,0.01,10142.94,4.90,0.0483,0.10,True,MTSM_BUY
2016-10-18T10:00:00,momentum,0.01,10152.73,4.83,0.0476,0.10,True,MTSM_BUY
2016-11-02T09:00:00,momentum,0.01,10149.63,5.56,0.0548,0.10,True,MTSM_BUY
2016-11-22T06:00:00,momentum,0.01,10160.75,5.16,0.0508,0.10,True,MTSM_BUY
2016-12-05T17:00:00,momentum,0.01,10157.79,6.27,0.0617,0.10,True,MTSM_SELL
2016-12-15T17:00:00,momentum,0.01,10151.52,8.36,0.0824,0.10,True,MTSM_SELL
2016-12-20T07:00:00,momentum,0.01,10148.91,4.52,0.0445,0.10,True,MTSM_SELL
2017-01-19T10:00:00,momentum,0.02,10157.95,8.80,0.0866,0.10,True,MTSM_SELL
2017-01-25T06:00:00,momentum,0.01,10149.11,4.48,0.0441,0.10,True,MTSM_SELL
2017-01-27T09:00:00,momentum,0.01,10158.06,4.89,0.0481,0.10,True,MTSM_SELL
2017-02-10T10:00:00,momentum,0.01,10153.14,4.16,0.0410,0.10,True,MTSM_SELL
2017-02-16T16:00:00,band_vwap_reversion,0.1,10148.98,32.90,0.3242,0.50,True,RRO;Band VWAP reversion;Upper-
2017-02-24T01:05:00,daily_donchian,0.01,10116.08,19.35,0.1913,0.50,True,DDB;DDB;Daily Donchian buy;ADX
2017-03-07T12:00:00,momentum,0.01,10099.72,3.09,0.0306,0.10,True,MTSM_SELL
2017-03-08T10:00:00,momentum,0.01,10105.91,4.92,0.0487,0.10,True,MTSM_SELL
2017-03-09T11:00:00,momentum,0.03,10115.61,9.30,0.0919,0.10,True,MTSM_SELL
2017-03-10T01:05:00,daily_donchian,0.01,10106.28,18.39,0.1820,0.50,True,DDB;DDB;Daily Donchian sell;AD
2017-03-28T10:00:00,momentum,0.01,10087.73,3.27,0.0324,0.10,True,MTSM_SELL
2017-03-30T16:00:00,momentum,0.01,10084.46,3.77,0.0374,0.10,True,MTSM_SELL
2017-04-12T01:05:00,daily_donchian,0.01,10091.98,18.19,0.1802,0.50,True,DDB;DDB;Daily Donchian buy;ADX
2017-06-05T01:05:00,daily_donchian,0.01,10079.52,19.22,0.1907,0.50,True,DDB;DDB;Daily Donchian buy;ADX
2017-06-14T09:00:00,momentum,0.03,10059.26,9.54,0.0948,0.10,True,MTSM_BUY
2017-07-10T01:05:00,daily_donchian,0.01,10051.16,17.77,0.1768,0.50,True,DDB;DDB;Daily Donchian sell;AD
2017-07-27T01:05:00,daily_donchian,0.01,10033.10,17.86,0.1780,0.50,True,DDB;DDB;Daily Donchian buy;ADX
2017-09-19T17:00:00,momentum,0.01,10073.71,4.04,0.0401,0.10,True,MTSM_BUY
2017-10-12T07:00:00,momentum,0.01,10069.66,3.84,0.0381,0.10,True,MTSM_BUY
2017-11-15T12:00:00,momentum,0.01,10068.39,5.18,0.0514,0.10,True,MTSM_BUY
2017-11-20T01:05:00,daily_donchian,0.01,10063.20,17.83,0.1772,0.50,True,DDB;DDB;Daily Donchian buy;ADX
2017-12-12T01:05:00,daily_donchian,0.01,10045.36,17.99,0.1791,0.50,True,DDB;DDB;Daily Donchian sell;AD
2018-01-03T04:45:00,daily_donchian,0.01,10027.12,14.96,0.1492,0.50,True,DDB;DDB;Daily Donchian buy;ADX
2018-02-06T08:00:00,momentum,0.01,10041.24,7.92,0.0789,0.10,True,MTSM_BUY
2018-02-15T11:00:00,momentum,0.01,10038.39,4.82,0.0480,0.10,True,MTSM_BUY
2018-03-01T07:00:00,momentum,0.02,10033.56,7.12,0.0710,0.10,True,MTSM_SELL
2018-03-08T17:00:00,momentum,0.01,10047.86,4.90,0.0488,0.10,True,MTSM_SELL
2018-03-23T11:00:00,momentum,0.02,10050.66,8.68,0.0864,0.10,True,MTSM_BUY
2018-03-26T01:45:00,daily_donchian,0.01,10067.75,21.20,0.2106,0.50,True,DDB;DDB;Daily Donchian buy;ADX
2018-04-02T10:00:00,momentum,0.02,10046.29,4.80,0.0478,0.10,True,MTSM_BUY
2018-04-11T13:00:00,momentum,0.01,10055.91,4.49,0.0447,0.10,True,MTSM_BUY
2018-05-08T18:00:00,band_vwap_reversion,0.1,10064.88,24.60,0.2444,0.50,True,RRO;Band VWAP reversion;Lower-
2018-05-23T09:00:00,momentum,0.01,10111.28,4.33,0.0428,0.10,True,MTSM_SELL
2018-05-24T16:00:00,momentum,0.01,10106.95,3.46,0.0342,0.10,True,MTSM_BUY
2018-06-07T16:00:00,momentum,0.01,10113.87,4.32,0.0427,0.10,True,MTSM_BUY
2018-06-18T01:05:00,daily_donchian,0.01,10109.52,16.19,0.1601,0.50,True,DDB;DDB;Daily Donchian sell;AD
2018-09-10T08:00:00,momentum,0.01,10177.72,3.46,0.0340,0.10,True,MTSM_SELL
2018-09-28T10:00:00,momentum,0.01,10174.25,3.93,0.0386,0.10,True,MTSM_SELL
2018-10-08T11:00:00,momentum,0.01,10170.30,3.58,0.0352,0.10,True,MTSM_SELL
2018-10-17T06:00:00,momentum,0.01,10177.47,3.56,0.0350,0.10,True,MTSM_SELL
2018-10-29T09:00:00,momentum,0.01,10173.91,4.97,0.0489,0.10,True,MTSM_SELL
2018-11-05T19:00:00,momentum,0.02,10183.81,7.06,0.0693,0.10,True,MTSM_SELL
2018-11-08T07:00:00,momentum,0.01,10179.28,3.52,0.0346,0.10,True,MTSM_SELL
2018-11-12T01:30:00,daily_donchian,0.01,10175.75,18.32,0.1800,0.50,True,DDB;DDB;Daily Donchian sell;AD
2018-11-30T13:00:00,momentum,0.01,10157.04,3.11,0.0306,0.10,True,MTSM_SELL
2018-12-05T07:00:00,momentum,0.02,10157.34,8.40,0.0827,0.10,True,MTSM_SELL
2018-12-14T10:00:00,momentum,0.01,10151.80,4.03,0.0397,0.10,True,MTSM_SELL
2018-12-21T01:05:00,daily_donchian,0.01,10150.13,16.17,0.1593,0.50,True,DDB;DDB;Daily Donchian buy;ADX
2019-01-28T01:30:02,daily_donchian,0.01,10168.12,15.15,0.1490,0.50,True,DDB;DDB;Daily Donchian buy;ADX
2019-02-15T12:00:00,momentum,0.01,10172.61,4.45,0.0437,0.10,True,MTSM_BUY
2019-03-06T09:00:00,momentum,0.01,10170.99,4.94,0.0486,0.10,True,MTSM_BUY
2019-03-15T13:00:01,momentum,0.02,10166.02,9.18,0.0903,0.10,True,MTSM_BUY
2019-03-25T15:00:00,momentum,0.01,10160.21,3.79,0.0373,0.10,True,MTSM_BUY
2019-04-03T08:00:00,momentum,0.03,10160.18,9.96,0.0980,0.10,True,MTSM_BUY
2019-04-22T06:00:14,momentum,0.02,10154.75,7.34,0.0723,0.10,True,MTSM_BUY
2019-06-03T08:00:00,momentum,0.02,10147.23,9.24,0.0911,0.10,True,MTSM_BUY
2019-06-14T09:00:00,momentum,0.02,10165.89,10.06,0.0990,0.10,True,MTSM_BUY
