"EntryTime","ExitTime","EntryYear","EntryMonth","EntryHour","DayOfWeek","Symbol","Side","Volume","EntryPrice","ExitPrice","InitialStop","InitialTarget","InitialRiskMoney","RiskR","HoldMinutes","Profit","Winner","EntrySubtype","EntryComment","ExitComment"
"2015-07-31T14:00:00","2015-07-31T15:30:40","2015","7","14","Friday","XAUUSD","sell","0.01","1081.12","1086.55","1086.54","1070.27","5.42","-1.001845","90.67","-5.43","False","other","MTSM_SELL","sl 1086.54"
"2015-11-04T01:45:00","2015-12-07T01:05:00","2015","11","1","Wednesday","XAUUSD","sell","0.01","1119.99","1085.2","1142.08",,"22.09","1.50249","47480","33.19","True","other","DDB;DDB;Daily Donchian sell;AD",""
"2015-12-07T16:00:00","2015-12-08T01:05:00","2015","12","16","Monday","XAUUSD","sell","0.01","1079.93","1071.36","1084.17","1071.44","4.24","2.009434","545","8.52","True","other","MTSM_SELL","tp 1071.44"
"2015-12-23T11:00:00","2015-12-24T01:05:00","2015","12","11","Wednesday","XAUUSD","sell","0.01","1071.16","1070.84","1075.63","1062.21","4.47","0.040268","845","0.18","True","other","MTSM_SELL",""
"2016-01-13T12:00:00","2016-01-13T16:16:37","2016","1","12","Wednesday","XAUUSD","sell","0.02","1081.16","1085.85","1085.85","1071.78","9.38","-1","256.62","-9.38","False","other","MTSM_SELL","sl 1085.85"
"2016-01-25T10:00:00","2016-01-26T08:44:20","2016","1","10","Monday","XAUUSD","buy","0.01","1104.27","1114.26","1099.28","1114.24","4.99","1.975952","1364.33","9.86","True","other","MTSM_BUY","tp 1114.24"
"2016-02-04T02:30:00","2016-03-15T01:05:00","2016","2","2","Thursday","XAUUSD","buy","0.01","1141.82","1235.18","1121.36",,"20.46","4.324047","57515","88.47","True","other","DDB;DDB;Daily Donchian buy;ADX",""
"2016-04-29T11:00:00","2016-04-29T17:55:14","2016","4","11","Friday","XAUUSD","buy","0.01","1277.27","1290.55","1270.63","1290.55","6.64","2","415.23","13.28","True","other","MTSM_BUY","tp 1290.55"
"2016-06-08T10:00:00","2016-06-08T16:01:59","2016","6","10","Wednesday","XAUUSD","buy","0.01","1250.52","1258.64","1246.5","1258.55","4.02","2.0199","361.98","8.12","True","other","MTSM_BUY","tp 1258.55"
"2016-06-29T09:00:00","2016-06-29T14:00:00","2016","6","9","Wednesday","XAUUSD","buy","0.01","1321.06","1317.19","1315.44","1332.29","5.62","-0.688612","300","-3.87","False","other","MTSM_BUY",""
"2016-07-27T16:00:00","2016-07-27T21:49:37","2016","7","16","Wednesday","XAUUSD","buy","0.01","1323.05","1332.84","1318.15","1332.84","4.9","1.997959","349.62","9.79","True","other","MTSM_BUY","tp 1332.84"
"2016-10-18T10:00:00","2016-10-18T16:00:00","2016","10","10","Tuesday","XAUUSD","buy","0.01","1262.23","1259.13","1257.4","1271.89","4.83","-0.641822","360","-3.1","False","other","MTSM_BUY",""
"2016-11-02T09:00:00","2016-11-02T18:17:40","2016","11","9","Wednesday","XAUUSD","buy","0.01","1294.22","1305.34","1288.66","1305.33","5.56","2","557.67","11.12","True","other","MTSM_BUY","tp 1305.33"
"2016-11-22T06:00:00","2016-11-22T09:00:00","2016","11","6","Tuesday","XAUUSD","buy","0.01","1218.2","1215.24","1213.04","1228.52","5.16","-0.573643","180","-2.96","False","other","MTSM_BUY",""
"2016-12-05T17:00:00","2016-12-05T19:38:39","2016","12","17","Monday","XAUUSD","sell","0.01","1164.24","1170.51","1170.51","1151.71","6.27","-1","158.65","-6.27","False","other","MTSM_SELL","sl 1170.51"
"2016-12-15T17:00:00","2016-12-16T08:00:00","2016","12","17","Thursday","XAUUSD","sell","0.01","1129.34","1131.9","1137.7","1112.63","8.36","-0.312201","900","-2.61","False","other","MTSM_SELL",""
"2016-12-20T07:00:00","2016-12-20T16:39:16","2016","12","7","Tuesday","XAUUSD","sell","0.01","1135.44","1126.4","1139.96","1126.4","4.52","2","579.27","9.04","True","other","MTSM_SELL","tp 1126.40"
"2017-01-19T10:00:00","2017-01-19T11:01:17","2017","1","10","Thursday","XAUUSD","sell","0.02","1199.45","1203.87","1203.85","1190.66","8.8","-1.004545","61.28","-8.84","False","other","MTSM_SELL","sl 1203.85"
"2017-01-25T06:00:00","2017-01-25T16:23:41","2017","1","6","Wednesday","XAUUSD","sell","0.01","1205.49","1196.54","1209.97","1196.54","4.48","1.997768","623.68","8.95","True","other","MTSM_SELL","tp 1196.54"
"2017-01-27T09:00:00","2017-01-27T15:30:42","2017","1","9","Friday","XAUUSD","sell","0.01","1181.99","1186.91","1186.88","1172.21","4.89","-1.006135","390.7","-4.92","False","other","MTSM_SELL","sl 1186.88"
"2017-02-10T10:00:00","2017-02-10T11:47:04","2017","2","10","Friday","XAUUSD","sell","0.01","1221.86","1226.02","1226.02","1213.55","4.16","-1","107.07","-4.16","False","other","MTSM_SELL","sl 1226.02"
"2017-02-16T16:00:00","2017-02-16T16:53:05","2017","2","16","Thursday","XAUUSD","sell","0.1","1236.47","1239.76","1239.76","1229.64","32.9","-1","53.08","-32.9","False","other","RRO;Band VWAP reversion;Upper-","sl 1239.76"
"2017-02-24T01:05:00","2017-03-03T01:05:00","2017","2","1","Friday","XAUUSD","buy","0.01","1249.66","1234.2","1230.31",,"19.35","-0.845478","10080","-16.36","False","other","DDB;DDB;Daily Donchian buy;ADX",""
"2017-03-07T12:00:00","2017-03-07T16:33:36","2017","3","12","Tuesday","XAUUSD","sell","0.01","1223.33","1217.14","1226.42","1217.15","3.09","2.003236","273.6","6.19","True","other","MTSM_SELL","tp 1217.15"
"2017-03-08T10:00:00","2017-03-09T10:46:42","2017","3","10","Wednesday","XAUUSD","sell","0.01","1213.67","1203.83","1218.59","1203.83","4.92","1.971545","1486.7","9.7","True","other","MTSM_SELL","tp 1203.83"
"2017-03-09T11:00:00","2017-03-09T14:22:29","2017","3","11","Thursday","XAUUSD","sell","0.03","1204.11","1207.22","1207.21","1197.91","9.3","-1.003226","202.48","-9.33","False","other","MTSM_SELL","sl 1207.21"
