"Dimension","Segment","Trades","NetProfit","GrossProfit","GrossLoss","ProfitFactor","WinRatePercent","AverageProfit","AverageHoldMinutes"
"Overall","all","190","1124.66","2068.31","943.65","2.1918","43.16","5.92","3306.6"
"EntrySubtype","liquidity_sweep","1","8.9","8.9","0","INF","100","8.9","76.25"
"EntrySubtype","other","188","1140.76","2059.41","918.65","2.2418","43.09","6.07","3341.31"
"EntrySubtype","trend_fallback","1","-25","0","25","0","0","-25","11.55"
"EntryHour","1","15","-22.2","164.48","186.68","0.8811","33.33","-1.48","25181.87"
"EntryHour","10","24","28.66","96.6","67.94","1.4218","45.83","1.19","433.92"
"EntryHour","11","11","15.92","50.01","34.09","1.467","54.55","1.45","634.13"
"EntryHour","12","13","46.65","83.19","36.54","2.2767","53.85","3.59","346.26"
"EntryHour","13","11","68.91","129.03","60.12","2.1462","45.45","6.26","818.76"
"EntryHour","14","10","-1.02","57.65","58.67","0.9826","40","-0.1","167.32"
"EntryHour","15","6","-28.26","27.41","55.67","0.4924","33.33","-4.71","361.75"
"EntryHour","16","9","1.98","44.6","42.62","1.0465","66.67","0.22","396.97"
"EntryHour","17","8","59.71","80.97","21.26","3.8086","37.5","7.46","435.46"
"EntryHour","18","4","261.65","267.57","5.92","45.1976","75","65.41","1037.01"
"EntryHour","19","5","60.88","80.84","19.96","4.0501","20","12.18","954.67"
"EntryHour","2","1","88.47","88.47","0","INF","100","88.47","57515"
"EntryHour","20","2","43.19","86.03","42.84","2.0082","50","21.6","1589.66"
"EntryHour","21","1","79.76","79.76","0","INF","100","79.76","657.4"
"EntryHour","22","1","89.36","89.36","0","INF","100","89.36","1906.98"
"EntryHour","3","2","279.51","279.51","0","INF","100","139.76","1606.92"
"EntryHour","4","1","14.12","14.12","0","INF","100","14.12","47300"
"EntryHour","5","2","-46.5","0","46.5","0","0","-23.25","174.88"
"EntryHour","6","15","-46.32","29.86","76.18","0.392","20","-3.09","370.93"
"EntryHour","7","15","96.73","145.44","48.71","2.9858","40","6.45","678.44"
"EntryHour","8","15","64.94","109.01","44.07","2.4736","40","4.33","4260.59"
"EntryHour","9","19","-31.48","64.4","95.88","0.6717","36.84","-1.66","317.69"
"EntryYear","2015","4","36.46","41.89","5.43","7.7145","75","9.12","12240.17"
"EntryYear","2016","13","121.49","149.68","28.19","5.3097","53.85","9.35","4869.11"
"EntryYear","2017","22","-130.83","72.97","203.8","0.358","22.73","-5.95","6681.15"
"EntryYear","2018","26","141","223.78","82.78","2.7033","50","5.42","8515.55"
"EntryYear","2019","20","57.58","115.35","57.77","1.9967","35","2.88","4293.96"
"EntryYear","2020","12","1.06","54.98","53.92","1.0197","50","0.09","1476.16"
"EntryYear","2021","25","416.67","555.59","138.92","3.9994","40","16.67","455.48"
"EntryYear","2022","20","62.85","149.03","86.18","1.7293","40","3.14","536.65"
"EntryYear","2023","23","239.35","316.1","76.75","4.1186","52.17","10.41","454.01"
"EntryYear","2024","17","51.48","220.34","168.86","1.3049","47.06","3.03","448"
"EntryYear","2025","7","-10.16","30.89","41.05","0.7525","28.57","-1.45","178.26"
"EntryYear","2026","1","137.71","137.71","0","INF","100","137.71","2587.25"
"EntryMonth","1","12","-6.73","50.53","57.26","0.8825","41.67","-0.56","5442.75"
"EntryMonth","10","21","426.72","481.08","54.36","8.8499","47.62","20.32","581.69"
"EntryMonth","11","21","197.95","292.74","94.79","3.0883","52.38","9.43","3472.68"
"EntryMonth","12","26","46.37","204.48","158.11","1.2933","50","1.78","4582.54"
"EntryMonth","2","20","-10.68","137.13","147.81","0.9277","30","-0.53","4268.41"
"EntryMonth","3","20","-32.87","97.99","130.86","0.7488","45","-1.64","1317.35"
"EntryMonth","4","10","-27.75","31.87","59.62","0.5346","30","-2.78","2308.32"
"EntryMonth","5","11","-2.16","55.01","57.17","0.9622","36.36","-0.2","555.82"
"EntryMonth","6","18","179.77","260.04","80.27","3.2396","38.89","9.99","6555.32"
"EntryMonth","7","13","142.64","204.64","62","3.3006","38.46","10.97","7085.42"
"EntryMonth","8","2","5.81","8.9","3.09","2.8803","50","2.9","128.12"
"EntryMonth","9","16","205.59","243.9","38.31","6.3665","50","12.85","461.18"
"Side","buy","115","796.16","1282.24","486.08","2.6379","44.35","6.92","3597.92"
"Side","sell","75","328.5","786.07","457.57","1.7179","41.33","4.38","2859.91"
"DayOfWeek","Friday","28","113.48","261.67","148.19","1.7658","39.29","4.05","5029.93"
"DayOfWeek","Monday","40","317.26","531.64","214.38","2.4799","42.5","7.93","4251.33"
"DayOfWeek","Thursday","44","139.68","363.29","223.61","1.6247","45.45","3.17","3754.21"
"DayOfWeek","Tuesday","34","196","404.7","208.7","1.9391","41.18","5.76","511.72"
"DayOfWeek","Wednesday","44","358.24","507.01","148.77","3.408","45.45","8.14","3063.18"
