"Rank","Priority","Profile","Phase","Set","Window","From","To","Status","NetProfit","Balance","TesterNetProfit","TesterBalance","ProfitFactor","RecoveryFactor","SharpeRatio","EquityDrawdownPct","Trades","LogTimestamp","TesterStatsTimestamp","RunnerStatus","Evidence"
"1","","dec_islp_off","quarterly","quarterly","2024_Q1","2024.01.01","2024.03.31","PARSED_FROM_LOG","1497.84","2497.84","1497.84","2497.84","0.0000","5.0663","18.5907","14.0452","4","2026-07-12T17:03:51","2026-07-12T17:03:51","NO_REPORT","Tester finished but no report file was found for realtick_islp_lowatr_orderflow_quarterly_dec_islp_off_2024_Q1."
"2","","dec_islp_off","quarterly","quarterly","2024_Q2","2024.04.01","2024.06.30","PARSED_FROM_LOG","214.91","1214.91","214.91","1214.91","1.9815","0.3948","1.4006","30.9408","3","2026-07-12T17:04:04","2026-07-12T17:04:04","NO_REPORT","Tester finished but no report file was found for realtick_islp_lowatr_orderflow_quarterly_dec_islp_off_2024_Q2."
"3","","dec_islp_off","quarterly","quarterly","2024_Q3","2024.07.01","2024.09.30","PARSED_FROM_LOG","69.16","1069.16","69.16","1069.16","1.8386","0.9881","2.9738","6.3996","5","2026-07-12T17:04:22","2026-07-12T17:04:22","NO_REPORT","Tester finished but no report file was found for realtick_islp_lowatr_orderflow_quarterly_dec_islp_off_2024_Q3."
"4","","dec_islp_off","quarterly","quarterly","2024_Q4","2024.10.01","2024.12.31","PARSED_FROM_LOG","-44.64","955.36","-44.64","955.36","0.0000","-0.9789","0.0000","4.5556","1","2026-07-12T17:04:36","2026-07-12T17:04:36","NO_REPORT","Tester finished but no report file was found for realtick_islp_lowatr_orderflow_quarterly_dec_islp_off_2024_Q4."
"5","","dec_islp_off","quarterly","quarterly","2025_Q1","2025.01.01","2025.03.31","PARSED_FROM_LOG","214.3","1214.3","214.30","1214.30","4.9648","1.2977","2.9236","11.9715","3","2026-07-12T17:04:51","2026-07-12T17:04:51","NO_REPORT","Tester finished but no report file was found for realtick_islp_lowatr_orderflow_quarterly_dec_islp_off_2025_Q1."
"6","","dec_islp_off","quarterly","quarterly","2025_Q2","2025.04.01","2025.06.30","PARSED_FROM_LOG","0","1000","0.00","1000.00","0.0000","0.0000","0.0000","0.0000","0","2026-07-12T17:05:05","2026-07-12T17:05:05","NO_REPORT","Tester finished but no report file was found for realtick_islp_lowatr_orderflow_quarterly_dec_islp_off_2025_Q2."
"7","","dec_islp_off","quarterly","quarterly","2025_Q3","2025.07.01","2025.09.30","PARSED_FROM_LOG","20.86","1020.86","20.86","1020.86","1.6773","0.2582","0.3990","7.3344","3","2026-07-12T17:05:17","2026-07-12T17:05:17","NO_REPORT","Tester finished but no report file was found for realtick_islp_lowatr_orderflow_quarterly_dec_islp_off_2025_Q3."
"8","","dec_islp_off","quarterly","quarterly","2025_Q4","2025.10.01","2025.12.31","PARSED_FROM_LOG","196","1196","196.00","1196.00","5.1315","3.3153","4.0704","5.1701","4","2026-07-12T17:05:35","2026-07-12T17:05:35","NO_REPORT","Tester finished but no report file was found for realtick_islp_lowatr_orderflow_quarterly_dec_islp_off_2025_Q4."
"9","","dec_islp_off","quarterly","quarterly","2026_Q1","2026.01.01","2026.03.31","PARSED_FROM_LOG","1023.95","2023.95","1023.95","2023.95","20.0893","2.8122","5.4969","15.5501","9","2026-07-12T17:06:07","2026-07-12T17:06:07","NO_REPORT","Tester finished but no report file was found for realtick_islp_lowatr_orderflow_quarterly_dec_islp_off_2026_Q1."
"10","","dec_islp_off","quarterly","quarterly","2026_Q2","2026.04.01","2026.06.30","PARSED_FROM_LOG","229.11","1229.11","229.11","1229.11","1.4914","0.4914","0.3731","27.4994","2","2026-07-12T17:06:32","2026-07-12T17:06:32","NO_REPORT","Tester finished but no report file was found for realtick_islp_lowatr_orderflow_quarterly_dec_islp_off_2026_Q2."
