"Window","From","To","NetProfit","ReturnPercent","ProfitFactor","Trades","MaxDrawdownPercent","MaxConsecutiveLosses","RecoveryFactor","NonNegativePass","DrawdownPass","LossStreakPass"
"year_2015","2015.01.01","2015.12.31","85.73","0.86","1.57","20","0.87","3","0.9774","True","True","True"
"year_2016","2016.01.01","2016.12.31","161.69","1.62","1.83","35","0.5","4","3.2338","True","True","True"
"year_2017","2017.01.01","2017.12.31","168.93","1.69","1.55","45","0.96","5","1.7392","True","True","True"
"year_2018","2018.01.01","2018.12.31","227.16","2.27","1.98","47","0.57","3","3.8606","True","True","True"
"year_2019","2019.01.01","2019.12.31","-3.77","-0.04","0.98","32","0.84","6","-0.0445","False","True","True"
"year_2020","2020.01.01","2020.12.31","166.06","1.66","1.91","26","0.65","3","2.5039","True","True","True"
"year_2021","2021.01.01","2021.12.31","338.63","3.39","2.65","29","1.16","8","2.925","True","True","True"
"year_2022","2022.01.01","2022.12.31","-92.78","-0.93","0.57","35","1.04","4","-0.8933","False","True","True"
"year_2023","2023.01.01","2023.12.31","160.8","1.61","1.66","40","1.24","6","1.2781","True","True","True"
"year_2024","2024.01.01","2024.12.31","239.93","2.4","2.53","29","1.04","4","2.2669","True","True","True"
"year_2025","2025.01.01","2025.12.31","17.78","0.18","2.91","3","0.12","1","1.4235","True","True","True"
"year_2026_ytd","2026.01.01","2026.07.16","71.47","0.71","0","1","0.55","0","1.288","True","True","True"
