"QueueRank","Candidate","Window","From","To","Model","Deposit","Config","ExpectedReportName","ProfileSnapshot","ProfileSha256","SourceSha256","Model4ContractSha256","AnnualContractSha256","StopRule"
"1","rdmc_di10_cap12_center","year_2015","2015.01.01","2015.12.31","4","10000","configs\001_rdmc_di10_cap12_center_year_2015_m4.ini","rdmc_di10_cap12_center_year_2015_m4","profiles\rdmc_di10_cap12_center.set","BC3ED745E8CEF680BF6785597044A7A24E488E1F45E498E1AC4EC7BCE3B5AEFC","8B1761EC5F1310C0A961DE30495D4CF52969490A97392721B21424F7D7B8DA2B","5CB8F52B08B9883E2BF0CC980C70B8D8ED99194D75508298696C4B009B0ADB4A","77AF52DAD7DF99F2AC4BD4340A3B20AD78F4DCB89EAAE59F941F0384402F4087","No negative year; >=10 positive years; summed trades>=300; every DD<=2.50%; every max loss streak<=8."
"2","rdmc_di10_cap12_center","year_2016","2016.01.01","2016.12.31","4","10000","configs\002_rdmc_di10_cap12_center_year_2016_m4.ini","rdmc_di10_cap12_center_year_2016_m4","profiles\rdmc_di10_cap12_center.set","BC3ED745E8CEF680BF6785597044A7A24E488E1F45E498E1AC4EC7BCE3B5AEFC","8B1761EC5F1310C0A961DE30495D4CF52969490A97392721B21424F7D7B8DA2B","5CB8F52B08B9883E2BF0CC980C70B8D8ED99194D75508298696C4B009B0ADB4A","77AF52DAD7DF99F2AC4BD4340A3B20AD78F4DCB89EAAE59F941F0384402F4087","No negative year; >=10 positive years; summed trades>=300; every DD<=2.50%; every max loss streak<=8."
"3","rdmc_di10_cap12_center","year_2017","2017.01.01","2017.12.31","4","10000","configs\003_rdmc_di10_cap12_center_year_2017_m4.ini","rdmc_di10_cap12_center_year_2017_m4","profiles\rdmc_di10_cap12_center.set","BC3ED745E8CEF680BF6785597044A7A24E488E1F45E498E1AC4EC7BCE3B5AEFC","8B1761EC5F1310C0A961DE30495D4CF52969490A97392721B21424F7D7B8DA2B","5CB8F52B08B9883E2BF0CC980C70B8D8ED99194D75508298696C4B009B0ADB4A","77AF52DAD7DF99F2AC4BD4340A3B20AD78F4DCB89EAAE59F941F0384402F4087","No negative year; >=10 positive years; summed trades>=300; every DD<=2.50%; every max loss streak<=8."
"4","rdmc_di10_cap12_center","year_2018","2018.01.01","2018.12.31","4","10000","configs\004_rdmc_di10_cap12_center_year_2018_m4.ini","rdmc_di10_cap12_center_year_2018_m4","profiles\rdmc_di10_cap12_center.set","BC3ED745E8CEF680BF6785597044A7A24E488E1F45E498E1AC4EC7BCE3B5AEFC","8B1761EC5F1310C0A961DE30495D4CF52969490A97392721B21424F7D7B8DA2B","5CB8F52B08B9883E2BF0CC980C70B8D8ED99194D75508298696C4B009B0ADB4A","77AF52DAD7DF99F2AC4BD4340A3B20AD78F4DCB89EAAE59F941F0384402F4087","No negative year; >=10 positive years; summed trades>=300; every DD<=2.50%; every max loss streak<=8."
"5","rdmc_di10_cap12_center","year_2019","2019.01.01","2019.12.31","4","10000","configs\005_rdmc_di10_cap12_center_year_2019_m4.ini","rdmc_di10_cap12_center_year_2019_m4","profiles\rdmc_di10_cap12_center.set","BC3ED745E8CEF680BF6785597044A7A24E488E1F45E498E1AC4EC7BCE3B5AEFC","8B1761EC5F1310C0A961DE30495D4CF52969490A97392721B21424F7D7B8DA2B","5CB8F52B08B9883E2BF0CC980C70B8D8ED99194D75508298696C4B009B0ADB4A","77AF52DAD7DF99F2AC4BD4340A3B20AD78F4DCB89EAAE59F941F0384402F4087","No negative year; >=10 positive years; summed trades>=300; every DD<=2.50%; every max loss streak<=8."
"6","rdmc_di10_cap12_center","year_2020","2020.01.01","2020.12.31","4","10000","configs\006_rdmc_di10_cap12_center_year_2020_m4.ini","rdmc_di10_cap12_center_year_2020_m4","profiles\rdmc_di10_cap12_center.set","BC3ED745E8CEF680BF6785597044A7A24E488E1F45E498E1AC4EC7BCE3B5AEFC","8B1761EC5F1310C0A961DE30495D4CF52969490A97392721B21424F7D7B8DA2B","5CB8F52B08B9883E2BF0CC980C70B8D8ED99194D75508298696C4B009B0ADB4A","77AF52DAD7DF99F2AC4BD4340A3B20AD78F4DCB89EAAE59F941F0384402F4087","No negative year; >=10 positive years; summed trades>=300; every DD<=2.50%; every max loss streak<=8."
"7","rdmc_di10_cap12_center","year_2021","2021.01.01","2021.12.31","4","10000","configs\007_rdmc_di10_cap12_center_year_2021_m4.ini","rdmc_di10_cap12_center_year_2021_m4","profiles\rdmc_di10_cap12_center.set","BC3ED745E8CEF680BF6785597044A7A24E488E1F45E498E1AC4EC7BCE3B5AEFC","8B1761EC5F1310C0A961DE30495D4CF52969490A97392721B21424F7D7B8DA2B","5CB8F52B08B9883E2BF0CC980C70B8D8ED99194D75508298696C4B009B0ADB4A","77AF52DAD7DF99F2AC4BD4340A3B20AD78F4DCB89EAAE59F941F0384402F4087","No negative year; >=10 positive years; summed trades>=300; every DD<=2.50%; every max loss streak<=8."
"8","rdmc_di10_cap12_center","year_2022","2022.01.01","2022.12.31","4","10000","configs\008_rdmc_di10_cap12_center_year_2022_m4.ini","rdmc_di10_cap12_center_year_2022_m4","profiles\rdmc_di10_cap12_center.set","BC3ED745E8CEF680BF6785597044A7A24E488E1F45E498E1AC4EC7BCE3B5AEFC","8B1761EC5F1310C0A961DE30495D4CF52969490A97392721B21424F7D7B8DA2B","5CB8F52B08B9883E2BF0CC980C70B8D8ED99194D75508298696C4B009B0ADB4A","77AF52DAD7DF99F2AC4BD4340A3B20AD78F4DCB89EAAE59F941F0384402F4087","No negative year; >=10 positive years; summed trades>=300; every DD<=2.50%; every max loss streak<=8."
"9","rdmc_di10_cap12_center","year_2023","2023.01.01","2023.12.31","4","10000","configs\009_rdmc_di10_cap12_center_year_2023_m4.ini","rdmc_di10_cap12_center_year_2023_m4","profiles\rdmc_di10_cap12_center.set","BC3ED745E8CEF680BF6785597044A7A24E488E1F45E498E1AC4EC7BCE3B5AEFC","8B1761EC5F1310C0A961DE30495D4CF52969490A97392721B21424F7D7B8DA2B","5CB8F52B08B9883E2BF0CC980C70B8D8ED99194D75508298696C4B009B0ADB4A","77AF52DAD7DF99F2AC4BD4340A3B20AD78F4DCB89EAAE59F941F0384402F4087","No negative year; >=10 positive years; summed trades>=300; every DD<=2.50%; every max loss streak<=8."
"10","rdmc_di10_cap12_center","year_2024","2024.01.01","2024.12.31","4","10000","configs\010_rdmc_di10_cap12_center_year_2024_m4.ini","rdmc_di10_cap12_center_year_2024_m4","profiles\rdmc_di10_cap12_center.set","BC3ED745E8CEF680BF6785597044A7A24E488E1F45E498E1AC4EC7BCE3B5AEFC","8B1761EC5F1310C0A961DE30495D4CF52969490A97392721B21424F7D7B8DA2B","5CB8F52B08B9883E2BF0CC980C70B8D8ED99194D75508298696C4B009B0ADB4A","77AF52DAD7DF99F2AC4BD4340A3B20AD78F4DCB89EAAE59F941F0384402F4087","No negative year; >=10 positive years; summed trades>=300; every DD<=2.50%; every max loss streak<=8."
