"QueueRank","Candidate","Window","From","To","Model","Deposit","ExpectedReportName","Status","ReportPath","ProfileSha256","SourceSha256","Model4ContractSha256","AnnualContractSha256","InitialDeposit","NetProfit","Balance","TotalReturnPercent","AnnualizedReturnPercent","CagrPercent","ProfitFactor","ExpectedPayoff","SharpeRatio","WinRatePercent","TotalTrades","MaxConsecutiveLosses","MaxDrawdownMoney","MaxDrawdownPercent","BalanceDrawdownMaximal","EquityDrawdownMaximal","RecoveryFactor"
"1","rdmc_di10_cap12_center","year_2015","2015.01.01","2015.12.31","4","10000","rdmc_di10_cap12_center_year_2015_m4","PARSED","outputs\reversion_d1_momentum_cap_annual_model4_package\reports_here\rdmc_di10_cap12_center_year_2015_m4.htm","BC3ED745E8CEF680BF6785597044A7A24E488E1F45E498E1AC4EC7BCE3B5AEFC","8B1761EC5F1310C0A961DE30495D4CF52969490A97392721B21424F7D7B8DA2B","5CB8F52B08B9883E2BF0CC980C70B8D8ED99194D75508298696C4B009B0ADB4A","77AF52DAD7DF99F2AC4BD4340A3B20AD78F4DCB89EAAE59F941F0384402F4087","10000","85.73","10085.73","0.86","","","1.57","4.29","34.81","50","20","3","87.71","0.87","47.33","87.71","0.9774"
"2","rdmc_di10_cap12_center","year_2016","2016.01.01","2016.12.31","4","10000","rdmc_di10_cap12_center_year_2016_m4","PARSED","outputs\reversion_d1_momentum_cap_annual_model4_package\reports_here\rdmc_di10_cap12_center_year_2016_m4.htm","BC3ED745E8CEF680BF6785597044A7A24E488E1F45E498E1AC4EC7BCE3B5AEFC","8B1761EC5F1310C0A961DE30495D4CF52969490A97392721B21424F7D7B8DA2B","5CB8F52B08B9883E2BF0CC980C70B8D8ED99194D75508298696C4B009B0ADB4A","77AF52DAD7DF99F2AC4BD4340A3B20AD78F4DCB89EAAE59F941F0384402F4087","10000","161.69","10161.69","1.62","","","1.83","4.62","46.17","42.86","35","4","50","0.5","29.51","50","3.2338"
"3","rdmc_di10_cap12_center","year_2017","2017.01.01","2017.12.31","4","10000","rdmc_di10_cap12_center_year_2017_m4","PARSED","outputs\reversion_d1_momentum_cap_annual_model4_package\reports_here\rdmc_di10_cap12_center_year_2017_m4.htm","BC3ED745E8CEF680BF6785597044A7A24E488E1F45E498E1AC4EC7BCE3B5AEFC","8B1761EC5F1310C0A961DE30495D4CF52969490A97392721B21424F7D7B8DA2B","5CB8F52B08B9883E2BF0CC980C70B8D8ED99194D75508298696C4B009B0ADB4A","77AF52DAD7DF99F2AC4BD4340A3B20AD78F4DCB89EAAE59F941F0384402F4087","10000","168.93","10168.93","1.69","","","1.55","3.75","46.9","42.22","45","5","97.13","0.96","86.23","97.13","1.7392"
"4","rdmc_di10_cap12_center","year_2018","2018.01.01","2018.12.31","4","10000","rdmc_di10_cap12_center_year_2018_m4","PARSED","outputs\reversion_d1_momentum_cap_annual_model4_package\reports_here\rdmc_di10_cap12_center_year_2018_m4.htm","BC3ED745E8CEF680BF6785597044A7A24E488E1F45E498E1AC4EC7BCE3B5AEFC","8B1761EC5F1310C0A961DE30495D4CF52969490A97392721B21424F7D7B8DA2B","5CB8F52B08B9883E2BF0CC980C70B8D8ED99194D75508298696C4B009B0ADB4A","77AF52DAD7DF99F2AC4BD4340A3B20AD78F4DCB89EAAE59F941F0384402F4087","10000","227.16","10227.16","2.27","","","1.98","4.83","57.86","48.94","47","3","58.84","0.57","48.24","58.84","3.8606"
"5","rdmc_di10_cap12_center","year_2019","2019.01.01","2019.12.31","4","10000","rdmc_di10_cap12_center_year_2019_m4","PARSED","outputs\reversion_d1_momentum_cap_annual_model4_package\reports_here\rdmc_di10_cap12_center_year_2019_m4.htm","BC3ED745E8CEF680BF6785597044A7A24E488E1F45E498E1AC4EC7BCE3B5AEFC","8B1761EC5F1310C0A961DE30495D4CF52969490A97392721B21424F7D7B8DA2B","5CB8F52B08B9883E2BF0CC980C70B8D8ED99194D75508298696C4B009B0ADB4A","77AF52DAD7DF99F2AC4BD4340A3B20AD78F4DCB89EAAE59F941F0384402F4087","10000","-3.77","9996.23","-0.04","","","0.98","-0.12","-0.24","34.38","32","6","84.69","0.84","63.44","84.69","-0.0445"
"6","rdmc_di10_cap12_center","year_2020","2020.01.01","2020.12.31","4","10000","rdmc_di10_cap12_center_year_2020_m4","PARSED","outputs\reversion_d1_momentum_cap_annual_model4_package\reports_here\rdmc_di10_cap12_center_year_2020_m4.htm","BC3ED745E8CEF680BF6785597044A7A24E488E1F45E498E1AC4EC7BCE3B5AEFC","8B1761EC5F1310C0A961DE30495D4CF52969490A97392721B21424F7D7B8DA2B","5CB8F52B08B9883E2BF0CC980C70B8D8ED99194D75508298696C4B009B0ADB4A","77AF52DAD7DF99F2AC4BD4340A3B20AD78F4DCB89EAAE59F941F0384402F4087","10000","166.06","10166.06","1.66","","","1.91","6.39","8.09","46.15","26","3","66.32","0.65","53.2","66.32","2.5039"
"7","rdmc_di10_cap12_center","year_2021","2021.01.01","2021.12.31","4","10000","rdmc_di10_cap12_center_year_2021_m4","PARSED","outputs\reversion_d1_momentum_cap_annual_model4_package\reports_here\rdmc_di10_cap12_center_year_2021_m4.htm","BC3ED745E8CEF680BF6785597044A7A24E488E1F45E498E1AC4EC7BCE3B5AEFC","8B1761EC5F1310C0A961DE30495D4CF52969490A97392721B21424F7D7B8DA2B","5CB8F52B08B9883E2BF0CC980C70B8D8ED99194D75508298696C4B009B0ADB4A","77AF52DAD7DF99F2AC4BD4340A3B20AD78F4DCB89EAAE59F941F0384402F4087","10000","338.63","10338.63","3.39","","","2.65","11.68","85.25","31.03","29","8","115.77","1.16","79.58","115.77","2.925"
"8","rdmc_di10_cap12_center","year_2022","2022.01.01","2022.12.31","4","10000","rdmc_di10_cap12_center_year_2022_m4","PARSED","outputs\reversion_d1_momentum_cap_annual_model4_package\reports_here\rdmc_di10_cap12_center_year_2022_m4.htm","BC3ED745E8CEF680BF6785597044A7A24E488E1F45E498E1AC4EC7BCE3B5AEFC","8B1761EC5F1310C0A961DE30495D4CF52969490A97392721B21424F7D7B8DA2B","5CB8F52B08B9883E2BF0CC980C70B8D8ED99194D75508298696C4B009B0ADB4A","77AF52DAD7DF99F2AC4BD4340A3B20AD78F4DCB89EAAE59F941F0384402F4087","10000","-92.78","9907.22","-0.93","","","0.57","-2.65","-5","40","35","4","103.86","1.04","94.86","103.86","-0.8933"
"9","rdmc_di10_cap12_center","year_2023","2023.01.01","2023.12.31","4","10000","rdmc_di10_cap12_center_year_2023_m4","PARSED","outputs\reversion_d1_momentum_cap_annual_model4_package\reports_here\rdmc_di10_cap12_center_year_2023_m4.htm","BC3ED745E8CEF680BF6785597044A7A24E488E1F45E498E1AC4EC7BCE3B5AEFC","8B1761EC5F1310C0A961DE30495D4CF52969490A97392721B21424F7D7B8DA2B","5CB8F52B08B9883E2BF0CC980C70B8D8ED99194D75508298696C4B009B0ADB4A","77AF52DAD7DF99F2AC4BD4340A3B20AD78F4DCB89EAAE59F941F0384402F4087","10000","160.8","10160.8","1.61","","","1.66","4.02","29.28","45","40","6","125.81","1.24","76.54","125.81","1.2781"
"10","rdmc_di10_cap12_center","year_2024","2024.01.01","2024.12.31","4","10000","rdmc_di10_cap12_center_year_2024_m4","PARSED","outputs\reversion_d1_momentum_cap_annual_model4_package\reports_here\rdmc_di10_cap12_center_year_2024_m4.htm","BC3ED745E8CEF680BF6785597044A7A24E488E1F45E498E1AC4EC7BCE3B5AEFC","8B1761EC5F1310C0A961DE30495D4CF52969490A97392721B21424F7D7B8DA2B","5CB8F52B08B9883E2BF0CC980C70B8D8ED99194D75508298696C4B009B0ADB4A","77AF52DAD7DF99F2AC4BD4340A3B20AD78F4DCB89EAAE59F941F0384402F4087","10000","239.93","10239.93","2.4","","","2.53","8.27","52.75","48.28","29","4","105.84","1.04","52.71","105.84","2.2669"
