"QueueRank","Candidate","Role","Window","From","To","Model","Deposit","Config","ExpectedReportName","ProfileSnapshot","ProfileSha256","SourceSha256","DiscoveryContractSha256","HoldoutContractSha256","Model4ContractSha256","StopRule"
"1","rdmc_di10_parent","parent","discovery_2015_2020","2015.01.01","2020.12.31","4","10000","configs\001_rdmc_di10_parent_discovery_2015_2020_m4.ini","rdmc_di10_parent_discovery_2015_2020_m4","profiles\rdmc_di10_parent.set","9A5C91BCB4013C510D9AB1EB65083D302C7DF27C7FFA5B01C0A8F98C0EF22C66","8B1761EC5F1310C0A961DE30495D4CF52969490A97392721B21424F7D7B8DA2B","0D1199E9BBDF4A9E02AE10359F912976246168FDA53A1917768BCADDD535AA67","7214D856192510C1958BE7AA714DC8130A3E1ED145921FCDA85AE8210703EF76","5CB8F52B08B9883E2BF0CC980C70B8D8ED99194D75508298696C4B009B0ADB4A","Each disjoint era net>0 and PF>=1.10; full PF>=1.40, trades>=300, DD<=3.50%; net>=parent; DD<=parent; cap14 neighbor passes."
"2","rdmc_di10_parent","parent","holdout_2021_2023","2021.01.01","2023.12.31","4","10000","configs\002_rdmc_di10_parent_holdout_2021_2023_m4.ini","rdmc_di10_parent_holdout_2021_2023_m4","profiles\rdmc_di10_parent.set","9A5C91BCB4013C510D9AB1EB65083D302C7DF27C7FFA5B01C0A8F98C0EF22C66","8B1761EC5F1310C0A961DE30495D4CF52969490A97392721B21424F7D7B8DA2B","0D1199E9BBDF4A9E02AE10359F912976246168FDA53A1917768BCADDD535AA67","7214D856192510C1958BE7AA714DC8130A3E1ED145921FCDA85AE8210703EF76","5CB8F52B08B9883E2BF0CC980C70B8D8ED99194D75508298696C4B009B0ADB4A","Each disjoint era net>0 and PF>=1.10; full PF>=1.40, trades>=300, DD<=3.50%; net>=parent; DD<=parent; cap14 neighbor passes."
"3","rdmc_di10_parent","parent","holdout_2024_2026","2024.01.01","2026.07.16","4","10000","configs\003_rdmc_di10_parent_holdout_2024_2026_m4.ini","rdmc_di10_parent_holdout_2024_2026_m4","profiles\rdmc_di10_parent.set","9A5C91BCB4013C510D9AB1EB65083D302C7DF27C7FFA5B01C0A8F98C0EF22C66","8B1761EC5F1310C0A961DE30495D4CF52969490A97392721B21424F7D7B8DA2B","0D1199E9BBDF4A9E02AE10359F912976246168FDA53A1917768BCADDD535AA67","7214D856192510C1958BE7AA714DC8130A3E1ED145921FCDA85AE8210703EF76","5CB8F52B08B9883E2BF0CC980C70B8D8ED99194D75508298696C4B009B0ADB4A","Each disjoint era net>0 and PF>=1.10; full PF>=1.40, trades>=300, DD<=3.50%; net>=parent; DD<=parent; cap14 neighbor passes."
"4","rdmc_di10_parent","parent","continuous_2021_2026","2021.01.01","2026.07.16","4","10000","configs\004_rdmc_di10_parent_continuous_2021_2026_m4.ini","rdmc_di10_parent_continuous_2021_2026_m4","profiles\rdmc_di10_parent.set","9A5C91BCB4013C510D9AB1EB65083D302C7DF27C7FFA5B01C0A8F98C0EF22C66","8B1761EC5F1310C0A961DE30495D4CF52969490A97392721B21424F7D7B8DA2B","0D1199E9BBDF4A9E02AE10359F912976246168FDA53A1917768BCADDD535AA67","7214D856192510C1958BE7AA714DC8130A3E1ED145921FCDA85AE8210703EF76","5CB8F52B08B9883E2BF0CC980C70B8D8ED99194D75508298696C4B009B0ADB4A","Each disjoint era net>0 and PF>=1.10; full PF>=1.40, trades>=300, DD<=3.50%; net>=parent; DD<=parent; cap14 neighbor passes."
"5","rdmc_di10_parent","parent","continuous_2015_2026","2015.01.01","2026.07.16","4","10000","configs\005_rdmc_di10_parent_continuous_2015_2026_m4.ini","rdmc_di10_parent_continuous_2015_2026_m4","profiles\rdmc_di10_parent.set","9A5C91BCB4013C510D9AB1EB65083D302C7DF27C7FFA5B01C0A8F98C0EF22C66","8B1761EC5F1310C0A961DE30495D4CF52969490A97392721B21424F7D7B8DA2B","0D1199E9BBDF4A9E02AE10359F912976246168FDA53A1917768BCADDD535AA67","7214D856192510C1958BE7AA714DC8130A3E1ED145921FCDA85AE8210703EF76","5CB8F52B08B9883E2BF0CC980C70B8D8ED99194D75508298696C4B009B0ADB4A","Each disjoint era net>0 and PF>=1.10; full PF>=1.40, trades>=300, DD<=3.50%; net>=parent; DD<=parent; cap14 neighbor passes."
"6","rdmc_di10_cap12_center","center","discovery_2015_2020","2015.01.01","2020.12.31","4","10000","configs\006_rdmc_di10_cap12_center_discovery_2015_2020_m4.ini","rdmc_di10_cap12_center_discovery_2015_2020_m4","profiles\rdmc_di10_cap12_center.set","BC3ED745E8CEF680BF6785597044A7A24E488E1F45E498E1AC4EC7BCE3B5AEFC","8B1761EC5F1310C0A961DE30495D4CF52969490A97392721B21424F7D7B8DA2B","0D1199E9BBDF4A9E02AE10359F912976246168FDA53A1917768BCADDD535AA67","7214D856192510C1958BE7AA714DC8130A3E1ED145921FCDA85AE8210703EF76","5CB8F52B08B9883E2BF0CC980C70B8D8ED99194D75508298696C4B009B0ADB4A","Each disjoint era net>0 and PF>=1.10; full PF>=1.40, trades>=300, DD<=3.50%; net>=parent; DD<=parent; cap14 neighbor passes."
"7","rdmc_di10_cap12_center","center","holdout_2021_2023","2021.01.01","2023.12.31","4","10000","configs\007_rdmc_di10_cap12_center_holdout_2021_2023_m4.ini","rdmc_di10_cap12_center_holdout_2021_2023_m4","profiles\rdmc_di10_cap12_center.set","BC3ED745E8CEF680BF6785597044A7A24E488E1F45E498E1AC4EC7BCE3B5AEFC","8B1761EC5F1310C0A961DE30495D4CF52969490A97392721B21424F7D7B8DA2B","0D1199E9BBDF4A9E02AE10359F912976246168FDA53A1917768BCADDD535AA67","7214D856192510C1958BE7AA714DC8130A3E1ED145921FCDA85AE8210703EF76","5CB8F52B08B9883E2BF0CC980C70B8D8ED99194D75508298696C4B009B0ADB4A","Each disjoint era net>0 and PF>=1.10; full PF>=1.40, trades>=300, DD<=3.50%; net>=parent; DD<=parent; cap14 neighbor passes."
"8","rdmc_di10_cap12_center","center","holdout_2024_2026","2024.01.01","2026.07.16","4","10000","configs\008_rdmc_di10_cap12_center_holdout_2024_2026_m4.ini","rdmc_di10_cap12_center_holdout_2024_2026_m4","profiles\rdmc_di10_cap12_center.set","BC3ED745E8CEF680BF6785597044A7A24E488E1F45E498E1AC4EC7BCE3B5AEFC","8B1761EC5F1310C0A961DE30495D4CF52969490A97392721B21424F7D7B8DA2B","0D1199E9BBDF4A9E02AE10359F912976246168FDA53A1917768BCADDD535AA67","7214D856192510C1958BE7AA714DC8130A3E1ED145921FCDA85AE8210703EF76","5CB8F52B08B9883E2BF0CC980C70B8D8ED99194D75508298696C4B009B0ADB4A","Each disjoint era net>0 and PF>=1.10; full PF>=1.40, trades>=300, DD<=3.50%; net>=parent; DD<=parent; cap14 neighbor passes."
"9","rdmc_di10_cap12_center","center","continuous_2021_2026","2021.01.01","2026.07.16","4","10000","configs\009_rdmc_di10_cap12_center_continuous_2021_2026_m4.ini","rdmc_di10_cap12_center_continuous_2021_2026_m4","profiles\rdmc_di10_cap12_center.set","BC3ED745E8CEF680BF6785597044A7A24E488E1F45E498E1AC4EC7BCE3B5AEFC","8B1761EC5F1310C0A961DE30495D4CF52969490A97392721B21424F7D7B8DA2B","0D1199E9BBDF4A9E02AE10359F912976246168FDA53A1917768BCADDD535AA67","7214D856192510C1958BE7AA714DC8130A3E1ED145921FCDA85AE8210703EF76","5CB8F52B08B9883E2BF0CC980C70B8D8ED99194D75508298696C4B009B0ADB4A","Each disjoint era net>0 and PF>=1.10; full PF>=1.40, trades>=300, DD<=3.50%; net>=parent; DD<=parent; cap14 neighbor passes."
"10","rdmc_di10_cap12_center","center","continuous_2015_2026","2015.01.01","2026.07.16","4","10000","configs\010_rdmc_di10_cap12_center_continuous_2015_2026_m4.ini","rdmc_di10_cap12_center_continuous_2015_2026_m4","profiles\rdmc_di10_cap12_center.set","BC3ED745E8CEF680BF6785597044A7A24E488E1F45E498E1AC4EC7BCE3B5AEFC","8B1761EC5F1310C0A961DE30495D4CF52969490A97392721B21424F7D7B8DA2B","0D1199E9BBDF4A9E02AE10359F912976246168FDA53A1917768BCADDD535AA67","7214D856192510C1958BE7AA714DC8130A3E1ED145921FCDA85AE8210703EF76","5CB8F52B08B9883E2BF0CC980C70B8D8ED99194D75508298696C4B009B0ADB4A","Each disjoint era net>0 and PF>=1.10; full PF>=1.40, trades>=300, DD<=3.50%; net>=parent; DD<=parent; cap14 neighbor passes."
