"QueueRank","Candidate","Role","Window","From","To","Model","Deposit","ExpectedReportName","Status","ReportPath","ProfileSha256","SourceSha256","DiscoveryContractSha256","HoldoutContractSha256","Model4ContractSha256","InitialDeposit","NetProfit","Balance","TotalReturnPercent","AnnualizedReturnPercent","CagrPercent","ProfitFactor","ExpectedPayoff","SharpeRatio","WinRatePercent","TotalTrades","MaxConsecutiveLosses","MaxDrawdownMoney","MaxDrawdownPercent","BalanceDrawdownMaximal","EquityDrawdownMaximal","RecoveryFactor"
"1","rdmc_di10_parent","parent","discovery_2015_2020","2015.01.01","2020.12.31","4","10000","rdmc_di10_parent_discovery_2015_2020_m4","PARSED","outputs\reversion_d1_momentum_cap_model4_package\reports_here\rdmc_di10_parent_discovery_2015_2020_m4.htm","9A5C91BCB4013C510D9AB1EB65083D302C7DF27C7FFA5B01C0A8F98C0EF22C66","8B1761EC5F1310C0A961DE30495D4CF52969490A97392721B21424F7D7B8DA2B","0D1199E9BBDF4A9E02AE10359F912976246168FDA53A1917768BCADDD535AA67","7214D856192510C1958BE7AA714DC8130A3E1ED145921FCDA85AE8210703EF76","5CB8F52B08B9883E2BF0CC980C70B8D8ED99194D75508298696C4B009B0ADB4A","10000","751.75","10751.75","7.52","","","1.56","3.61","10.24","43.27","208","6","126.18","1.17","103.35","126.18","5.9578"
"2","rdmc_di10_parent","parent","holdout_2021_2023","2021.01.01","2023.12.31","4","10000","rdmc_di10_parent_holdout_2021_2023_m4","PARSED","outputs\reversion_d1_momentum_cap_model4_package\reports_here\rdmc_di10_parent_holdout_2021_2023_m4.htm","9A5C91BCB4013C510D9AB1EB65083D302C7DF27C7FFA5B01C0A8F98C0EF22C66","8B1761EC5F1310C0A961DE30495D4CF52969490A97392721B21424F7D7B8DA2B","0D1199E9BBDF4A9E02AE10359F912976246168FDA53A1917768BCADDD535AA67","7214D856192510C1958BE7AA714DC8130A3E1ED145921FCDA85AE8210703EF76","5CB8F52B08B9883E2BF0CC980C70B8D8ED99194D75508298696C4B009B0ADB4A","10000","414.94","10414.94","4.15","","","1.62","3.99","34.16","39.42","104","8","165.25","1.6","148.9","165.25","2.511"
"3","rdmc_di10_parent","parent","holdout_2024_2026","2024.01.01","2026.07.16","4","10000","rdmc_di10_parent_holdout_2024_2026_m4","PARSED","outputs\reversion_d1_momentum_cap_model4_package\reports_here\rdmc_di10_parent_holdout_2024_2026_m4.htm","9A5C91BCB4013C510D9AB1EB65083D302C7DF27C7FFA5B01C0A8F98C0EF22C66","8B1761EC5F1310C0A961DE30495D4CF52969490A97392721B21424F7D7B8DA2B","0D1199E9BBDF4A9E02AE10359F912976246168FDA53A1917768BCADDD535AA67","7214D856192510C1958BE7AA714DC8130A3E1ED145921FCDA85AE8210703EF76","5CB8F52B08B9883E2BF0CC980C70B8D8ED99194D75508298696C4B009B0ADB4A","10000","222.3","10222.3","2.22","","","1.62","5.85","9.45","47.37","38","4","160.62","1.56","78.49","160.62","1.384"
"4","rdmc_di10_parent","parent","continuous_2021_2026","2021.01.01","2026.07.16","4","10000","rdmc_di10_parent_continuous_2021_2026_m4","PARSED","outputs\reversion_d1_momentum_cap_model4_package\reports_here\rdmc_di10_parent_continuous_2021_2026_m4.htm","9A5C91BCB4013C510D9AB1EB65083D302C7DF27C7FFA5B01C0A8F98C0EF22C66","8B1761EC5F1310C0A961DE30495D4CF52969490A97392721B21424F7D7B8DA2B","0D1199E9BBDF4A9E02AE10359F912976246168FDA53A1917768BCADDD535AA67","7214D856192510C1958BE7AA714DC8130A3E1ED145921FCDA85AE8210703EF76","5CB8F52B08B9883E2BF0CC980C70B8D8ED99194D75508298696C4B009B0ADB4A","10000","620.87","10620.87","6.21","","","1.58","4.37","16.21","41.55","142","8","165.25","1.6","148.9","165.25","3.7572"
"5","rdmc_di10_parent","parent","continuous_2015_2026","2015.01.01","2026.07.16","4","10000","rdmc_di10_parent_continuous_2015_2026_m4","PARSED","outputs\reversion_d1_momentum_cap_model4_package\reports_here\rdmc_di10_parent_continuous_2015_2026_m4.htm","9A5C91BCB4013C510D9AB1EB65083D302C7DF27C7FFA5B01C0A8F98C0EF22C66","8B1761EC5F1310C0A961DE30495D4CF52969490A97392721B21424F7D7B8DA2B","0D1199E9BBDF4A9E02AE10359F912976246168FDA53A1917768BCADDD535AA67","7214D856192510C1958BE7AA714DC8130A3E1ED145921FCDA85AE8210703EF76","5CB8F52B08B9883E2BF0CC980C70B8D8ED99194D75508298696C4B009B0ADB4A","10000","1427.8","11427.8","14.28","","","1.57","4.08","10.39","42.57","350","8","178.33","1.6","158.15","178.33","8.0065"
"6","rdmc_di10_cap12_center","center","discovery_2015_2020","2015.01.01","2020.12.31","4","10000","rdmc_di10_cap12_center_discovery_2015_2020_m4","PARSED","outputs\reversion_d1_momentum_cap_model4_package\reports_here\rdmc_di10_cap12_center_discovery_2015_2020_m4.htm","BC3ED745E8CEF680BF6785597044A7A24E488E1F45E498E1AC4EC7BCE3B5AEFC","8B1761EC5F1310C0A961DE30495D4CF52969490A97392721B21424F7D7B8DA2B","0D1199E9BBDF4A9E02AE10359F912976246168FDA53A1917768BCADDD535AA67","7214D856192510C1958BE7AA714DC8130A3E1ED145921FCDA85AE8210703EF76","5CB8F52B08B9883E2BF0CC980C70B8D8ED99194D75508298696C4B009B0ADB4A","10000","818.86","10818.86","8.19","","","1.64","3.98","11.37","43.69","206","6","113.81","1.06","93.33","113.81","7.195"
"7","rdmc_di10_cap12_center","center","holdout_2021_2023","2021.01.01","2023.12.31","4","10000","rdmc_di10_cap12_center_holdout_2021_2023_m4","PARSED","outputs\reversion_d1_momentum_cap_model4_package\reports_here\rdmc_di10_cap12_center_holdout_2021_2023_m4.htm","BC3ED745E8CEF680BF6785597044A7A24E488E1F45E498E1AC4EC7BCE3B5AEFC","8B1761EC5F1310C0A961DE30495D4CF52969490A97392721B21424F7D7B8DA2B","0D1199E9BBDF4A9E02AE10359F912976246168FDA53A1917768BCADDD535AA67","7214D856192510C1958BE7AA714DC8130A3E1ED145921FCDA85AE8210703EF76","5CB8F52B08B9883E2BF0CC980C70B8D8ED99194D75508298696C4B009B0ADB4A","10000","414.94","10414.94","4.15","","","1.62","3.99","34.16","39.42","104","8","165.25","1.6","148.9","165.25","2.511"
"8","rdmc_di10_cap12_center","center","holdout_2024_2026","2024.01.01","2026.07.16","4","10000","rdmc_di10_cap12_center_holdout_2024_2026_m4","PARSED","outputs\reversion_d1_momentum_cap_model4_package\reports_here\rdmc_di10_cap12_center_holdout_2024_2026_m4.htm","BC3ED745E8CEF680BF6785597044A7A24E488E1F45E498E1AC4EC7BCE3B5AEFC","8B1761EC5F1310C0A961DE30495D4CF52969490A97392721B21424F7D7B8DA2B","0D1199E9BBDF4A9E02AE10359F912976246168FDA53A1917768BCADDD535AA67","7214D856192510C1958BE7AA714DC8130A3E1ED145921FCDA85AE8210703EF76","5CB8F52B08B9883E2BF0CC980C70B8D8ED99194D75508298696C4B009B0ADB4A","10000","301.64","10301.64","3.02","","","2.45","8.87","21.16","50","34","4","105.84","1.04","52.71","105.84","2.85"
"9","rdmc_di10_cap12_center","center","continuous_2021_2026","2021.01.01","2026.07.16","4","10000","rdmc_di10_cap12_center_continuous_2021_2026_m4","PARSED","outputs\reversion_d1_momentum_cap_model4_package\reports_here\rdmc_di10_cap12_center_continuous_2021_2026_m4.htm","BC3ED745E8CEF680BF6785597044A7A24E488E1F45E498E1AC4EC7BCE3B5AEFC","8B1761EC5F1310C0A961DE30495D4CF52969490A97392721B21424F7D7B8DA2B","0D1199E9BBDF4A9E02AE10359F912976246168FDA53A1917768BCADDD535AA67","7214D856192510C1958BE7AA714DC8130A3E1ED145921FCDA85AE8210703EF76","5CB8F52B08B9883E2BF0CC980C70B8D8ED99194D75508298696C4B009B0ADB4A","10000","689.75","10689.75","6.9","","","1.76","5","24.75","42.03","138","8","165.25","1.6","148.9","165.25","4.174"
"10","rdmc_di10_cap12_center","center","continuous_2015_2026","2015.01.01","2026.07.16","4","10000","rdmc_di10_cap12_center_continuous_2015_2026_m4","PARSED","outputs\reversion_d1_momentum_cap_model4_package\reports_here\rdmc_di10_cap12_center_continuous_2015_2026_m4.htm","BC3ED745E8CEF680BF6785597044A7A24E488E1F45E498E1AC4EC7BCE3B5AEFC","8B1761EC5F1310C0A961DE30495D4CF52969490A97392721B21424F7D7B8DA2B","0D1199E9BBDF4A9E02AE10359F912976246168FDA53A1917768BCADDD535AA67","7214D856192510C1958BE7AA714DC8130A3E1ED145921FCDA85AE8210703EF76","5CB8F52B08B9883E2BF0CC980C70B8D8ED99194D75508298696C4B009B0ADB4A","10000","1555.33","11555.33","15.55","","","1.68","4.52","12.22","43.02","344","8","178.33","1.59","158.15","178.33","8.7216"
