"QueueRank","Candidate","Role","Window","From","To","Model","Deposit","Config","ExpectedReportName","ProfileSnapshot","ProfileSha256","SourceSha256","BaseProfileSha256","ContractSha256","RVMinimumDIEdge","DistanceGuardEnabled","LongDistanceLookbackBars","MinimumAlignedDistanceATR","StopRule"
"1","rddi_released_control","released_control","older_2015_2018","2015.01.01","2018.12.31","1","10000","configs\001_rddi_released_control_older_2015_2018_m1.ini","rddi_released_control_older_2015_2018_m1","profiles\rddi_released_control.set","8E3E313DDAD08771569AE86E36D6DC86E261E79302DFF21CC80E1B833007C64F","7E8D680807B0565992ECC9B98E15C636A86AF34742194687DBB64D61CE2EFD7A","8B3A06E9776EA99C1DDE02A14F098B0837653B34B0AAD56491D0FE0248FEEC57","875BFDDD2F2A3A3A91B9CEA2A621B7854DAFDD71385D209995AED0F13878270B","-12.0","false","200","-10.0","Each era positive; continuous PF>=1.50, trades>=180, DD<=2.80%; net>=DI parent; DD<=DI parent; center plus one adjacent distance neighbor pass. No post-2020 data."
"2","rddi_released_control","released_control","repair_2019","2019.01.01","2019.12.31","1","10000","configs\002_rddi_released_control_repair_2019_m1.ini","rddi_released_control_repair_2019_m1","profiles\rddi_released_control.set","8E3E313DDAD08771569AE86E36D6DC86E261E79302DFF21CC80E1B833007C64F","7E8D680807B0565992ECC9B98E15C636A86AF34742194687DBB64D61CE2EFD7A","8B3A06E9776EA99C1DDE02A14F098B0837653B34B0AAD56491D0FE0248FEEC57","875BFDDD2F2A3A3A91B9CEA2A621B7854DAFDD71385D209995AED0F13878270B","-12.0","false","200","-10.0","Each era positive; continuous PF>=1.50, trades>=180, DD<=2.80%; net>=DI parent; DD<=DI parent; center plus one adjacent distance neighbor pass. No post-2020 data."
"3","rddi_released_control","released_control","repair_2020","2020.01.01","2020.12.31","1","10000","configs\003_rddi_released_control_repair_2020_m1.ini","rddi_released_control_repair_2020_m1","profiles\rddi_released_control.set","8E3E313DDAD08771569AE86E36D6DC86E261E79302DFF21CC80E1B833007C64F","7E8D680807B0565992ECC9B98E15C636A86AF34742194687DBB64D61CE2EFD7A","8B3A06E9776EA99C1DDE02A14F098B0837653B34B0AAD56491D0FE0248FEEC57","875BFDDD2F2A3A3A91B9CEA2A621B7854DAFDD71385D209995AED0F13878270B","-12.0","false","200","-10.0","Each era positive; continuous PF>=1.50, trades>=180, DD<=2.80%; net>=DI parent; DD<=DI parent; center plus one adjacent distance neighbor pass. No post-2020 data."
"4","rddi_released_control","released_control","continuous_2015_2020","2015.01.01","2020.12.31","1","10000","configs\004_rddi_released_control_continuous_2015_2020_m1.ini","rddi_released_control_continuous_2015_2020_m1","profiles\rddi_released_control.set","8E3E313DDAD08771569AE86E36D6DC86E261E79302DFF21CC80E1B833007C64F","7E8D680807B0565992ECC9B98E15C636A86AF34742194687DBB64D61CE2EFD7A","8B3A06E9776EA99C1DDE02A14F098B0837653B34B0AAD56491D0FE0248FEEC57","875BFDDD2F2A3A3A91B9CEA2A621B7854DAFDD71385D209995AED0F13878270B","-12.0","false","200","-10.0","Each era positive; continuous PF>=1.50, trades>=180, DD<=2.80%; net>=DI parent; DD<=DI parent; center plus one adjacent distance neighbor pass. No post-2020 data."
"5","rddi_di10_parent","di_parent","older_2015_2018","2015.01.01","2018.12.31","1","10000","configs\005_rddi_di10_parent_older_2015_2018_m1.ini","rddi_di10_parent_older_2015_2018_m1","profiles\rddi_di10_parent.set","15B22FA04F5EC7DECEC723D9F76D12DEE52731E21299D3AC21D7D8EC258D840B","7E8D680807B0565992ECC9B98E15C636A86AF34742194687DBB64D61CE2EFD7A","8B3A06E9776EA99C1DDE02A14F098B0837653B34B0AAD56491D0FE0248FEEC57","875BFDDD2F2A3A3A91B9CEA2A621B7854DAFDD71385D209995AED0F13878270B","-10.0","false","200","-10.0","Each era positive; continuous PF>=1.50, trades>=180, DD<=2.80%; net>=DI parent; DD<=DI parent; center plus one adjacent distance neighbor pass. No post-2020 data."
"6","rddi_di10_parent","di_parent","repair_2019","2019.01.01","2019.12.31","1","10000","configs\006_rddi_di10_parent_repair_2019_m1.ini","rddi_di10_parent_repair_2019_m1","profiles\rddi_di10_parent.set","15B22FA04F5EC7DECEC723D9F76D12DEE52731E21299D3AC21D7D8EC258D840B","7E8D680807B0565992ECC9B98E15C636A86AF34742194687DBB64D61CE2EFD7A","8B3A06E9776EA99C1DDE02A14F098B0837653B34B0AAD56491D0FE0248FEEC57","875BFDDD2F2A3A3A91B9CEA2A621B7854DAFDD71385D209995AED0F13878270B","-10.0","false","200","-10.0","Each era positive; continuous PF>=1.50, trades>=180, DD<=2.80%; net>=DI parent; DD<=DI parent; center plus one adjacent distance neighbor pass. No post-2020 data."
"7","rddi_di10_parent","di_parent","repair_2020","2020.01.01","2020.12.31","1","10000","configs\007_rddi_di10_parent_repair_2020_m1.ini","rddi_di10_parent_repair_2020_m1","profiles\rddi_di10_parent.set","15B22FA04F5EC7DECEC723D9F76D12DEE52731E21299D3AC21D7D8EC258D840B","7E8D680807B0565992ECC9B98E15C636A86AF34742194687DBB64D61CE2EFD7A","8B3A06E9776EA99C1DDE02A14F098B0837653B34B0AAD56491D0FE0248FEEC57","875BFDDD2F2A3A3A91B9CEA2A621B7854DAFDD71385D209995AED0F13878270B","-10.0","false","200","-10.0","Each era positive; continuous PF>=1.50, trades>=180, DD<=2.80%; net>=DI parent; DD<=DI parent; center plus one adjacent distance neighbor pass. No post-2020 data."
"8","rddi_di10_parent","di_parent","continuous_2015_2020","2015.01.01","2020.12.31","1","10000","configs\008_rddi_di10_parent_continuous_2015_2020_m1.ini","rddi_di10_parent_continuous_2015_2020_m1","profiles\rddi_di10_parent.set","15B22FA04F5EC7DECEC723D9F76D12DEE52731E21299D3AC21D7D8EC258D840B","7E8D680807B0565992ECC9B98E15C636A86AF34742194687DBB64D61CE2EFD7A","8B3A06E9776EA99C1DDE02A14F098B0837653B34B0AAD56491D0FE0248FEEC57","875BFDDD2F2A3A3A91B9CEA2A621B7854DAFDD71385D209995AED0F13878270B","-10.0","false","200","-10.0","Each era positive; continuous PF>=1.50, trades>=180, DD<=2.80%; net>=DI parent; DD<=DI parent; center plus one adjacent distance neighbor pass. No post-2020 data."
"9","rddi_di10_m12","loose_neighbor","older_2015_2018","2015.01.01","2018.12.31","1","10000","configs\009_rddi_di10_m12_older_2015_2018_m1.ini","rddi_di10_m12_older_2015_2018_m1","profiles\rddi_di10_m12.set","6DD21EBFFB4908E960D919E210E706A6E31C0273BBB32C281C72A5434C5A0E12","7E8D680807B0565992ECC9B98E15C636A86AF34742194687DBB64D61CE2EFD7A","8B3A06E9776EA99C1DDE02A14F098B0837653B34B0AAD56491D0FE0248FEEC57","875BFDDD2F2A3A3A91B9CEA2A621B7854DAFDD71385D209995AED0F13878270B","-10.0","true","200","-12.0","Each era positive; continuous PF>=1.50, trades>=180, DD<=2.80%; net>=DI parent; DD<=DI parent; center plus one adjacent distance neighbor pass. No post-2020 data."
"10","rddi_di10_m12","loose_neighbor","repair_2019","2019.01.01","2019.12.31","1","10000","configs\010_rddi_di10_m12_repair_2019_m1.ini","rddi_di10_m12_repair_2019_m1","profiles\rddi_di10_m12.set","6DD21EBFFB4908E960D919E210E706A6E31C0273BBB32C281C72A5434C5A0E12","7E8D680807B0565992ECC9B98E15C636A86AF34742194687DBB64D61CE2EFD7A","8B3A06E9776EA99C1DDE02A14F098B0837653B34B0AAD56491D0FE0248FEEC57","875BFDDD2F2A3A3A91B9CEA2A621B7854DAFDD71385D209995AED0F13878270B","-10.0","true","200","-12.0","Each era positive; continuous PF>=1.50, trades>=180, DD<=2.80%; net>=DI parent; DD<=DI parent; center plus one adjacent distance neighbor pass. No post-2020 data."
