"QueueRank","Candidate","Role","Window","From","To","Model","Deposit","ExpectedReportName","Status","ReportPath","ProfileSha256","SourceSha256","ContractSha256","RVMinimumDIEdge","DistanceGuardEnabled","LongDistanceLookbackBars","MinimumAlignedDistanceATR","InitialDeposit","NetProfit","Balance","TotalReturnPercent","AnnualizedReturnPercent","CagrPercent","ProfitFactor","ExpectedPayoff","SharpeRatio","WinRatePercent","TotalTrades","MaxConsecutiveLosses","MaxDrawdownMoney","MaxDrawdownPercent","BalanceDrawdownMaximal","EquityDrawdownMaximal","RecoveryFactor"
"1","rddi_released_control","released_control","older_2015_2018","2015.01.01","2018.12.31","1","10000","rddi_released_control_older_2015_2018_m1","PARSED","outputs\reversion_di_distance_interaction_discovery_model1_package\reports_here\rddi_released_control_older_2015_2018_m1.htm","8E3E313DDAD08771569AE86E36D6DC86E261E79302DFF21CC80E1B833007C64F","7E8D680807B0565992ECC9B98E15C636A86AF34742194687DBB64D61CE2EFD7A","875BFDDD2F2A3A3A91B9CEA2A621B7854DAFDD71385D209995AED0F13878270B","-12.0","false","200","-10.0","10000","814.7","10814.7","8.15","","","1.87","5.36","7.27","46.05","152","5","105.51","1.01","75.68","105.51","7.7215"
"2","rddi_released_control","released_control","repair_2019","2019.01.01","2019.12.31","1","10000","rddi_released_control_repair_2019_m1","PARSED","outputs\reversion_di_distance_interaction_discovery_model1_package\reports_here\rddi_released_control_repair_2019_m1.htm","8E3E313DDAD08771569AE86E36D6DC86E261E79302DFF21CC80E1B833007C64F","7E8D680807B0565992ECC9B98E15C636A86AF34742194687DBB64D61CE2EFD7A","875BFDDD2F2A3A3A91B9CEA2A621B7854DAFDD71385D209995AED0F13878270B","-12.0","false","200","-10.0","10000","-4.98","9995.02","-0.05","","","0.98","-0.13","-0.22","35.14","37","7","127.85","1.26","114.04","127.85","-0.039"
"3","rddi_released_control","released_control","repair_2020","2020.01.01","2020.12.31","1","10000","rddi_released_control_repair_2020_m1","PARSED","outputs\reversion_di_distance_interaction_discovery_model1_package\reports_here\rddi_released_control_repair_2020_m1.htm","8E3E313DDAD08771569AE86E36D6DC86E261E79302DFF21CC80E1B833007C64F","7E8D680807B0565992ECC9B98E15C636A86AF34742194687DBB64D61CE2EFD7A","875BFDDD2F2A3A3A91B9CEA2A621B7854DAFDD71385D209995AED0F13878270B","-12.0","false","200","-10.0","10000","-100.47","9899.53","-1","","","0.77","-2.87","-3.14","40","35","6","313.42","3.08","274.79","313.42","-0.3206"
"4","rddi_released_control","released_control","continuous_2015_2020","2015.01.01","2020.12.31","1","10000","rddi_released_control_continuous_2015_2020_m1","PARSED","outputs\reversion_di_distance_interaction_discovery_model1_package\reports_here\rddi_released_control_continuous_2015_2020_m1.htm","8E3E313DDAD08771569AE86E36D6DC86E261E79302DFF21CC80E1B833007C64F","7E8D680807B0565992ECC9B98E15C636A86AF34742194687DBB64D61CE2EFD7A","875BFDDD2F2A3A3A91B9CEA2A621B7854DAFDD71385D209995AED0F13878270B","-12.0","false","200","-10.0","10000","694.13","10694.13","6.94","","","1.42","3.09","4.07","43.11","225","7","303.87","2.77","265.24","303.87","2.2843"
"5","rddi_di10_parent","di_parent","older_2015_2018","2015.01.01","2018.12.31","1","10000","rddi_di10_parent_older_2015_2018_m1","PARSED","outputs\reversion_di_distance_interaction_discovery_model1_package\reports_here\rddi_di10_parent_older_2015_2018_m1.htm","15B22FA04F5EC7DECEC723D9F76D12DEE52731E21299D3AC21D7D8EC258D840B","7E8D680807B0565992ECC9B98E15C636A86AF34742194687DBB64D61CE2EFD7A","875BFDDD2F2A3A3A91B9CEA2A621B7854DAFDD71385D209995AED0F13878270B","-10.0","false","200","-10.0","10000","663.37","10663.37","6.63","","","1.75","4.51","6.51","45.58","147","5","94.98","0.92","75.68","94.98","6.9843"
"6","rddi_di10_parent","di_parent","repair_2019","2019.01.01","2019.12.31","1","10000","rddi_di10_parent_repair_2019_m1","PARSED","outputs\reversion_di_distance_interaction_discovery_model1_package\reports_here\rddi_di10_parent_repair_2019_m1.htm","15B22FA04F5EC7DECEC723D9F76D12DEE52731E21299D3AC21D7D8EC258D840B","7E8D680807B0565992ECC9B98E15C636A86AF34742194687DBB64D61CE2EFD7A","875BFDDD2F2A3A3A91B9CEA2A621B7854DAFDD71385D209995AED0F13878270B","-10.0","false","200","-10.0","10000","-4.98","9995.02","-0.05","","","0.98","-0.13","-0.22","35.14","37","7","127.85","1.26","114.04","127.85","-0.039"
"7","rddi_di10_parent","di_parent","repair_2020","2020.01.01","2020.12.31","1","10000","rddi_di10_parent_repair_2020_m1","PARSED","outputs\reversion_di_distance_interaction_discovery_model1_package\reports_here\rddi_di10_parent_repair_2020_m1.htm","15B22FA04F5EC7DECEC723D9F76D12DEE52731E21299D3AC21D7D8EC258D840B","7E8D680807B0565992ECC9B98E15C636A86AF34742194687DBB64D61CE2EFD7A","875BFDDD2F2A3A3A91B9CEA2A621B7854DAFDD71385D209995AED0F13878270B","-10.0","false","200","-10.0","10000","66.3","10066.3","0.66","","","1.25","2.14","3.27","45.16","31","3","161.36","1.59","119.35","161.36","0.4109"
"8","rddi_di10_parent","di_parent","continuous_2015_2020","2015.01.01","2020.12.31","1","10000","rddi_di10_parent_continuous_2015_2020_m1","PARSED","outputs\reversion_di_distance_interaction_discovery_model1_package\reports_here\rddi_di10_parent_continuous_2015_2020_m1.htm","15B22FA04F5EC7DECEC723D9F76D12DEE52731E21299D3AC21D7D8EC258D840B","7E8D680807B0565992ECC9B98E15C636A86AF34742194687DBB64D61CE2EFD7A","875BFDDD2F2A3A3A91B9CEA2A621B7854DAFDD71385D209995AED0F13878270B","-10.0","false","200","-10.0","10000","719.25","10719.25","7.19","","","1.51","3.33","4.88","43.52","216","7","160.57","1.49","132.05","160.57","4.4794"
"9","rddi_di10_m12","loose_neighbor","older_2015_2018","2015.01.01","2018.12.31","1","10000","rddi_di10_m12_older_2015_2018_m1","PARSED","outputs\reversion_di_distance_interaction_discovery_model1_package\reports_here\rddi_di10_m12_older_2015_2018_m1.htm","6DD21EBFFB4908E960D919E210E706A6E31C0273BBB32C281C72A5434C5A0E12","7E8D680807B0565992ECC9B98E15C636A86AF34742194687DBB64D61CE2EFD7A","875BFDDD2F2A3A3A91B9CEA2A621B7854DAFDD71385D209995AED0F13878270B","-10.0","true","200","-12.0","10000","724.77","10724.77","7.25","","","1.85","4.96","7.12","45.89","146","5","94.98","0.91","75.68","94.98","7.6308"
"10","rddi_di10_m12","loose_neighbor","repair_2019","2019.01.01","2019.12.31","1","10000","rddi_di10_m12_repair_2019_m1","PARSED","outputs\reversion_di_distance_interaction_discovery_model1_package\reports_here\rddi_di10_m12_repair_2019_m1.htm","6DD21EBFFB4908E960D919E210E706A6E31C0273BBB32C281C72A5434C5A0E12","7E8D680807B0565992ECC9B98E15C636A86AF34742194687DBB64D61CE2EFD7A","875BFDDD2F2A3A3A91B9CEA2A621B7854DAFDD71385D209995AED0F13878270B","-10.0","true","200","-12.0","10000","-4.98","9995.02","-0.05","","","0.98","-0.13","-0.22","35.14","37","7","127.85","1.26","114.04","127.85","-0.039"
