"QueueRank","Candidate","Window","Model","Status","Action","Config","ConfigExists","ExpectedReportName","FirstPassInbox","MaxCpuPercent","Reports","Evidence","Started","Finished"
"1","ri_control","older_2015_2018","1","REPORT_FOUND","RUN_HIDDEN","outputs\reversion_independent_discovery_model1_package\configs\001_ri_control_older_2015_2018_m1.ini","True","ri_control_older_2015_2018_m1","outputs\returned_mt5_reports\first_pass_inbox","80","C:\Users\Ant\Documents\Codex\2026-07-03\absolutely-here-s-a-summary-you\outputs\returned_mt5_reports\first_pass_inbox\ri_control_older_2015_2018_m1.htm","Copied 1 report file(s) into the first-pass inbox.","2026-07-16T20:12:41","2026-07-16T20:12:58"
"2","ri_control","discovery_2019_2020","1","REPORT_FOUND","RUN_HIDDEN","outputs\reversion_independent_discovery_model1_package\configs\002_ri_control_discovery_2019_2020_m1.ini","True","ri_control_discovery_2019_2020_m1","outputs\returned_mt5_reports\first_pass_inbox","80","C:\Users\Ant\Documents\Codex\2026-07-03\absolutely-here-s-a-summary-you\outputs\returned_mt5_reports\first_pass_inbox\ri_control_discovery_2019_2020_m1.htm","Copied 1 report file(s) into the first-pass inbox.","2026-07-16T20:12:58","2026-07-16T20:13:12"
"3","ri_control","continuous_2015_2020","1","REPORT_FOUND","RUN_HIDDEN","outputs\reversion_independent_discovery_model1_package\configs\003_ri_control_continuous_2015_2020_m1.ini","True","ri_control_continuous_2015_2020_m1","outputs\returned_mt5_reports\first_pass_inbox","80","C:\Users\Ant\Documents\Codex\2026-07-03\absolutely-here-s-a-summary-you\outputs\returned_mt5_reports\first_pass_inbox\ri_control_continuous_2015_2020_m1.htm","Copied 1 report file(s) into the first-pass inbox.","2026-07-16T20:13:12","2026-07-16T20:13:32"
"4","ri_control","year_2015","1","REPORT_FOUND","RUN_HIDDEN","outputs\reversion_independent_discovery_model1_package\configs\004_ri_control_year_2015_m1.ini","True","ri_control_year_2015_m1","outputs\returned_mt5_reports\first_pass_inbox","80","C:\Users\Ant\Documents\Codex\2026-07-03\absolutely-here-s-a-summary-you\outputs\returned_mt5_reports\first_pass_inbox\ri_control_year_2015_m1.htm","Copied 1 report file(s) into the first-pass inbox.","2026-07-16T20:13:32","2026-07-16T20:13:44"
"5","ri_control","year_2016","1","REPORT_FOUND","RUN_HIDDEN","outputs\reversion_independent_discovery_model1_package\configs\005_ri_control_year_2016_m1.ini","True","ri_control_year_2016_m1","outputs\returned_mt5_reports\first_pass_inbox","80","C:\Users\Ant\Documents\Codex\2026-07-03\absolutely-here-s-a-summary-you\outputs\returned_mt5_reports\first_pass_inbox\ri_control_year_2016_m1.htm","Copied 1 report file(s) into the first-pass inbox.","2026-07-16T20:13:44","2026-07-16T20:13:55"
"6","ri_control","year_2017","1","REPORT_FOUND","RUN_HIDDEN","outputs\reversion_independent_discovery_model1_package\configs\006_ri_control_year_2017_m1.ini","True","ri_control_year_2017_m1","outputs\returned_mt5_reports\first_pass_inbox","80","C:\Users\Ant\Documents\Codex\2026-07-03\absolutely-here-s-a-summary-you\outputs\returned_mt5_reports\first_pass_inbox\ri_control_year_2017_m1.htm","Copied 1 report file(s) into the first-pass inbox.","2026-07-16T20:13:55","2026-07-16T20:14:08"
"7","ri_control","year_2018","1","REPORT_FOUND","RUN_HIDDEN","outputs\reversion_independent_discovery_model1_package\configs\007_ri_control_year_2018_m1.ini","True","ri_control_year_2018_m1","outputs\returned_mt5_reports\first_pass_inbox","80","C:\Users\Ant\Documents\Codex\2026-07-03\absolutely-here-s-a-summary-you\outputs\returned_mt5_reports\first_pass_inbox\ri_control_year_2018_m1.htm","Copied 1 report file(s) into the first-pass inbox.","2026-07-16T20:14:08","2026-07-16T20:14:19"
"8","ri_control","year_2019","1","REPORT_FOUND","RUN_HIDDEN","outputs\reversion_independent_discovery_model1_package\configs\008_ri_control_year_2019_m1.ini","True","ri_control_year_2019_m1","outputs\returned_mt5_reports\first_pass_inbox","80","C:\Users\Ant\Documents\Codex\2026-07-03\absolutely-here-s-a-summary-you\outputs\returned_mt5_reports\first_pass_inbox\ri_control_year_2019_m1.htm","Copied 1 report file(s) into the first-pass inbox.","2026-07-16T20:14:19","2026-07-16T20:14:30"
"9","ri_control","year_2020","1","REPORT_FOUND","RUN_HIDDEN","outputs\reversion_independent_discovery_model1_package\configs\009_ri_control_year_2020_m1.ini","True","ri_control_year_2020_m1","outputs\returned_mt5_reports\first_pass_inbox","80","C:\Users\Ant\Documents\Codex\2026-07-03\absolutely-here-s-a-summary-you\outputs\returned_mt5_reports\first_pass_inbox\ri_control_year_2020_m1.htm","Copied 1 report file(s) into the first-pass inbox.","2026-07-16T20:14:30","2026-07-16T20:14:42"
"10","ri_m12_r30","older_2015_2018","1","REPORT_FOUND","RUN_HIDDEN","outputs\reversion_independent_discovery_model1_package\configs\010_ri_m12_r30_older_2015_2018_m1.ini","True","ri_m12_r30_older_2015_2018_m1","outputs\returned_mt5_reports\first_pass_inbox","80","C:\Users\Ant\Documents\Codex\2026-07-03\absolutely-here-s-a-summary-you\outputs\returned_mt5_reports\first_pass_inbox\ri_m12_r30_older_2015_2018_m1.htm","Copied 1 report file(s) into the first-pass inbox.","2026-07-16T20:14:42","2026-07-16T20:15:00"
"11","ri_m12_r30","discovery_2019_2020","1","REPORT_FOUND","RUN_HIDDEN","outputs\reversion_independent_discovery_model1_package\configs\011_ri_m12_r30_discovery_2019_2020_m1.ini","True","ri_m12_r30_discovery_2019_2020_m1","outputs\returned_mt5_reports\first_pass_inbox","80","C:\Users\Ant\Documents\Codex\2026-07-03\absolutely-here-s-a-summary-you\outputs\returned_mt5_reports\first_pass_inbox\ri_m12_r30_discovery_2019_2020_m1.htm","Copied 1 report file(s) into the first-pass inbox.","2026-07-16T20:15:00","2026-07-16T20:15:14"
"12","ri_m12_r30","continuous_2015_2020","1","REPORT_FOUND","RUN_HIDDEN","outputs\reversion_independent_discovery_model1_package\configs\012_ri_m12_r30_continuous_2015_2020_m1.ini","True","ri_m12_r30_continuous_2015_2020_m1","outputs\returned_mt5_reports\first_pass_inbox","80","C:\Users\Ant\Documents\Codex\2026-07-03\absolutely-here-s-a-summary-you\outputs\returned_mt5_reports\first_pass_inbox\ri_m12_r30_continuous_2015_2020_m1.htm","Copied 1 report file(s) into the first-pass inbox.","2026-07-16T20:15:14","2026-07-16T20:15:33"
"13","ri_m12_r30","year_2015","1","REPORT_FOUND","RUN_HIDDEN","outputs\reversion_independent_discovery_model1_package\configs\013_ri_m12_r30_year_2015_m1.ini","True","ri_m12_r30_year_2015_m1","outputs\returned_mt5_reports\first_pass_inbox","80","C:\Users\Ant\Documents\Codex\2026-07-03\absolutely-here-s-a-summary-you\outputs\returned_mt5_reports\first_pass_inbox\ri_m12_r30_year_2015_m1.htm","Copied 1 report file(s) into the first-pass inbox.","2026-07-16T20:15:33","2026-07-16T20:15:45"
"14","ri_m12_r30","year_2016","1","REPORT_FOUND","RUN_HIDDEN","outputs\reversion_independent_discovery_model1_package\configs\014_ri_m12_r30_year_2016_m1.ini","True","ri_m12_r30_year_2016_m1","outputs\returned_mt5_reports\first_pass_inbox","80","C:\Users\Ant\Documents\Codex\2026-07-03\absolutely-here-s-a-summary-you\outputs\returned_mt5_reports\first_pass_inbox\ri_m12_r30_year_2016_m1.htm","Copied 1 report file(s) into the first-pass inbox.","2026-07-16T20:15:45","2026-07-16T20:15:57"
"15","ri_m12_r30","year_2017","1","REPORT_FOUND","RUN_HIDDEN","outputs\reversion_independent_discovery_model1_package\configs\015_ri_m12_r30_year_2017_m1.ini","True","ri_m12_r30_year_2017_m1","outputs\returned_mt5_reports\first_pass_inbox","80","C:\Users\Ant\Documents\Codex\2026-07-03\absolutely-here-s-a-summary-you\outputs\returned_mt5_reports\first_pass_inbox\ri_m12_r30_year_2017_m1.htm","Copied 1 report file(s) into the first-pass inbox.","2026-07-16T20:15:57","2026-07-16T20:16:08"
"16","ri_m12_r30","year_2018","1","REPORT_FOUND","RUN_HIDDEN","outputs\reversion_independent_discovery_model1_package\configs\016_ri_m12_r30_year_2018_m1.ini","True","ri_m12_r30_year_2018_m1","outputs\returned_mt5_reports\first_pass_inbox","80","C:\Users\Ant\Documents\Codex\2026-07-03\absolutely-here-s-a-summary-you\outputs\returned_mt5_reports\first_pass_inbox\ri_m12_r30_year_2018_m1.htm","Copied 1 report file(s) into the first-pass inbox.","2026-07-16T20:16:08","2026-07-16T20:16:19"
"17","ri_m12_r30","year_2019","1","REPORT_FOUND","RUN_HIDDEN","outputs\reversion_independent_discovery_model1_package\configs\017_ri_m12_r30_year_2019_m1.ini","True","ri_m12_r30_year_2019_m1","outputs\returned_mt5_reports\first_pass_inbox","80","C:\Users\Ant\Documents\Codex\2026-07-03\absolutely-here-s-a-summary-you\outputs\returned_mt5_reports\first_pass_inbox\ri_m12_r30_year_2019_m1.htm","Copied 1 report file(s) into the first-pass inbox.","2026-07-16T20:16:19","2026-07-16T20:16:30"
"18","ri_m12_r30","year_2020","1","REPORT_FOUND","RUN_HIDDEN","outputs\reversion_independent_discovery_model1_package\configs\018_ri_m12_r30_year_2020_m1.ini","True","ri_m12_r30_year_2020_m1","outputs\returned_mt5_reports\first_pass_inbox","80","C:\Users\Ant\Documents\Codex\2026-07-03\absolutely-here-s-a-summary-you\outputs\returned_mt5_reports\first_pass_inbox\ri_m12_r30_year_2020_m1.htm","Copied 1 report file(s) into the first-pass inbox.","2026-07-16T20:16:30","2026-07-16T20:16:42"
