"QueueRank","Candidate","Phase","PhaseLabel","Window","Model","Deposit","PackageConfig","SourceConfig","ExpectedReportName","ReportDestination","ProfileSha256","StopRule"
"1","ri2_control","corrected_discovery_model1","Corrected reversion independent scheduling discovery Model1","older_2015_2018","1","10000","outputs\reversion_independent_v2_discovery_model1_package\configs\001_ri2_control_older_2015_2018_m1.ini","outputs\reversion_independent_v2_discovery_model1_package\configs\001_ri2_control_older_2015_2018_m1.ini","ri2_control_older_2015_2018_m1","outputs\reversion_independent_v2_discovery_model1_package\reports_here\ri2_control_older_2015_2018_m1","4321A057F9D25A64A06FD43C517B10C7E7EA95FA15470D3C77957182E3C56CF6","Corrected discovery only through 2020: require exact control compatibility, each candidate broad-era net at least control, no active annual result worse than control, continuous net above control, PF at least 3.00, DD at or below 1.00%, and neighboring DI/risk support before any retrospective 2021-2026 implementation check."
"2","ri2_control","corrected_discovery_model1","Corrected reversion independent scheduling discovery Model1","discovery_2019_2020","1","10000","outputs\reversion_independent_v2_discovery_model1_package\configs\002_ri2_control_discovery_2019_2020_m1.ini","outputs\reversion_independent_v2_discovery_model1_package\configs\002_ri2_control_discovery_2019_2020_m1.ini","ri2_control_discovery_2019_2020_m1","outputs\reversion_independent_v2_discovery_model1_package\reports_here\ri2_control_discovery_2019_2020_m1","4321A057F9D25A64A06FD43C517B10C7E7EA95FA15470D3C77957182E3C56CF6","Corrected discovery only through 2020: require exact control compatibility, each candidate broad-era net at least control, no active annual result worse than control, continuous net above control, PF at least 3.00, DD at or below 1.00%, and neighboring DI/risk support before any retrospective 2021-2026 implementation check."
"3","ri2_control","corrected_discovery_model1","Corrected reversion independent scheduling discovery Model1","continuous_2015_2020","1","10000","outputs\reversion_independent_v2_discovery_model1_package\configs\003_ri2_control_continuous_2015_2020_m1.ini","outputs\reversion_independent_v2_discovery_model1_package\configs\003_ri2_control_continuous_2015_2020_m1.ini","ri2_control_continuous_2015_2020_m1","outputs\reversion_independent_v2_discovery_model1_package\reports_here\ri2_control_continuous_2015_2020_m1","4321A057F9D25A64A06FD43C517B10C7E7EA95FA15470D3C77957182E3C56CF6","Corrected discovery only through 2020: require exact control compatibility, each candidate broad-era net at least control, no active annual result worse than control, continuous net above control, PF at least 3.00, DD at or below 1.00%, and neighboring DI/risk support before any retrospective 2021-2026 implementation check."
"4","ri2_control","corrected_discovery_model1","Corrected reversion independent scheduling discovery Model1","year_2015","1","10000","outputs\reversion_independent_v2_discovery_model1_package\configs\004_ri2_control_year_2015_m1.ini","outputs\reversion_independent_v2_discovery_model1_package\configs\004_ri2_control_year_2015_m1.ini","ri2_control_year_2015_m1","outputs\reversion_independent_v2_discovery_model1_package\reports_here\ri2_control_year_2015_m1","4321A057F9D25A64A06FD43C517B10C7E7EA95FA15470D3C77957182E3C56CF6","Corrected discovery only through 2020: require exact control compatibility, each candidate broad-era net at least control, no active annual result worse than control, continuous net above control, PF at least 3.00, DD at or below 1.00%, and neighboring DI/risk support before any retrospective 2021-2026 implementation check."
"5","ri2_control","corrected_discovery_model1","Corrected reversion independent scheduling discovery Model1","year_2016","1","10000","outputs\reversion_independent_v2_discovery_model1_package\configs\005_ri2_control_year_2016_m1.ini","outputs\reversion_independent_v2_discovery_model1_package\configs\005_ri2_control_year_2016_m1.ini","ri2_control_year_2016_m1","outputs\reversion_independent_v2_discovery_model1_package\reports_here\ri2_control_year_2016_m1","4321A057F9D25A64A06FD43C517B10C7E7EA95FA15470D3C77957182E3C56CF6","Corrected discovery only through 2020: require exact control compatibility, each candidate broad-era net at least control, no active annual result worse than control, continuous net above control, PF at least 3.00, DD at or below 1.00%, and neighboring DI/risk support before any retrospective 2021-2026 implementation check."
"6","ri2_control","corrected_discovery_model1","Corrected reversion independent scheduling discovery Model1","year_2017","1","10000","outputs\reversion_independent_v2_discovery_model1_package\configs\006_ri2_control_year_2017_m1.ini","outputs\reversion_independent_v2_discovery_model1_package\configs\006_ri2_control_year_2017_m1.ini","ri2_control_year_2017_m1","outputs\reversion_independent_v2_discovery_model1_package\reports_here\ri2_control_year_2017_m1","4321A057F9D25A64A06FD43C517B10C7E7EA95FA15470D3C77957182E3C56CF6","Corrected discovery only through 2020: require exact control compatibility, each candidate broad-era net at least control, no active annual result worse than control, continuous net above control, PF at least 3.00, DD at or below 1.00%, and neighboring DI/risk support before any retrospective 2021-2026 implementation check."
"7","ri2_control","corrected_discovery_model1","Corrected reversion independent scheduling discovery Model1","year_2018","1","10000","outputs\reversion_independent_v2_discovery_model1_package\configs\007_ri2_control_year_2018_m1.ini","outputs\reversion_independent_v2_discovery_model1_package\configs\007_ri2_control_year_2018_m1.ini","ri2_control_year_2018_m1","outputs\reversion_independent_v2_discovery_model1_package\reports_here\ri2_control_year_2018_m1","4321A057F9D25A64A06FD43C517B10C7E7EA95FA15470D3C77957182E3C56CF6","Corrected discovery only through 2020: require exact control compatibility, each candidate broad-era net at least control, no active annual result worse than control, continuous net above control, PF at least 3.00, DD at or below 1.00%, and neighboring DI/risk support before any retrospective 2021-2026 implementation check."
"8","ri2_control","corrected_discovery_model1","Corrected reversion independent scheduling discovery Model1","year_2019","1","10000","outputs\reversion_independent_v2_discovery_model1_package\configs\008_ri2_control_year_2019_m1.ini","outputs\reversion_independent_v2_discovery_model1_package\configs\008_ri2_control_year_2019_m1.ini","ri2_control_year_2019_m1","outputs\reversion_independent_v2_discovery_model1_package\reports_here\ri2_control_year_2019_m1","4321A057F9D25A64A06FD43C517B10C7E7EA95FA15470D3C77957182E3C56CF6","Corrected discovery only through 2020: require exact control compatibility, each candidate broad-era net at least control, no active annual result worse than control, continuous net above control, PF at least 3.00, DD at or below 1.00%, and neighboring DI/risk support before any retrospective 2021-2026 implementation check."
"9","ri2_control","corrected_discovery_model1","Corrected reversion independent scheduling discovery Model1","year_2020","1","10000","outputs\reversion_independent_v2_discovery_model1_package\configs\009_ri2_control_year_2020_m1.ini","outputs\reversion_independent_v2_discovery_model1_package\configs\009_ri2_control_year_2020_m1.ini","ri2_control_year_2020_m1","outputs\reversion_independent_v2_discovery_model1_package\reports_here\ri2_control_year_2020_m1","4321A057F9D25A64A06FD43C517B10C7E7EA95FA15470D3C77957182E3C56CF6","Corrected discovery only through 2020: require exact control compatibility, each candidate broad-era net at least control, no active annual result worse than control, continuous net above control, PF at least 3.00, DD at or below 1.00%, and neighboring DI/risk support before any retrospective 2021-2026 implementation check."
"10","ri2_m12_r30","corrected_discovery_model1","Corrected reversion independent scheduling discovery Model1","older_2015_2018","1","10000","outputs\reversion_independent_v2_discovery_model1_package\configs\010_ri2_m12_r30_older_2015_2018_m1.ini","outputs\reversion_independent_v2_discovery_model1_package\configs\010_ri2_m12_r30_older_2015_2018_m1.ini","ri2_m12_r30_older_2015_2018_m1","outputs\reversion_independent_v2_discovery_model1_package\reports_here\ri2_m12_r30_older_2015_2018_m1","E2D3CEB1412B8E1C735114CCBC22BE781A85C75077A73238ECAF6922FD659B11","Corrected discovery only through 2020: require exact control compatibility, each candidate broad-era net at least control, no active annual result worse than control, continuous net above control, PF at least 3.00, DD at or below 1.00%, and neighboring DI/risk support before any retrospective 2021-2026 implementation check."
