"QueueRank","Candidate","CandidateRank","SourceType","SourceRank","Phase","Set","Window","From","To","Model","Deposit","Config","ExpectedReportName","ProfileSnapshot","ProfileSha256","BaseProfileSha256","SourceSha256","IndependentAttempt","DIEdge","BandRiskMultiplier","MaxPositions","StopRule"
"1","ri2_control","1","reversion_independent_v2","1","corrected_discovery_model1","ri2_control.set","older_2015_2018","2015.01.01","2018.12.31","1","10000","configs\001_ri2_control_older_2015_2018_m1.ini","ri2_control_older_2015_2018_m1","profiles\ri2_control.set","4321A057F9D25A64A06FD43C517B10C7E7EA95FA15470D3C77957182E3C56CF6","2E02246D24250D71DEC59A42AD1D7DE793614EBECEB309A879FE873D8F886312","55E2AA9750880146B07A821CC773C8F4C71F21981F41E03EB4D1121602410363","false","-12","0.10","1","Corrected discovery only through 2020: require exact control compatibility, each candidate broad-era net at least control, no active annual result worse than control, continuous net above control, PF at least 3.00, DD at or below 1.00%, and neighboring DI/risk support before any retrospective 2021-2026 implementation check."
"2","ri2_control","1","reversion_independent_v2","1","corrected_discovery_model1","ri2_control.set","discovery_2019_2020","2019.01.01","2020.12.31","1","10000","configs\002_ri2_control_discovery_2019_2020_m1.ini","ri2_control_discovery_2019_2020_m1","profiles\ri2_control.set","4321A057F9D25A64A06FD43C517B10C7E7EA95FA15470D3C77957182E3C56CF6","2E02246D24250D71DEC59A42AD1D7DE793614EBECEB309A879FE873D8F886312","55E2AA9750880146B07A821CC773C8F4C71F21981F41E03EB4D1121602410363","false","-12","0.10","1","Corrected discovery only through 2020: require exact control compatibility, each candidate broad-era net at least control, no active annual result worse than control, continuous net above control, PF at least 3.00, DD at or below 1.00%, and neighboring DI/risk support before any retrospective 2021-2026 implementation check."
"3","ri2_control","1","reversion_independent_v2","1","corrected_discovery_model1","ri2_control.set","continuous_2015_2020","2015.01.01","2020.12.31","1","10000","configs\003_ri2_control_continuous_2015_2020_m1.ini","ri2_control_continuous_2015_2020_m1","profiles\ri2_control.set","4321A057F9D25A64A06FD43C517B10C7E7EA95FA15470D3C77957182E3C56CF6","2E02246D24250D71DEC59A42AD1D7DE793614EBECEB309A879FE873D8F886312","55E2AA9750880146B07A821CC773C8F4C71F21981F41E03EB4D1121602410363","false","-12","0.10","1","Corrected discovery only through 2020: require exact control compatibility, each candidate broad-era net at least control, no active annual result worse than control, continuous net above control, PF at least 3.00, DD at or below 1.00%, and neighboring DI/risk support before any retrospective 2021-2026 implementation check."
"4","ri2_control","1","reversion_independent_v2","1","corrected_discovery_model1","ri2_control.set","year_2015","2015.01.01","2015.12.31","1","10000","configs\004_ri2_control_year_2015_m1.ini","ri2_control_year_2015_m1","profiles\ri2_control.set","4321A057F9D25A64A06FD43C517B10C7E7EA95FA15470D3C77957182E3C56CF6","2E02246D24250D71DEC59A42AD1D7DE793614EBECEB309A879FE873D8F886312","55E2AA9750880146B07A821CC773C8F4C71F21981F41E03EB4D1121602410363","false","-12","0.10","1","Corrected discovery only through 2020: require exact control compatibility, each candidate broad-era net at least control, no active annual result worse than control, continuous net above control, PF at least 3.00, DD at or below 1.00%, and neighboring DI/risk support before any retrospective 2021-2026 implementation check."
"5","ri2_control","1","reversion_independent_v2","1","corrected_discovery_model1","ri2_control.set","year_2016","2016.01.01","2016.12.31","1","10000","configs\005_ri2_control_year_2016_m1.ini","ri2_control_year_2016_m1","profiles\ri2_control.set","4321A057F9D25A64A06FD43C517B10C7E7EA95FA15470D3C77957182E3C56CF6","2E02246D24250D71DEC59A42AD1D7DE793614EBECEB309A879FE873D8F886312","55E2AA9750880146B07A821CC773C8F4C71F21981F41E03EB4D1121602410363","false","-12","0.10","1","Corrected discovery only through 2020: require exact control compatibility, each candidate broad-era net at least control, no active annual result worse than control, continuous net above control, PF at least 3.00, DD at or below 1.00%, and neighboring DI/risk support before any retrospective 2021-2026 implementation check."
"6","ri2_control","1","reversion_independent_v2","1","corrected_discovery_model1","ri2_control.set","year_2017","2017.01.01","2017.12.31","1","10000","configs\006_ri2_control_year_2017_m1.ini","ri2_control_year_2017_m1","profiles\ri2_control.set","4321A057F9D25A64A06FD43C517B10C7E7EA95FA15470D3C77957182E3C56CF6","2E02246D24250D71DEC59A42AD1D7DE793614EBECEB309A879FE873D8F886312","55E2AA9750880146B07A821CC773C8F4C71F21981F41E03EB4D1121602410363","false","-12","0.10","1","Corrected discovery only through 2020: require exact control compatibility, each candidate broad-era net at least control, no active annual result worse than control, continuous net above control, PF at least 3.00, DD at or below 1.00%, and neighboring DI/risk support before any retrospective 2021-2026 implementation check."
"7","ri2_control","1","reversion_independent_v2","1","corrected_discovery_model1","ri2_control.set","year_2018","2018.01.01","2018.12.31","1","10000","configs\007_ri2_control_year_2018_m1.ini","ri2_control_year_2018_m1","profiles\ri2_control.set","4321A057F9D25A64A06FD43C517B10C7E7EA95FA15470D3C77957182E3C56CF6","2E02246D24250D71DEC59A42AD1D7DE793614EBECEB309A879FE873D8F886312","55E2AA9750880146B07A821CC773C8F4C71F21981F41E03EB4D1121602410363","false","-12","0.10","1","Corrected discovery only through 2020: require exact control compatibility, each candidate broad-era net at least control, no active annual result worse than control, continuous net above control, PF at least 3.00, DD at or below 1.00%, and neighboring DI/risk support before any retrospective 2021-2026 implementation check."
"8","ri2_control","1","reversion_independent_v2","1","corrected_discovery_model1","ri2_control.set","year_2019","2019.01.01","2019.12.31","1","10000","configs\008_ri2_control_year_2019_m1.ini","ri2_control_year_2019_m1","profiles\ri2_control.set","4321A057F9D25A64A06FD43C517B10C7E7EA95FA15470D3C77957182E3C56CF6","2E02246D24250D71DEC59A42AD1D7DE793614EBECEB309A879FE873D8F886312","55E2AA9750880146B07A821CC773C8F4C71F21981F41E03EB4D1121602410363","false","-12","0.10","1","Corrected discovery only through 2020: require exact control compatibility, each candidate broad-era net at least control, no active annual result worse than control, continuous net above control, PF at least 3.00, DD at or below 1.00%, and neighboring DI/risk support before any retrospective 2021-2026 implementation check."
"9","ri2_control","1","reversion_independent_v2","1","corrected_discovery_model1","ri2_control.set","year_2020","2020.01.01","2020.12.31","1","10000","configs\009_ri2_control_year_2020_m1.ini","ri2_control_year_2020_m1","profiles\ri2_control.set","4321A057F9D25A64A06FD43C517B10C7E7EA95FA15470D3C77957182E3C56CF6","2E02246D24250D71DEC59A42AD1D7DE793614EBECEB309A879FE873D8F886312","55E2AA9750880146B07A821CC773C8F4C71F21981F41E03EB4D1121602410363","false","-12","0.10","1","Corrected discovery only through 2020: require exact control compatibility, each candidate broad-era net at least control, no active annual result worse than control, continuous net above control, PF at least 3.00, DD at or below 1.00%, and neighboring DI/risk support before any retrospective 2021-2026 implementation check."
"10","ri2_m12_r30","2","reversion_independent_v2","1","corrected_discovery_model1","ri2_m12_r30.set","older_2015_2018","2015.01.01","2018.12.31","1","10000","configs\010_ri2_m12_r30_older_2015_2018_m1.ini","ri2_m12_r30_older_2015_2018_m1","profiles\ri2_m12_r30.set","E2D3CEB1412B8E1C735114CCBC22BE781A85C75077A73238ECAF6922FD659B11","2E02246D24250D71DEC59A42AD1D7DE793614EBECEB309A879FE873D8F886312","55E2AA9750880146B07A821CC773C8F4C71F21981F41E03EB4D1121602410363","true","-12","0.30","2","Corrected discovery only through 2020: require exact control compatibility, each candidate broad-era net at least control, no active annual result worse than control, continuous net above control, PF at least 3.00, DD at or below 1.00%, and neighboring DI/risk support before any retrospective 2021-2026 implementation check."
