"QueueRank","Candidate","Window","Model","Status","Action","Config","ConfigExists","ExpectedReportName","FirstPassInbox","MaxCpuPercent","Reports","Evidence","Started","Finished"
"1","ri2_control","older_2015_2018","1","REPORT_FOUND","RUN_HIDDEN","outputs\reversion_independent_v2_discovery_model1_package\configs\001_ri2_control_older_2015_2018_m1.ini","True","ri2_control_older_2015_2018_m1","outputs\returned_mt5_reports\first_pass_inbox","80","C:\Users\Ant\Documents\Codex\2026-07-03\absolutely-here-s-a-summary-you\outputs\returned_mt5_reports\first_pass_inbox\ri2_control_older_2015_2018_m1.htm","Copied 1 report file(s) into the first-pass inbox.","2026-07-16T20:41:09","2026-07-16T20:41:25"
"2","ri2_control","discovery_2019_2020","1","REPORT_FOUND","RUN_HIDDEN","outputs\reversion_independent_v2_discovery_model1_package\configs\002_ri2_control_discovery_2019_2020_m1.ini","True","ri2_control_discovery_2019_2020_m1","outputs\returned_mt5_reports\first_pass_inbox","80","C:\Users\Ant\Documents\Codex\2026-07-03\absolutely-here-s-a-summary-you\outputs\returned_mt5_reports\first_pass_inbox\ri2_control_discovery_2019_2020_m1.htm","Copied 1 report file(s) into the first-pass inbox.","2026-07-16T20:41:25","2026-07-16T20:41:38"
"3","ri2_control","continuous_2015_2020","1","REPORT_FOUND","RUN_HIDDEN","outputs\reversion_independent_v2_discovery_model1_package\configs\003_ri2_control_continuous_2015_2020_m1.ini","True","ri2_control_continuous_2015_2020_m1","outputs\returned_mt5_reports\first_pass_inbox","80","C:\Users\Ant\Documents\Codex\2026-07-03\absolutely-here-s-a-summary-you\outputs\returned_mt5_reports\first_pass_inbox\ri2_control_continuous_2015_2020_m1.htm","Copied 1 report file(s) into the first-pass inbox.","2026-07-16T20:41:38","2026-07-16T20:41:59"
"4","ri2_control","year_2015","1","REPORT_FOUND","RUN_HIDDEN","outputs\reversion_independent_v2_discovery_model1_package\configs\004_ri2_control_year_2015_m1.ini","True","ri2_control_year_2015_m1","outputs\returned_mt5_reports\first_pass_inbox","80","C:\Users\Ant\Documents\Codex\2026-07-03\absolutely-here-s-a-summary-you\outputs\returned_mt5_reports\first_pass_inbox\ri2_control_year_2015_m1.htm","Copied 1 report file(s) into the first-pass inbox.","2026-07-16T20:41:59","2026-07-16T20:42:11"
"5","ri2_control","year_2016","1","REPORT_FOUND","RUN_HIDDEN","outputs\reversion_independent_v2_discovery_model1_package\configs\005_ri2_control_year_2016_m1.ini","True","ri2_control_year_2016_m1","outputs\returned_mt5_reports\first_pass_inbox","80","C:\Users\Ant\Documents\Codex\2026-07-03\absolutely-here-s-a-summary-you\outputs\returned_mt5_reports\first_pass_inbox\ri2_control_year_2016_m1.htm","Copied 1 report file(s) into the first-pass inbox.","2026-07-16T20:42:11","2026-07-16T20:42:21"
"6","ri2_control","year_2017","1","REPORT_FOUND","RUN_HIDDEN","outputs\reversion_independent_v2_discovery_model1_package\configs\006_ri2_control_year_2017_m1.ini","True","ri2_control_year_2017_m1","outputs\returned_mt5_reports\first_pass_inbox","80","C:\Users\Ant\Documents\Codex\2026-07-03\absolutely-here-s-a-summary-you\outputs\returned_mt5_reports\first_pass_inbox\ri2_control_year_2017_m1.htm","Copied 1 report file(s) into the first-pass inbox.","2026-07-16T20:42:21","2026-07-16T20:42:32"
"7","ri2_control","year_2018","1","REPORT_FOUND","RUN_HIDDEN","outputs\reversion_independent_v2_discovery_model1_package\configs\007_ri2_control_year_2018_m1.ini","True","ri2_control_year_2018_m1","outputs\returned_mt5_reports\first_pass_inbox","80","C:\Users\Ant\Documents\Codex\2026-07-03\absolutely-here-s-a-summary-you\outputs\returned_mt5_reports\first_pass_inbox\ri2_control_year_2018_m1.htm","Copied 1 report file(s) into the first-pass inbox.","2026-07-16T20:42:32","2026-07-16T20:42:45"
"8","ri2_control","year_2019","1","REPORT_FOUND","RUN_HIDDEN","outputs\reversion_independent_v2_discovery_model1_package\configs\008_ri2_control_year_2019_m1.ini","True","ri2_control_year_2019_m1","outputs\returned_mt5_reports\first_pass_inbox","80","C:\Users\Ant\Documents\Codex\2026-07-03\absolutely-here-s-a-summary-you\outputs\returned_mt5_reports\first_pass_inbox\ri2_control_year_2019_m1.htm","Copied 1 report file(s) into the first-pass inbox.","2026-07-16T20:42:45","2026-07-16T20:43:04"
"9","ri2_control","year_2020","1","REPORT_FOUND","RUN_HIDDEN","outputs\reversion_independent_v2_discovery_model1_package\configs\009_ri2_control_year_2020_m1.ini","True","ri2_control_year_2020_m1","outputs\returned_mt5_reports\first_pass_inbox","80","C:\Users\Ant\Documents\Codex\2026-07-03\absolutely-here-s-a-summary-you\outputs\returned_mt5_reports\first_pass_inbox\ri2_control_year_2020_m1.htm","Copied 1 report file(s) into the first-pass inbox.","2026-07-16T20:43:04","2026-07-16T20:43:24"
"10","ri2_m12_r30","older_2015_2018","1","REPORT_FOUND","RUN_HIDDEN","outputs\reversion_independent_v2_discovery_model1_package\configs\010_ri2_m12_r30_older_2015_2018_m1.ini","True","ri2_m12_r30_older_2015_2018_m1","outputs\returned_mt5_reports\first_pass_inbox","80","C:\Users\Ant\Documents\Codex\2026-07-03\absolutely-here-s-a-summary-you\outputs\returned_mt5_reports\first_pass_inbox\ri2_m12_r30_older_2015_2018_m1.htm","Copied 1 report file(s) into the first-pass inbox.","2026-07-16T20:43:24","2026-07-16T20:43:48"
