"Dimension","Segment","Trades","NetProfit","GrossProfit","GrossLoss","ProfitFactor","WinRatePercent","AverageProfit","AverageHoldMinutes"
"Overall","all","21","279.9","389.36","109.46","3.5571","57.14","13.33","10722.56"
"EntrySubtype","liquidity_sweep","1","-12","0","12","0","0","-12","52.67"
"EntrySubtype","other","14","168.44","249.75","81.31","3.0716","50","12.03","16049.53"
"EntrySubtype","trend_fallback","6","123.46","139.61","16.15","8.6446","83.33","20.58","71.28"
"EntryHour","1","3","35.93","68.2","32.27","2.1134","33.33","11.98","38615.11"
"EntryHour","10","5","78.34","111.46","33.12","3.3653","60","15.67","1001.14"
"EntryHour","15","1","28.88","28.88","0","INF","100","28.88","176.67"
"EntryHour","16","2","-24.95","0","24.95","0","0","-12.48","68"
"EntryHour","18","2","51.67","51.67","0","INF","100","25.84","22567.84"
"EntryHour","2","1","88.47","88.47","0","INF","100","88.47","57515"
"EntryHour","20","1","3.67","3.67","0","INF","100","3.67","665.67"
"EntryHour","21","2","5.73","8.86","3.13","2.8307","50","2.86","144.33"
"EntryHour","22","1","-3.99","0","3.99","0","0","-3.99","225.67"
"EntryHour","9","3","16.15","28.15","12","2.3458","66.67","5.38","59.78"
"EntryYear","2015","2","19.63","33.19","13.56","2.4476","50","9.81","23876.34"
"EntryYear","2016","1","88.47","88.47","0","INF","100","88.47","57515"
"EntryYear","2017","2","-17.15","0","17.15","0","0","-8.57","139.5"
"EntryYear","2018","5","100.52","119.23","18.71","6.3725","80","20.1","22814.14"
"EntryYear","2019","2","-20.1","0","20.1","0","0","-10.05","2374"
"EntryYear","2020","9","108.53","148.47","39.94","3.7173","66.67","12.06","89.82"
"EntryMonth","1","1","8.86","8.86","0","INF","100","8.86","245.33"
"EntryMonth","10","2","21.07","24.2","3.13","7.7316","50","10.54","57.16"
"EntryMonth","11","3","0.92","33.19","32.27","1.0285","33.33","0.31","20036.78"
"EntryMonth","2","4","59.53","88.47","28.94","3.057","25","14.88","14469.17"
"EntryMonth","3","1","52.32","52.32","0","INF","100","52.32","103.67"
"EntryMonth","4","1","58.2","58.2","0","INF","100","58.2","40.67"
"EntryMonth","5","2","1.51","18.48","16.97","1.089","50","0.76","2387.67"
"EntryMonth","6","2","52.05","68.2","16.15","4.2229","50","26.02","50418.34"
"EntryMonth","7","1","0.94","0.94","0","INF","100","0.94","120"
"EntryMonth","8","1","3.67","3.67","0","INF","100","3.67","665.67"
"EntryMonth","9","3","20.83","32.83","12","2.7358","66.67","6.94","95"
"Side","buy","13","252.01","288.1","36.09","7.9828","69.23","19.39","8372.26"
"Side","sell","8","27.89","101.26","73.37","1.3801","37.5","3.49","14541.79"
"DayOfWeek","Friday","3","82.14","82.14","0","INF","100","27.38","133.45"
"DayOfWeek","Monday","4","30.21","68.2","37.99","1.7952","25","7.55","28309.42"
"DayOfWeek","Thursday","7","133.44","158.39","24.95","6.3483","71.43","19.06","14814"
"DayOfWeek","Tuesday","5","59.67","80.63","20.96","3.8469","60","11.93","1019.47"
"DayOfWeek","Wednesday","2","-25.56","0","25.56","0","0","-12.78","1370.17"
