"Candidate","MomentumRiskPercent","DIThreshold","BodyGate","MinimumBodyPercent","Older2015To2018Net","Net2019","PF2019","Net2020","PF2020","Repair2019To2020Net","Continuous2015To2020Net","ContinuousProfitFactor","ContinuousExpectedPayoff","ContinuousTrades","ContinuousMaxDrawdownPercent","ContinuousReturnToDrawdown","BaseGatePass","FailedBaseGates","FamilyDiscoveryPass","Decision"
"rsg_mo015_body25","0.15","-12","True","25","591.58","-4.98","0.98","64.31","1.24","59.33","645.2","1.47","3.06","211","1.4","4.61","False","2019-net;2019-pf;continuous-pf","False","REJECTED_NO_HOLDOUT_NO_MODEL4"
"rsg_mo015_combo20","0.15","-10","True","20","599.56","-4.98","0.98","66.3","1.25","61.32","655.17","1.48","3.11","211","1.49","4.4","False","2019-net;2019-pf;continuous-pf","False","REJECTED_NO_HOLDOUT_NO_MODEL4"
"rsg_mo015_combo25","0.15","-10","True","25","547.52","-4.98","0.98","109.32","1.49","104.34","650.1","1.51","3.13","208","1.41","4.61","False","2019-net;2019-pf","False","REJECTED_NO_HOLDOUT_NO_MODEL4"
"rsg_mo015_combo25_di08","0.15","-8","True","25","505.25","26.32","1.13","163.81","1.9","190.13","678.43","1.56","3.31","205","1.12","6.06","True","","False","REJECTED_NO_HOLDOUT_NO_MODEL4"
"rsg_mo015_combo30","0.15","-10","True","30","614.32","-4.98","0.98","59.98","1.33","55","663.61","1.56","3.25","204","1.4","4.74","False","2019-net;2019-pf","False","REJECTED_NO_HOLDOUT_NO_MODEL4"
"rsg_mo015_control","0.15","-12","False","25","814.7","-4.98","0.98","-100.47","0.77","-105.45","694.13","1.42","3.09","225","2.77","2.51","False","2019-net;2019-pf;2020-net;2020-pf;repair-sum;continuous-pf","False","REJECTED_NO_HOLDOUT_NO_MODEL4"
"rsg_mo015_di10","0.15","-10","False","25","663.37","-4.98","0.98","66.3","1.25","61.32","719.25","1.51","3.33","216","1.49","4.83","False","2019-net;2019-pf","False","REJECTED_NO_HOLDOUT_NO_MODEL4"
"rsg_mo020_body25","0.2","-12","True","25","743.65","-2.17","0.99","81.8","1.23","79.63","859.99","1.46","4.08","211","1.69","5.09","False","2019-net;2019-pf;continuous-pf","False","REJECTED_NO_HOLDOUT_NO_MODEL4"
"rsg_mo020_combo20","0.2","-10","True","20","761.8","-2.17","0.99","83.79","1.24","81.62","880.13","1.47","4.17","211","1.75","5.03","False","2019-net;2019-pf;continuous-pf","False","REJECTED_NO_HOLDOUT_NO_MODEL4"
"rsg_mo020_combo25","0.2","-10","True","25","683.43","-2.17","0.99","126.81","1.41","124.64","836.21","1.47","4.02","208","1.7","4.92","False","2019-net;2019-pf;continuous-pf","False","REJECTED_NO_HOLDOUT_NO_MODEL4"
"rsg_mo020_combo25_di08","0.2","-8","True","25","644.31","29.13","1.1","179.59","1.66","208.72","867.69","1.51","4.23","205","1.41","6.15","True","","False","REJECTED_NO_HOLDOUT_NO_MODEL4"
"rsg_mo020_combo30","0.2","-10","True","30","781.47","-2.17","0.99","77.47","1.29","75.3","893.48","1.53","4.38","204","1.68","5.32","False","2019-net;2019-pf","False","REJECTED_NO_HOLDOUT_NO_MODEL4"
"rsg_mo020_control","0.2","-12","False","25","936.3","-2.17","0.99","-82.98","0.84","-85.15","889.12","1.41","3.95","225","3.05","2.92","False","2019-net;2019-pf;2020-net;2020-pf;repair-sum;continuous-pf;drawdown","False","REJECTED_NO_HOLDOUT_NO_MODEL4"
"rsg_mo020_di10","0.2","-10","False","25","816.88","-2.17","0.99","83.79","1.24","81.62","954.8","1.49","4.42","216","1.74","5.49","False","2019-net;2019-pf;continuous-pf","False","REJECTED_NO_HOLDOUT_NO_MODEL4"
