"QueueRank","Candidate","Role","Phase","Window","From","To","Model","Deposit","ExpectedReportName","Status","ReportPath","ProfileSha256","SourceSha256","RunLabel","RVRiskPercent","MORiskPercent","RVMinimumDIEdge","RVUseMinimumBodyGate","RVMinimumBodyPercent","InitialDeposit","CalendarDays","Years","NetProfit","Balance","TotalReturnPercent","AnnualizedReturnPercent","CagrPercent","ProfitFactor","ExpectedPayoff","SharpeRatio","WinRatePercent","TotalTrades","MaxConsecutiveLosses","MaxDrawdownMoney","MaxDrawdownPercent","RecoveryFactor"
"1","rsg_mo015_control","control","discovery_model1","older_2015_2018","2015.01.01","2018.12.31","1","10000","rsg_mo015_control_older_2015_2018_m1","PARSED","outputs\reversion_shock_guard_portfolio_discovery_model1_package\reports_here\rsg_mo015_control_older_2015_2018_m1.htm","AF44DDFDBB8EBC0F7AB1BBD3DD0480C9C5AE621BFCFFBB1F27AC3B8F7A2C8F48","A681A1371E3DC2A07234C373F9E4574CC16F0E3C96C9C48E2B703962D2A5B8A9","reversion_shock_guard_portfolio_discovery_model1","0.45","0.15","-12.0","false","25.0","10000","1460","3.9973","814.7","10814.7","8.15","2.04","1.98","1.87","5.36","7.37","46.05","152","5","105.51","1.01","7.7215"
"2","rsg_mo015_control","control","discovery_model1","repair_2019","2019.01.01","2019.12.31","1","10000","rsg_mo015_control_repair_2019_m1","PARSED","outputs\reversion_shock_guard_portfolio_discovery_model1_package\reports_here\rsg_mo015_control_repair_2019_m1.htm","AF44DDFDBB8EBC0F7AB1BBD3DD0480C9C5AE621BFCFFBB1F27AC3B8F7A2C8F48","A681A1371E3DC2A07234C373F9E4574CC16F0E3C96C9C48E2B703962D2A5B8A9","reversion_shock_guard_portfolio_discovery_model1","0.45","0.15","-12.0","false","25.0","10000","364","0.9966","-4.98","9995.02","-0.05","-0.05","-0.05","0.98","-0.13","-0.26","35.14","37","7","127.85","1.26","-0.039"
"3","rsg_mo015_control","control","discovery_model1","repair_2020","2020.01.01","2020.12.31","1","10000","rsg_mo015_control_repair_2020_m1","PARSED","outputs\reversion_shock_guard_portfolio_discovery_model1_package\reports_here\rsg_mo015_control_repair_2020_m1.htm","AF44DDFDBB8EBC0F7AB1BBD3DD0480C9C5AE621BFCFFBB1F27AC3B8F7A2C8F48","A681A1371E3DC2A07234C373F9E4574CC16F0E3C96C9C48E2B703962D2A5B8A9","reversion_shock_guard_portfolio_discovery_model1","0.45","0.15","-12.0","false","25.0","10000","365","0.9993","-100.47","9899.53","-1","-1.01","-1.01","0.77","-2.87","-3.33","40","35","6","313.42","3.08","-0.3206"
"4","rsg_mo015_control","control","discovery_model1","continuous_2015_2020","2015.01.01","2020.12.31","1","10000","rsg_mo015_control_continuous_2015_2020_m1","PARSED","outputs\reversion_shock_guard_portfolio_discovery_model1_package\reports_here\rsg_mo015_control_continuous_2015_2020_m1.htm","AF44DDFDBB8EBC0F7AB1BBD3DD0480C9C5AE621BFCFFBB1F27AC3B8F7A2C8F48","A681A1371E3DC2A07234C373F9E4574CC16F0E3C96C9C48E2B703962D2A5B8A9","reversion_shock_guard_portfolio_discovery_model1","0.45","0.15","-12.0","false","25.0","10000","2191","5.9986","694.13","10694.13","6.94","1.16","1.13","1.42","3.09","4.23","43.11","225","7","303.87","2.77","2.2843"
"5","rsg_mo015_di10","di_only","discovery_model1","older_2015_2018","2015.01.01","2018.12.31","1","10000","rsg_mo015_di10_older_2015_2018_m1","PARSED","outputs\reversion_shock_guard_portfolio_discovery_model1_package\reports_here\rsg_mo015_di10_older_2015_2018_m1.htm","6BD332BF889936A29A23FA7AFDE6AE2F0BD03D9617EDF64DFF8924BE883D4DA1","A681A1371E3DC2A07234C373F9E4574CC16F0E3C96C9C48E2B703962D2A5B8A9","reversion_shock_guard_portfolio_discovery_model1","0.45","0.15","-10.0","false","25.0","10000","1460","3.9973","663.37","10663.37","6.63","1.66","1.62","1.75","4.51","6.66","45.58","147","5","94.98","0.92","6.9843"
"6","rsg_mo015_di10","di_only","discovery_model1","repair_2019","2019.01.01","2019.12.31","1","10000","rsg_mo015_di10_repair_2019_m1","PARSED","outputs\reversion_shock_guard_portfolio_discovery_model1_package\reports_here\rsg_mo015_di10_repair_2019_m1.htm","6BD332BF889936A29A23FA7AFDE6AE2F0BD03D9617EDF64DFF8924BE883D4DA1","A681A1371E3DC2A07234C373F9E4574CC16F0E3C96C9C48E2B703962D2A5B8A9","reversion_shock_guard_portfolio_discovery_model1","0.45","0.15","-10.0","false","25.0","10000","364","0.9966","-4.98","9995.02","-0.05","-0.05","-0.05","0.98","-0.13","-0.26","35.14","37","7","127.85","1.26","-0.039"
"7","rsg_mo015_di10","di_only","discovery_model1","repair_2020","2020.01.01","2020.12.31","1","10000","rsg_mo015_di10_repair_2020_m1","PARSED","outputs\reversion_shock_guard_portfolio_discovery_model1_package\reports_here\rsg_mo015_di10_repair_2020_m1.htm","6BD332BF889936A29A23FA7AFDE6AE2F0BD03D9617EDF64DFF8924BE883D4DA1","A681A1371E3DC2A07234C373F9E4574CC16F0E3C96C9C48E2B703962D2A5B8A9","reversion_shock_guard_portfolio_discovery_model1","0.45","0.15","-10.0","false","25.0","10000","365","0.9993","66.3","10066.3","0.66","0.66","0.66","1.25","2.14","3.32","45.16","31","3","161.36","1.59","0.4109"
"8","rsg_mo015_di10","di_only","discovery_model1","continuous_2015_2020","2015.01.01","2020.12.31","1","10000","rsg_mo015_di10_continuous_2015_2020_m1","PARSED","outputs\reversion_shock_guard_portfolio_discovery_model1_package\reports_here\rsg_mo015_di10_continuous_2015_2020_m1.htm","6BD332BF889936A29A23FA7AFDE6AE2F0BD03D9617EDF64DFF8924BE883D4DA1","A681A1371E3DC2A07234C373F9E4574CC16F0E3C96C9C48E2B703962D2A5B8A9","reversion_shock_guard_portfolio_discovery_model1","0.45","0.15","-10.0","false","25.0","10000","2191","5.9986","719.25","10719.25","7.19","1.2","1.16","1.51","3.33","5.07","43.52","216","7","160.57","1.49","4.4794"
"9","rsg_mo015_body25","body_only","discovery_model1","older_2015_2018","2015.01.01","2018.12.31","1","10000","rsg_mo015_body25_older_2015_2018_m1","PARSED","outputs\reversion_shock_guard_portfolio_discovery_model1_package\reports_here\rsg_mo015_body25_older_2015_2018_m1.htm","EB11D96EF092447D502BCA2B12900DA399A46DC1A311FFDEC53D7DB45008467F","A681A1371E3DC2A07234C373F9E4574CC16F0E3C96C9C48E2B703962D2A5B8A9","reversion_shock_guard_portfolio_discovery_model1","0.45","0.15","-12.0","true","25.0","10000","1460","3.9973","591.58","10591.58","5.92","1.48","1.45","1.72","4.17","6.17","45.77","142","5","119.95","1.16","4.9319"
"10","rsg_mo015_body25","body_only","discovery_model1","repair_2019","2019.01.01","2019.12.31","1","10000","rsg_mo015_body25_repair_2019_m1","PARSED","outputs\reversion_shock_guard_portfolio_discovery_model1_package\reports_here\rsg_mo015_body25_repair_2019_m1.htm","EB11D96EF092447D502BCA2B12900DA399A46DC1A311FFDEC53D7DB45008467F","A681A1371E3DC2A07234C373F9E4574CC16F0E3C96C9C48E2B703962D2A5B8A9","reversion_shock_guard_portfolio_discovery_model1","0.45","0.15","-12.0","true","25.0","10000","364","0.9966","-4.98","9995.02","-0.05","-0.05","-0.05","0.98","-0.13","-0.26","35.14","37","7","127.85","1.26","-0.039"
