Profile,Year,Trades,NetProfit
hp1.00_mr1.50_dd0.00_rv0.50,2015,2,133.03
hp1.00_mr1.50_dd0.00_rv0.50,2016,0,0.0
hp1.00_mr1.50_dd0.00_rv0.50,2017,3,35.67
hp1.00_mr1.50_dd0.00_rv0.50,2018,4,106.79
hp1.00_mr1.50_dd0.00_rv0.50,2019,5,-55.11
hp1.00_mr1.50_dd0.00_rv0.50,2020,30,1290.11
hp1.00_mr1.50_dd0.00_rv0.50,2021,23,1326.61
hp1.00_mr1.50_dd0.00_rv0.50,2022,29,1037.56
hp1.00_mr1.50_dd0.00_rv0.50,2023,25,521.53
hp1.00_mr1.50_dd0.00_rv0.50,2024,31,3962.18
hp1.00_mr1.50_dd0.00_rv0.50,2025,30,1616.91
hp1.00_mr1.50_dd0.00_rv0.50,2026,13,2715.35
hp1.00_mr1.50_dd0.00_rv0.40,2015,2,106.57
hp1.00_mr1.50_dd0.00_rv0.40,2016,0,0.0
hp1.00_mr1.50_dd0.00_rv0.40,2017,3,28.68
hp1.00_mr1.50_dd0.00_rv0.40,2018,4,85.28
hp1.00_mr1.50_dd0.00_rv0.40,2019,5,-54.82
hp1.00_mr1.50_dd0.00_rv0.40,2020,30,1301.9
hp1.00_mr1.50_dd0.00_rv0.40,2021,23,1178.56
hp1.00_mr1.50_dd0.00_rv0.40,2022,29,988.14
hp1.00_mr1.50_dd0.00_rv0.40,2023,25,431.74
hp1.00_mr1.50_dd0.00_rv0.40,2024,31,3880.25
hp1.00_mr1.50_dd0.00_rv0.40,2025,30,1565.34
hp1.00_mr1.50_dd0.00_rv0.40,2026,13,2537.87
hp1.00_mr1.25_dd0.00_rv0.50,2015,2,133.03
hp1.00_mr1.25_dd0.00_rv0.50,2016,0,0.0
hp1.00_mr1.25_dd0.00_rv0.50,2017,3,35.67
hp1.00_mr1.25_dd0.00_rv0.50,2018,4,106.79
hp1.00_mr1.25_dd0.00_rv0.50,2019,5,-55.11
hp1.00_mr1.25_dd0.00_rv0.50,2020,30,1238.37
hp1.00_mr1.25_dd0.00_rv0.50,2021,23,1179.69
hp1.00_mr1.25_dd0.00_rv0.50,2022,29,894.34
hp1.00_mr1.25_dd0.00_rv0.50,2023,25,437.74
hp1.00_mr1.25_dd0.00_rv0.50,2024,31,3700.68
hp1.00_mr1.25_dd0.00_rv0.50,2025,30,1545.76
hp1.00_mr1.25_dd0.00_rv0.50,2026,13,2486.08
hp1.00_mr1.50_dd0.20_rv0.50,2015,3,165.02
hp1.00_mr1.50_dd0.20_rv0.50,2016,4,76.69
hp1.00_mr1.50_dd0.20_rv0.50,2017,10,-96.16
hp1.00_mr1.50_dd0.20_rv0.50,2018,8,171.63
hp1.00_mr1.50_dd0.20_rv0.50,2019,11,-62.06
hp1.00_mr1.50_dd0.20_rv0.50,2020,34,1384.86
hp1.00_mr1.50_dd0.20_rv0.50,2021,30,1264.27
hp1.00_mr1.50_dd0.20_rv0.50,2022,36,1034.92
hp1.00_mr1.50_dd0.20_rv0.50,2023,31,463.35
hp1.00_mr1.50_dd0.20_rv0.50,2024,35,4137.61
hp1.00_mr1.50_dd0.20_rv0.50,2025,31,1776.45
hp1.00_mr1.50_dd0.20_rv0.50,2026,13,2761.75
hp1.00_mr1.50_dd0.10_rv0.50,2015,3,149.02
hp1.00_mr1.50_dd0.10_rv0.50,2016,4,38.32
hp1.00_mr1.50_dd0.10_rv0.50,2017,10,-30.08
hp1.00_mr1.50_dd0.10_rv0.50,2018,8,139.31
hp1.00_mr1.50_dd0.10_rv0.50,2019,11,-58.55
hp1.00_mr1.50_dd0.10_rv0.50,2020,34,1337.48
hp1.00_mr1.50_dd0.10_rv0.50,2021,30,1295.66
hp1.00_mr1.50_dd0.10_rv0.50,2022,36,1036.4
hp1.00_mr1.50_dd0.10_rv0.50,2023,31,492.55
hp1.00_mr1.50_dd0.10_rv0.50,2024,35,4050.18
hp1.00_mr1.50_dd0.10_rv0.50,2025,31,1696.42
hp1.00_mr1.50_dd0.10_rv0.50,2026,13,2738.65
