"QueueRank","Candidate","CandidateRank","SourceType","SourceRank","Phase","Set","Window","From","To","Model","Config","ExpectedReportName","ProfileSnapshot","ProfileSha256","StopRule","Status","ReportPath","InitialDeposit","CalendarDays","Years","NetProfit","Balance","TotalReturnPercent","AnnualizedReturnPercent","CagrPercent","ProfitFactor","ExpectedPayoff","SharpeRatio","WinRatePercent","TotalTrades","MaxConsecutiveLosses","MaxDrawdownMoney","MaxDrawdownPercent","BalanceDrawdownMaximal","EquityDrawdownMaximal","RecoveryFactor","RunnerStatus","RunnerEvidence","LogTimestamp","TesterStatsTimestamp"
"1","three_lane_ddb045","1","three_lane_yearly_model4","1","yearly_model4_gate","three_lane_ddb045.set","2015","2015.01.01","2015.12.31","4","configs\001_three_lane_ddb045_2015_m4.ini","three_lane_ddb045_2015_m4","profiles\three_lane_ddb045.set","2E02246D24250D71DEC59A42AD1D7DE793614EBECEB309A879FE873D8F886312","Reject promotion for material red active years, missing reports, excessive yearly drawdown, or concentration in one regime.","PARSED","outputs\returned_mt5_reports\first_pass_inbox\three_lane_ddb045_2015_m4.htm","10000","364","0.9966","33.19","10033.19","0.33","0.33","0.33","0","33.19","0.18","100","1","0","42.54","0.42","0","42.54","0.78","REPORT_FOUND","Copied 1 report file(s) into the first-pass inbox.","",""
"2","three_lane_ddb045","1","three_lane_yearly_model4","1","yearly_model4_gate","three_lane_ddb045.set","2016","2016.01.01","2016.12.31","4","configs\002_three_lane_ddb045_2016_m4.ini","three_lane_ddb045_2016_m4","profiles\three_lane_ddb045.set","2E02246D24250D71DEC59A42AD1D7DE793614EBECEB309A879FE873D8F886312","Reject promotion for material red active years, missing reports, excessive yearly drawdown, or concentration in one regime.","PARSED","outputs\returned_mt5_reports\first_pass_inbox\three_lane_ddb045_2016_m4.htm","10000","365","0.9993","0","10000","0","0","0","0","0","0","0","0","0","0","0","0","0","0","REPORT_FOUND","Copied 1 report file(s) into the first-pass inbox.","",""
"3","three_lane_ddb045","1","three_lane_yearly_model4","1","yearly_model4_gate","three_lane_ddb045.set","2017","2017.01.01","2017.12.31","4","configs\003_three_lane_ddb045_2017_m4.ini","three_lane_ddb045_2017_m4","profiles\three_lane_ddb045.set","2E02246D24250D71DEC59A42AD1D7DE793614EBECEB309A879FE873D8F886312","Reject promotion for material red active years, missing reports, excessive yearly drawdown, or concentration in one regime.","PARSED","outputs\returned_mt5_reports\first_pass_inbox\three_lane_ddb045_2017_m4.htm","10000","364","0.9966","-3.29","9996.71","-0.03","-0.03","-0.03","0","-3.29","-0.52","0","1","1","3.81","0.04","3.29","3.81","-0.86","REPORT_FOUND","Copied 1 report file(s) into the first-pass inbox.","",""
"4","three_lane_ddb045","1","three_lane_yearly_model4","1","yearly_model4_gate","three_lane_ddb045.set","2018","2018.01.01","2018.12.31","4","configs\004_three_lane_ddb045_2018_m4.ini","three_lane_ddb045_2018_m4","profiles\three_lane_ddb045.set","2E02246D24250D71DEC59A42AD1D7DE793614EBECEB309A879FE873D8F886312","Reject promotion for material red active years, missing reports, excessive yearly drawdown, or concentration in one regime.","PARSED","outputs\returned_mt5_reports\first_pass_inbox\three_lane_ddb045_2018_m4.htm","10000","364","0.9966","11.71","10011.71","0.12","0.12","0.12","1.63","3.9","0.36","66.67","3","1","31.81","0.32","18.71","31.81","0.37","REPORT_FOUND","Copied 1 report file(s) into the first-pass inbox.","",""
"5","three_lane_ddb045","1","three_lane_yearly_model4","1","yearly_model4_gate","three_lane_ddb045.set","2019","2019.01.01","2019.12.31","4","configs\005_three_lane_ddb045_2019_m4.ini","three_lane_ddb045_2019_m4","profiles\three_lane_ddb045.set","2E02246D24250D71DEC59A42AD1D7DE793614EBECEB309A879FE873D8F886312","Reject promotion for material red active years, missing reports, excessive yearly drawdown, or concentration in one regime.","PARSED","outputs\returned_mt5_reports\first_pass_inbox\three_lane_ddb045_2019_m4.htm","10000","364","0.9966","4.88","10004.88","0.05","0.05","0.05","0","4.88","0.13","100","1","0","6.6","0.07","0","6.6","0.74","REPORT_FOUND","Copied 1 report file(s) into the first-pass inbox.","",""
"6","three_lane_ddb045","1","three_lane_yearly_model4","1","yearly_model4_gate","three_lane_ddb045.set","2020","2020.01.01","2020.12.31","4","configs\006_three_lane_ddb045_2020_m4.ini","three_lane_ddb045_2020_m4","profiles\three_lane_ddb045.set","2E02246D24250D71DEC59A42AD1D7DE793614EBECEB309A879FE873D8F886312","Reject promotion for material red active years, missing reports, excessive yearly drawdown, or concentration in one regime.","PARSED","outputs\returned_mt5_reports\first_pass_inbox\three_lane_ddb045_2020_m4.htm","10000","365","0.9993","10.31","10010.31","0.1","0.1","0.1","1.59","2.58","0.44","50","4","1","35.4","0.35","13.99","35.4","0.29","REPORT_FOUND","Copied 1 report file(s) into the first-pass inbox.","",""
"7","three_lane_ddb045","1","three_lane_yearly_model4","1","yearly_model4_gate","three_lane_ddb045.set","2021","2021.01.01","2021.12.31","4","configs\007_three_lane_ddb045_2021_m4.ini","three_lane_ddb045_2021_m4","profiles\three_lane_ddb045.set","2E02246D24250D71DEC59A42AD1D7DE793614EBECEB309A879FE873D8F886312","Reject promotion for material red active years, missing reports, excessive yearly drawdown, or concentration in one regime.","PARSED","outputs\returned_mt5_reports\first_pass_inbox\three_lane_ddb045_2021_m4.htm","10000","364","0.9966","129.24","10129.24","1.29","1.3","1.3","7.69","18.46","10.65","57.14","7","1","35.3","0.35","13.9","35.3","3.66","REPORT_FOUND","Copied 1 report file(s) into the first-pass inbox.","",""
"8","three_lane_ddb045","1","three_lane_yearly_model4","1","yearly_model4_gate","three_lane_ddb045.set","2022","2022.01.01","2022.12.31","4","configs\008_three_lane_ddb045_2022_m4.ini","three_lane_ddb045_2022_m4","profiles\three_lane_ddb045.set","2E02246D24250D71DEC59A42AD1D7DE793614EBECEB309A879FE873D8F886312","Reject promotion for material red active years, missing reports, excessive yearly drawdown, or concentration in one regime.","PARSED","outputs\returned_mt5_reports\first_pass_inbox\three_lane_ddb045_2022_m4.htm","10000","364","0.9966","40.89","10040.89","0.41","0.41","0.41","1.78","3.72","13.32","36.36","11","3","28.75","0.29","26.01","28.75","1.42","REPORT_FOUND","Copied 1 report file(s) into the first-pass inbox.","",""
"9","three_lane_ddb045","1","three_lane_yearly_model4","1","yearly_model4_gate","three_lane_ddb045.set","2023","2023.01.01","2023.12.31","4","configs\009_three_lane_ddb045_2023_m4.ini","three_lane_ddb045_2023_m4","profiles\three_lane_ddb045.set","2E02246D24250D71DEC59A42AD1D7DE793614EBECEB309A879FE873D8F886312","Reject promotion for material red active years, missing reports, excessive yearly drawdown, or concentration in one regime.","PARSED","outputs\returned_mt5_reports\first_pass_inbox\three_lane_ddb045_2023_m4.htm","10000","364","0.9966","34.23","10034.23","0.34","0.34","0.34","3.34","5.7","2.74","66.67","6","2","30.5","0.3","14.6","30.5","1.12","REPORT_FOUND","Copied 1 report file(s) into the first-pass inbox.","",""
"10","three_lane_ddb045","1","three_lane_yearly_model4","1","yearly_model4_gate","three_lane_ddb045.set","2024","2024.01.01","2024.12.31","4","configs\010_three_lane_ddb045_2024_m4.ini","three_lane_ddb045_2024_m4","profiles\three_lane_ddb045.set","2E02246D24250D71DEC59A42AD1D7DE793614EBECEB309A879FE873D8F886312","Reject promotion for material red active years, missing reports, excessive yearly drawdown, or concentration in one regime.","PARSED","outputs\returned_mt5_reports\first_pass_inbox\three_lane_ddb045_2024_m4.htm","10000","365","0.9993","66.21","10066.21","0.66","0.66","0.66","2.86","9.46","6.88","42.86","7","2","31.8","0.32","17.3","31.8","2.08","REPORT_FOUND","Copied 1 report file(s) into the first-pass inbox.","",""
