"QueueRank","Candidate","CandidateRank","Role","Phase","Window","From","To","Model","Deposit","MomentumRiskPercent","AdaptiveRiskPercent","ReversionRiskPercent","DeclaredLaneRiskSumPercent","MaximumPortfolioOpenRiskPercent","ExpectedReportName","PackageConfig","SourceConfig","ReportDestination","ConfigSha256","ProfileSha256","SourceSha256","StopRule"
"1","marr_control_015_015","1","control","momentum_adaptive_risk_reallocation_discovery_model1","older_2015_2018","2015.01.01","2018.12.31","1","10000","0.15","0.15","0.45","0.75","0.75","marr_control_015_015_older_2015_2018_m1","outputs\three_lane_momentum_adaptive_risk_reallocation_discovery_model1_package\configs\001_marr_control_015_015_older_2015_2018_m1.ini","outputs\three_lane_momentum_adaptive_risk_reallocation_discovery_model1_package\configs\001_marr_control_015_015_older_2015_2018_m1.ini","outputs\three_lane_momentum_adaptive_risk_reallocation_discovery_model1_package\reports_here\marr_control_015_015_older_2015_2018_m1","50A01E866486158137F242812195F1E31E6EFD05C7532EE6E6697C11DEDB560D","38DF8357A64FEDFA15D1DAA02BCEB962DDF079D16D9B140844AA01C71A939E5A","B6810B305549968E2273DAAF736A63759FE5C16F3B416F5C69E39840FBE5173E","Frozen pre-2021 settings-only risk reallocation. Every row and both disjoint eras must remain profitable. Center must be no worse than control in both eras; continuous net >=control +5%; CAGR >=control +0.08 point; PF/recovery/return-DD >=97% control; DD <=min(1.30%, control +0.20 point); trades >=98% control. At least 2 of 3 lower rungs must retain both era controls, improve continuous net >=2%, retain 97% efficiency, meet the same drawdown ceiling, retain 98% of trades, and change behavior. No post-result rescue."
"2","marr_control_015_015","1","control","momentum_adaptive_risk_reallocation_discovery_model1","later_2019_2020","2019.01.01","2020.12.31","1","10000","0.15","0.15","0.45","0.75","0.75","marr_control_015_015_later_2019_2020_m1","outputs\three_lane_momentum_adaptive_risk_reallocation_discovery_model1_package\configs\002_marr_control_015_015_later_2019_2020_m1.ini","outputs\three_lane_momentum_adaptive_risk_reallocation_discovery_model1_package\configs\002_marr_control_015_015_later_2019_2020_m1.ini","outputs\three_lane_momentum_adaptive_risk_reallocation_discovery_model1_package\reports_here\marr_control_015_015_later_2019_2020_m1","7558AA4BFB7E3294426E09F59422002922B4C77B6D341AF4D5E81A28E7AC42BB","38DF8357A64FEDFA15D1DAA02BCEB962DDF079D16D9B140844AA01C71A939E5A","B6810B305549968E2273DAAF736A63759FE5C16F3B416F5C69E39840FBE5173E","Frozen pre-2021 settings-only risk reallocation. Every row and both disjoint eras must remain profitable. Center must be no worse than control in both eras; continuous net >=control +5%; CAGR >=control +0.08 point; PF/recovery/return-DD >=97% control; DD <=min(1.30%, control +0.20 point); trades >=98% control. At least 2 of 3 lower rungs must retain both era controls, improve continuous net >=2%, retain 97% efficiency, meet the same drawdown ceiling, retain 98% of trades, and change behavior. No post-result rescue."
"3","marr_control_015_015","1","control","momentum_adaptive_risk_reallocation_discovery_model1","continuous_2015_2020","2015.01.01","2020.12.31","1","10000","0.15","0.15","0.45","0.75","0.75","marr_control_015_015_continuous_2015_2020_m1","outputs\three_lane_momentum_adaptive_risk_reallocation_discovery_model1_package\configs\003_marr_control_015_015_continuous_2015_2020_m1.ini","outputs\three_lane_momentum_adaptive_risk_reallocation_discovery_model1_package\configs\003_marr_control_015_015_continuous_2015_2020_m1.ini","outputs\three_lane_momentum_adaptive_risk_reallocation_discovery_model1_package\reports_here\marr_control_015_015_continuous_2015_2020_m1","4BE9962CF1604938FD52140B75A1EEDB594DC0D31288EEB9791A19473F303CD1","38DF8357A64FEDFA15D1DAA02BCEB962DDF079D16D9B140844AA01C71A939E5A","B6810B305549968E2273DAAF736A63759FE5C16F3B416F5C69E39840FBE5173E","Frozen pre-2021 settings-only risk reallocation. Every row and both disjoint eras must remain profitable. Center must be no worse than control in both eras; continuous net >=control +5%; CAGR >=control +0.08 point; PF/recovery/return-DD >=97% control; DD <=min(1.30%, control +0.20 point); trades >=98% control. At least 2 of 3 lower rungs must retain both era controls, improve continuous net >=2%, retain 97% efficiency, meet the same drawdown ceiling, retain 98% of trades, and change behavior. No post-result rescue."
"4","marr_016_014","2","lower_boundary","momentum_adaptive_risk_reallocation_discovery_model1","older_2015_2018","2015.01.01","2018.12.31","1","10000","0.16","0.14","0.45","0.75","0.75","marr_016_014_older_2015_2018_m1","outputs\three_lane_momentum_adaptive_risk_reallocation_discovery_model1_package\configs\004_marr_016_014_older_2015_2018_m1.ini","outputs\three_lane_momentum_adaptive_risk_reallocation_discovery_model1_package\configs\004_marr_016_014_older_2015_2018_m1.ini","outputs\three_lane_momentum_adaptive_risk_reallocation_discovery_model1_package\reports_here\marr_016_014_older_2015_2018_m1","A48BA16223C2EC3AC31DA232E0B82D4441F54128397C36E8A7E87F54CAF0B361","DDB4CD78961C3CB9C839DB86F7B9365A925DD6B12AA6AC3252816E4EBEE01167","B6810B305549968E2273DAAF736A63759FE5C16F3B416F5C69E39840FBE5173E","Frozen pre-2021 settings-only risk reallocation. Every row and both disjoint eras must remain profitable. Center must be no worse than control in both eras; continuous net >=control +5%; CAGR >=control +0.08 point; PF/recovery/return-DD >=97% control; DD <=min(1.30%, control +0.20 point); trades >=98% control. At least 2 of 3 lower rungs must retain both era controls, improve continuous net >=2%, retain 97% efficiency, meet the same drawdown ceiling, retain 98% of trades, and change behavior. No post-result rescue."
"5","marr_016_014","2","lower_boundary","momentum_adaptive_risk_reallocation_discovery_model1","later_2019_2020","2019.01.01","2020.12.31","1","10000","0.16","0.14","0.45","0.75","0.75","marr_016_014_later_2019_2020_m1","outputs\three_lane_momentum_adaptive_risk_reallocation_discovery_model1_package\configs\005_marr_016_014_later_2019_2020_m1.ini","outputs\three_lane_momentum_adaptive_risk_reallocation_discovery_model1_package\configs\005_marr_016_014_later_2019_2020_m1.ini","outputs\three_lane_momentum_adaptive_risk_reallocation_discovery_model1_package\reports_here\marr_016_014_later_2019_2020_m1","D994D8C78402A6294905CE39B901410D0433132D530BAD0E5E8BEB8CAB016CDB","DDB4CD78961C3CB9C839DB86F7B9365A925DD6B12AA6AC3252816E4EBEE01167","B6810B305549968E2273DAAF736A63759FE5C16F3B416F5C69E39840FBE5173E","Frozen pre-2021 settings-only risk reallocation. Every row and both disjoint eras must remain profitable. Center must be no worse than control in both eras; continuous net >=control +5%; CAGR >=control +0.08 point; PF/recovery/return-DD >=97% control; DD <=min(1.30%, control +0.20 point); trades >=98% control. At least 2 of 3 lower rungs must retain both era controls, improve continuous net >=2%, retain 97% efficiency, meet the same drawdown ceiling, retain 98% of trades, and change behavior. No post-result rescue."
"6","marr_016_014","2","lower_boundary","momentum_adaptive_risk_reallocation_discovery_model1","continuous_2015_2020","2015.01.01","2020.12.31","1","10000","0.16","0.14","0.45","0.75","0.75","marr_016_014_continuous_2015_2020_m1","outputs\three_lane_momentum_adaptive_risk_reallocation_discovery_model1_package\configs\006_marr_016_014_continuous_2015_2020_m1.ini","outputs\three_lane_momentum_adaptive_risk_reallocation_discovery_model1_package\configs\006_marr_016_014_continuous_2015_2020_m1.ini","outputs\three_lane_momentum_adaptive_risk_reallocation_discovery_model1_package\reports_here\marr_016_014_continuous_2015_2020_m1","570096D1890ED87B0686C2528467BF993E7850956173B3378C03A230E0342818","DDB4CD78961C3CB9C839DB86F7B9365A925DD6B12AA6AC3252816E4EBEE01167","B6810B305549968E2273DAAF736A63759FE5C16F3B416F5C69E39840FBE5173E","Frozen pre-2021 settings-only risk reallocation. Every row and both disjoint eras must remain profitable. Center must be no worse than control in both eras; continuous net >=control +5%; CAGR >=control +0.08 point; PF/recovery/return-DD >=97% control; DD <=min(1.30%, control +0.20 point); trades >=98% control. At least 2 of 3 lower rungs must retain both era controls, improve continuous net >=2%, retain 97% efficiency, meet the same drawdown ceiling, retain 98% of trades, and change behavior. No post-result rescue."
"7","marr_0175_0125","3","lower_support","momentum_adaptive_risk_reallocation_discovery_model1","older_2015_2018","2015.01.01","2018.12.31","1","10000","0.175","0.125","0.45","0.75","0.75","marr_0175_0125_older_2015_2018_m1","outputs\three_lane_momentum_adaptive_risk_reallocation_discovery_model1_package\configs\007_marr_0175_0125_older_2015_2018_m1.ini","outputs\three_lane_momentum_adaptive_risk_reallocation_discovery_model1_package\configs\007_marr_0175_0125_older_2015_2018_m1.ini","outputs\three_lane_momentum_adaptive_risk_reallocation_discovery_model1_package\reports_here\marr_0175_0125_older_2015_2018_m1","B773B85D2ECDB531840214D8BCDA302AA52B61F9B6C051757706E20ECAD3D7A8","11B28C46D6B6D654AEB850D171780E118AAA84080209BAEC4AC4E8B496896990","B6810B305549968E2273DAAF736A63759FE5C16F3B416F5C69E39840FBE5173E","Frozen pre-2021 settings-only risk reallocation. Every row and both disjoint eras must remain profitable. Center must be no worse than control in both eras; continuous net >=control +5%; CAGR >=control +0.08 point; PF/recovery/return-DD >=97% control; DD <=min(1.30%, control +0.20 point); trades >=98% control. At least 2 of 3 lower rungs must retain both era controls, improve continuous net >=2%, retain 97% efficiency, meet the same drawdown ceiling, retain 98% of trades, and change behavior. No post-result rescue."
"8","marr_0175_0125","3","lower_support","momentum_adaptive_risk_reallocation_discovery_model1","later_2019_2020","2019.01.01","2020.12.31","1","10000","0.175","0.125","0.45","0.75","0.75","marr_0175_0125_later_2019_2020_m1","outputs\three_lane_momentum_adaptive_risk_reallocation_discovery_model1_package\configs\008_marr_0175_0125_later_2019_2020_m1.ini","outputs\three_lane_momentum_adaptive_risk_reallocation_discovery_model1_package\configs\008_marr_0175_0125_later_2019_2020_m1.ini","outputs\three_lane_momentum_adaptive_risk_reallocation_discovery_model1_package\reports_here\marr_0175_0125_later_2019_2020_m1","D570BE1D68CCA6616B35A1371C72393C7115F87825384998F9D85D8894B95642","11B28C46D6B6D654AEB850D171780E118AAA84080209BAEC4AC4E8B496896990","B6810B305549968E2273DAAF736A63759FE5C16F3B416F5C69E39840FBE5173E","Frozen pre-2021 settings-only risk reallocation. Every row and both disjoint eras must remain profitable. Center must be no worse than control in both eras; continuous net >=control +5%; CAGR >=control +0.08 point; PF/recovery/return-DD >=97% control; DD <=min(1.30%, control +0.20 point); trades >=98% control. At least 2 of 3 lower rungs must retain both era controls, improve continuous net >=2%, retain 97% efficiency, meet the same drawdown ceiling, retain 98% of trades, and change behavior. No post-result rescue."
"9","marr_0175_0125","3","lower_support","momentum_adaptive_risk_reallocation_discovery_model1","continuous_2015_2020","2015.01.01","2020.12.31","1","10000","0.175","0.125","0.45","0.75","0.75","marr_0175_0125_continuous_2015_2020_m1","outputs\three_lane_momentum_adaptive_risk_reallocation_discovery_model1_package\configs\009_marr_0175_0125_continuous_2015_2020_m1.ini","outputs\three_lane_momentum_adaptive_risk_reallocation_discovery_model1_package\configs\009_marr_0175_0125_continuous_2015_2020_m1.ini","outputs\three_lane_momentum_adaptive_risk_reallocation_discovery_model1_package\reports_here\marr_0175_0125_continuous_2015_2020_m1","3F253B664E5F12DFF2A6D0FBCF65961198CE8C1593AF2D0C9394ECA2E26B8D06","11B28C46D6B6D654AEB850D171780E118AAA84080209BAEC4AC4E8B496896990","B6810B305549968E2273DAAF736A63759FE5C16F3B416F5C69E39840FBE5173E","Frozen pre-2021 settings-only risk reallocation. Every row and both disjoint eras must remain profitable. Center must be no worse than control in both eras; continuous net >=control +5%; CAGR >=control +0.08 point; PF/recovery/return-DD >=97% control; DD <=min(1.30%, control +0.20 point); trades >=98% control. At least 2 of 3 lower rungs must retain both era controls, improve continuous net >=2%, retain 97% efficiency, meet the same drawdown ceiling, retain 98% of trades, and change behavior. No post-result rescue."
"10","marr_019_011","4","upper_support","momentum_adaptive_risk_reallocation_discovery_model1","older_2015_2018","2015.01.01","2018.12.31","1","10000","0.19","0.11","0.45","0.75","0.75","marr_019_011_older_2015_2018_m1","outputs\three_lane_momentum_adaptive_risk_reallocation_discovery_model1_package\configs\010_marr_019_011_older_2015_2018_m1.ini","outputs\three_lane_momentum_adaptive_risk_reallocation_discovery_model1_package\configs\010_marr_019_011_older_2015_2018_m1.ini","outputs\three_lane_momentum_adaptive_risk_reallocation_discovery_model1_package\reports_here\marr_019_011_older_2015_2018_m1","855CDD42E63A596D45FA0369A505B28CF28A9220054BCFD4941817BB07DE717C","730884667A6337AA760933C931EC0A9B111F053B3A043118ACD8BB5566E97EEE","B6810B305549968E2273DAAF736A63759FE5C16F3B416F5C69E39840FBE5173E","Frozen pre-2021 settings-only risk reallocation. Every row and both disjoint eras must remain profitable. Center must be no worse than control in both eras; continuous net >=control +5%; CAGR >=control +0.08 point; PF/recovery/return-DD >=97% control; DD <=min(1.30%, control +0.20 point); trades >=98% control. At least 2 of 3 lower rungs must retain both era controls, improve continuous net >=2%, retain 97% efficiency, meet the same drawdown ceiling, retain 98% of trades, and change behavior. No post-result rescue."
