"QueueRank","Candidate","Window","Status","Attempts","IdentityRetries","SourceSha256","BinarySha256","ConfigSha256","ReportSha256","IdentitySidecarPresent","PortableExpertRecompiled","Started","Finished"
"1","mobfe_control","older_2015_2018","REPORT_FOUND","2","1","CBC2309B98AE3EC4969E52B4ADBD5E8A4EFCE8780E0654F5F9B1E9A36AD25EE4","412C2F81D9C6A0B4159AEBA677EF640BCE168E01FEC66AAA4F5DA1672EDEBA22","4606C367714947626E1F932DD17AC4D4035999C820C53DAE2B1DE98490E8A8C1","B11776543674A2A4645E9632058A51A78D7AD020ED82A8F4609385B1841FDBF8","True","False","2026-07-19T22:57:20","2026-07-19T22:57:43"
"2","mobfe_control","later_2019_2020","REPORT_FOUND","1","0","CBC2309B98AE3EC4969E52B4ADBD5E8A4EFCE8780E0654F5F9B1E9A36AD25EE4","412C2F81D9C6A0B4159AEBA677EF640BCE168E01FEC66AAA4F5DA1672EDEBA22","C03ADBC8BB287874D9D147DC16E1D79D8066EA72FD50ECF4A09EB1BF3B76E0D3","3282CD7F7634DF55D00B808B70737D132D3B827C38D037A6BD91F960CAA37AC8","True","False","2026-07-19T22:54:02","2026-07-19T22:54:28"
"3","mobfe_control","continuous_2015_2020","REPORT_FOUND","1","0","CBC2309B98AE3EC4969E52B4ADBD5E8A4EFCE8780E0654F5F9B1E9A36AD25EE4","412C2F81D9C6A0B4159AEBA677EF640BCE168E01FEC66AAA4F5DA1672EDEBA22","97F3E6B3EE1FDAA58BDCE944CE8F26D83D800F646F2F409D7EE38FDC5A511C28","9131BFC9C93E8C473DE5B203BE83C3BF06A5CC4F4A63CBAB39690BCB6A073CAA","True","False","2026-07-19T22:54:03","2026-07-19T22:54:40"
"4","mobfe_bars2","older_2015_2018","REPORT_FOUND","2","1","CBC2309B98AE3EC4969E52B4ADBD5E8A4EFCE8780E0654F5F9B1E9A36AD25EE4","412C2F81D9C6A0B4159AEBA677EF640BCE168E01FEC66AAA4F5DA1672EDEBA22","A9AD18225C5A4F25D1A3800F6A49ADE4EAB77A15D95575DF776A05208362DFC4","4945C8080D7B91D13EEF6AAC3E35EDA2CB346793F21A2E78F6017FC45ED6332A","True","False","2026-07-19T22:57:20","2026-07-19T22:57:42"
"5","mobfe_bars2","later_2019_2020","REPORT_FOUND","1","0","CBC2309B98AE3EC4969E52B4ADBD5E8A4EFCE8780E0654F5F9B1E9A36AD25EE4","412C2F81D9C6A0B4159AEBA677EF640BCE168E01FEC66AAA4F5DA1672EDEBA22","A664EBDEB33295E21DB81A2F47A2B80F049AF3F446DEE962567D74BB6900337A","7A68854800E33882D8C9A31C04CED741D1945A4D60B92CB96F1D5126CE2BF341","True","False","2026-07-19T22:54:33","2026-07-19T22:54:59"
"6","mobfe_bars2","continuous_2015_2020","REPORT_FOUND","1","0","CBC2309B98AE3EC4969E52B4ADBD5E8A4EFCE8780E0654F5F9B1E9A36AD25EE4","412C2F81D9C6A0B4159AEBA677EF640BCE168E01FEC66AAA4F5DA1672EDEBA22","FA0542B19D947537BE10527985CF98E6056E47D2957076D105F5CB267F747B6B","9B0E21D1C3FFFD66D0EA9B466529E4206E94BB78E0D65CB2DE05E0C27CFFF047","True","False","2026-07-19T22:54:28","2026-07-19T22:54:57"
"7","mobfe_center","older_2015_2018","REPORT_FOUND","1","0","CBC2309B98AE3EC4969E52B4ADBD5E8A4EFCE8780E0654F5F9B1E9A36AD25EE4","412C2F81D9C6A0B4159AEBA677EF640BCE168E01FEC66AAA4F5DA1672EDEBA22","AE3872EEE7B09C9DAC60531D974F219427C0A874A532FEAB5B9E17003CC4C1B1","1E3D23B4B7B57B0EAE53134D7D027B608BA6385FDDBDBE94CF046905906E189A","True","False","2026-07-19T22:54:40","2026-07-19T22:55:08"
"8","mobfe_center","later_2019_2020","REPORT_FOUND","1","0","CBC2309B98AE3EC4969E52B4ADBD5E8A4EFCE8780E0654F5F9B1E9A36AD25EE4","412C2F81D9C6A0B4159AEBA677EF640BCE168E01FEC66AAA4F5DA1672EDEBA22","104578283CD9A8DF83E62E881B1FC74089453B870CED9082683B289AA909E4FD","3F266BAA7F4666CFA2CCBACC3E39312265278A60CC820D81CF305B5CC4368E2C","True","False","2026-07-19T22:54:31","2026-07-19T22:54:57"
"9","mobfe_center","continuous_2015_2020","REPORT_FOUND","1","0","CBC2309B98AE3EC4969E52B4ADBD5E8A4EFCE8780E0654F5F9B1E9A36AD25EE4","412C2F81D9C6A0B4159AEBA677EF640BCE168E01FEC66AAA4F5DA1672EDEBA22","B1CBE044EC0C4BA5FBF550DAF26B1B128F13E9897B8082401EB94A84211F76DA","2FA5A52E0064F8ECAF630E4C244012E575EFFA631C55CAC4ABC76F7FB5AC7CA3","True","False","2026-07-19T22:54:59","2026-07-19T22:55:31"
"10","mobfe_bars4","older_2015_2018","REPORT_FOUND","1","0","CBC2309B98AE3EC4969E52B4ADBD5E8A4EFCE8780E0654F5F9B1E9A36AD25EE4","412C2F81D9C6A0B4159AEBA677EF640BCE168E01FEC66AAA4F5DA1672EDEBA22","160E8ED6C58C53D6D6BEC35E502FC54F4B8EA7761EB6A5019D7BC81529CF6BFD","B37461680CDF8BC8937C088A0AF09D474195438000D4B00AFBABAAED14203A68","True","False","2026-07-19T22:54:57","2026-07-19T22:55:24"
"11","mobfe_bars4","later_2019_2020","REPORT_FOUND","1","0","CBC2309B98AE3EC4969E52B4ADBD5E8A4EFCE8780E0654F5F9B1E9A36AD25EE4","412C2F81D9C6A0B4159AEBA677EF640BCE168E01FEC66AAA4F5DA1672EDEBA22","F7248549C7997F4D1B81DF0FB1899AFC81A3D854CF901C0EDECE10596CE4CB88","4B5C879C606B0669D096F371585343B4D1CD1B0354CDC5B0D12B2F18FEF0E95D","True","False","2026-07-19T22:55:08","2026-07-19T22:55:31"
"12","mobfe_bars4","continuous_2015_2020","REPORT_FOUND","1","0","CBC2309B98AE3EC4969E52B4ADBD5E8A4EFCE8780E0654F5F9B1E9A36AD25EE4","412C2F81D9C6A0B4159AEBA677EF640BCE168E01FEC66AAA4F5DA1672EDEBA22","DA8F72B76D8B78E10301A22E0E9C6B3D47A2958BF7BC4C8FD86098BDC730C083","6AB050AEA32E1704A18CCCDA8A01370778F7A17253EFCBCA87480492E9BC417C","True","False","2026-07-19T22:54:57","2026-07-19T22:55:28"
"13","mobfe_buffer000","older_2015_2018","REPORT_FOUND","1","0","CBC2309B98AE3EC4969E52B4ADBD5E8A4EFCE8780E0654F5F9B1E9A36AD25EE4","412C2F81D9C6A0B4159AEBA677EF640BCE168E01FEC66AAA4F5DA1672EDEBA22","B45F83BB2B821677F304520743B06C26F0F2818D8437767BE32B322779D16090","11B64B56B5EED80BDE815E403B972FC6B0F1FBEBD10A82CED78ED99DD8969904","True","False","2026-07-19T22:55:31","2026-07-19T22:56:01"
"14","mobfe_buffer000","later_2019_2020","REPORT_FOUND","1","0","CBC2309B98AE3EC4969E52B4ADBD5E8A4EFCE8780E0654F5F9B1E9A36AD25EE4","412C2F81D9C6A0B4159AEBA677EF640BCE168E01FEC66AAA4F5DA1672EDEBA22","25412946568658EDC40DE09AE08FA9E8F1DB531BE982B377E98B905CBC1326D9","608830369E91E9CE9578D696DF63120FF5DAA39E3FFD736EFC649CD469172909","True","False","2026-07-19T22:55:24","2026-07-19T22:55:46"
"15","mobfe_buffer000","continuous_2015_2020","REPORT_FOUND","1","0","CBC2309B98AE3EC4969E52B4ADBD5E8A4EFCE8780E0654F5F9B1E9A36AD25EE4","412C2F81D9C6A0B4159AEBA677EF640BCE168E01FEC66AAA4F5DA1672EDEBA22","18E8DD846E5B30DC37CFFA28242E7E5E7EF373633D3464BDF6CDCC84DFAB0E7D","8FCCB1957E1E45172AFCEE9CBB73BAF726D66957394BD632FB831615B9B83550","True","False","2026-07-19T22:55:31","2026-07-19T22:56:02"
"16","mobfe_buffer010","older_2015_2018","REPORT_FOUND","1","0","CBC2309B98AE3EC4969E52B4ADBD5E8A4EFCE8780E0654F5F9B1E9A36AD25EE4","412C2F81D9C6A0B4159AEBA677EF640BCE168E01FEC66AAA4F5DA1672EDEBA22","07489304CA96120C8E543EAE473E98CEC38C76F87632766FD7C88DF4387AF573","E1B3D1B243A18D2C242C8B57F4B173897E4BB76D3EF3265CBE91A702262A461E","True","False","2026-07-19T22:55:28","2026-07-19T22:55:54"
"17","mobfe_buffer010","later_2019_2020","REPORT_FOUND","1","0","CBC2309B98AE3EC4969E52B4ADBD5E8A4EFCE8780E0654F5F9B1E9A36AD25EE4","412C2F81D9C6A0B4159AEBA677EF640BCE168E01FEC66AAA4F5DA1672EDEBA22","58CC1EDE046B5A65DF2D335D315E4251235E4671E7EE61E5610000FC56CB96D7","03523C6D0C1A8DFB3D809CEC0A98CC7EED5C2FF595783BAF1084E4B552B467FC","True","False","2026-07-19T22:56:01","2026-07-19T22:56:21"
