"QueueRank","Candidate","Window","Status","IdentityReused","SourceSha256","BinarySha256","ConfigSha256","ReportSha256","IdentitySidecarPresent","PortableExpertRecompiled","Started","Finished"
"1","mbr_control","older_2015_2018","REPORT_FOUND","True","872028C76FDD4183E6266BB0E48125BB6B0F48EA3E77B9663B92A7F68B9ACD04","0093251D7E6D9EAFBAC1B8B056DBB876CC1C63D462F93BDE5FCDE98BC9162642","78FAC8DE1A09C4D2E83C267A6288C280A64333A708721DE0276343A67D60BD07","3019CA771CD0E46668D6A39204A190252F4D9DC7626BC6E5355E3A6EBDBAC157","True","False","2026-07-20T04:12:19","2026-07-20T04:12:19"
"2","mbr_control","later_2019_2020","REPORT_FOUND","True","872028C76FDD4183E6266BB0E48125BB6B0F48EA3E77B9663B92A7F68B9ACD04","0093251D7E6D9EAFBAC1B8B056DBB876CC1C63D462F93BDE5FCDE98BC9162642","462862E613146D1EF066B0D1351A76E00CD4E5F7F2C7C6E3ECA97811DFDC00C8","A3599A330459CF0A198375E1E2CC525EDAD308610395961DDDBDC65DEAA0F0AD","True","False","2026-07-20T04:12:19","2026-07-20T04:12:19"
"3","mbr_control","continuous_2015_2020","REPORT_FOUND","False","872028C76FDD4183E6266BB0E48125BB6B0F48EA3E77B9663B92A7F68B9ACD04","0093251D7E6D9EAFBAC1B8B056DBB876CC1C63D462F93BDE5FCDE98BC9162642","2B4BCBB783DEDE54B2EBCF675159475E51C04D86A43D36D8D72B5855888D56E8","74EF3ECB5051580C0C502713C7BD055D00934AE47B8563112A4EE05F0D2B5D33","True","False","2026-07-20T04:12:19","2026-07-20T04:12:45"
"4","mbr_buy016","older_2015_2018","REPORT_FOUND","True","872028C76FDD4183E6266BB0E48125BB6B0F48EA3E77B9663B92A7F68B9ACD04","0093251D7E6D9EAFBAC1B8B056DBB876CC1C63D462F93BDE5FCDE98BC9162642","30D30FD5D32DAE782D822E66D747B68FFEA0796741F133722D6E1EE0797125AA","F7C24CDC3FA5A6B287D5BA16925C0C85F57C81315AAAC3C95D09B36E28889F54","True","False","2026-07-20T04:12:45","2026-07-20T04:12:45"
"5","mbr_buy016","later_2019_2020","REPORT_FOUND","True","872028C76FDD4183E6266BB0E48125BB6B0F48EA3E77B9663B92A7F68B9ACD04","0093251D7E6D9EAFBAC1B8B056DBB876CC1C63D462F93BDE5FCDE98BC9162642","0C70851C29480EE9C0D99E1CB30A6641905BC8444F9FBFBD89A0F96AD037544F","C5EA2FE717890D353F92096D8391E2D9B619B0190366813CBAF17ED584EB1929","True","False","2026-07-20T04:12:45","2026-07-20T04:12:45"
"6","mbr_buy016","continuous_2015_2020","REPORT_FOUND","True","872028C76FDD4183E6266BB0E48125BB6B0F48EA3E77B9663B92A7F68B9ACD04","0093251D7E6D9EAFBAC1B8B056DBB876CC1C63D462F93BDE5FCDE98BC9162642","EC3D88CA8424B7225A3A3EE91439C002C8D66F1D7F9194FAEBDDF53FBB9CB0B0","ACE93A8300FE82A08C06D0934A177C2C70A4E06041F80BE4CD8A1A5E5EFDBAA7","True","False","2026-07-20T04:12:45","2026-07-20T04:12:45"
"7","mbr_buy017","older_2015_2018","REPORT_FOUND","True","872028C76FDD4183E6266BB0E48125BB6B0F48EA3E77B9663B92A7F68B9ACD04","0093251D7E6D9EAFBAC1B8B056DBB876CC1C63D462F93BDE5FCDE98BC9162642","4C25678BE4FE9B78BD3A022C98E7DA51D1263D055703D40C4573FE2516DFFEAE","4FAD57B68A3C1EB618E51A6CF04E5E29033DF39DCDD7BC3341BB771FE6802AAA","True","False","2026-07-20T04:12:45","2026-07-20T04:12:45"
"8","mbr_buy017","later_2019_2020","REPORT_FOUND","True","872028C76FDD4183E6266BB0E48125BB6B0F48EA3E77B9663B92A7F68B9ACD04","0093251D7E6D9EAFBAC1B8B056DBB876CC1C63D462F93BDE5FCDE98BC9162642","1BDA5603AA578C28E8CA44BFD3FB9FBBF0F661AEB0827632F5670DDE0A6E9909","80763C18F03D0DE135F6D0036C73A48DE53FA41340A7C78D84F0F9ABD298A2FF","True","False","2026-07-20T04:12:45","2026-07-20T04:12:45"
"9","mbr_buy017","continuous_2015_2020","REPORT_FOUND","True","872028C76FDD4183E6266BB0E48125BB6B0F48EA3E77B9663B92A7F68B9ACD04","0093251D7E6D9EAFBAC1B8B056DBB876CC1C63D462F93BDE5FCDE98BC9162642","4401C4E43057554EB5733CB36CFF07C8F393838AB84CEF4823DAB8A7322A2A37","9B6345E8F7A3DBD9FA8EFDF20F3B2CD4C92D78DF9506514D1522309A44108602","True","False","2026-07-20T04:12:45","2026-07-20T04:12:45"
"10","mbr_buy018","older_2015_2018","REPORT_FOUND","True","872028C76FDD4183E6266BB0E48125BB6B0F48EA3E77B9663B92A7F68B9ACD04","0093251D7E6D9EAFBAC1B8B056DBB876CC1C63D462F93BDE5FCDE98BC9162642","2FDA410ED774C65C680E190CCDB4FEA3FDFD6A9A0F581BBC62AA6619536D92A2","72B7A5DCE9C07B5854FE6C7E4E46EDF6233EB8AEB3E1997DF003629B13B488F0","True","False","2026-07-20T04:12:45","2026-07-20T04:12:45"
"11","mbr_buy018","later_2019_2020","REPORT_FOUND","True","872028C76FDD4183E6266BB0E48125BB6B0F48EA3E77B9663B92A7F68B9ACD04","0093251D7E6D9EAFBAC1B8B056DBB876CC1C63D462F93BDE5FCDE98BC9162642","C79973B99961C95C376CB140E764B42E06150D864BFFAEE25E8C7D6A991FC151","962A0BB44A91286C463ACA0FE0EF647F51CB5B91D0340B3D2196051D2A1FCDDA","True","False","2026-07-20T04:12:45","2026-07-20T04:12:45"
"12","mbr_buy018","continuous_2015_2020","REPORT_FOUND","True","872028C76FDD4183E6266BB0E48125BB6B0F48EA3E77B9663B92A7F68B9ACD04","0093251D7E6D9EAFBAC1B8B056DBB876CC1C63D462F93BDE5FCDE98BC9162642","A41497DF313E27307743CBBB5527E28A155157DF06707AD5CE148201E50528E3","3BE2646117F9A413458D0B8F4DF1A19DA612D6A0B316E7CAAFAD8A9DAECF6117","True","False","2026-07-20T04:12:45","2026-07-20T04:12:45"
