"QueueRank","Candidate","CandidateRank","Role","Phase","Window","From","To","Model","Deposit","MaximumD1MomentumStrengthEnabled","MaximumAbsoluteD1MomentumPercent","MomentumRiskPercent","ReversionRiskPercent","AdaptiveRiskPercent","MaximumPortfolioOpenRiskPercent","ExpectedReportName","PackageConfig","SourceConfig","ReportDestination","ConfigSha256","ProfileSha256","SourceSha256","StopRule"
"1","mde_control","1","control","momentum_d1_extreme_guard_discovery_model1","older_2015_2018","2015.01.01","2018.12.31","1","10000","false","100","0.15","0.45","0.15","0.75","mde_control_older_2015_2018_m1","outputs\three_lane_momentum_d1_extreme_guard_discovery_model1_package\configs\001_mde_control_older_2015_2018_m1.ini","outputs\three_lane_momentum_d1_extreme_guard_discovery_model1_package\configs\001_mde_control_older_2015_2018_m1.ini","outputs\three_lane_momentum_d1_extreme_guard_discovery_model1_package\reports_here\mde_control_older_2015_2018_m1","2209FDDCCCC6F8DB74F4CCFFFF5A3D6550873C383AD3C8C7C9B93E66F729CCE1","43109B35A87FACF7F3E9C3155F545B625F486BF535F2E55F770F7D643D43691D","6493A292B8126FD03596A0062BBC065144AEE949D63E55E7B4F10D8469989A11","Frozen pre-2021 D1 momentum extreme-guard discovery. Every row must parse exactly and remain profitable. The 18% center must be no worse than control in both disjoint eras; continuous net >=control +2%; CAGR >=control +0.04 point; PF/recovery/return-DD no worse than control; DD <=control +0.05 point; trades >=85% of control. At least two of the 12%, 24%, and 30% neighbors must remain positive in both eras, improve continuous net >=1%, CAGR >=control +0.02 point, retain >=98% of control PF/recovery/return-DD, DD <=control +0.08 point, retain >=80% of control trades, and change behavior. No post-result rescue."
"2","mde_control","1","control","momentum_d1_extreme_guard_discovery_model1","later_2019_2020","2019.01.01","2020.12.31","1","10000","false","100","0.15","0.45","0.15","0.75","mde_control_later_2019_2020_m1","outputs\three_lane_momentum_d1_extreme_guard_discovery_model1_package\configs\002_mde_control_later_2019_2020_m1.ini","outputs\three_lane_momentum_d1_extreme_guard_discovery_model1_package\configs\002_mde_control_later_2019_2020_m1.ini","outputs\three_lane_momentum_d1_extreme_guard_discovery_model1_package\reports_here\mde_control_later_2019_2020_m1","9126F6FF55CB73EFF83D93B53A6FE8C300150691C7F50959C34A8A10A188CD75","43109B35A87FACF7F3E9C3155F545B625F486BF535F2E55F770F7D643D43691D","6493A292B8126FD03596A0062BBC065144AEE949D63E55E7B4F10D8469989A11","Frozen pre-2021 D1 momentum extreme-guard discovery. Every row must parse exactly and remain profitable. The 18% center must be no worse than control in both disjoint eras; continuous net >=control +2%; CAGR >=control +0.04 point; PF/recovery/return-DD no worse than control; DD <=control +0.05 point; trades >=85% of control. At least two of the 12%, 24%, and 30% neighbors must remain positive in both eras, improve continuous net >=1%, CAGR >=control +0.02 point, retain >=98% of control PF/recovery/return-DD, DD <=control +0.08 point, retain >=80% of control trades, and change behavior. No post-result rescue."
"3","mde_control","1","control","momentum_d1_extreme_guard_discovery_model1","continuous_2015_2020","2015.01.01","2020.12.31","1","10000","false","100","0.15","0.45","0.15","0.75","mde_control_continuous_2015_2020_m1","outputs\three_lane_momentum_d1_extreme_guard_discovery_model1_package\configs\003_mde_control_continuous_2015_2020_m1.ini","outputs\three_lane_momentum_d1_extreme_guard_discovery_model1_package\configs\003_mde_control_continuous_2015_2020_m1.ini","outputs\three_lane_momentum_d1_extreme_guard_discovery_model1_package\reports_here\mde_control_continuous_2015_2020_m1","9A482DB3DCC7D0EDBF4D60F095E90B3EBA3ED65FB1A1DF2AAC385B45E0DCD462","43109B35A87FACF7F3E9C3155F545B625F486BF535F2E55F770F7D643D43691D","6493A292B8126FD03596A0062BBC065144AEE949D63E55E7B4F10D8469989A11","Frozen pre-2021 D1 momentum extreme-guard discovery. Every row must parse exactly and remain profitable. The 18% center must be no worse than control in both disjoint eras; continuous net >=control +2%; CAGR >=control +0.04 point; PF/recovery/return-DD no worse than control; DD <=control +0.05 point; trades >=85% of control. At least two of the 12%, 24%, and 30% neighbors must remain positive in both eras, improve continuous net >=1%, CAGR >=control +0.02 point, retain >=98% of control PF/recovery/return-DD, DD <=control +0.08 point, retain >=80% of control trades, and change behavior. No post-result rescue."
"4","mde_12","2","lower_support","momentum_d1_extreme_guard_discovery_model1","older_2015_2018","2015.01.01","2018.12.31","1","10000","true","12","0.15","0.45","0.15","0.75","mde_12_older_2015_2018_m1","outputs\three_lane_momentum_d1_extreme_guard_discovery_model1_package\configs\004_mde_12_older_2015_2018_m1.ini","outputs\three_lane_momentum_d1_extreme_guard_discovery_model1_package\configs\004_mde_12_older_2015_2018_m1.ini","outputs\three_lane_momentum_d1_extreme_guard_discovery_model1_package\reports_here\mde_12_older_2015_2018_m1","5AF2D53E645EE4D360212EF9DBD07C271BCBCDA0439EE1D678515FF0E35B478F","639F91B24660EA77FE2ACA144C3464CBA34BC546BED39D2842998182E3B03493","6493A292B8126FD03596A0062BBC065144AEE949D63E55E7B4F10D8469989A11","Frozen pre-2021 D1 momentum extreme-guard discovery. Every row must parse exactly and remain profitable. The 18% center must be no worse than control in both disjoint eras; continuous net >=control +2%; CAGR >=control +0.04 point; PF/recovery/return-DD no worse than control; DD <=control +0.05 point; trades >=85% of control. At least two of the 12%, 24%, and 30% neighbors must remain positive in both eras, improve continuous net >=1%, CAGR >=control +0.02 point, retain >=98% of control PF/recovery/return-DD, DD <=control +0.08 point, retain >=80% of control trades, and change behavior. No post-result rescue."
"5","mde_12","2","lower_support","momentum_d1_extreme_guard_discovery_model1","later_2019_2020","2019.01.01","2020.12.31","1","10000","true","12","0.15","0.45","0.15","0.75","mde_12_later_2019_2020_m1","outputs\three_lane_momentum_d1_extreme_guard_discovery_model1_package\configs\005_mde_12_later_2019_2020_m1.ini","outputs\three_lane_momentum_d1_extreme_guard_discovery_model1_package\configs\005_mde_12_later_2019_2020_m1.ini","outputs\three_lane_momentum_d1_extreme_guard_discovery_model1_package\reports_here\mde_12_later_2019_2020_m1","9182DAE030BDC69ABEF971763E7E08543EE2104CE3F76B075E53FC7DE8CAF472","639F91B24660EA77FE2ACA144C3464CBA34BC546BED39D2842998182E3B03493","6493A292B8126FD03596A0062BBC065144AEE949D63E55E7B4F10D8469989A11","Frozen pre-2021 D1 momentum extreme-guard discovery. Every row must parse exactly and remain profitable. The 18% center must be no worse than control in both disjoint eras; continuous net >=control +2%; CAGR >=control +0.04 point; PF/recovery/return-DD no worse than control; DD <=control +0.05 point; trades >=85% of control. At least two of the 12%, 24%, and 30% neighbors must remain positive in both eras, improve continuous net >=1%, CAGR >=control +0.02 point, retain >=98% of control PF/recovery/return-DD, DD <=control +0.08 point, retain >=80% of control trades, and change behavior. No post-result rescue."
"6","mde_12","2","lower_support","momentum_d1_extreme_guard_discovery_model1","continuous_2015_2020","2015.01.01","2020.12.31","1","10000","true","12","0.15","0.45","0.15","0.75","mde_12_continuous_2015_2020_m1","outputs\three_lane_momentum_d1_extreme_guard_discovery_model1_package\configs\006_mde_12_continuous_2015_2020_m1.ini","outputs\three_lane_momentum_d1_extreme_guard_discovery_model1_package\configs\006_mde_12_continuous_2015_2020_m1.ini","outputs\three_lane_momentum_d1_extreme_guard_discovery_model1_package\reports_here\mde_12_continuous_2015_2020_m1","29C3B760A001651F6937D9639C835ACA108F41064D2D5DF42F22A0CDC44B6438","639F91B24660EA77FE2ACA144C3464CBA34BC546BED39D2842998182E3B03493","6493A292B8126FD03596A0062BBC065144AEE949D63E55E7B4F10D8469989A11","Frozen pre-2021 D1 momentum extreme-guard discovery. Every row must parse exactly and remain profitable. The 18% center must be no worse than control in both disjoint eras; continuous net >=control +2%; CAGR >=control +0.04 point; PF/recovery/return-DD no worse than control; DD <=control +0.05 point; trades >=85% of control. At least two of the 12%, 24%, and 30% neighbors must remain positive in both eras, improve continuous net >=1%, CAGR >=control +0.02 point, retain >=98% of control PF/recovery/return-DD, DD <=control +0.08 point, retain >=80% of control trades, and change behavior. No post-result rescue."
"7","mde_center_18","3","center","momentum_d1_extreme_guard_discovery_model1","older_2015_2018","2015.01.01","2018.12.31","1","10000","true","18","0.15","0.45","0.15","0.75","mde_center_18_older_2015_2018_m1","outputs\three_lane_momentum_d1_extreme_guard_discovery_model1_package\configs\007_mde_center_18_older_2015_2018_m1.ini","outputs\three_lane_momentum_d1_extreme_guard_discovery_model1_package\configs\007_mde_center_18_older_2015_2018_m1.ini","outputs\three_lane_momentum_d1_extreme_guard_discovery_model1_package\reports_here\mde_center_18_older_2015_2018_m1","E926CCFEC6F824ACCB0B24B9D094DC216368DA0F7453649805B3EC1E58133060","A2E7C870D96F13710AAFB9EFC4989C928EA8A95A4CA1EDCCFB615D3CA96A1FA0","6493A292B8126FD03596A0062BBC065144AEE949D63E55E7B4F10D8469989A11","Frozen pre-2021 D1 momentum extreme-guard discovery. Every row must parse exactly and remain profitable. The 18% center must be no worse than control in both disjoint eras; continuous net >=control +2%; CAGR >=control +0.04 point; PF/recovery/return-DD no worse than control; DD <=control +0.05 point; trades >=85% of control. At least two of the 12%, 24%, and 30% neighbors must remain positive in both eras, improve continuous net >=1%, CAGR >=control +0.02 point, retain >=98% of control PF/recovery/return-DD, DD <=control +0.08 point, retain >=80% of control trades, and change behavior. No post-result rescue."
"8","mde_center_18","3","center","momentum_d1_extreme_guard_discovery_model1","later_2019_2020","2019.01.01","2020.12.31","1","10000","true","18","0.15","0.45","0.15","0.75","mde_center_18_later_2019_2020_m1","outputs\three_lane_momentum_d1_extreme_guard_discovery_model1_package\configs\008_mde_center_18_later_2019_2020_m1.ini","outputs\three_lane_momentum_d1_extreme_guard_discovery_model1_package\configs\008_mde_center_18_later_2019_2020_m1.ini","outputs\three_lane_momentum_d1_extreme_guard_discovery_model1_package\reports_here\mde_center_18_later_2019_2020_m1","26EF54B12981492061D8E3713526D79A7F922C86A8C265C942B945D3630725F1","A2E7C870D96F13710AAFB9EFC4989C928EA8A95A4CA1EDCCFB615D3CA96A1FA0","6493A292B8126FD03596A0062BBC065144AEE949D63E55E7B4F10D8469989A11","Frozen pre-2021 D1 momentum extreme-guard discovery. Every row must parse exactly and remain profitable. The 18% center must be no worse than control in both disjoint eras; continuous net >=control +2%; CAGR >=control +0.04 point; PF/recovery/return-DD no worse than control; DD <=control +0.05 point; trades >=85% of control. At least two of the 12%, 24%, and 30% neighbors must remain positive in both eras, improve continuous net >=1%, CAGR >=control +0.02 point, retain >=98% of control PF/recovery/return-DD, DD <=control +0.08 point, retain >=80% of control trades, and change behavior. No post-result rescue."
"9","mde_center_18","3","center","momentum_d1_extreme_guard_discovery_model1","continuous_2015_2020","2015.01.01","2020.12.31","1","10000","true","18","0.15","0.45","0.15","0.75","mde_center_18_continuous_2015_2020_m1","outputs\three_lane_momentum_d1_extreme_guard_discovery_model1_package\configs\009_mde_center_18_continuous_2015_2020_m1.ini","outputs\three_lane_momentum_d1_extreme_guard_discovery_model1_package\configs\009_mde_center_18_continuous_2015_2020_m1.ini","outputs\three_lane_momentum_d1_extreme_guard_discovery_model1_package\reports_here\mde_center_18_continuous_2015_2020_m1","4CEE809E6E9D85AB8909778ACC24EF3380BDB648BBFFFC5EBB49597CDC4D81BF","A2E7C870D96F13710AAFB9EFC4989C928EA8A95A4CA1EDCCFB615D3CA96A1FA0","6493A292B8126FD03596A0062BBC065144AEE949D63E55E7B4F10D8469989A11","Frozen pre-2021 D1 momentum extreme-guard discovery. Every row must parse exactly and remain profitable. The 18% center must be no worse than control in both disjoint eras; continuous net >=control +2%; CAGR >=control +0.04 point; PF/recovery/return-DD no worse than control; DD <=control +0.05 point; trades >=85% of control. At least two of the 12%, 24%, and 30% neighbors must remain positive in both eras, improve continuous net >=1%, CAGR >=control +0.02 point, retain >=98% of control PF/recovery/return-DD, DD <=control +0.08 point, retain >=80% of control trades, and change behavior. No post-result rescue."
"10","mde_24","4","upper_support","momentum_d1_extreme_guard_discovery_model1","older_2015_2018","2015.01.01","2018.12.31","1","10000","true","24","0.15","0.45","0.15","0.75","mde_24_older_2015_2018_m1","outputs\three_lane_momentum_d1_extreme_guard_discovery_model1_package\configs\010_mde_24_older_2015_2018_m1.ini","outputs\three_lane_momentum_d1_extreme_guard_discovery_model1_package\configs\010_mde_24_older_2015_2018_m1.ini","outputs\three_lane_momentum_d1_extreme_guard_discovery_model1_package\reports_here\mde_24_older_2015_2018_m1","43BD80DA22698DF4FF8DC3720DF9E9047DB3C18C7F7728BB9AC5FB67F1788A44","6A9D86C9E6E6C6ABDF90555CBB7A085B2B9F7583460CEFA24488706602619AF0","6493A292B8126FD03596A0062BBC065144AEE949D63E55E7B4F10D8469989A11","Frozen pre-2021 D1 momentum extreme-guard discovery. Every row must parse exactly and remain profitable. The 18% center must be no worse than control in both disjoint eras; continuous net >=control +2%; CAGR >=control +0.04 point; PF/recovery/return-DD no worse than control; DD <=control +0.05 point; trades >=85% of control. At least two of the 12%, 24%, and 30% neighbors must remain positive in both eras, improve continuous net >=1%, CAGR >=control +0.02 point, retain >=98% of control PF/recovery/return-DD, DD <=control +0.08 point, retain >=80% of control trades, and change behavior. No post-result rescue."
