"QueueRank","Candidate","Role","Window","From","To","Model","MaximumD1MomentumStrengthEnabled","MaximumAbsoluteD1MomentumPercent","ProfileSha256","SourceSha256","BinarySha256","Status","NetProfit","TotalReturnPercent","CagrPercent","ProfitFactor","ExpectedPayoff","SharpeRatio","WinRatePercent","TotalTrades","MaxConsecutiveLosses","MaxDrawdownPercent","RecoveryFactor","ReturnDrawdown","ReportSha256"
"1","mde_control","control","older_2015_2018","2015.01.01","2018.12.31","1","false","100","43109B35A87FACF7F3E9C3155F545B625F486BF535F2E55F770F7D643D43691D","6493A292B8126FD03596A0062BBC065144AEE949D63E55E7B4F10D8469989A11","FA394FDB8767BD7E4549FA5D05920EF0A548EE7A39E65A1119873E4711977C63","PARSED","1036.19","10.36","2.5","1.96","5.63","5.45","45.65","184","6","1.11","8.8405","9.3333","CA568BAB1CA8EDB1B7EEF1941D83624301AF4376A697F070DBD5A1BF2FB506CB"
"2","mde_control","control","later_2019_2020","2019.01.01","2020.12.31","1","false","100","43109B35A87FACF7F3E9C3155F545B625F486BF535F2E55F770F7D643D43691D","6493A292B8126FD03596A0062BBC065144AEE949D63E55E7B4F10D8469989A11","FA394FDB8767BD7E4549FA5D05920EF0A548EE7A39E65A1119873E4711977C63","PARSED","370.6","3.71","1.84","1.94","5.01","5.64","47.3","74","6","0.93","3.9155","3.9892","2316A6D06C7760D627626C712A12E083AAF5F1406C988350DB952F6686EAB082"
"3","mde_control","control","continuous_2015_2020","2015.01.01","2020.12.31","1","false","100","43109B35A87FACF7F3E9C3155F545B625F486BF535F2E55F770F7D643D43691D","6493A292B8126FD03596A0062BBC065144AEE949D63E55E7B4F10D8469989A11","FA394FDB8767BD7E4549FA5D05920EF0A548EE7A39E65A1119873E4711977C63","PARSED","1379.93","13.8","2.18","1.88","5.29","5.15","45.98","261","6","1.05","11.6775","13.1429","0D6B7606730A0B6EF2678464D93596501AEC40BDA63E48E1F223A36DFF670EED"
"4","mde_12","lower_support","older_2015_2018","2015.01.01","2018.12.31","1","true","12","639F91B24660EA77FE2ACA144C3464CBA34BC546BED39D2842998182E3B03493","6493A292B8126FD03596A0062BBC065144AEE949D63E55E7B4F10D8469989A11","FA394FDB8767BD7E4549FA5D05920EF0A548EE7A39E65A1119873E4711977C63","PARSED","1037.27","10.37","2.5","2.05","6.14","5.7","46.75","169","6","1.11","8.8497","9.3423","412B166AD137F9BEACB411F2B9CBE0D86155649C225E41F3FB46352761CB59A8"
"5","mde_12","lower_support","later_2019_2020","2019.01.01","2020.12.31","1","true","12","639F91B24660EA77FE2ACA144C3464CBA34BC546BED39D2842998182E3B03493","6493A292B8126FD03596A0062BBC065144AEE949D63E55E7B4F10D8469989A11","FA394FDB8767BD7E4549FA5D05920EF0A548EE7A39E65A1119873E4711977C63","PARSED","362.03","3.62","1.8","2.37","7.54","6.76","54.17","48","5","0.76","4.6774","4.7632","B4A395D85BF537864816201FCDEC41BD9104295E291BB3AA651F36B4CD5DC6D7"
"6","mde_12","lower_support","continuous_2015_2020","2015.01.01","2020.12.31","1","true","12","639F91B24660EA77FE2ACA144C3464CBA34BC546BED39D2842998182E3B03493","6493A292B8126FD03596A0062BBC065144AEE949D63E55E7B4F10D8469989A11","FA394FDB8767BD7E4549FA5D05920EF0A548EE7A39E65A1119873E4711977C63","PARSED","1400.64","14.01","2.21","2.06","6.37","5.67","48.18","220","6","1.11","11.9498","12.6216","7B6AC4483ABDD3BB7B18F00214005EDABDF3A190254ABC2676EB1CA368ADB774"
"7","mde_center_18","center","older_2015_2018","2015.01.01","2018.12.31","1","true","18","A2E7C870D96F13710AAFB9EFC4989C928EA8A95A4CA1EDCCFB615D3CA96A1FA0","6493A292B8126FD03596A0062BBC065144AEE949D63E55E7B4F10D8469989A11","FA394FDB8767BD7E4549FA5D05920EF0A548EE7A39E65A1119873E4711977C63","PARSED","1034.58","10.35","2.49","1.99","5.78","5.54","45.81","179","6","1.11","8.8267","9.3243","5BAD54A5054CB391930BFBF67732E17E68AC7BA1D24A30723F39E8D5EDA419FB"
"8","mde_center_18","center","later_2019_2020","2019.01.01","2020.12.31","1","true","18","A2E7C870D96F13710AAFB9EFC4989C928EA8A95A4CA1EDCCFB615D3CA96A1FA0","6493A292B8126FD03596A0062BBC065144AEE949D63E55E7B4F10D8469989A11","FA394FDB8767BD7E4549FA5D05920EF0A548EE7A39E65A1119873E4711977C63","PARSED","400.36","4","1.98","2.1","5.72","6.19","50","70","5","0.77","5.1586","5.1948","020D99628EB97D057A68C7389260E32E4344C194FEB5200135B62979A3563BDC"
"9","mde_center_18","center","continuous_2015_2020","2015.01.01","2020.12.31","1","true","18","A2E7C870D96F13710AAFB9EFC4989C928EA8A95A4CA1EDCCFB615D3CA96A1FA0","6493A292B8126FD03596A0062BBC065144AEE949D63E55E7B4F10D8469989A11","FA394FDB8767BD7E4549FA5D05920EF0A548EE7A39E65A1119873E4711977C63","PARSED","1416","14.16","2.23","1.95","5.62","5.37","46.83","252","6","1.11","12.0809","12.7568","FA5C9384CC5CF035AC0FDD0458345C8FE2216157D30E75A1085FECEF5270FDFC"
"10","mde_24","upper_support","older_2015_2018","2015.01.01","2018.12.31","1","true","24","6A9D86C9E6E6C6ABDF90555CBB7A085B2B9F7583460CEFA24488706602619AF0","6493A292B8126FD03596A0062BBC065144AEE949D63E55E7B4F10D8469989A11","FA394FDB8767BD7E4549FA5D05920EF0A548EE7A39E65A1119873E4711977C63","PARSED","1036.19","10.36","2.5","1.96","5.63","5.45","45.65","184","6","1.11","8.8405","9.3333","9A5C8A56A186C4DAED73A4DE99D0013C2A4826949E1B28881583727680948965"
"11","mde_24","upper_support","later_2019_2020","2019.01.01","2020.12.31","1","true","24","6A9D86C9E6E6C6ABDF90555CBB7A085B2B9F7583460CEFA24488706602619AF0","6493A292B8126FD03596A0062BBC065144AEE949D63E55E7B4F10D8469989A11","FA394FDB8767BD7E4549FA5D05920EF0A548EE7A39E65A1119873E4711977C63","PARSED","379.16","3.79","1.88","1.98","5.19","5.83","47.95","73","6","0.93","4.0059","4.0753","99E2E275FA02B4CECDD3EB5D12154FF3CA641BFADE0FDB69C967C3E46AB24026"
"12","mde_24","upper_support","continuous_2015_2020","2015.01.01","2020.12.31","1","true","24","6A9D86C9E6E6C6ABDF90555CBB7A085B2B9F7583460CEFA24488706602619AF0","6493A292B8126FD03596A0062BBC065144AEE949D63E55E7B4F10D8469989A11","FA394FDB8767BD7E4549FA5D05920EF0A548EE7A39E65A1119873E4711977C63","PARSED","1388.49","13.88","2.19","1.89","5.34","5.19","46.15","260","6","1.05","11.7499","13.219","A66FB015F08BF2C02F3D853C8E08D41B8031B01B756E8FE5C3BAEFA7B69BE545"
"13","mde_30","upper_boundary","older_2015_2018","2015.01.01","2018.12.31","1","true","30","27A050300012B23FEECAC0EFE1683F1196DC09DC6EA0D41806B8B78634140F2F","6493A292B8126FD03596A0062BBC065144AEE949D63E55E7B4F10D8469989A11","FA394FDB8767BD7E4549FA5D05920EF0A548EE7A39E65A1119873E4711977C63","PARSED","1036.19","10.36","2.5","1.96","5.63","5.45","45.65","184","6","1.11","8.8405","9.3333","FCF0BA12A89AA134DB052721D666DDF1EF32C72213675767F1A4E44EE46C5C60"
"14","mde_30","upper_boundary","later_2019_2020","2019.01.01","2020.12.31","1","true","30","27A050300012B23FEECAC0EFE1683F1196DC09DC6EA0D41806B8B78634140F2F","6493A292B8126FD03596A0062BBC065144AEE949D63E55E7B4F10D8469989A11","FA394FDB8767BD7E4549FA5D05920EF0A548EE7A39E65A1119873E4711977C63","PARSED","379.16","3.79","1.88","1.98","5.19","5.83","47.95","73","6","0.93","4.0059","4.0753","5E37E78A35F7BE4C3675EBD6841A6759AA11F7F5FAE6F6F470DDC64C32078B8F"
"15","mde_30","upper_boundary","continuous_2015_2020","2015.01.01","2020.12.31","1","true","30","27A050300012B23FEECAC0EFE1683F1196DC09DC6EA0D41806B8B78634140F2F","6493A292B8126FD03596A0062BBC065144AEE949D63E55E7B4F10D8469989A11","FA394FDB8767BD7E4549FA5D05920EF0A548EE7A39E65A1119873E4711977C63","PARSED","1388.49","13.88","2.19","1.89","5.34","5.19","46.15","260","6","1.05","11.7499","13.219","D77D09829F078ADF7ED3A47ED97631ECBD4E04401625B55BF5DB5F8E0DBF4F0C"
