"QueueRank","Candidate","CandidateRank","Role","Phase","Window","From","To","Model","Deposit","MinimumD1MomentumStrengthEnabled","MinimumAbsoluteD1MomentumPercent","MomentumRiskPercent","ReversionRiskPercent","AdaptiveRiskPercent","MaximumPortfolioOpenRiskPercent","ExpectedReportName","PackageConfig","SourceConfig","ReportDestination","ConfigSha256","ProfileSha256","SourceSha256","StopRule"
"1","mds_control","1","control","momentum_d1_strength_gate_discovery_model1","older_2015_2018","2015.01.01","2018.12.31","1","10000","false","0","0.15","0.45","0.15","0.75","mds_control_older_2015_2018_m1","outputs\three_lane_momentum_d1_strength_gate_discovery_model1_package\configs\001_mds_control_older_2015_2018_m1.ini","outputs\three_lane_momentum_d1_strength_gate_discovery_model1_package\configs\001_mds_control_older_2015_2018_m1.ini","outputs\three_lane_momentum_d1_strength_gate_discovery_model1_package\reports_here\mds_control_older_2015_2018_m1","2CE46B699B5CA40E4F5DF5385D8D3FB8F82787998CF1B733AE4D159875B162AE","C6C13876F7B2126D1ED646FAF4FCD5F9BB839179912C95ACA54584851909BCAA","F405E62145EB3353D26A6EEC9095505AD3E674CB3FB5E4C1F58F0049AE4117D8","Frozen pre-2021 D1 momentum-strength discovery. Every row must parse exactly and remain profitable. The 4% center must be no worse than control in both disjoint eras; continuous net >=control +2%; CAGR >=control +0.04 point; PF/recovery/return-DD no worse than control; DD <=control +0.05 point; trades >=85% of control. Both 2% and 6% enabled neighbors must remain positive in both eras, improve continuous net >=1%, CAGR >=control +0.02 point, retain >=98% of control PF/recovery/return-DD, DD <=control +0.08 point, retain >=80% of control trades, and change behavior. No post-result rescue."
"2","mds_control","1","control","momentum_d1_strength_gate_discovery_model1","later_2019_2020","2019.01.01","2020.12.31","1","10000","false","0","0.15","0.45","0.15","0.75","mds_control_later_2019_2020_m1","outputs\three_lane_momentum_d1_strength_gate_discovery_model1_package\configs\002_mds_control_later_2019_2020_m1.ini","outputs\three_lane_momentum_d1_strength_gate_discovery_model1_package\configs\002_mds_control_later_2019_2020_m1.ini","outputs\three_lane_momentum_d1_strength_gate_discovery_model1_package\reports_here\mds_control_later_2019_2020_m1","A85637B7AB30BBF51082E092B12FD2C8BE32E9326A563CF5E7BE6D2E2C5F27F0","C6C13876F7B2126D1ED646FAF4FCD5F9BB839179912C95ACA54584851909BCAA","F405E62145EB3353D26A6EEC9095505AD3E674CB3FB5E4C1F58F0049AE4117D8","Frozen pre-2021 D1 momentum-strength discovery. Every row must parse exactly and remain profitable. The 4% center must be no worse than control in both disjoint eras; continuous net >=control +2%; CAGR >=control +0.04 point; PF/recovery/return-DD no worse than control; DD <=control +0.05 point; trades >=85% of control. Both 2% and 6% enabled neighbors must remain positive in both eras, improve continuous net >=1%, CAGR >=control +0.02 point, retain >=98% of control PF/recovery/return-DD, DD <=control +0.08 point, retain >=80% of control trades, and change behavior. No post-result rescue."
"3","mds_control","1","control","momentum_d1_strength_gate_discovery_model1","continuous_2015_2020","2015.01.01","2020.12.31","1","10000","false","0","0.15","0.45","0.15","0.75","mds_control_continuous_2015_2020_m1","outputs\three_lane_momentum_d1_strength_gate_discovery_model1_package\configs\003_mds_control_continuous_2015_2020_m1.ini","outputs\three_lane_momentum_d1_strength_gate_discovery_model1_package\configs\003_mds_control_continuous_2015_2020_m1.ini","outputs\three_lane_momentum_d1_strength_gate_discovery_model1_package\reports_here\mds_control_continuous_2015_2020_m1","5CEA7D5554999601B5FB0ED300C3E4EB786D42C76B4FF660196C1490952BB82F","C6C13876F7B2126D1ED646FAF4FCD5F9BB839179912C95ACA54584851909BCAA","F405E62145EB3353D26A6EEC9095505AD3E674CB3FB5E4C1F58F0049AE4117D8","Frozen pre-2021 D1 momentum-strength discovery. Every row must parse exactly and remain profitable. The 4% center must be no worse than control in both disjoint eras; continuous net >=control +2%; CAGR >=control +0.04 point; PF/recovery/return-DD no worse than control; DD <=control +0.05 point; trades >=85% of control. Both 2% and 6% enabled neighbors must remain positive in both eras, improve continuous net >=1%, CAGR >=control +0.02 point, retain >=98% of control PF/recovery/return-DD, DD <=control +0.08 point, retain >=80% of control trades, and change behavior. No post-result rescue."
"4","mds_02","2","lower_support","momentum_d1_strength_gate_discovery_model1","older_2015_2018","2015.01.01","2018.12.31","1","10000","true","2","0.15","0.45","0.15","0.75","mds_02_older_2015_2018_m1","outputs\three_lane_momentum_d1_strength_gate_discovery_model1_package\configs\004_mds_02_older_2015_2018_m1.ini","outputs\three_lane_momentum_d1_strength_gate_discovery_model1_package\configs\004_mds_02_older_2015_2018_m1.ini","outputs\three_lane_momentum_d1_strength_gate_discovery_model1_package\reports_here\mds_02_older_2015_2018_m1","A06DAA39212E907CE7AC6514439A3E7EA229206CC4B0EFC0E10639ED8F26E647","DA3480DFBA5FB4690575E4BC4FB7063687929F61DC92A80A646AB267F58E5B92","F405E62145EB3353D26A6EEC9095505AD3E674CB3FB5E4C1F58F0049AE4117D8","Frozen pre-2021 D1 momentum-strength discovery. Every row must parse exactly and remain profitable. The 4% center must be no worse than control in both disjoint eras; continuous net >=control +2%; CAGR >=control +0.04 point; PF/recovery/return-DD no worse than control; DD <=control +0.05 point; trades >=85% of control. Both 2% and 6% enabled neighbors must remain positive in both eras, improve continuous net >=1%, CAGR >=control +0.02 point, retain >=98% of control PF/recovery/return-DD, DD <=control +0.08 point, retain >=80% of control trades, and change behavior. No post-result rescue."
"5","mds_02","2","lower_support","momentum_d1_strength_gate_discovery_model1","later_2019_2020","2019.01.01","2020.12.31","1","10000","true","2","0.15","0.45","0.15","0.75","mds_02_later_2019_2020_m1","outputs\three_lane_momentum_d1_strength_gate_discovery_model1_package\configs\005_mds_02_later_2019_2020_m1.ini","outputs\three_lane_momentum_d1_strength_gate_discovery_model1_package\configs\005_mds_02_later_2019_2020_m1.ini","outputs\three_lane_momentum_d1_strength_gate_discovery_model1_package\reports_here\mds_02_later_2019_2020_m1","3125680A3E415A5ECD71B91E9C8980CB67EE612A6EE675FFF2C405DC23BC1F8F","DA3480DFBA5FB4690575E4BC4FB7063687929F61DC92A80A646AB267F58E5B92","F405E62145EB3353D26A6EEC9095505AD3E674CB3FB5E4C1F58F0049AE4117D8","Frozen pre-2021 D1 momentum-strength discovery. Every row must parse exactly and remain profitable. The 4% center must be no worse than control in both disjoint eras; continuous net >=control +2%; CAGR >=control +0.04 point; PF/recovery/return-DD no worse than control; DD <=control +0.05 point; trades >=85% of control. Both 2% and 6% enabled neighbors must remain positive in both eras, improve continuous net >=1%, CAGR >=control +0.02 point, retain >=98% of control PF/recovery/return-DD, DD <=control +0.08 point, retain >=80% of control trades, and change behavior. No post-result rescue."
"6","mds_02","2","lower_support","momentum_d1_strength_gate_discovery_model1","continuous_2015_2020","2015.01.01","2020.12.31","1","10000","true","2","0.15","0.45","0.15","0.75","mds_02_continuous_2015_2020_m1","outputs\three_lane_momentum_d1_strength_gate_discovery_model1_package\configs\006_mds_02_continuous_2015_2020_m1.ini","outputs\three_lane_momentum_d1_strength_gate_discovery_model1_package\configs\006_mds_02_continuous_2015_2020_m1.ini","outputs\three_lane_momentum_d1_strength_gate_discovery_model1_package\reports_here\mds_02_continuous_2015_2020_m1","8B4D41B8D30859C0E6FAC18DC3CE38A448C542A7260BF287DCAED89342F32AEF","DA3480DFBA5FB4690575E4BC4FB7063687929F61DC92A80A646AB267F58E5B92","F405E62145EB3353D26A6EEC9095505AD3E674CB3FB5E4C1F58F0049AE4117D8","Frozen pre-2021 D1 momentum-strength discovery. Every row must parse exactly and remain profitable. The 4% center must be no worse than control in both disjoint eras; continuous net >=control +2%; CAGR >=control +0.04 point; PF/recovery/return-DD no worse than control; DD <=control +0.05 point; trades >=85% of control. Both 2% and 6% enabled neighbors must remain positive in both eras, improve continuous net >=1%, CAGR >=control +0.02 point, retain >=98% of control PF/recovery/return-DD, DD <=control +0.08 point, retain >=80% of control trades, and change behavior. No post-result rescue."
"7","mds_center_04","3","center","momentum_d1_strength_gate_discovery_model1","older_2015_2018","2015.01.01","2018.12.31","1","10000","true","4","0.15","0.45","0.15","0.75","mds_center_04_older_2015_2018_m1","outputs\three_lane_momentum_d1_strength_gate_discovery_model1_package\configs\007_mds_center_04_older_2015_2018_m1.ini","outputs\three_lane_momentum_d1_strength_gate_discovery_model1_package\configs\007_mds_center_04_older_2015_2018_m1.ini","outputs\three_lane_momentum_d1_strength_gate_discovery_model1_package\reports_here\mds_center_04_older_2015_2018_m1","913DDBEE01E695C64FFDB1D89A151A7E85CF5E62666025FD6F1C655297CFB173","27DA741AEA25DE4F7EC0061746CCE8BB76281EEFE4424C89EAED59E410701651","F405E62145EB3353D26A6EEC9095505AD3E674CB3FB5E4C1F58F0049AE4117D8","Frozen pre-2021 D1 momentum-strength discovery. Every row must parse exactly and remain profitable. The 4% center must be no worse than control in both disjoint eras; continuous net >=control +2%; CAGR >=control +0.04 point; PF/recovery/return-DD no worse than control; DD <=control +0.05 point; trades >=85% of control. Both 2% and 6% enabled neighbors must remain positive in both eras, improve continuous net >=1%, CAGR >=control +0.02 point, retain >=98% of control PF/recovery/return-DD, DD <=control +0.08 point, retain >=80% of control trades, and change behavior. No post-result rescue."
"8","mds_center_04","3","center","momentum_d1_strength_gate_discovery_model1","later_2019_2020","2019.01.01","2020.12.31","1","10000","true","4","0.15","0.45","0.15","0.75","mds_center_04_later_2019_2020_m1","outputs\three_lane_momentum_d1_strength_gate_discovery_model1_package\configs\008_mds_center_04_later_2019_2020_m1.ini","outputs\three_lane_momentum_d1_strength_gate_discovery_model1_package\configs\008_mds_center_04_later_2019_2020_m1.ini","outputs\three_lane_momentum_d1_strength_gate_discovery_model1_package\reports_here\mds_center_04_later_2019_2020_m1","3F9855C087BC3DA2E43F73E86525F1C6F86C988490DF00EBBB8701A7BCC51745","27DA741AEA25DE4F7EC0061746CCE8BB76281EEFE4424C89EAED59E410701651","F405E62145EB3353D26A6EEC9095505AD3E674CB3FB5E4C1F58F0049AE4117D8","Frozen pre-2021 D1 momentum-strength discovery. Every row must parse exactly and remain profitable. The 4% center must be no worse than control in both disjoint eras; continuous net >=control +2%; CAGR >=control +0.04 point; PF/recovery/return-DD no worse than control; DD <=control +0.05 point; trades >=85% of control. Both 2% and 6% enabled neighbors must remain positive in both eras, improve continuous net >=1%, CAGR >=control +0.02 point, retain >=98% of control PF/recovery/return-DD, DD <=control +0.08 point, retain >=80% of control trades, and change behavior. No post-result rescue."
"9","mds_center_04","3","center","momentum_d1_strength_gate_discovery_model1","continuous_2015_2020","2015.01.01","2020.12.31","1","10000","true","4","0.15","0.45","0.15","0.75","mds_center_04_continuous_2015_2020_m1","outputs\three_lane_momentum_d1_strength_gate_discovery_model1_package\configs\009_mds_center_04_continuous_2015_2020_m1.ini","outputs\three_lane_momentum_d1_strength_gate_discovery_model1_package\configs\009_mds_center_04_continuous_2015_2020_m1.ini","outputs\three_lane_momentum_d1_strength_gate_discovery_model1_package\reports_here\mds_center_04_continuous_2015_2020_m1","743D80CE03EE75E6EF6906FDC13F8FB4E2421A09BF9CEDD7543F7E3203B6B133","27DA741AEA25DE4F7EC0061746CCE8BB76281EEFE4424C89EAED59E410701651","F405E62145EB3353D26A6EEC9095505AD3E674CB3FB5E4C1F58F0049AE4117D8","Frozen pre-2021 D1 momentum-strength discovery. Every row must parse exactly and remain profitable. The 4% center must be no worse than control in both disjoint eras; continuous net >=control +2%; CAGR >=control +0.04 point; PF/recovery/return-DD no worse than control; DD <=control +0.05 point; trades >=85% of control. Both 2% and 6% enabled neighbors must remain positive in both eras, improve continuous net >=1%, CAGR >=control +0.02 point, retain >=98% of control PF/recovery/return-DD, DD <=control +0.08 point, retain >=80% of control trades, and change behavior. No post-result rescue."
"10","mds_06","4","upper_support","momentum_d1_strength_gate_discovery_model1","older_2015_2018","2015.01.01","2018.12.31","1","10000","true","6","0.15","0.45","0.15","0.75","mds_06_older_2015_2018_m1","outputs\three_lane_momentum_d1_strength_gate_discovery_model1_package\configs\010_mds_06_older_2015_2018_m1.ini","outputs\three_lane_momentum_d1_strength_gate_discovery_model1_package\configs\010_mds_06_older_2015_2018_m1.ini","outputs\three_lane_momentum_d1_strength_gate_discovery_model1_package\reports_here\mds_06_older_2015_2018_m1","0ED229053435E3D5ACE82FD0F7830D812AB0917B162DF7F6B4301F09AC9D8430","FC174DC52541BB0272AABD328510578F131D7187E5CC6DF1FC8FDFC3ED170846","F405E62145EB3353D26A6EEC9095505AD3E674CB3FB5E4C1F58F0049AE4117D8","Frozen pre-2021 D1 momentum-strength discovery. Every row must parse exactly and remain profitable. The 4% center must be no worse than control in both disjoint eras; continuous net >=control +2%; CAGR >=control +0.04 point; PF/recovery/return-DD no worse than control; DD <=control +0.05 point; trades >=85% of control. Both 2% and 6% enabled neighbors must remain positive in both eras, improve continuous net >=1%, CAGR >=control +0.02 point, retain >=98% of control PF/recovery/return-DD, DD <=control +0.08 point, retain >=80% of control trades, and change behavior. No post-result rescue."
