"QueueRank","Candidate","CandidateRank","Role","Phase","Window","From","To","Model","Deposit","MomentumChannelExitEnabled","MomentumFailureExitEnabled","MomentumMaximumHoldBars","ReversionRiskPercent","MaximumPortfolioOpenRiskPercent","ExpectedReportName","PackageConfig","SourceConfig","ReportDestination","ConfigSha256","ProfileSha256","SourceSha256","StopRule"
"1","mea_control","1","control","momentum_exit_ablation_diagnostic_model1","older_2015_2018","2015.01.01","2018.12.31","1","10000","true","true","120","0.45","0.75","mea_control_older_2015_2018_m1","outputs\three_lane_momentum_exit_ablation_diagnostic_model1_package\configs\001_mea_control_older_2015_2018_m1.ini","outputs\three_lane_momentum_exit_ablation_diagnostic_model1_package\configs\001_mea_control_older_2015_2018_m1.ini","outputs\three_lane_momentum_exit_ablation_diagnostic_model1_package\reports_here\mea_control_older_2015_2018_m1","1582CC97D946268D7FCDCA0E68C569041DE518987E8E0CCF232E23184271C362","832CC08A0E36B577382AFF3250DBCFB05B97E75B5EB74EF0EF0006F3D7D1C188","C28534F328F3775AC825E5A8C53B1A66BD2745662B7AAC7B4CACBB76B31D1F91","Architecture diagnostic only. No row can promote directly. Identify whether channel, D1 momentum-failure, or 120-bar time exits protect or suppress payoff. A code follow-up may be nominated only if at least two related ablations are no worse than control in both eras, continuous net >=control +3%, PF/recovery/return-DD no worse, DD <=1.30%, and at least 200 trades. No post-result settings rescue."
"2","mea_control","1","control","momentum_exit_ablation_diagnostic_model1","later_2019_2020","2019.01.01","2020.12.31","1","10000","true","true","120","0.45","0.75","mea_control_later_2019_2020_m1","outputs\three_lane_momentum_exit_ablation_diagnostic_model1_package\configs\002_mea_control_later_2019_2020_m1.ini","outputs\three_lane_momentum_exit_ablation_diagnostic_model1_package\configs\002_mea_control_later_2019_2020_m1.ini","outputs\three_lane_momentum_exit_ablation_diagnostic_model1_package\reports_here\mea_control_later_2019_2020_m1","940EAB26C50BB70820A206C1373077D71BAF843A81A9AE1C77CAF526587EB3C3","832CC08A0E36B577382AFF3250DBCFB05B97E75B5EB74EF0EF0006F3D7D1C188","C28534F328F3775AC825E5A8C53B1A66BD2745662B7AAC7B4CACBB76B31D1F91","Architecture diagnostic only. No row can promote directly. Identify whether channel, D1 momentum-failure, or 120-bar time exits protect or suppress payoff. A code follow-up may be nominated only if at least two related ablations are no worse than control in both eras, continuous net >=control +3%, PF/recovery/return-DD no worse, DD <=1.30%, and at least 200 trades. No post-result settings rescue."
"3","mea_control","1","control","momentum_exit_ablation_diagnostic_model1","continuous_2015_2020","2015.01.01","2020.12.31","1","10000","true","true","120","0.45","0.75","mea_control_continuous_2015_2020_m1","outputs\three_lane_momentum_exit_ablation_diagnostic_model1_package\configs\003_mea_control_continuous_2015_2020_m1.ini","outputs\three_lane_momentum_exit_ablation_diagnostic_model1_package\configs\003_mea_control_continuous_2015_2020_m1.ini","outputs\three_lane_momentum_exit_ablation_diagnostic_model1_package\reports_here\mea_control_continuous_2015_2020_m1","D9AF2829D0F0BA980D68C19338DA86663F0B9A189198219E4B46D3E81CF61F9D","832CC08A0E36B577382AFF3250DBCFB05B97E75B5EB74EF0EF0006F3D7D1C188","C28534F328F3775AC825E5A8C53B1A66BD2745662B7AAC7B4CACBB76B31D1F91","Architecture diagnostic only. No row can promote directly. Identify whether channel, D1 momentum-failure, or 120-bar time exits protect or suppress payoff. A code follow-up may be nominated only if at least two related ablations are no worse than control in both eras, continuous net >=control +3%, PF/recovery/return-DD no worse, DD <=1.30%, and at least 200 trades. No post-result settings rescue."
"4","mea_no_channel","2","single_ablation","momentum_exit_ablation_diagnostic_model1","older_2015_2018","2015.01.01","2018.12.31","1","10000","false","true","120","0.45","0.75","mea_no_channel_older_2015_2018_m1","outputs\three_lane_momentum_exit_ablation_diagnostic_model1_package\configs\004_mea_no_channel_older_2015_2018_m1.ini","outputs\three_lane_momentum_exit_ablation_diagnostic_model1_package\configs\004_mea_no_channel_older_2015_2018_m1.ini","outputs\three_lane_momentum_exit_ablation_diagnostic_model1_package\reports_here\mea_no_channel_older_2015_2018_m1","9C1FA2F8FBE7D7265E8A132999B615F71DF193A3778C6C61E08DC0D55BF6C433","9631B73A7E9B71F0D6E342C2FF7DDE0F0B161E09E28CFB196E9B32F67EF43FE1","C28534F328F3775AC825E5A8C53B1A66BD2745662B7AAC7B4CACBB76B31D1F91","Architecture diagnostic only. No row can promote directly. Identify whether channel, D1 momentum-failure, or 120-bar time exits protect or suppress payoff. A code follow-up may be nominated only if at least two related ablations are no worse than control in both eras, continuous net >=control +3%, PF/recovery/return-DD no worse, DD <=1.30%, and at least 200 trades. No post-result settings rescue."
"5","mea_no_channel","2","single_ablation","momentum_exit_ablation_diagnostic_model1","later_2019_2020","2019.01.01","2020.12.31","1","10000","false","true","120","0.45","0.75","mea_no_channel_later_2019_2020_m1","outputs\three_lane_momentum_exit_ablation_diagnostic_model1_package\configs\005_mea_no_channel_later_2019_2020_m1.ini","outputs\three_lane_momentum_exit_ablation_diagnostic_model1_package\configs\005_mea_no_channel_later_2019_2020_m1.ini","outputs\three_lane_momentum_exit_ablation_diagnostic_model1_package\reports_here\mea_no_channel_later_2019_2020_m1","32A2EB755E2039EABB836702E5BECECD74653A7E8748075B04DF03ACD9CEB92C","9631B73A7E9B71F0D6E342C2FF7DDE0F0B161E09E28CFB196E9B32F67EF43FE1","C28534F328F3775AC825E5A8C53B1A66BD2745662B7AAC7B4CACBB76B31D1F91","Architecture diagnostic only. No row can promote directly. Identify whether channel, D1 momentum-failure, or 120-bar time exits protect or suppress payoff. A code follow-up may be nominated only if at least two related ablations are no worse than control in both eras, continuous net >=control +3%, PF/recovery/return-DD no worse, DD <=1.30%, and at least 200 trades. No post-result settings rescue."
"6","mea_no_channel","2","single_ablation","momentum_exit_ablation_diagnostic_model1","continuous_2015_2020","2015.01.01","2020.12.31","1","10000","false","true","120","0.45","0.75","mea_no_channel_continuous_2015_2020_m1","outputs\three_lane_momentum_exit_ablation_diagnostic_model1_package\configs\006_mea_no_channel_continuous_2015_2020_m1.ini","outputs\three_lane_momentum_exit_ablation_diagnostic_model1_package\configs\006_mea_no_channel_continuous_2015_2020_m1.ini","outputs\three_lane_momentum_exit_ablation_diagnostic_model1_package\reports_here\mea_no_channel_continuous_2015_2020_m1","1B5FC8DDCF93C875B39C898D0AF469B55016180999BA1C0E6BCF90B811B473EB","9631B73A7E9B71F0D6E342C2FF7DDE0F0B161E09E28CFB196E9B32F67EF43FE1","C28534F328F3775AC825E5A8C53B1A66BD2745662B7AAC7B4CACBB76B31D1F91","Architecture diagnostic only. No row can promote directly. Identify whether channel, D1 momentum-failure, or 120-bar time exits protect or suppress payoff. A code follow-up may be nominated only if at least two related ablations are no worse than control in both eras, continuous net >=control +3%, PF/recovery/return-DD no worse, DD <=1.30%, and at least 200 trades. No post-result settings rescue."
"7","mea_no_momentum","3","single_ablation","momentum_exit_ablation_diagnostic_model1","older_2015_2018","2015.01.01","2018.12.31","1","10000","true","false","120","0.45","0.75","mea_no_momentum_older_2015_2018_m1","outputs\three_lane_momentum_exit_ablation_diagnostic_model1_package\configs\007_mea_no_momentum_older_2015_2018_m1.ini","outputs\three_lane_momentum_exit_ablation_diagnostic_model1_package\configs\007_mea_no_momentum_older_2015_2018_m1.ini","outputs\three_lane_momentum_exit_ablation_diagnostic_model1_package\reports_here\mea_no_momentum_older_2015_2018_m1","F127644EA1D61DEDD10C0B9570BCF30900322857AC9E71EDDEA355CF1DBB691E","6D0B938192617D2604AAD857287B0C4002AE13C5A35DF3CF01186B748AD2C443","C28534F328F3775AC825E5A8C53B1A66BD2745662B7AAC7B4CACBB76B31D1F91","Architecture diagnostic only. No row can promote directly. Identify whether channel, D1 momentum-failure, or 120-bar time exits protect or suppress payoff. A code follow-up may be nominated only if at least two related ablations are no worse than control in both eras, continuous net >=control +3%, PF/recovery/return-DD no worse, DD <=1.30%, and at least 200 trades. No post-result settings rescue."
"8","mea_no_momentum","3","single_ablation","momentum_exit_ablation_diagnostic_model1","later_2019_2020","2019.01.01","2020.12.31","1","10000","true","false","120","0.45","0.75","mea_no_momentum_later_2019_2020_m1","outputs\three_lane_momentum_exit_ablation_diagnostic_model1_package\configs\008_mea_no_momentum_later_2019_2020_m1.ini","outputs\three_lane_momentum_exit_ablation_diagnostic_model1_package\configs\008_mea_no_momentum_later_2019_2020_m1.ini","outputs\three_lane_momentum_exit_ablation_diagnostic_model1_package\reports_here\mea_no_momentum_later_2019_2020_m1","2F149733658444F868B092FE804C726E85C8EA90A96E2303869D41D725626895","6D0B938192617D2604AAD857287B0C4002AE13C5A35DF3CF01186B748AD2C443","C28534F328F3775AC825E5A8C53B1A66BD2745662B7AAC7B4CACBB76B31D1F91","Architecture diagnostic only. No row can promote directly. Identify whether channel, D1 momentum-failure, or 120-bar time exits protect or suppress payoff. A code follow-up may be nominated only if at least two related ablations are no worse than control in both eras, continuous net >=control +3%, PF/recovery/return-DD no worse, DD <=1.30%, and at least 200 trades. No post-result settings rescue."
"9","mea_no_momentum","3","single_ablation","momentum_exit_ablation_diagnostic_model1","continuous_2015_2020","2015.01.01","2020.12.31","1","10000","true","false","120","0.45","0.75","mea_no_momentum_continuous_2015_2020_m1","outputs\three_lane_momentum_exit_ablation_diagnostic_model1_package\configs\009_mea_no_momentum_continuous_2015_2020_m1.ini","outputs\three_lane_momentum_exit_ablation_diagnostic_model1_package\configs\009_mea_no_momentum_continuous_2015_2020_m1.ini","outputs\three_lane_momentum_exit_ablation_diagnostic_model1_package\reports_here\mea_no_momentum_continuous_2015_2020_m1","29A7628CC67D9F5988E34ECD97577CA0E9F5460DD5EA02D97D7596E2370D5C35","6D0B938192617D2604AAD857287B0C4002AE13C5A35DF3CF01186B748AD2C443","C28534F328F3775AC825E5A8C53B1A66BD2745662B7AAC7B4CACBB76B31D1F91","Architecture diagnostic only. No row can promote directly. Identify whether channel, D1 momentum-failure, or 120-bar time exits protect or suppress payoff. A code follow-up may be nominated only if at least two related ablations are no worse than control in both eras, continuous net >=control +3%, PF/recovery/return-DD no worse, DD <=1.30%, and at least 200 trades. No post-result settings rescue."
"10","mea_no_time","4","single_ablation","momentum_exit_ablation_diagnostic_model1","older_2015_2018","2015.01.01","2018.12.31","1","10000","true","true","0","0.45","0.75","mea_no_time_older_2015_2018_m1","outputs\three_lane_momentum_exit_ablation_diagnostic_model1_package\configs\010_mea_no_time_older_2015_2018_m1.ini","outputs\three_lane_momentum_exit_ablation_diagnostic_model1_package\configs\010_mea_no_time_older_2015_2018_m1.ini","outputs\three_lane_momentum_exit_ablation_diagnostic_model1_package\reports_here\mea_no_time_older_2015_2018_m1","505C817A97408747D697BA120191804A85101AB9CA4162AF6A7EF4EBE47DC7DE","D99121A4C0963DAB55C6A1AB0D102EFD18CD2545557DFF898B853FFE14660E4A","C28534F328F3775AC825E5A8C53B1A66BD2745662B7AAC7B4CACBB76B31D1F91","Architecture diagnostic only. No row can promote directly. Identify whether channel, D1 momentum-failure, or 120-bar time exits protect or suppress payoff. A code follow-up may be nominated only if at least two related ablations are no worse than control in both eras, continuous net >=control +3%, PF/recovery/return-DD no worse, DD <=1.30%, and at least 200 trades. No post-result settings rescue."
