Feature,Direction,Threshold,GridIndex,ControlTrades,KeptTrades,KeepRatePercent,ControlNet,FilteredNet,Improvement,ControlProfitFactor,FilteredProfitFactor,PositiveEraImpacts,WorstEraImpact,BroadLosingEras,LosingYears,Net2015_2018,Net2019_2020,Net2021_2023,Net2024_2026,Impact2015_2018,Impact2019_2020,Impact2021_2023,Impact2024_2026,WeakGate,StrictGateBeforeNeighborhood,PassingNeighbors,EligibleForCodeTest
CloseLocation,maximum,0.85,1,310,189,60.97,593.04,370.3,-222.74,1.2988,1.3103,1,-179.44,0,2,299.84,17.3,15.03,38.13,-179.44,-100.17,171.03,-114.16,False,False,0,False
D1MomentumPercent,minimum,8.0,6,310,128,41.29,593.04,292.99,-300.05,1.2988,1.3676,2,-380.39,0,3,98.89,10.0,9.91,174.19,-380.39,-107.47,165.91,21.9,False,False,0,False
StopATR,maximum,2.25,4,310,252,81.29,593.04,640.49,47.45,1.2988,1.3939,3,-20.52,1,3,494.54,160.03,-176.52,162.44,15.26,42.56,-20.52,10.15,False,False,0,False
StopATR,maximum,2.4,5,310,289,93.23,593.04,634.9,41.86,1.2988,1.3443,1,-12.7,1,3,466.58,113.82,-97.79,152.29,-12.7,-3.65,58.21,0.0,False,False,0,False
BodyRatio,minimum,0.3,0,310,297,95.81,593.04,628.5,35.46,1.2988,1.3336,3,-1.57,1,4,482.43,133.51,-157.57,170.13,3.15,16.04,-1.57,17.84,False,False,0,False
CloseLocation,minimum,0.65,2,310,251,80.97,593.04,621.05,28.01,1.2988,1.3945,2,-59.33,1,3,469.9,58.14,-85.14,178.15,-9.38,-59.33,70.86,25.86,False,False,0,False
StopATR,minimum,1.5,3,310,272,87.74,593.04,605.62,12.58,1.2988,1.36,2,-54.12,1,5,546.45,87.23,-126.23,98.17,67.17,-30.24,29.77,-54.12,False,False,0,False
CloseLocation,minimum,0.55,0,310,279,90.0,593.04,604.56,11.52,1.2988,1.3423,2,-24.12,1,3,455.16,94.98,-127.46,181.88,-24.12,-22.49,28.54,29.59,False,False,0,False
CloseLocation,minimum,0.6,1,310,272,87.74,593.04,604.35,11.31,1.2988,1.355,3,-85.0,1,3,491.58,32.47,-101.58,181.88,12.3,-85.0,54.42,29.59,False,False,0,False
D1MomentumPercent,maximum,18.0,5,310,294,94.84,593.04,604.08,11.04,1.2988,1.3241,2,-54.3,1,2,477.72,151.5,-123.13,97.99,-1.56,34.03,32.87,-54.3,False,False,0,False
D1MomentumPercent,maximum,16.0,4,310,281,90.65,593.04,601.81,8.77,1.2988,1.3378,2,-36.46,1,3,477.98,131.13,-123.13,115.83,-1.3,13.66,32.87,-36.46,False,False,0,False
