"EntryTime","ExitTime","Era","Year","Side","Volume","EntryPrice","InitialStop","InitialRiskMoney","Profit","RiskR","HoldHours","D1MomentumPercent","BreakoutATR","BodyRatio","CloseLocation","RangeATR","ChannelWidthATR","ATRPercent","TickVolumeRatio","StopATR"
"2015-01-08T06:00:00.0000000","2015-01-08T15:00:00.0000000","era_2015_2018","2015","sell","0.02","1207.33","1214.53","14.4","-6.2","-0.430556","9","9.516157","0.401475","0.72818","0.775561","1.09518","2.55906","0.30326","0.688722","1.965356"
"2015-03-11T12:00:00.0000000","2015-03-12T01:05:00.0000000","era_2015_2018","2015","sell","0.02","1158.38","1165.01","13.26","5.42","0.408748","13.0833","7.025716","0.121296","0.553153","0.846847","1.92341","4.040894","0.249085","1.224294","2.297193"
"2015-05-13T15:00:00.0000000","2015-05-13T16:39:30.0000000","era_2015_2018","2015","buy","0.02","1197.21","1191.72","10.98","22","2.003643","1.6583","2.696355","0.223032","0.578616","0.651992","2.045893","3.062406","0.194823","1.636309","2.356058"
"2015-06-04T16:00:00.0000000","2015-06-05T16:24:28.0000000","era_2015_2018","2015","sell","0.02","1178.93","1185.97","14.08","28.07","1.993608","24.4078","1.712224","0.152434","0.514604","0.666203","2.490906","4.136497","0.244841","2.574846","2.438472"
"2015-06-30T14:00:00.0000000","2015-06-30T19:00:00.0000000","era_2015_2018","2015","sell","0.03","1173.14","1177.66","13.56","-10.68","-0.787611","5","0.761547","0.276652","0.373938","0.450425","1.683759","4.412115","0.178702","1.505809","2.155807"
"2015-07-02T10:00:00.0000000","2015-07-02T15:20:13.0000000","era_2015_2018","2015","sell","0.04","1165.45","1168.62","12.68","25.32","1.996845","5.3369","2.975953","0.797199","0.625954","0.648855","1.411258","3.45812","0.159288","1.522453","1.705171"
"2015-07-06T11:00:00.0000000","2015-07-06T18:00:00.0000000","era_2015_2018","2015","sell","0.03","1164.51","1169.26","14.25","-9.06","-0.635789","7","3.464627","0.531806","0.61807","0.75154","1.992227","3.624463","0.209917","1.886632","1.944958"
"2015-07-22T15:00:00.0000000","2015-07-23T02:00:00.0000000","era_2015_2018","2015","sell","0.01","1088.5","1096.78","8.28","-7.19","-0.868357","11","14.072525","0.684053","0.845649","0.939245","1.735785","5.187402","0.322298","1.223481","2.360225"
"2015-07-31T10:00:00.0000000","2015-07-31T15:30:40.0000000","era_2015_2018","2015","sell","0.03","1081.72","1086.57","14.55","-14.61","-1.004124","5.5111","14.242384","0.250435","0.558696","0.978261","1.6","4.486957","0.265766","1.607717","1.686087"
"2015-09-03T13:00:00.0000000","2015-09-03T15:43:42.0000000","era_2015_2018","2015","sell","0.03","1130.45","1134.45","12","24.03","2.0025","2.7283","2.397493","0.391325","0.588384","0.661616","1.867044","4.719472","0.187624","1.402738","1.886893"
