Feature,Direction,Threshold,GridIndex,ControlTrades,KeptTrades,KeepRatePercent,ControlNet,FilteredNet,Improvement,ControlProfitFactor,FilteredProfitFactor,PositiveEraImpacts,WorstEraImpact,BroadLosingEras,LosingYears,Net2015_2018,Net2019_2020,Net2021_2023,Net2024_2026,Impact2015_2018,Impact2019_2020,Impact2021_2023,Impact2024_2026,WeakGate,StrictGateBeforeNeighborhood,RiskControlGateBeforeNeighborhood,PassingNeighbors,RiskControlNeighbors,EligibleForCodeTest
D1EmaSlopeATR,maximum,1.0,2,310,173,55.81,593.04,742.53,149.49,1.2988,1.761,2,-76.02,0,2,403.26,156.49,81.2,101.58,-76.02,39.02,237.2,-50.71,False,False,True,0,2,True
D1EmaSlopeATR,maximum,0.75,1,310,155,50.0,593.04,666.35,73.31,1.2988,1.766,2,-145.67,0,2,333.61,135.41,114.54,82.79,-145.67,17.94,270.54,-69.5,False,False,True,0,1,True
D1EmaSlopeATR,maximum,1.25,3,310,195,62.9,593.04,621.94,28.9,1.2988,1.5426,2,-119.69,0,3,359.59,147.51,24.94,89.9,-119.69,30.04,180.94,-62.39,False,False,True,0,1,True
H1Efficiency20,minimum,0.3,4,310,183,59.03,593.04,632.39,39.35,1.2988,1.5877,2,-166.41,0,1,312.87,159.43,71.82,88.27,-166.41,41.96,227.82,-64.02,False,False,True,0,0,False
MarketH1ADX,minimum,35.0,7,310,120,38.71,593.04,560.69,-32.35,1.2988,1.891,2,-249.78,0,1,229.5,181.97,92.64,56.58,-249.78,64.5,248.64,-95.71,False,False,False,0,0,False
H1Efficiency20,minimum,0.35,5,310,149,48.06,593.04,553.88,-39.16,1.2988,1.6944,1,-226.28,0,0,253.0,115.98,82.27,102.63,-226.28,-1.49,238.27,-49.66,False,False,False,0,1,False
D1EmaSlopeATR,maximum,0.5,0,310,138,44.52,593.04,521.48,-71.56,1.2988,1.6813,1,-175.22,0,3,304.06,62.46,82.11,72.85,-175.22,-55.01,238.11,-79.44,False,False,False,0,1,False
H4Efficiency20,minimum,0.4,7,310,74,23.87,593.04,517.61,-75.43,1.2988,2.5328,2,-305.47,0,2,173.81,155.62,85.89,102.29,-305.47,38.15,241.89,-50.0,False,False,False,0,0,False
MarketH1ADX,minimum,30.0,6,310,171,55.16,593.04,492.76,-100.28,1.2988,1.4668,2,-183.56,0,3,295.72,140.4,7.57,49.07,-183.56,22.93,163.57,-103.22,False,False,False,0,0,False
H4Efficiency20,minimum,0.2,5,310,155,50.0,593.04,471.41,-121.63,1.2988,1.5194,1,-248.4,0,2,230.88,88.5,33.97,118.06,-248.4,-28.97,189.97,-34.23,False,False,False,0,0,False
