"QueueRank","Candidate","CandidateRank","Role","Phase","Window","From","To","Model","Deposit","PartialRunnerEnabled","ClosePercent","TriggerR","TargetR","StopLockR","ExpectedReportName","PackageConfig","SourceConfig","ReportDestination","ConfigSha256","ProfileSha256","SourceSha256","StopRule"
"1","mopr_control","1","control","momentum_partial_runner_discovery_model1","older_2015_2018","2015.01.01","2018.12.31","1","10000","false","60","2.00","4.00","1.25","mopr_control_older_2015_2018_m1","outputs\three_lane_momentum_partial_runner_discovery_model1_package\configs\001_mopr_control_older_2015_2018_m1.ini","outputs\three_lane_momentum_partial_runner_discovery_model1_package\configs\001_mopr_control_older_2015_2018_m1.ini","outputs\three_lane_momentum_partial_runner_discovery_model1_package\reports_here\mopr_control_older_2015_2018_m1","86B3B12CDE13D714DD04906F9732764664474674DA4CBE3201E0B64037A3DBBB","2FBD7B64CA49AA9EABB4DB35E7FDF8EEB454F38D0E5F5EB1605ACB2BC201E68B","1092D9AD0036C6C4E7A0F61CB7318B31CDCE75F9311762388CF256AFFB6BFEA9","Frozen pre-2021 discovery. The disabled control must exactly reproduce the leader. Every report must be profitable. Both center eras must retain >=98% of control; center continuous net must improve >=5%, CAGR >=control +0.08 point, PF >=95% of control, DD <=min(1.25%, control +0.15 point), and recovery/return-DD >=95% of control. Partial activity must be confirmed. At least four of six neighbors must retain both-era floors and improve continuous net >=2% with the same quality and drawdown limits. Initial risk, entries, portfolio cap, and all account protections remain fixed. No post-result rescue."
"2","mopr_control","1","control","momentum_partial_runner_discovery_model1","middle_2019_2020","2019.01.01","2020.12.31","1","10000","false","60","2.00","4.00","1.25","mopr_control_middle_2019_2020_m1","outputs\three_lane_momentum_partial_runner_discovery_model1_package\configs\002_mopr_control_middle_2019_2020_m1.ini","outputs\three_lane_momentum_partial_runner_discovery_model1_package\configs\002_mopr_control_middle_2019_2020_m1.ini","outputs\three_lane_momentum_partial_runner_discovery_model1_package\reports_here\mopr_control_middle_2019_2020_m1","EF3197E21F7988253A7429BEEF1B96A3C78CC172C0527D92F1FA5CE9191B942B","2FBD7B64CA49AA9EABB4DB35E7FDF8EEB454F38D0E5F5EB1605ACB2BC201E68B","1092D9AD0036C6C4E7A0F61CB7318B31CDCE75F9311762388CF256AFFB6BFEA9","Frozen pre-2021 discovery. The disabled control must exactly reproduce the leader. Every report must be profitable. Both center eras must retain >=98% of control; center continuous net must improve >=5%, CAGR >=control +0.08 point, PF >=95% of control, DD <=min(1.25%, control +0.15 point), and recovery/return-DD >=95% of control. Partial activity must be confirmed. At least four of six neighbors must retain both-era floors and improve continuous net >=2% with the same quality and drawdown limits. Initial risk, entries, portfolio cap, and all account protections remain fixed. No post-result rescue."
"3","mopr_control","1","control","momentum_partial_runner_discovery_model1","continuous_2015_2020","2015.01.01","2020.12.31","1","10000","false","60","2.00","4.00","1.25","mopr_control_continuous_2015_2020_m1","outputs\three_lane_momentum_partial_runner_discovery_model1_package\configs\003_mopr_control_continuous_2015_2020_m1.ini","outputs\three_lane_momentum_partial_runner_discovery_model1_package\configs\003_mopr_control_continuous_2015_2020_m1.ini","outputs\three_lane_momentum_partial_runner_discovery_model1_package\reports_here\mopr_control_continuous_2015_2020_m1","F97C7A47A90437D0235C2F61AAE32CD10A7A7433C2FD858CCC48786D13FA3FEE","2FBD7B64CA49AA9EABB4DB35E7FDF8EEB454F38D0E5F5EB1605ACB2BC201E68B","1092D9AD0036C6C4E7A0F61CB7318B31CDCE75F9311762388CF256AFFB6BFEA9","Frozen pre-2021 discovery. The disabled control must exactly reproduce the leader. Every report must be profitable. Both center eras must retain >=98% of control; center continuous net must improve >=5%, CAGR >=control +0.08 point, PF >=95% of control, DD <=min(1.25%, control +0.15 point), and recovery/return-DD >=95% of control. Partial activity must be confirmed. At least four of six neighbors must retain both-era floors and improve continuous net >=2% with the same quality and drawdown limits. Initial risk, entries, portfolio cap, and all account protections remain fixed. No post-result rescue."
"4","mopr_center","2","center","momentum_partial_runner_discovery_model1","older_2015_2018","2015.01.01","2018.12.31","1","10000","true","60","2.00","4.00","1.25","mopr_center_older_2015_2018_m1","outputs\three_lane_momentum_partial_runner_discovery_model1_package\configs\004_mopr_center_older_2015_2018_m1.ini","outputs\three_lane_momentum_partial_runner_discovery_model1_package\configs\004_mopr_center_older_2015_2018_m1.ini","outputs\three_lane_momentum_partial_runner_discovery_model1_package\reports_here\mopr_center_older_2015_2018_m1","EEF034EBF4C23D6806BA66C02FAD2D06806580AEB35F1EC0F4E829A3D9F16C50","19E0F758B3FC7767FD55FD7306D90E67375FB2E0AA7F0BB457E4BB6739D1CED2","1092D9AD0036C6C4E7A0F61CB7318B31CDCE75F9311762388CF256AFFB6BFEA9","Frozen pre-2021 discovery. The disabled control must exactly reproduce the leader. Every report must be profitable. Both center eras must retain >=98% of control; center continuous net must improve >=5%, CAGR >=control +0.08 point, PF >=95% of control, DD <=min(1.25%, control +0.15 point), and recovery/return-DD >=95% of control. Partial activity must be confirmed. At least four of six neighbors must retain both-era floors and improve continuous net >=2% with the same quality and drawdown limits. Initial risk, entries, portfolio cap, and all account protections remain fixed. No post-result rescue."
"5","mopr_center","2","center","momentum_partial_runner_discovery_model1","middle_2019_2020","2019.01.01","2020.12.31","1","10000","true","60","2.00","4.00","1.25","mopr_center_middle_2019_2020_m1","outputs\three_lane_momentum_partial_runner_discovery_model1_package\configs\005_mopr_center_middle_2019_2020_m1.ini","outputs\three_lane_momentum_partial_runner_discovery_model1_package\configs\005_mopr_center_middle_2019_2020_m1.ini","outputs\three_lane_momentum_partial_runner_discovery_model1_package\reports_here\mopr_center_middle_2019_2020_m1","F5733AF8C71306B628B95C623D74BA02A9F4FCADF45C7D920846A8982250A19F","19E0F758B3FC7767FD55FD7306D90E67375FB2E0AA7F0BB457E4BB6739D1CED2","1092D9AD0036C6C4E7A0F61CB7318B31CDCE75F9311762388CF256AFFB6BFEA9","Frozen pre-2021 discovery. The disabled control must exactly reproduce the leader. Every report must be profitable. Both center eras must retain >=98% of control; center continuous net must improve >=5%, CAGR >=control +0.08 point, PF >=95% of control, DD <=min(1.25%, control +0.15 point), and recovery/return-DD >=95% of control. Partial activity must be confirmed. At least four of six neighbors must retain both-era floors and improve continuous net >=2% with the same quality and drawdown limits. Initial risk, entries, portfolio cap, and all account protections remain fixed. No post-result rescue."
"6","mopr_center","2","center","momentum_partial_runner_discovery_model1","continuous_2015_2020","2015.01.01","2020.12.31","1","10000","true","60","2.00","4.00","1.25","mopr_center_continuous_2015_2020_m1","outputs\three_lane_momentum_partial_runner_discovery_model1_package\configs\006_mopr_center_continuous_2015_2020_m1.ini","outputs\three_lane_momentum_partial_runner_discovery_model1_package\configs\006_mopr_center_continuous_2015_2020_m1.ini","outputs\three_lane_momentum_partial_runner_discovery_model1_package\reports_here\mopr_center_continuous_2015_2020_m1","CED3785449BD3ED1D61940A524F33906EE427B765B7EA400114DFFF20E25419D","19E0F758B3FC7767FD55FD7306D90E67375FB2E0AA7F0BB457E4BB6739D1CED2","1092D9AD0036C6C4E7A0F61CB7318B31CDCE75F9311762388CF256AFFB6BFEA9","Frozen pre-2021 discovery. The disabled control must exactly reproduce the leader. Every report must be profitable. Both center eras must retain >=98% of control; center continuous net must improve >=5%, CAGR >=control +0.08 point, PF >=95% of control, DD <=min(1.25%, control +0.15 point), and recovery/return-DD >=95% of control. Partial activity must be confirmed. At least four of six neighbors must retain both-era floors and improve continuous net >=2% with the same quality and drawdown limits. Initial risk, entries, portfolio cap, and all account protections remain fixed. No post-result rescue."
"7","mopr_close50","3","close_neighbor_low","momentum_partial_runner_discovery_model1","older_2015_2018","2015.01.01","2018.12.31","1","10000","true","50","2.00","4.00","1.25","mopr_close50_older_2015_2018_m1","outputs\three_lane_momentum_partial_runner_discovery_model1_package\configs\007_mopr_close50_older_2015_2018_m1.ini","outputs\three_lane_momentum_partial_runner_discovery_model1_package\configs\007_mopr_close50_older_2015_2018_m1.ini","outputs\three_lane_momentum_partial_runner_discovery_model1_package\reports_here\mopr_close50_older_2015_2018_m1","C6287A90AB22661A939DC7F7FA1A474F37C59D6F92DBACEDAB782B7814BCA601","79ECBBC30E7728ED48C966B8A952E6087714B8CFE5A806475C0AFBBCE2ADA117","1092D9AD0036C6C4E7A0F61CB7318B31CDCE75F9311762388CF256AFFB6BFEA9","Frozen pre-2021 discovery. The disabled control must exactly reproduce the leader. Every report must be profitable. Both center eras must retain >=98% of control; center continuous net must improve >=5%, CAGR >=control +0.08 point, PF >=95% of control, DD <=min(1.25%, control +0.15 point), and recovery/return-DD >=95% of control. Partial activity must be confirmed. At least four of six neighbors must retain both-era floors and improve continuous net >=2% with the same quality and drawdown limits. Initial risk, entries, portfolio cap, and all account protections remain fixed. No post-result rescue."
"8","mopr_close50","3","close_neighbor_low","momentum_partial_runner_discovery_model1","middle_2019_2020","2019.01.01","2020.12.31","1","10000","true","50","2.00","4.00","1.25","mopr_close50_middle_2019_2020_m1","outputs\three_lane_momentum_partial_runner_discovery_model1_package\configs\008_mopr_close50_middle_2019_2020_m1.ini","outputs\three_lane_momentum_partial_runner_discovery_model1_package\configs\008_mopr_close50_middle_2019_2020_m1.ini","outputs\three_lane_momentum_partial_runner_discovery_model1_package\reports_here\mopr_close50_middle_2019_2020_m1","02CA413A5B2EBE4E466CF423B0DC901E33F8589DBB78A76497320678A79CE14A","79ECBBC30E7728ED48C966B8A952E6087714B8CFE5A806475C0AFBBCE2ADA117","1092D9AD0036C6C4E7A0F61CB7318B31CDCE75F9311762388CF256AFFB6BFEA9","Frozen pre-2021 discovery. The disabled control must exactly reproduce the leader. Every report must be profitable. Both center eras must retain >=98% of control; center continuous net must improve >=5%, CAGR >=control +0.08 point, PF >=95% of control, DD <=min(1.25%, control +0.15 point), and recovery/return-DD >=95% of control. Partial activity must be confirmed. At least four of six neighbors must retain both-era floors and improve continuous net >=2% with the same quality and drawdown limits. Initial risk, entries, portfolio cap, and all account protections remain fixed. No post-result rescue."
"9","mopr_close50","3","close_neighbor_low","momentum_partial_runner_discovery_model1","continuous_2015_2020","2015.01.01","2020.12.31","1","10000","true","50","2.00","4.00","1.25","mopr_close50_continuous_2015_2020_m1","outputs\three_lane_momentum_partial_runner_discovery_model1_package\configs\009_mopr_close50_continuous_2015_2020_m1.ini","outputs\three_lane_momentum_partial_runner_discovery_model1_package\configs\009_mopr_close50_continuous_2015_2020_m1.ini","outputs\three_lane_momentum_partial_runner_discovery_model1_package\reports_here\mopr_close50_continuous_2015_2020_m1","6C765AEA07B8F034DED9B556919C70CDF4389F94DCF426AB1B786058B6B8DFD1","79ECBBC30E7728ED48C966B8A952E6087714B8CFE5A806475C0AFBBCE2ADA117","1092D9AD0036C6C4E7A0F61CB7318B31CDCE75F9311762388CF256AFFB6BFEA9","Frozen pre-2021 discovery. The disabled control must exactly reproduce the leader. Every report must be profitable. Both center eras must retain >=98% of control; center continuous net must improve >=5%, CAGR >=control +0.08 point, PF >=95% of control, DD <=min(1.25%, control +0.15 point), and recovery/return-DD >=95% of control. Partial activity must be confirmed. At least four of six neighbors must retain both-era floors and improve continuous net >=2% with the same quality and drawdown limits. Initial risk, entries, portfolio cap, and all account protections remain fixed. No post-result rescue."
"10","mopr_close70","4","close_neighbor_high","momentum_partial_runner_discovery_model1","older_2015_2018","2015.01.01","2018.12.31","1","10000","true","70","2.00","4.00","1.25","mopr_close70_older_2015_2018_m1","outputs\three_lane_momentum_partial_runner_discovery_model1_package\configs\010_mopr_close70_older_2015_2018_m1.ini","outputs\three_lane_momentum_partial_runner_discovery_model1_package\configs\010_mopr_close70_older_2015_2018_m1.ini","outputs\three_lane_momentum_partial_runner_discovery_model1_package\reports_here\mopr_close70_older_2015_2018_m1","64FA5C2A0DF03202F2369898ABAAA19C17EFA157AFAC0236806C2FE3C5CCCBF3","C378766CB2E75B7CC4C7A08AADB96A3A6C4AE8A6A593F01CEAEF80993AC84E71","1092D9AD0036C6C4E7A0F61CB7318B31CDCE75F9311762388CF256AFFB6BFEA9","Frozen pre-2021 discovery. The disabled control must exactly reproduce the leader. Every report must be profitable. Both center eras must retain >=98% of control; center continuous net must improve >=5%, CAGR >=control +0.08 point, PF >=95% of control, DD <=min(1.25%, control +0.15 point), and recovery/return-DD >=95% of control. Partial activity must be confirmed. At least four of six neighbors must retain both-era floors and improve continuous net >=2% with the same quality and drawdown limits. Initial risk, entries, portfolio cap, and all account protections remain fixed. No post-result rescue."
