"QueueRank","Candidate","Window","Status","IdentityReused","SourceSha256","BinarySha256","ConfigSha256","ReportSha256","IdentitySidecarPresent","PortableExpertRecompiled","Started","Finished"
"1","mopr_control","older_2015_2018","REPORT_FOUND","False","1092D9AD0036C6C4E7A0F61CB7318B31CDCE75F9311762388CF256AFFB6BFEA9","8B72A5B1457BCBF79118381AA5F2F8B1D709DA703611BE60778C4DB518DCD130","86B3B12CDE13D714DD04906F9732764664474674DA4CBE3201E0B64037A3DBBB","1174CE27C3E303346A8AEC1F93213ACBEE07EFA4E7B0BD233A9BEF1023C0386A","True","False","2026-07-20T10:39:28","2026-07-20T10:40:22"
"2","mopr_control","middle_2019_2020","REPORT_FOUND","False","1092D9AD0036C6C4E7A0F61CB7318B31CDCE75F9311762388CF256AFFB6BFEA9","8B72A5B1457BCBF79118381AA5F2F8B1D709DA703611BE60778C4DB518DCD130","EF3197E21F7988253A7429BEEF1B96A3C78CC172C0527D92F1FA5CE9191B942B","7753E6B61D237216AA9CE53686ACA6AC07A4BB053ACE9247DB334567F5EC9D17","True","False","2026-07-20T10:39:28","2026-07-20T10:40:15"
"3","mopr_control","continuous_2015_2020","REPORT_FOUND","False","1092D9AD0036C6C4E7A0F61CB7318B31CDCE75F9311762388CF256AFFB6BFEA9","8B72A5B1457BCBF79118381AA5F2F8B1D709DA703611BE60778C4DB518DCD130","F97C7A47A90437D0235C2F61AAE32CD10A7A7433C2FD858CCC48786D13FA3FEE","173252165A9E3A94A907909F16034E89F1838070A00D7F8FCDA6DBDEDE088D91","True","False","2026-07-20T10:46:40","2026-07-20T10:47:17"
"4","mopr_center","older_2015_2018","REPORT_FOUND","False","1092D9AD0036C6C4E7A0F61CB7318B31CDCE75F9311762388CF256AFFB6BFEA9","8B72A5B1457BCBF79118381AA5F2F8B1D709DA703611BE60778C4DB518DCD130","EEF034EBF4C23D6806BA66C02FAD2D06806580AEB35F1EC0F4E829A3D9F16C50","4FE20EDFF09D7AD9B2C8F692B524DBA07B1C0462BC7B200C6CD81C32E75E6C7C","True","False","2026-07-20T10:39:29","2026-07-20T10:40:19"
"5","mopr_center","middle_2019_2020","REPORT_FOUND","False","1092D9AD0036C6C4E7A0F61CB7318B31CDCE75F9311762388CF256AFFB6BFEA9","8B72A5B1457BCBF79118381AA5F2F8B1D709DA703611BE60778C4DB518DCD130","F5733AF8C71306B628B95C623D74BA02A9F4FCADF45C7D920846A8982250A19F","3D14AC9C2A2DDD37D32A6C574E01FD4C4E9BBB6F6BF8D521B0F4653443160F24","True","False","2026-07-20T10:40:22","2026-07-20T10:41:09"
"6","mopr_center","continuous_2015_2020","REPORT_FOUND","False","1092D9AD0036C6C4E7A0F61CB7318B31CDCE75F9311762388CF256AFFB6BFEA9","8B72A5B1457BCBF79118381AA5F2F8B1D709DA703611BE60778C4DB518DCD130","CED3785449BD3ED1D61940A524F33906EE427B765B7EA400114DFFF20E25419D","527861ECA1AF33A2490F7007DC3385BA3D814FD9237670C548D04CD17CFD0774","True","False","2026-07-20T10:40:15","2026-07-20T10:41:04"
"7","mopr_close50","older_2015_2018","REPORT_FOUND","False","1092D9AD0036C6C4E7A0F61CB7318B31CDCE75F9311762388CF256AFFB6BFEA9","8B72A5B1457BCBF79118381AA5F2F8B1D709DA703611BE60778C4DB518DCD130","C6287A90AB22661A939DC7F7FA1A474F37C59D6F92DBACEDAB782B7814BCA601","EC77B5C6BA7BCCA41F414121A8B9DDC5AE95A33A1A562A6CCC9141498D2A1659","True","False","2026-07-20T10:40:16","2026-07-20T10:41:05"
"8","mopr_close50","middle_2019_2020","REPORT_FOUND","False","1092D9AD0036C6C4E7A0F61CB7318B31CDCE75F9311762388CF256AFFB6BFEA9","8B72A5B1457BCBF79118381AA5F2F8B1D709DA703611BE60778C4DB518DCD130","02CA413A5B2EBE4E466CF423B0DC901E33F8589DBB78A76497320678A79CE14A","CAE984CD199A4A078F5E901A77AC7E8B24D73A07D4BF7A66D57812B604182EB8","True","False","2026-07-20T10:40:19","2026-07-20T10:41:06"
"9","mopr_close50","continuous_2015_2020","REPORT_FOUND","False","1092D9AD0036C6C4E7A0F61CB7318B31CDCE75F9311762388CF256AFFB6BFEA9","8B72A5B1457BCBF79118381AA5F2F8B1D709DA703611BE60778C4DB518DCD130","6C765AEA07B8F034DED9B556919C70CDF4389F94DCF426AB1B786058B6B8DFD1","22EEA4CBAEEDA98148CF790CC0F063455E856D4C90A6ECAB771FF491265AA959","True","False","2026-07-20T10:41:09","2026-07-20T10:42:05"
"10","mopr_close70","older_2015_2018","REPORT_FOUND","False","1092D9AD0036C6C4E7A0F61CB7318B31CDCE75F9311762388CF256AFFB6BFEA9","8B72A5B1457BCBF79118381AA5F2F8B1D709DA703611BE60778C4DB518DCD130","64FA5C2A0DF03202F2369898ABAAA19C17EFA157AFAC0236806C2FE3C5CCCBF3","B96E397D182EE375A5CD66093705503F16D8EAEFA1F80C4FB07AAACB3D4D2FD7","True","False","2026-07-20T10:41:04","2026-07-20T10:41:52"
"11","mopr_close70","middle_2019_2020","REPORT_FOUND","False","1092D9AD0036C6C4E7A0F61CB7318B31CDCE75F9311762388CF256AFFB6BFEA9","8B72A5B1457BCBF79118381AA5F2F8B1D709DA703611BE60778C4DB518DCD130","497B20283319213F8478279787DD3EFB3E67874CB6C6B5B1EC45A620C8E780B4","FF07BF7404DFDCEDB814885ECCB195FB60469CFEDA47793B850B0DCFA70AEB28","True","False","2026-07-20T10:47:17","2026-07-20T10:47:43"
"12","mopr_close70","continuous_2015_2020","REPORT_FOUND","False","1092D9AD0036C6C4E7A0F61CB7318B31CDCE75F9311762388CF256AFFB6BFEA9","8B72A5B1457BCBF79118381AA5F2F8B1D709DA703611BE60778C4DB518DCD130","61C54196ACDD6E879BEB922997740C148C21BB57B30F0E229987B60B0662D702","AE6B8E18605129E4A407CA0BD2C5B0D358F13E84FABD52584051841899B6ED40","True","False","2026-07-20T10:41:06","2026-07-20T10:41:59"
"13","mopr_target300","older_2015_2018","REPORT_FOUND","False","1092D9AD0036C6C4E7A0F61CB7318B31CDCE75F9311762388CF256AFFB6BFEA9","8B72A5B1457BCBF79118381AA5F2F8B1D709DA703611BE60778C4DB518DCD130","F5F01BE39A8A30F9D79B64AA87285215CC52B1A666960C2104A79A2AA0679A48","F4314337E1EBDC270A5D2C3DCDB127A4D5C31277A55AA0C7BF25A8A8C4219454","True","False","2026-07-20T10:42:05","2026-07-20T10:42:49"
"14","mopr_target300","middle_2019_2020","REPORT_FOUND","False","1092D9AD0036C6C4E7A0F61CB7318B31CDCE75F9311762388CF256AFFB6BFEA9","8B72A5B1457BCBF79118381AA5F2F8B1D709DA703611BE60778C4DB518DCD130","B4EE462A7FACF57CC03A205780AE65C13D68FF01685204236DBF8CBC70DDFBE9","C8208A1C0B7D680F7C1D1D245304709A4BA31E5BDDAAEAB0A1C3BCED0BE17F21","True","False","2026-07-20T10:41:52","2026-07-20T10:42:31"
"15","mopr_target300","continuous_2015_2020","REPORT_FOUND","False","1092D9AD0036C6C4E7A0F61CB7318B31CDCE75F9311762388CF256AFFB6BFEA9","8B72A5B1457BCBF79118381AA5F2F8B1D709DA703611BE60778C4DB518DCD130","CBD52FF7F69726F16C115FB42683691C8AE9B0391A6A241540FFE60D3F276A92","5C189595CAA4C52D9CBD75D97E420F98EC35831EDDFB9B4A0830839ABA4349B2","True","False","2026-07-20T10:41:46","2026-07-20T10:42:30"
"16","mopr_target500","older_2015_2018","REPORT_FOUND","False","1092D9AD0036C6C4E7A0F61CB7318B31CDCE75F9311762388CF256AFFB6BFEA9","8B72A5B1457BCBF79118381AA5F2F8B1D709DA703611BE60778C4DB518DCD130","C8CCE4EB6FE15C101C94C03C4FBA433A7814F0BAF029F9E6312EBB2D2B9F6A9C","C8D31B6E08970142510D1C508120A0FEDACB8B7D095F7FF96932C0231DE31C27","True","False","2026-07-20T10:41:59","2026-07-20T10:42:48"
"17","mopr_target500","middle_2019_2020","REPORT_FOUND","False","1092D9AD0036C6C4E7A0F61CB7318B31CDCE75F9311762388CF256AFFB6BFEA9","8B72A5B1457BCBF79118381AA5F2F8B1D709DA703611BE60778C4DB518DCD130","8E9067327F909AEA32F8F4BF6F6CE371DDBA578E955AE2CE044E73A492CD3E59","83B8D37C27299727748D67A03451DB5A38A464B1C23C675D661BE5FA1E24209C","True","False","2026-07-20T10:42:49","2026-07-20T10:43:39"
"18","mopr_target500","continuous_2015_2020","REPORT_FOUND","False","1092D9AD0036C6C4E7A0F61CB7318B31CDCE75F9311762388CF256AFFB6BFEA9","8B72A5B1457BCBF79118381AA5F2F8B1D709DA703611BE60778C4DB518DCD130","F2AC7CD949A18E839E0385E30722E18D296406E569634AAF8131F7AB9130248C","896824FE95EB8DA0F59D54C716D960DF605C901B0442645BE6536B0FE676E341","True","False","2026-07-20T10:42:31","2026-07-20T10:43:34"
"19","mopr_lock100","older_2015_2018","REPORT_FOUND","False","1092D9AD0036C6C4E7A0F61CB7318B31CDCE75F9311762388CF256AFFB6BFEA9","8B72A5B1457BCBF79118381AA5F2F8B1D709DA703611BE60778C4DB518DCD130","CF0F0278102394E41435B8B900D1D11DE87F53A0DA3299EE962FFBE6BC90EB4E","A9474296E94976A76B8B8E5FDB47E53C468C65F4A9BE2D8FDAF2A985F6D29B3F","True","False","2026-07-20T10:42:30","2026-07-20T10:43:28"
"20","mopr_lock100","middle_2019_2020","REPORT_FOUND","False","1092D9AD0036C6C4E7A0F61CB7318B31CDCE75F9311762388CF256AFFB6BFEA9","8B72A5B1457BCBF79118381AA5F2F8B1D709DA703611BE60778C4DB518DCD130","F5F05609A0FD3003458D956B1453D885DCB400B37DEF8763EBCD0A3431C972F5","F4D69665A4EDF9B0ABEFE5863DEF93D10474D9AB5C71FB8FA0D2B45908321035","True","False","2026-07-20T10:42:48","2026-07-20T10:43:39"
"21","mopr_lock100","continuous_2015_2020","REPORT_FOUND","False","1092D9AD0036C6C4E7A0F61CB7318B31CDCE75F9311762388CF256AFFB6BFEA9","8B72A5B1457BCBF79118381AA5F2F8B1D709DA703611BE60778C4DB518DCD130","D785E9B110167A76049FB20F36DCDE265695F9C8592F63D44B61C8F5DE2B2041","9A0F021343D06C6076DD04E37A3DBB6E773E2117B6996DCD7F60556298301725","True","False","2026-07-20T10:43:39","2026-07-20T10:44:28"
"22","mopr_lock150","older_2015_2018","REPORT_FOUND","False","1092D9AD0036C6C4E7A0F61CB7318B31CDCE75F9311762388CF256AFFB6BFEA9","8B72A5B1457BCBF79118381AA5F2F8B1D709DA703611BE60778C4DB518DCD130","A38DD8F830A67D86743E00CB7A7D66F5F73AF3FB50D8B5E8CFABA4A3FF654889","D2B676C7F546383AC38DBEB28D43EABA055F3F6D5F237D743B0911FC910E590E","True","False","2026-07-20T10:43:34","2026-07-20T10:44:18"
"23","mopr_lock150","middle_2019_2020","REPORT_FOUND","False","1092D9AD0036C6C4E7A0F61CB7318B31CDCE75F9311762388CF256AFFB6BFEA9","8B72A5B1457BCBF79118381AA5F2F8B1D709DA703611BE60778C4DB518DCD130","D910133BBB1952BF3B79249CB4055C9237D30F172972B7D56B55BA3F0089F107","68DDABB3DAC15A90B4991E5E2146302CE799FAC88FC706DDD975202E4945347A","True","False","2026-07-20T10:43:28","2026-07-20T10:44:00"
"24","mopr_lock150","continuous_2015_2020","REPORT_FOUND","False","1092D9AD0036C6C4E7A0F61CB7318B31CDCE75F9311762388CF256AFFB6BFEA9","8B72A5B1457BCBF79118381AA5F2F8B1D709DA703611BE60778C4DB518DCD130","5D5F39E0A18352083971E16EF3DDFFF0D47A63F24901AC161F46BBD021212CA9","C50B34B7D12D102CC4201678BDD180DB14048804403D6267A7E5D3A5C19943F7","True","False","2026-07-20T10:43:39","2026-07-20T10:44:27"
