"QueueRank","Candidate","Role","Window","From","To","Model","Deposit","FeatureEnabled","RatchetTriggerR","RatchetLockR","ProfileSha256","SourceSha256","BinarySha256","Status","ReportDisposition","IdentitySidecarVerified","PortableExpertRecompiled","InitialDeposit","NetProfit","TotalReturnPercent","CagrPercent","ProfitFactor","ExpectedPayoff","SharpeRatio","WinRatePercent","TotalTrades","MaxConsecutiveLosses","MaxDrawdownPercent","RecoveryFactor","ReturnDrawdown","ReportSha256"
"1","mpr_control","disabled_control","discovery_2015_2018","2015.01.01","2018.12.31","1","10000","False","1.50","0.75","F72F3AA520BA9C409DCDDB0BCAF4F55309EE436AFFA124C6604F64B6896564D4","04E9A3FA2B85090A53E7B9D769BA536693D7A590794F58AD97F926D5CB2AFAF4","6B0959FE621763A5137523127BD17B224363D84E2DB3EDBD60B76DDB1B66E321","PARSED","REPRODUCED_AFTER_IDENTITY_RETRY","True","False","10000","1036.19","10.36","2.5","1.96","5.63","5.45","45.65","184","6","1.11","8.8405","9.3333","AEB7C9E4C0E690CFD9F2148AB04C65188C34F57842E635EA03AA687204667E5C"
"2","mpr_control","disabled_control","discovery_2019_2020","2019.01.01","2020.12.31","1","10000","False","1.50","0.75","F72F3AA520BA9C409DCDDB0BCAF4F55309EE436AFFA124C6604F64B6896564D4","04E9A3FA2B85090A53E7B9D769BA536693D7A590794F58AD97F926D5CB2AFAF4","6B0959FE621763A5137523127BD17B224363D84E2DB3EDBD60B76DDB1B66E321","PARSED","FIRST_VALID_EXPORT","True","False","10000","370.6","3.71","1.84","1.94","5.01","5.64","47.3","74","6","0.93","3.9155","3.9892","D37990CA6560499818C7F7B0BE8FBD2B3137A8902FF2D9D2A0529D248F6A52FA"
"3","mpr_control","disabled_control","continuous_2015_2020","2015.01.01","2020.12.31","1","10000","False","1.50","0.75","F72F3AA520BA9C409DCDDB0BCAF4F55309EE436AFFA124C6604F64B6896564D4","04E9A3FA2B85090A53E7B9D769BA536693D7A590794F58AD97F926D5CB2AFAF4","6B0959FE621763A5137523127BD17B224363D84E2DB3EDBD60B76DDB1B66E321","PARSED","FIRST_VALID_EXPORT","True","False","10000","1379.93","13.8","2.18","1.88","5.29","5.15","45.98","261","6","1.05","11.6775","13.1429","E9FA21089F8130E77EA59C098090274B98B4B355C603CDEC25C8B62204B6C935"
"4","mpr_trigger125","lower_trigger","discovery_2015_2018","2015.01.01","2018.12.31","1","10000","True","1.25","0.75","8EE968914F10B6660715A000FCBA7C5A7F351F0E797352F78326054D832E86DE","04E9A3FA2B85090A53E7B9D769BA536693D7A590794F58AD97F926D5CB2AFAF4","6B0959FE621763A5137523127BD17B224363D84E2DB3EDBD60B76DDB1B66E321","PARSED","REPRODUCED_AFTER_IDENTITY_RETRY","True","False","10000","995.89","9.96","2.4","1.92","5.38","5.35","45.41","185","6","1.03","9.1324","9.6699","C0BFA0972110DA9EB5BE471CF5CA631573F8BC5225B6310CA1E202C51FE5E775"
"5","mpr_trigger125","lower_trigger","discovery_2019_2020","2019.01.01","2020.12.31","1","10000","True","1.25","0.75","8EE968914F10B6660715A000FCBA7C5A7F351F0E797352F78326054D832E86DE","04E9A3FA2B85090A53E7B9D769BA536693D7A590794F58AD97F926D5CB2AFAF4","6B0959FE621763A5137523127BD17B224363D84E2DB3EDBD60B76DDB1B66E321","PARSED","FIRST_VALID_EXPORT","True","False","10000","369.4","3.69","1.83","1.94","4.99","5.66","47.3","74","6","0.86","4.2367","4.2907","0A71164626477A29CBA5DBB732115A66070104A951B47D389B4D307AD232F1D1"
"6","mpr_trigger125","lower_trigger","continuous_2015_2020","2015.01.01","2020.12.31","1","10000","True","1.25","0.75","8EE968914F10B6660715A000FCBA7C5A7F351F0E797352F78326054D832E86DE","04E9A3FA2B85090A53E7B9D769BA536693D7A590794F58AD97F926D5CB2AFAF4","6B0959FE621763A5137523127BD17B224363D84E2DB3EDBD60B76DDB1B66E321","PARSED","FIRST_VALID_EXPORT","True","False","10000","1347.3","13.47","2.13","1.86","5.14","5.11","45.8","262","6","0.99","12.1696","13.6061","2C323A3135FF94A8310358CE94E8F56A24EA892F59995D6284D4231E5063532C"
"7","mpr_center","center","discovery_2015_2018","2015.01.01","2018.12.31","1","10000","True","1.50","0.75","98A5B8D78F595529600B65EFD333EE9D93A528378B3D30EFCAC11239894164A0","04E9A3FA2B85090A53E7B9D769BA536693D7A590794F58AD97F926D5CB2AFAF4","6B0959FE621763A5137523127BD17B224363D84E2DB3EDBD60B76DDB1B66E321","PARSED","FIRST_VALID_EXPORT","True","False","10000","1030","10.3","2.48","1.96","5.6","5.47","45.65","184","6","1.03","9.4452","10","341F9C1A98662561D8AA4DE5896236290BE3D00376F9FD39455289616634E406"
"8","mpr_center","center","discovery_2019_2020","2019.01.01","2020.12.31","1","10000","True","1.50","0.75","98A5B8D78F595529600B65EFD333EE9D93A528378B3D30EFCAC11239894164A0","04E9A3FA2B85090A53E7B9D769BA536693D7A590794F58AD97F926D5CB2AFAF4","6B0959FE621763A5137523127BD17B224363D84E2DB3EDBD60B76DDB1B66E321","PARSED","FIRST_VALID_EXPORT","True","False","10000","370.6","3.71","1.84","1.94","5.01","5.64","47.3","74","6","0.93","3.9155","3.9892","84FB93556BEE0B3608284C1946A7C41C1E4A7F9386C31A04BB1BECB3401046BA"
"9","mpr_center","center","continuous_2015_2020","2015.01.01","2020.12.31","1","10000","True","1.50","0.75","98A5B8D78F595529600B65EFD333EE9D93A528378B3D30EFCAC11239894164A0","04E9A3FA2B85090A53E7B9D769BA536693D7A590794F58AD97F926D5CB2AFAF4","6B0959FE621763A5137523127BD17B224363D84E2DB3EDBD60B76DDB1B66E321","PARSED","FIRST_VALID_EXPORT","True","False","10000","1382.26","13.82","2.18","1.89","5.3","5.19","45.98","261","6","1.06","11.6972","13.0377","7875AD86EE9F410E65190963345BE76C1D48B167C37E067E139000E699191D41"
"10","mpr_trigger175","upper_trigger","discovery_2015_2018","2015.01.01","2018.12.31","1","10000","True","1.75","0.75","DC80B23EC9B9DC17474EAFB24BB859C69A25C0E96C49D7F6D7981420AD0EF273","04E9A3FA2B85090A53E7B9D769BA536693D7A590794F58AD97F926D5CB2AFAF4","6B0959FE621763A5137523127BD17B224363D84E2DB3EDBD60B76DDB1B66E321","PARSED","FIRST_VALID_EXPORT","True","False","10000","1036.19","10.36","2.5","1.96","5.63","5.45","45.65","184","6","1.11","8.8405","9.3333","2383136FA506D9DECE1D972D5D793ACF7669423900E5D6415CE7466E24584BA0"
"11","mpr_trigger175","upper_trigger","discovery_2019_2020","2019.01.01","2020.12.31","1","10000","True","1.75","0.75","DC80B23EC9B9DC17474EAFB24BB859C69A25C0E96C49D7F6D7981420AD0EF273","04E9A3FA2B85090A53E7B9D769BA536693D7A590794F58AD97F926D5CB2AFAF4","6B0959FE621763A5137523127BD17B224363D84E2DB3EDBD60B76DDB1B66E321","PARSED","FIRST_VALID_EXPORT","True","False","10000","370.6","3.71","1.84","1.94","5.01","5.64","47.3","74","6","0.93","3.9155","3.9892","9BF419CA0EBB4934C5D11C8140FE88A43EDD3A7D752184765441F9E4BB809243"
"12","mpr_trigger175","upper_trigger","continuous_2015_2020","2015.01.01","2020.12.31","1","10000","True","1.75","0.75","DC80B23EC9B9DC17474EAFB24BB859C69A25C0E96C49D7F6D7981420AD0EF273","04E9A3FA2B85090A53E7B9D769BA536693D7A590794F58AD97F926D5CB2AFAF4","6B0959FE621763A5137523127BD17B224363D84E2DB3EDBD60B76DDB1B66E321","PARSED","FIRST_VALID_EXPORT","True","False","10000","1379.93","13.8","2.18","1.88","5.29","5.15","45.98","261","6","1.05","11.6775","13.1429","25216623D413C7E206A2A4F8A92D423F186A2A7F43876D2BEAE0EB4E1A77B52C"
"13","mpr_lock050","lower_lock","discovery_2015_2018","2015.01.01","2018.12.31","1","10000","True","1.50","0.50","FF900D9649D9B03F6E1C72DF42775F09977C8CBC5D39D722C1FF550133E9D4F8","04E9A3FA2B85090A53E7B9D769BA536693D7A590794F58AD97F926D5CB2AFAF4","6B0959FE621763A5137523127BD17B224363D84E2DB3EDBD60B76DDB1B66E321","PARSED","FIRST_VALID_EXPORT","True","False","10000","1034.33","10.34","2.49","1.96","5.62","5.46","45.65","184","6","1.07","9.1965","9.6636","E9C8CB03DB95FB26BDDFE65BB83DB8E8C5915021DB16F6F82A7B7102324576D1"
"14","mpr_lock050","lower_lock","discovery_2019_2020","2019.01.01","2020.12.31","1","10000","True","1.50","0.50","FF900D9649D9B03F6E1C72DF42775F09977C8CBC5D39D722C1FF550133E9D4F8","04E9A3FA2B85090A53E7B9D769BA536693D7A590794F58AD97F926D5CB2AFAF4","6B0959FE621763A5137523127BD17B224363D84E2DB3EDBD60B76DDB1B66E321","PARSED","FIRST_VALID_EXPORT","True","False","10000","370.6","3.71","1.84","1.94","5.01","5.64","47.3","74","6","0.93","3.9155","3.9892","6BFD620B71FBA589A46B770617891C7FE6FA52FFE62B2822C0DC07669407D69C"
"15","mpr_lock050","lower_lock","continuous_2015_2020","2015.01.01","2020.12.31","1","10000","True","1.50","0.50","FF900D9649D9B03F6E1C72DF42775F09977C8CBC5D39D722C1FF550133E9D4F8","04E9A3FA2B85090A53E7B9D769BA536693D7A590794F58AD97F926D5CB2AFAF4","6B0959FE621763A5137523127BD17B224363D84E2DB3EDBD60B76DDB1B66E321","PARSED","FIRST_VALID_EXPORT","True","False","10000","1378.07","13.78","2.18","1.88","5.28","5.16","45.98","261","6","1.05","11.6618","13.1238","27C065965CC30E0636A6F5E34762F742F34D256C2D4E4DD3D9F432724BEB147E"
"16","mpr_lock100","upper_lock","discovery_2015_2018","2015.01.01","2018.12.31","1","10000","True","1.50","1.00","089D8EEEE2A3C7103C1064D192ADAFDFA03BC44C1C172F55A79D8CD4BEBD7755","04E9A3FA2B85090A53E7B9D769BA536693D7A590794F58AD97F926D5CB2AFAF4","6B0959FE621763A5137523127BD17B224363D84E2DB3EDBD60B76DDB1B66E321","PARSED","FIRST_VALID_EXPORT","True","False","10000","1035.36","10.35","2.5","1.96","5.63","5.51","45.65","184","6","0.99","9.9372","10.4545","1BCE61FAE4A008A5904B130C830CD73FE63745E61E625D52C34B30C647A8DA02"
"17","mpr_lock100","upper_lock","discovery_2019_2020","2019.01.01","2020.12.31","1","10000","True","1.50","1.00","089D8EEEE2A3C7103C1064D192ADAFDFA03BC44C1C172F55A79D8CD4BEBD7755","04E9A3FA2B85090A53E7B9D769BA536693D7A590794F58AD97F926D5CB2AFAF4","6B0959FE621763A5137523127BD17B224363D84E2DB3EDBD60B76DDB1B66E321","PARSED","FIRST_VALID_EXPORT","True","False","10000","362.05","3.62","1.8","1.92","4.89","5.53","47.3","74","6","0.93","3.8251","3.8925","FC44257E631E0342F253C54BE05CB3C48DABC7AE36F1F7BD08F64CCB55B1D1B9"
"18","mpr_lock100","upper_lock","continuous_2015_2020","2015.01.01","2020.12.31","1","10000","True","1.50","1.00","089D8EEEE2A3C7103C1064D192ADAFDFA03BC44C1C172F55A79D8CD4BEBD7755","04E9A3FA2B85090A53E7B9D769BA536693D7A590794F58AD97F926D5CB2AFAF4","6B0959FE621763A5137523127BD17B224363D84E2DB3EDBD60B76DDB1B66E321","PARSED","FIRST_VALID_EXPORT","True","False","10000","1362.22","13.62","2.15","1.87","5.22","5.14","45.98","261","6","1.05","11.5276","12.9714","C091527D881E56B4E862EDD1BBE6B99C08B90AD4AD0DE9B3A5DC111B14AEBDAA"
"19","mpr_conservative","conservative_corner","discovery_2015_2018","2015.01.01","2018.12.31","1","10000","True","1.75","0.50","802F6E41B817045922214477F293041ED98195E673A6533E1ACB063ECA5BF4EB","04E9A3FA2B85090A53E7B9D769BA536693D7A590794F58AD97F926D5CB2AFAF4","6B0959FE621763A5137523127BD17B224363D84E2DB3EDBD60B76DDB1B66E321","PARSED","FIRST_VALID_EXPORT","True","False","10000","1036.19","10.36","2.5","1.96","5.63","5.45","45.65","184","6","1.11","8.8405","9.3333","0714DBF01BFB555DE1E9B0B329A3D598E164B79FD64830D99E9FF188DC7CAAF5"
