"Window","ControlNetProfit","CenterNetProfit","Increment","CenterProfitFactor","CenterTrades","CenterDrawdownPercent","CenterMaxConsecutiveLosses","CenterPositive","CenterNoWorse"
"year_2015","195.25","195.25","0","2.14","26","0.86","2","True","True"
"year_2016","300.18","314.75","14.57","2.57","40","0.74","5","True","True"
"year_2017","99.65","99.65","0","1.25","55","1.18","6","True","True"
"year_2018","333.73","348.46","14.73","2.25","62","0.55","5","True","True"
"year_2019","13.01","13.01","0","1.07","36","1.08","6","True","True"
"year_2020","235.07","235.07","0","2.17","29","0.71","3","True","True"
"year_2021","392.11","392.11","0","2.7","30","1.16","8","True","True"
"year_2022","49.32","49.32","0","1.22","36","0.96","4","True","True"
"year_2023","181.54","181.54","0","1.75","41","1.24","6","True","True"
"year_2024","233.81","234.99","1.18","2.46","28","1.08","4","True","True"
"year_2025","17.78","17.78","0","2.91","3","0.12","1","True","True"
"year_2026_ytd","209.18","209.18","0","0","2","1.19","0","True","True"
