"QueueRank","Candidate","Role","Phase","Window","From","To","Model","Deposit","ExpectedReportName","ConfigSha256","ProfileSha256","SourceSha256","AnnualContractSha256","StopRule","PackageConfig","SourceConfig","ReportDestination"
"1","msec_control","exact_control","three_lane_momentum_same_side_exit_cooldown_annual_model4","year_2015","2015.01.01","2015.12.31","4","10000","msec_control_year_2015_m4","AA2C682D53B0FD33BC8C5BFD03CAC3DF8A266C2849500B748AEE1E0C37E5B268","EBF91F101273422422008BE481D8FF97448556384EBCCF561E7CBFC563A741F1","B6810B305549968E2273DAAF736A63759FE5C16F3B416F5C69E39840FBE5173E","ECD8C11737A268A816C5546A194E4A8DA8D2406A362427E17BFA01367F8088E3","All 12 center years profitable; >=10/12 no worse and >=3/12 strictly improved; center summed net >control; trades >=98% control; each center DD <=paired control +0.03 point and <=1.50%; each center loss streak <=8. No retuning.","outputs\three_lane_momentum_same_side_exit_cooldown_annual_model4_package\configs\001_msec_control_year_2015_m4.ini","outputs\three_lane_momentum_same_side_exit_cooldown_annual_model4_package\configs\001_msec_control_year_2015_m4.ini","outputs\three_lane_momentum_same_side_exit_cooldown_annual_model4_package\reports_here\msec_control_year_2015_m4"
"2","msec_control","exact_control","three_lane_momentum_same_side_exit_cooldown_annual_model4","year_2016","2016.01.01","2016.12.31","4","10000","msec_control_year_2016_m4","1186ACBCC39558478DC4E67048490ACADDF7E8DA5B0C432E82DC05BC98695736","EBF91F101273422422008BE481D8FF97448556384EBCCF561E7CBFC563A741F1","B6810B305549968E2273DAAF736A63759FE5C16F3B416F5C69E39840FBE5173E","ECD8C11737A268A816C5546A194E4A8DA8D2406A362427E17BFA01367F8088E3","All 12 center years profitable; >=10/12 no worse and >=3/12 strictly improved; center summed net >control; trades >=98% control; each center DD <=paired control +0.03 point and <=1.50%; each center loss streak <=8. No retuning.","outputs\three_lane_momentum_same_side_exit_cooldown_annual_model4_package\configs\002_msec_control_year_2016_m4.ini","outputs\three_lane_momentum_same_side_exit_cooldown_annual_model4_package\configs\002_msec_control_year_2016_m4.ini","outputs\three_lane_momentum_same_side_exit_cooldown_annual_model4_package\reports_here\msec_control_year_2016_m4"
"3","msec_control","exact_control","three_lane_momentum_same_side_exit_cooldown_annual_model4","year_2017","2017.01.01","2017.12.31","4","10000","msec_control_year_2017_m4","87427A15D4CA331738BBB95883463C4CA35158ACA6DA875A96ACF8A2D16B56B7","EBF91F101273422422008BE481D8FF97448556384EBCCF561E7CBFC563A741F1","B6810B305549968E2273DAAF736A63759FE5C16F3B416F5C69E39840FBE5173E","ECD8C11737A268A816C5546A194E4A8DA8D2406A362427E17BFA01367F8088E3","All 12 center years profitable; >=10/12 no worse and >=3/12 strictly improved; center summed net >control; trades >=98% control; each center DD <=paired control +0.03 point and <=1.50%; each center loss streak <=8. No retuning.","outputs\three_lane_momentum_same_side_exit_cooldown_annual_model4_package\configs\003_msec_control_year_2017_m4.ini","outputs\three_lane_momentum_same_side_exit_cooldown_annual_model4_package\configs\003_msec_control_year_2017_m4.ini","outputs\three_lane_momentum_same_side_exit_cooldown_annual_model4_package\reports_here\msec_control_year_2017_m4"
"4","msec_control","exact_control","three_lane_momentum_same_side_exit_cooldown_annual_model4","year_2018","2018.01.01","2018.12.31","4","10000","msec_control_year_2018_m4","88993705F351148A11D7FF19899453E7E737463B979514908B2D335EC6461E15","EBF91F101273422422008BE481D8FF97448556384EBCCF561E7CBFC563A741F1","B6810B305549968E2273DAAF736A63759FE5C16F3B416F5C69E39840FBE5173E","ECD8C11737A268A816C5546A194E4A8DA8D2406A362427E17BFA01367F8088E3","All 12 center years profitable; >=10/12 no worse and >=3/12 strictly improved; center summed net >control; trades >=98% control; each center DD <=paired control +0.03 point and <=1.50%; each center loss streak <=8. No retuning.","outputs\three_lane_momentum_same_side_exit_cooldown_annual_model4_package\configs\004_msec_control_year_2018_m4.ini","outputs\three_lane_momentum_same_side_exit_cooldown_annual_model4_package\configs\004_msec_control_year_2018_m4.ini","outputs\three_lane_momentum_same_side_exit_cooldown_annual_model4_package\reports_here\msec_control_year_2018_m4"
"5","msec_control","exact_control","three_lane_momentum_same_side_exit_cooldown_annual_model4","year_2019","2019.01.01","2019.12.31","4","10000","msec_control_year_2019_m4","C66972083A200787A1C2DE6DB8BBA739AAE54BC97FF0BCFE11ACBC787584C9A9","EBF91F101273422422008BE481D8FF97448556384EBCCF561E7CBFC563A741F1","B6810B305549968E2273DAAF736A63759FE5C16F3B416F5C69E39840FBE5173E","ECD8C11737A268A816C5546A194E4A8DA8D2406A362427E17BFA01367F8088E3","All 12 center years profitable; >=10/12 no worse and >=3/12 strictly improved; center summed net >control; trades >=98% control; each center DD <=paired control +0.03 point and <=1.50%; each center loss streak <=8. No retuning.","outputs\three_lane_momentum_same_side_exit_cooldown_annual_model4_package\configs\005_msec_control_year_2019_m4.ini","outputs\three_lane_momentum_same_side_exit_cooldown_annual_model4_package\configs\005_msec_control_year_2019_m4.ini","outputs\three_lane_momentum_same_side_exit_cooldown_annual_model4_package\reports_here\msec_control_year_2019_m4"
"6","msec_control","exact_control","three_lane_momentum_same_side_exit_cooldown_annual_model4","year_2020","2020.01.01","2020.12.31","4","10000","msec_control_year_2020_m4","D17B210ECBEC488EA85CB2848CEEEB1AA1B3F0C3E5813594F0F55BCAE169A76F","EBF91F101273422422008BE481D8FF97448556384EBCCF561E7CBFC563A741F1","B6810B305549968E2273DAAF736A63759FE5C16F3B416F5C69E39840FBE5173E","ECD8C11737A268A816C5546A194E4A8DA8D2406A362427E17BFA01367F8088E3","All 12 center years profitable; >=10/12 no worse and >=3/12 strictly improved; center summed net >control; trades >=98% control; each center DD <=paired control +0.03 point and <=1.50%; each center loss streak <=8. No retuning.","outputs\three_lane_momentum_same_side_exit_cooldown_annual_model4_package\configs\006_msec_control_year_2020_m4.ini","outputs\three_lane_momentum_same_side_exit_cooldown_annual_model4_package\configs\006_msec_control_year_2020_m4.ini","outputs\three_lane_momentum_same_side_exit_cooldown_annual_model4_package\reports_here\msec_control_year_2020_m4"
"7","msec_control","exact_control","three_lane_momentum_same_side_exit_cooldown_annual_model4","year_2021","2021.01.01","2021.12.31","4","10000","msec_control_year_2021_m4","032B907423B5CF8884B1CE6843C00E1D4012F215077ECEC5FC056A1763340B46","EBF91F101273422422008BE481D8FF97448556384EBCCF561E7CBFC563A741F1","B6810B305549968E2273DAAF736A63759FE5C16F3B416F5C69E39840FBE5173E","ECD8C11737A268A816C5546A194E4A8DA8D2406A362427E17BFA01367F8088E3","All 12 center years profitable; >=10/12 no worse and >=3/12 strictly improved; center summed net >control; trades >=98% control; each center DD <=paired control +0.03 point and <=1.50%; each center loss streak <=8. No retuning.","outputs\three_lane_momentum_same_side_exit_cooldown_annual_model4_package\configs\007_msec_control_year_2021_m4.ini","outputs\three_lane_momentum_same_side_exit_cooldown_annual_model4_package\configs\007_msec_control_year_2021_m4.ini","outputs\three_lane_momentum_same_side_exit_cooldown_annual_model4_package\reports_here\msec_control_year_2021_m4"
"8","msec_control","exact_control","three_lane_momentum_same_side_exit_cooldown_annual_model4","year_2022","2022.01.01","2022.12.31","4","10000","msec_control_year_2022_m4","06A277BDB09873A99E900417531043C0FC9F69907243D474D82FFDF29B1DBBF5","EBF91F101273422422008BE481D8FF97448556384EBCCF561E7CBFC563A741F1","B6810B305549968E2273DAAF736A63759FE5C16F3B416F5C69E39840FBE5173E","ECD8C11737A268A816C5546A194E4A8DA8D2406A362427E17BFA01367F8088E3","All 12 center years profitable; >=10/12 no worse and >=3/12 strictly improved; center summed net >control; trades >=98% control; each center DD <=paired control +0.03 point and <=1.50%; each center loss streak <=8. No retuning.","outputs\three_lane_momentum_same_side_exit_cooldown_annual_model4_package\configs\008_msec_control_year_2022_m4.ini","outputs\three_lane_momentum_same_side_exit_cooldown_annual_model4_package\configs\008_msec_control_year_2022_m4.ini","outputs\three_lane_momentum_same_side_exit_cooldown_annual_model4_package\reports_here\msec_control_year_2022_m4"
"9","msec_control","exact_control","three_lane_momentum_same_side_exit_cooldown_annual_model4","year_2023","2023.01.01","2023.12.31","4","10000","msec_control_year_2023_m4","3DCFF85B7498D0C1B3A771C46DFC45F04CF2AF4ADE578D87AE2A6DC506BDD9A2","EBF91F101273422422008BE481D8FF97448556384EBCCF561E7CBFC563A741F1","B6810B305549968E2273DAAF736A63759FE5C16F3B416F5C69E39840FBE5173E","ECD8C11737A268A816C5546A194E4A8DA8D2406A362427E17BFA01367F8088E3","All 12 center years profitable; >=10/12 no worse and >=3/12 strictly improved; center summed net >control; trades >=98% control; each center DD <=paired control +0.03 point and <=1.50%; each center loss streak <=8. No retuning.","outputs\three_lane_momentum_same_side_exit_cooldown_annual_model4_package\configs\009_msec_control_year_2023_m4.ini","outputs\three_lane_momentum_same_side_exit_cooldown_annual_model4_package\configs\009_msec_control_year_2023_m4.ini","outputs\three_lane_momentum_same_side_exit_cooldown_annual_model4_package\reports_here\msec_control_year_2023_m4"
"10","msec_control","exact_control","three_lane_momentum_same_side_exit_cooldown_annual_model4","year_2024","2024.01.01","2024.12.31","4","10000","msec_control_year_2024_m4","8DE7F9D793AA323A336BEBD80461432BFA399F67B72F0F7B8910FF7CE3AAA214","EBF91F101273422422008BE481D8FF97448556384EBCCF561E7CBFC563A741F1","B6810B305549968E2273DAAF736A63759FE5C16F3B416F5C69E39840FBE5173E","ECD8C11737A268A816C5546A194E4A8DA8D2406A362427E17BFA01367F8088E3","All 12 center years profitable; >=10/12 no worse and >=3/12 strictly improved; center summed net >control; trades >=98% control; each center DD <=paired control +0.03 point and <=1.50%; each center loss streak <=8. No retuning.","outputs\three_lane_momentum_same_side_exit_cooldown_annual_model4_package\configs\010_msec_control_year_2024_m4.ini","outputs\three_lane_momentum_same_side_exit_cooldown_annual_model4_package\configs\010_msec_control_year_2024_m4.ini","outputs\three_lane_momentum_same_side_exit_cooldown_annual_model4_package\reports_here\msec_control_year_2024_m4"
