"QueueRank","Candidate","Window","Status","Attempts","IdentityRetries","SourceSha256","BinarySha256","ConfigSha256","ReportSha256","IdentitySidecarPresent","PortableExpertRecompiled","Started","Finished"
"1","msec_control","year_2015","REPORT_FOUND","2","1","B6810B305549968E2273DAAF736A63759FE5C16F3B416F5C69E39840FBE5173E","D85336B07A8C34C4567537D5C9BD7CDC0F31D0B8ED67B73BAC1088B19E126123","AA2C682D53B0FD33BC8C5BFD03CAC3DF8A266C2849500B748AEE1E0C37E5B268","93DE7FF606A69207D895FEC7C3560FF07023E458C8910372F68CF3BA950022C2","True","False","2026-07-20T05:34:07","2026-07-20T05:34:47"
"2","msec_control","year_2016","REPORT_FOUND","2","0","B6810B305549968E2273DAAF736A63759FE5C16F3B416F5C69E39840FBE5173E","D85336B07A8C34C4567537D5C9BD7CDC0F31D0B8ED67B73BAC1088B19E126123","1186ACBCC39558478DC4E67048490ACADDF7E8DA5B0C432E82DC05BC98695736","68987D557C99FE062D9F9F2DA6645D74EE7CC4D5A68218AA08C4F864470FD3B8","True","False","2026-07-20T05:34:47","2026-07-20T05:34:47"
"3","msec_control","year_2017","REPORT_FOUND","2","0","B6810B305549968E2273DAAF736A63759FE5C16F3B416F5C69E39840FBE5173E","D85336B07A8C34C4567537D5C9BD7CDC0F31D0B8ED67B73BAC1088B19E126123","87427A15D4CA331738BBB95883463C4CA35158ACA6DA875A96ACF8A2D16B56B7","4AD703FE6467B0D37ADD152B4FEB4970B5697C74FCBB548B7F9D942070F9A948","True","False","2026-07-20T05:34:47","2026-07-20T05:34:47"
"4","msec_control","year_2018","REPORT_FOUND","2","1","B6810B305549968E2273DAAF736A63759FE5C16F3B416F5C69E39840FBE5173E","D85336B07A8C34C4567537D5C9BD7CDC0F31D0B8ED67B73BAC1088B19E126123","88993705F351148A11D7FF19899453E7E737463B979514908B2D335EC6461E15","E8B62CD667FDDD68232BE5576AB40A2CF8C34EB047CCA6C4EB789DA348101AA0","True","False","2026-07-20T05:34:47","2026-07-20T05:35:29"
"5","msec_control","year_2019","REPORT_FOUND","2","0","B6810B305549968E2273DAAF736A63759FE5C16F3B416F5C69E39840FBE5173E","D85336B07A8C34C4567537D5C9BD7CDC0F31D0B8ED67B73BAC1088B19E126123","C66972083A200787A1C2DE6DB8BBA739AAE54BC97FF0BCFE11ACBC787584C9A9","35ED128EADFA235C8FEDE75807530BE3AB8753EAA8850D0249E0E47DA7ED382F","True","False","2026-07-20T05:35:29","2026-07-20T05:35:29"
"6","msec_control","year_2020","REPORT_FOUND","2","0","B6810B305549968E2273DAAF736A63759FE5C16F3B416F5C69E39840FBE5173E","D85336B07A8C34C4567537D5C9BD7CDC0F31D0B8ED67B73BAC1088B19E126123","D17B210ECBEC488EA85CB2848CEEEB1AA1B3F0C3E5813594F0F55BCAE169A76F","E5912F59A27A3C6199F466C3686DE7FF5D2A1390B16F28DAA82675C0947872D2","True","False","2026-07-20T05:35:29","2026-07-20T05:35:29"
"7","msec_control","year_2021","REPORT_FOUND","2","0","B6810B305549968E2273DAAF736A63759FE5C16F3B416F5C69E39840FBE5173E","D85336B07A8C34C4567537D5C9BD7CDC0F31D0B8ED67B73BAC1088B19E126123","032B907423B5CF8884B1CE6843C00E1D4012F215077ECEC5FC056A1763340B46","8D2FEF495A4AEA85E283ABA1D29167E1206031C4ABC81819B91A3F3D94583D5F","True","False","2026-07-20T05:35:29","2026-07-20T05:35:29"
"8","msec_control","year_2022","REPORT_FOUND","2","0","B6810B305549968E2273DAAF736A63759FE5C16F3B416F5C69E39840FBE5173E","D85336B07A8C34C4567537D5C9BD7CDC0F31D0B8ED67B73BAC1088B19E126123","06A277BDB09873A99E900417531043C0FC9F69907243D474D82FFDF29B1DBBF5","3CA31091D82547E197A5CA411CAB0D80B4ECC8E788761DDCA848D017062F2E71","True","False","2026-07-20T05:35:29","2026-07-20T05:35:29"
"9","msec_control","year_2023","REPORT_FOUND","2","0","B6810B305549968E2273DAAF736A63759FE5C16F3B416F5C69E39840FBE5173E","D85336B07A8C34C4567537D5C9BD7CDC0F31D0B8ED67B73BAC1088B19E126123","3DCFF85B7498D0C1B3A771C46DFC45F04CF2AF4ADE578D87AE2A6DC506BDD9A2","16E8EF360A2EAA2DBED4A689F8694601DD59F941F8A7E5D82F0F3A8119A6928D","True","False","2026-07-20T05:35:29","2026-07-20T05:35:29"
"10","msec_control","year_2024","REPORT_FOUND","2","0","B6810B305549968E2273DAAF736A63759FE5C16F3B416F5C69E39840FBE5173E","D85336B07A8C34C4567537D5C9BD7CDC0F31D0B8ED67B73BAC1088B19E126123","8DE7F9D793AA323A336BEBD80461432BFA399F67B72F0F7B8910FF7CE3AAA214","6492C46D2FD775FBFC600EB5A12FB29ED8211EA2F3E880F49B7B1783BFB8861B","True","False","2026-07-20T05:35:29","2026-07-20T05:35:29"
"11","msec_control","year_2025","REPORT_FOUND","2","0","B6810B305549968E2273DAAF736A63759FE5C16F3B416F5C69E39840FBE5173E","D85336B07A8C34C4567537D5C9BD7CDC0F31D0B8ED67B73BAC1088B19E126123","CFA180489A767EA466DC0AED6A0517BF22D28E907C54E9B09325E0E794D3E4CC","E191486CD0353B249C0F6D109F51C21446838BA8485E8B525C1BCD3324F8C021","True","False","2026-07-20T05:35:29","2026-07-20T05:35:29"
"12","msec_control","year_2026_ytd","REPORT_FOUND","2","0","B6810B305549968E2273DAAF736A63759FE5C16F3B416F5C69E39840FBE5173E","D85336B07A8C34C4567537D5C9BD7CDC0F31D0B8ED67B73BAC1088B19E126123","8F109140C31A669C925027F8E83C0EBC522BEA794D2B38F039DBEEF2063E4EC4","C2A474686B0C2978F05A5614D275FEA7D06E88E0D60585C98DE49BC4419ABBEF","True","False","2026-07-20T05:35:29","2026-07-20T05:35:29"
