"Dimension","Segment","Trades","NetProfit","GrossProfit","GrossLoss","ProfitFactor","WinRatePercent","AverageProfit","AverageHoldMinutes"
"Overall","all","400","2492.25","5180.08","2687.83","1.9272","44.75","6.23","1083.45"
"EntrySubtype","other","400","2492.25","5180.08","2687.83","1.9272","44.75","6.23","1083.45"
"EntryHour","0","1","33.79","33.79","0","INF","100","33.79","2406"
"EntryHour","1","8","105.83","162.48","56.65","2.8681","25","13.23","2347.74"
"EntryHour","10","58","65.04","463.33","398.29","1.1633","41.38","1.12","788.3"
"EntryHour","11","43","121.23","392.96","271.73","1.4461","44.19","2.82","806.17"
"EntryHour","12","26","30.78","188.58","157.8","1.1951","42.31","1.18","1608.66"
"EntryHour","13","21","237.3","377.89","140.59","2.6879","47.62","11.3","475.97"
"EntryHour","14","7","11.67","61.59","49.92","1.2338","42.86","1.67","368.11"
"EntryHour","15","27","257.11","443.99","186.88","2.3758","59.26","9.52","740.04"
"EntryHour","16","49","58.32","407.5","349.18","1.167","46.94","1.19","1672.39"
"EntryHour","17","17","38.62","133.18","94.56","1.4084","35.29","2.27","675.18"
"EntryHour","18","7","253.39","351.85","98.46","3.5735","57.14","36.2","674.2"
"EntryHour","19","5","28.18","105.09","76.91","1.3664","20","5.64","1502.44"
"EntryHour","20","10","225.01","284.17","59.16","4.8034","80","22.5","3401.45"
"EntryHour","21","3","202.45","213.77","11.32","18.8843","66.67","67.48","883.58"
"EntryHour","22","3","100.04","124.8","24.76","5.0404","66.67","33.35","876.48"
"EntryHour","3","3","403.21","403.21","0","INF","100","134.4","1229.06"
"EntryHour","4","4","-46.31","0","46.31","0","0","-11.58","2238.86"
"EntryHour","5","3","14.47","71.47","57","1.2539","33.33","4.82","648.92"
"EntryHour","6","25","-7.61","152.19","159.8","0.9524","28","-0.3","697.28"
"EntryHour","7","18","228.25","316.29","88.04","3.5926","55.56","12.68","654.29"
"EntryHour","8","31","11.79","181.58","169.79","1.0694","38.71","0.38","1403.01"
"EntryHour","9","31","119.69","310.37","190.68","1.6277","45.16","3.86","812.42"
"EntryYear","2015","26","195.25","366.82","171.57","2.138","53.85","7.51","1650.22"
"EntryYear","2016","40","314.75","515.27","200.52","2.5697","47.5","7.87","1317.35"
"EntryYear","2017","55","130.8","532.03","401.23","1.326","38.18","2.38","901.82"
"EntryYear","2018","64","358.29","687.99","329.7","2.0867","45.31","5.6","1369.06"
"EntryYear","2019","36","40.26","235.2","194.94","1.2065","41.67","1.12","1556.77"
"EntryYear","2020","30","251.5","470.03","218.53","2.1509","50","8.38","1327.84"
"EntryYear","2021","32","432.47","694.83","262.36","2.6484","28.12","13.51","582.82"
"EntryYear","2022","37","80.13","353","272.87","1.2937","43.24","2.17","539.94"
"EntryYear","2023","44","223.58","557.42","333.84","1.6697","47.73","5.08","857.26"
"EntryYear","2024","31","232.25","515.94","283.69","1.8187","51.61","7.49","727.97"
"EntryYear","2025","3","23.79","42.37","18.58","2.2804","66.67","7.93","527.68"
"EntryYear","2026","2","209.18","209.18","0","INF","100","104.59","2092.12"
"EntryMonth","1","44","439.5","714.91","275.41","2.5958","54.55","9.99","1880.87"
"EntryMonth","10","40","557.84","770.2","212.36","3.6269","40","13.95","669.76"
"EntryMonth","11","36","330.52","599.86","269.34","2.2271","44.44","9.18","950.39"
"EntryMonth","12","44","35.7","398.15","362.45","1.0985","38.64","0.81","1543.97"
"EntryMonth","2","29","-68.43","240.45","308.88","0.7785","31.03","-2.36","734.02"
"EntryMonth","3","32","79.62","274.15","194.53","1.4093","56.25","2.49","741.23"
"EntryMonth","4","15","66.04","167.5","101.46","1.6509","46.67","4.4","655.18"
"EntryMonth","5","25","191.44","311.4","119.96","2.5959","44","7.66","700.78"
"EntryMonth","6","31","280.01","452.07","172.06","2.6274","48.39","9.03","1269.56"
"EntryMonth","7","43","155.12","444.48","289.36","1.5361","44.19","3.61","1517.7"
"EntryMonth","8","31","204.87","366.6","161.73","2.2667","51.61","6.61","684.22"
"EntryMonth","9","30","220.02","440.31","220.29","1.9988","36.67","7.33","783.41"
"Side","buy","240","1367.88","2856.36","1488.48","1.919","45.42","5.7","1048.02"
"Side","sell","160","1124.37","2323.72","1199.35","1.9375","43.75","7.03","1136.61"
"DayOfWeek","Friday","89","557.25","1153.79","596.54","1.9341","44.94","6.26","1582.25"
"DayOfWeek","Monday","69","645.64","1126.42","480.78","2.3429","43.48","9.36","990.64"
"DayOfWeek","Thursday","83","479.7","995.38","515.68","1.9302","53.01","5.78","1258.31"
"DayOfWeek","Tuesday","71","338.94","866.83","527.89","1.6421","40.85","4.77","882.8"
"DayOfWeek","Wednesday","88","470.72","1037.66","566.94","1.8303","40.91","5.35","648.73"
