"QueueRank","Candidate","CandidateRank","Role","Phase","Window","From","To","Model","Deposit","MomentumRiskPercent","ReversionRiskPercent","AdaptiveRiskPercent","FeatureEnabled","MinimumBodyRatio","MinimumCloseLocation","StrongTakeProfitR","MaximumPortfolioOpenRiskPercent","ExpectedReportName","PackageConfig","SourceConfig","ReportDestination","ConfigSha256","ProfileSha256","SourceSha256","StopRule"
"1","sbte_control","1","disabled_control","strong_breakout_target_extension_discovery_model1","discovery_2015_2018","2015.01.01","2018.12.31","1","10000","0.15","0.45","0.15","False","0.50","0.75","3.00","0.75","sbte_control_discovery_2015_2018_m1","outputs\three_lane_momentum_strong_breakout_target_extension_discovery_model1_package\configs\001_sbte_control_discovery_2015_2018_m1.ini","outputs\three_lane_momentum_strong_breakout_target_extension_discovery_model1_package\configs\001_sbte_control_discovery_2015_2018_m1.ini","outputs\three_lane_momentum_strong_breakout_target_extension_discovery_model1_package\reports_here\sbte_control_discovery_2015_2018_m1","BDADBDAB146ED3E86771466863B4A0841E12EC0D2BCCA75FA0E7D0BA6A50119A","953102960D7F47DE7DB227FA6565320D5ED2FFB708A6D83336B7F66834B66D41","C7B5D50FF1229525CDD619D4943B232C97E229BA7086513A6515EABCC6015110","Frozen retrospective discovery only. Center must be positive and no worse than control in both 2015-2018 and 2019-2020, improve continuous net by at least 3% and CAGR by 0.05 point, retain PF/recovery/return-DD and trade-count floors, keep DD <=1.30%, and receive at least three of six neighbor passes. Failure closes the family without opening post-2020 data."
"2","sbte_control","1","disabled_control","strong_breakout_target_extension_discovery_model1","discovery_2019_2020","2019.01.01","2020.12.31","1","10000","0.15","0.45","0.15","False","0.50","0.75","3.00","0.75","sbte_control_discovery_2019_2020_m1","outputs\three_lane_momentum_strong_breakout_target_extension_discovery_model1_package\configs\002_sbte_control_discovery_2019_2020_m1.ini","outputs\three_lane_momentum_strong_breakout_target_extension_discovery_model1_package\configs\002_sbte_control_discovery_2019_2020_m1.ini","outputs\three_lane_momentum_strong_breakout_target_extension_discovery_model1_package\reports_here\sbte_control_discovery_2019_2020_m1","139401E2CA99716D9FD818B7900C65130D463C1DAB40B367528CD02F2BE2A9E8","953102960D7F47DE7DB227FA6565320D5ED2FFB708A6D83336B7F66834B66D41","C7B5D50FF1229525CDD619D4943B232C97E229BA7086513A6515EABCC6015110","Frozen retrospective discovery only. Center must be positive and no worse than control in both 2015-2018 and 2019-2020, improve continuous net by at least 3% and CAGR by 0.05 point, retain PF/recovery/return-DD and trade-count floors, keep DD <=1.30%, and receive at least three of six neighbor passes. Failure closes the family without opening post-2020 data."
"3","sbte_control","1","disabled_control","strong_breakout_target_extension_discovery_model1","continuous_2015_2020","2015.01.01","2020.12.31","1","10000","0.15","0.45","0.15","False","0.50","0.75","3.00","0.75","sbte_control_continuous_2015_2020_m1","outputs\three_lane_momentum_strong_breakout_target_extension_discovery_model1_package\configs\003_sbte_control_continuous_2015_2020_m1.ini","outputs\three_lane_momentum_strong_breakout_target_extension_discovery_model1_package\configs\003_sbte_control_continuous_2015_2020_m1.ini","outputs\three_lane_momentum_strong_breakout_target_extension_discovery_model1_package\reports_here\sbte_control_continuous_2015_2020_m1","892B51E1530CCE13005891A34BEA5869F6ADC0BA9FFC84664137B0A2575C01EA","953102960D7F47DE7DB227FA6565320D5ED2FFB708A6D83336B7F66834B66D41","C7B5D50FF1229525CDD619D4943B232C97E229BA7086513A6515EABCC6015110","Frozen retrospective discovery only. Center must be positive and no worse than control in both 2015-2018 and 2019-2020, improve continuous net by at least 3% and CAGR by 0.05 point, retain PF/recovery/return-DD and trade-count floors, keep DD <=1.30%, and receive at least three of six neighbor passes. Failure closes the family without opening post-2020 data."
"4","sbte_target250","2","lower_target","strong_breakout_target_extension_discovery_model1","discovery_2015_2018","2015.01.01","2018.12.31","1","10000","0.15","0.45","0.15","True","0.50","0.75","2.50","0.75","sbte_target250_discovery_2015_2018_m1","outputs\three_lane_momentum_strong_breakout_target_extension_discovery_model1_package\configs\004_sbte_target250_discovery_2015_2018_m1.ini","outputs\three_lane_momentum_strong_breakout_target_extension_discovery_model1_package\configs\004_sbte_target250_discovery_2015_2018_m1.ini","outputs\three_lane_momentum_strong_breakout_target_extension_discovery_model1_package\reports_here\sbte_target250_discovery_2015_2018_m1","8DB9DA0196EFD00707A137F726697B831B21DF8B4C9D5104C2C5E1D77A4D8951","F4D25315E6F53893E7B4AC2404F43E37EF13AC6F023311C9A1F09605AB229192","C7B5D50FF1229525CDD619D4943B232C97E229BA7086513A6515EABCC6015110","Frozen retrospective discovery only. Center must be positive and no worse than control in both 2015-2018 and 2019-2020, improve continuous net by at least 3% and CAGR by 0.05 point, retain PF/recovery/return-DD and trade-count floors, keep DD <=1.30%, and receive at least three of six neighbor passes. Failure closes the family without opening post-2020 data."
"5","sbte_target250","2","lower_target","strong_breakout_target_extension_discovery_model1","discovery_2019_2020","2019.01.01","2020.12.31","1","10000","0.15","0.45","0.15","True","0.50","0.75","2.50","0.75","sbte_target250_discovery_2019_2020_m1","outputs\three_lane_momentum_strong_breakout_target_extension_discovery_model1_package\configs\005_sbte_target250_discovery_2019_2020_m1.ini","outputs\three_lane_momentum_strong_breakout_target_extension_discovery_model1_package\configs\005_sbte_target250_discovery_2019_2020_m1.ini","outputs\three_lane_momentum_strong_breakout_target_extension_discovery_model1_package\reports_here\sbte_target250_discovery_2019_2020_m1","E3B1C2C11D6E6ECCFEE223D0A9026228A22C0987FCB524280BEEFE48F213C220","F4D25315E6F53893E7B4AC2404F43E37EF13AC6F023311C9A1F09605AB229192","C7B5D50FF1229525CDD619D4943B232C97E229BA7086513A6515EABCC6015110","Frozen retrospective discovery only. Center must be positive and no worse than control in both 2015-2018 and 2019-2020, improve continuous net by at least 3% and CAGR by 0.05 point, retain PF/recovery/return-DD and trade-count floors, keep DD <=1.30%, and receive at least three of six neighbor passes. Failure closes the family without opening post-2020 data."
"6","sbte_target250","2","lower_target","strong_breakout_target_extension_discovery_model1","continuous_2015_2020","2015.01.01","2020.12.31","1","10000","0.15","0.45","0.15","True","0.50","0.75","2.50","0.75","sbte_target250_continuous_2015_2020_m1","outputs\three_lane_momentum_strong_breakout_target_extension_discovery_model1_package\configs\006_sbte_target250_continuous_2015_2020_m1.ini","outputs\three_lane_momentum_strong_breakout_target_extension_discovery_model1_package\configs\006_sbte_target250_continuous_2015_2020_m1.ini","outputs\three_lane_momentum_strong_breakout_target_extension_discovery_model1_package\reports_here\sbte_target250_continuous_2015_2020_m1","255D3132F276E1C0EC0624C3E6D89235EE744815A4DEB4824D5C1E23F35F8B4B","F4D25315E6F53893E7B4AC2404F43E37EF13AC6F023311C9A1F09605AB229192","C7B5D50FF1229525CDD619D4943B232C97E229BA7086513A6515EABCC6015110","Frozen retrospective discovery only. Center must be positive and no worse than control in both 2015-2018 and 2019-2020, improve continuous net by at least 3% and CAGR by 0.05 point, retain PF/recovery/return-DD and trade-count floors, keep DD <=1.30%, and receive at least three of six neighbor passes. Failure closes the family without opening post-2020 data."
"7","sbte_center","3","center","strong_breakout_target_extension_discovery_model1","discovery_2015_2018","2015.01.01","2018.12.31","1","10000","0.15","0.45","0.15","True","0.50","0.75","3.00","0.75","sbte_center_discovery_2015_2018_m1","outputs\three_lane_momentum_strong_breakout_target_extension_discovery_model1_package\configs\007_sbte_center_discovery_2015_2018_m1.ini","outputs\three_lane_momentum_strong_breakout_target_extension_discovery_model1_package\configs\007_sbte_center_discovery_2015_2018_m1.ini","outputs\three_lane_momentum_strong_breakout_target_extension_discovery_model1_package\reports_here\sbte_center_discovery_2015_2018_m1","712E0AE069E8B02E86E7E1DC71A1D1058DE24C77943AB55D092022DA3DA287A2","552ED999F15F38F46C83A48D5F4483C6378F30E2952301A156138D2C066CBD88","C7B5D50FF1229525CDD619D4943B232C97E229BA7086513A6515EABCC6015110","Frozen retrospective discovery only. Center must be positive and no worse than control in both 2015-2018 and 2019-2020, improve continuous net by at least 3% and CAGR by 0.05 point, retain PF/recovery/return-DD and trade-count floors, keep DD <=1.30%, and receive at least three of six neighbor passes. Failure closes the family without opening post-2020 data."
"8","sbte_center","3","center","strong_breakout_target_extension_discovery_model1","discovery_2019_2020","2019.01.01","2020.12.31","1","10000","0.15","0.45","0.15","True","0.50","0.75","3.00","0.75","sbte_center_discovery_2019_2020_m1","outputs\three_lane_momentum_strong_breakout_target_extension_discovery_model1_package\configs\008_sbte_center_discovery_2019_2020_m1.ini","outputs\three_lane_momentum_strong_breakout_target_extension_discovery_model1_package\configs\008_sbte_center_discovery_2019_2020_m1.ini","outputs\three_lane_momentum_strong_breakout_target_extension_discovery_model1_package\reports_here\sbte_center_discovery_2019_2020_m1","B6D4B7DD5AD7B8A09E6DD6DE56E5DD9988429C82A55D6D382DD031844747A5DA","552ED999F15F38F46C83A48D5F4483C6378F30E2952301A156138D2C066CBD88","C7B5D50FF1229525CDD619D4943B232C97E229BA7086513A6515EABCC6015110","Frozen retrospective discovery only. Center must be positive and no worse than control in both 2015-2018 and 2019-2020, improve continuous net by at least 3% and CAGR by 0.05 point, retain PF/recovery/return-DD and trade-count floors, keep DD <=1.30%, and receive at least three of six neighbor passes. Failure closes the family without opening post-2020 data."
"9","sbte_center","3","center","strong_breakout_target_extension_discovery_model1","continuous_2015_2020","2015.01.01","2020.12.31","1","10000","0.15","0.45","0.15","True","0.50","0.75","3.00","0.75","sbte_center_continuous_2015_2020_m1","outputs\three_lane_momentum_strong_breakout_target_extension_discovery_model1_package\configs\009_sbte_center_continuous_2015_2020_m1.ini","outputs\three_lane_momentum_strong_breakout_target_extension_discovery_model1_package\configs\009_sbte_center_continuous_2015_2020_m1.ini","outputs\three_lane_momentum_strong_breakout_target_extension_discovery_model1_package\reports_here\sbte_center_continuous_2015_2020_m1","22CDAC7B69D99CA9F3701FB14B96FC7367825FCC26C14A0CB34E6FD587719C1B","552ED999F15F38F46C83A48D5F4483C6378F30E2952301A156138D2C066CBD88","C7B5D50FF1229525CDD619D4943B232C97E229BA7086513A6515EABCC6015110","Frozen retrospective discovery only. Center must be positive and no worse than control in both 2015-2018 and 2019-2020, improve continuous net by at least 3% and CAGR by 0.05 point, retain PF/recovery/return-DD and trade-count floors, keep DD <=1.30%, and receive at least three of six neighbor passes. Failure closes the family without opening post-2020 data."
"10","sbte_target350","4","upper_target","strong_breakout_target_extension_discovery_model1","discovery_2015_2018","2015.01.01","2018.12.31","1","10000","0.15","0.45","0.15","True","0.50","0.75","3.50","0.75","sbte_target350_discovery_2015_2018_m1","outputs\three_lane_momentum_strong_breakout_target_extension_discovery_model1_package\configs\010_sbte_target350_discovery_2015_2018_m1.ini","outputs\three_lane_momentum_strong_breakout_target_extension_discovery_model1_package\configs\010_sbte_target350_discovery_2015_2018_m1.ini","outputs\three_lane_momentum_strong_breakout_target_extension_discovery_model1_package\reports_here\sbte_target350_discovery_2015_2018_m1","74E7A7CF9A5FBCE823D50447DF482CB02EF40F4E2A5A3F7621FE03E422B2E23D","1242394117AF1D5486381B00A4484804206FE4C09E8B702814399CBFF82AEFE8","C7B5D50FF1229525CDD619D4943B232C97E229BA7086513A6515EABCC6015110","Frozen retrospective discovery only. Center must be positive and no worse than control in both 2015-2018 and 2019-2020, improve continuous net by at least 3% and CAGR by 0.05 point, retain PF/recovery/return-DD and trade-count floors, keep DD <=1.30%, and receive at least three of six neighbor passes. Failure closes the family without opening post-2020 data."
