"QueueRank","Candidate","Role","Window","From","To","Model","Deposit","FeatureEnabled","MinimumBodyRatio","MinimumCloseLocation","StrongTakeProfitR","ProfileSha256","SourceSha256","BinarySha256","Status","ReportDisposition","IdentitySidecarVerified","PortableExpertRecompiled","InitialDeposit","NetProfit","TotalReturnPercent","CagrPercent","ProfitFactor","ExpectedPayoff","SharpeRatio","WinRatePercent","TotalTrades","MaxConsecutiveLosses","MaxDrawdownPercent","RecoveryFactor","ReturnDrawdown","ReportSha256"
"1","sbte_control","disabled_control","discovery_2015_2018","2015.01.01","2018.12.31","1","10000","False","0.50","0.75","3.00","953102960D7F47DE7DB227FA6565320D5ED2FFB708A6D83336B7F66834B66D41","C7B5D50FF1229525CDD619D4943B232C97E229BA7086513A6515EABCC6015110","7666375D4CB495A1B08F88A28349AC3AC8FA5F14EB26AA3EDD83481FD9B54F91","PARSED","FIRST_VALID_EXPORT","True","False","10000","1036.19","10.36","2.5","1.96","5.63","5.45","45.65","184","6","1.11","8.8405","9.3333","FA12982218B608CE094851A4DC1FED7652AA4F7AFAAD93D353B80A3BAF451317"
"2","sbte_control","disabled_control","discovery_2019_2020","2019.01.01","2020.12.31","1","10000","False","0.50","0.75","3.00","953102960D7F47DE7DB227FA6565320D5ED2FFB708A6D83336B7F66834B66D41","C7B5D50FF1229525CDD619D4943B232C97E229BA7086513A6515EABCC6015110","7666375D4CB495A1B08F88A28349AC3AC8FA5F14EB26AA3EDD83481FD9B54F91","PARSED","FIRST_VALID_EXPORT","True","False","10000","370.6","3.71","1.84","1.94","5.01","5.64","47.3","74","6","0.93","3.9155","3.9892","2747738042AC96C18ECB26B4E48053D0926575A8A0D99343A2998775427C3FFC"
"3","sbte_control","disabled_control","continuous_2015_2020","2015.01.01","2020.12.31","1","10000","False","0.50","0.75","3.00","953102960D7F47DE7DB227FA6565320D5ED2FFB708A6D83336B7F66834B66D41","C7B5D50FF1229525CDD619D4943B232C97E229BA7086513A6515EABCC6015110","7666375D4CB495A1B08F88A28349AC3AC8FA5F14EB26AA3EDD83481FD9B54F91","PARSED","FIRST_VALID_EXPORT","True","False","10000","1379.93","13.8","2.18","1.88","5.29","5.15","45.98","261","6","1.05","11.6775","13.1429","C302986B570836E980AF7E423C807ABCF7F60637B439B36C1718519D187C971A"
"4","sbte_target250","lower_target","discovery_2015_2018","2015.01.01","2018.12.31","1","10000","True","0.50","0.75","2.50","F4D25315E6F53893E7B4AC2404F43E37EF13AC6F023311C9A1F09605AB229192","C7B5D50FF1229525CDD619D4943B232C97E229BA7086513A6515EABCC6015110","7666375D4CB495A1B08F88A28349AC3AC8FA5F14EB26AA3EDD83481FD9B54F91","PARSED","FIRST_VALID_EXPORT","True","False","10000","956.28","9.56","2.31","1.89","5.23","4.9","45.9","183","6","1.12","8.1587","8.5357","A777B0C1AB1BCDA21F4F4FA0A3AC7DFA1C02F9065335BF51C14117E9829E0B30"
"5","sbte_target250","lower_target","discovery_2019_2020","2019.01.01","2020.12.31","1","10000","True","0.50","0.75","2.50","F4D25315E6F53893E7B4AC2404F43E37EF13AC6F023311C9A1F09605AB229192","C7B5D50FF1229525CDD619D4943B232C97E229BA7086513A6515EABCC6015110","7666375D4CB495A1B08F88A28349AC3AC8FA5F14EB26AA3EDD83481FD9B54F91","PARSED","FIRST_VALID_EXPORT","True","False","10000","359.53","3.6","1.78","1.91","4.86","5.08","47.3","74","6","0.94","3.7833","3.8298","60F678215597C8C9D945FF3B94439F134E298EE99294C177CC774E5559626DDF"
"6","sbte_target250","lower_target","continuous_2015_2020","2015.01.01","2020.12.31","1","10000","True","0.50","0.75","2.50","F4D25315E6F53893E7B4AC2404F43E37EF13AC6F023311C9A1F09605AB229192","C7B5D50FF1229525CDD619D4943B232C97E229BA7086513A6515EABCC6015110","7666375D4CB495A1B08F88A28349AC3AC8FA5F14EB26AA3EDD83481FD9B54F91","PARSED","FIRST_VALID_EXPORT","True","False","10000","1283.74","12.84","2.03","1.83","4.94","4.61","46.15","260","6","1.1","10.4864","11.6727","A357D2100CAC4E0F2244AD267FBD9773A75307015E6DD8E6C9D9F13FB6FDB345"
"7","sbte_center","center","discovery_2015_2018","2015.01.01","2018.12.31","1","10000","True","0.50","0.75","3.00","552ED999F15F38F46C83A48D5F4483C6378F30E2952301A156138D2C066CBD88","C7B5D50FF1229525CDD619D4943B232C97E229BA7086513A6515EABCC6015110","7666375D4CB495A1B08F88A28349AC3AC8FA5F14EB26AA3EDD83481FD9B54F91","PARSED","FIRST_VALID_EXPORT","True","False","10000","914.53","9.15","2.21","1.85","5","4.61","45.9","183","6","1.48","5.8899","6.1824","D0FEB5A24B92419FCD6E5B00DC88B7B26D1CAA4C46CFC135E4981D4ABA07E848"
"8","sbte_center","center","discovery_2019_2020","2019.01.01","2020.12.31","1","10000","True","0.50","0.75","3.00","552ED999F15F38F46C83A48D5F4483C6378F30E2952301A156138D2C066CBD88","C7B5D50FF1229525CDD619D4943B232C97E229BA7086513A6515EABCC6015110","7666375D4CB495A1B08F88A28349AC3AC8FA5F14EB26AA3EDD83481FD9B54F91","PARSED","FIRST_VALID_EXPORT","True","False","10000","410.71","4.11","2.03","2.04","5.55","5.7","47.3","74","6","0.93","4.3725","4.4194","205F503AE506F91BB46FAA6DB2478E27A807DE17D5647973F835653327FECD26"
"9","sbte_center","center","continuous_2015_2020","2015.01.01","2020.12.31","1","10000","True","0.50","0.75","3.00","552ED999F15F38F46C83A48D5F4483C6378F30E2952301A156138D2C066CBD88","C7B5D50FF1229525CDD619D4943B232C97E229BA7086513A6515EABCC6015110","7666375D4CB495A1B08F88A28349AC3AC8FA5F14EB26AA3EDD83481FD9B54F91","PARSED","FIRST_VALID_EXPORT","True","False","10000","1293.17","12.93","2.05","1.84","4.97","4.56","46.15","260","6","1.48","8.3285","8.7365","6613D0711F68068C25BB82154F6BA81BA44DAD47062CC621A8DA58AC9D4DBCB3"
"10","sbte_target350","upper_target","discovery_2015_2018","2015.01.01","2018.12.31","1","10000","True","0.50","0.75","3.50","1242394117AF1D5486381B00A4484804206FE4C09E8B702814399CBFF82AEFE8","C7B5D50FF1229525CDD619D4943B232C97E229BA7086513A6515EABCC6015110","7666375D4CB495A1B08F88A28349AC3AC8FA5F14EB26AA3EDD83481FD9B54F91","PARSED","FIRST_VALID_EXPORT","True","False","10000","886.65","8.87","2.15","1.83","4.85","4.42","45.9","183","6","1.48","5.7104","5.9932","B18503918508AFC59897AC84B9E712B57C0EEF36705F82BF87E38C4E4C6ACECA"
