Candidate,OlderNet,CalibrationNet,ContinuousNet,TotalIncreasePercent,CagrPercent,ProfitFactor,Trades,MaxDrawdownPercent,RecoveryFactor,ReturnToDrawdown,Decision
pr_control,860.86,330.02,1191.69,11.92,1.89,1.77,265,1.02,10.5778,11.6860,CONTROL
pr_atb_lock050,896.60,341.71,1223.78,12.24,1.94,1.81,262,1.08,10.3360,11.3330,REJECT
pr_atb_center,902.27,348.63,1231.63,12.32,1.96,1.81,262,1.12,10.0019,11.0000,REJECT
pr_atb_lock100,900.04,360.97,1245.49,12.45,1.98,1.82,263,1.09,10.4321,11.4220,REJECT
pr_mo_lock050,740.16,448.06,1160.65,11.61,1.85,1.78,259,1.29,8.6268,9.0000,REJECT
pr_mo_center,786.11,434.25,1198.35,11.98,1.90,1.81,259,1.43,7.5898,8.3780,REJECT
pr_mo_lock100,672.42,421.41,1068.25,10.68,1.71,1.72,260,1.40,7.2903,7.6290,REJECT
pr_mo_target300,708.25,413.21,1105.06,11.05,1.76,1.75,260,1.15,8.8039,9.6090,REJECT
pr_mo_trigger125,751.52,386.27,1115.61,11.16,1.78,1.75,260,1.25,8.6074,8.9280,REJECT
pr_mo_trigger175,776.04,434.25,1188.28,11.88,1.89,1.80,258,1.44,7.5260,8.2500,REJECT
pr_both_center,805.42,452.86,1217.52,12.18,1.93,1.82,257,1.36,8.1598,8.9560,REJECT
