"QueueRank","Candidate","CandidateRank","Window","From","To","Model","Deposit","Enabled","MinimumProfitR","BreakoutLookbackBars","RiskMultiplier","PrimaryLockR","LockedProfitCoverage","Status","ReportPath","ReportSha256","ConfigSha256","ProfileSha256","SourceSha256","PortableBinarySha256","InitialDeposit","NetProfit","Balance","TotalReturnPercent","AnnualizedReturnPercent","CagrPercent","ProfitFactor","ExpectedPayoff","SharpeRatio","WinRatePercent","TotalTrades","MaxDrawdownMoney","MaxDrawdownPercent","RecoveryFactor","AddOnEntries"
"1","pwa_control","1","older_2015_2018","2015.01.01","2018.12.31","1","10000","false","1.25","6","0.50","0.75","1.25","PARSED","outputs\three_lane_protected_winner_addon_discovery_exact_model1_package\reports_here\pwa_control_older_2015_2018_m1.htm","CDEDC837A8915C6EAF9555E1FD162B9C43A0D9BF25BE23F64CDBC94CC698DDC3","12497485ECF817C6D866EAF6A6E8E83F4BA35F9343B5344FC2C0DA8103C32A5D","65A3228E1C705BFE1DC97ADE7CEF94D3F5AE49C63E4E8E92708DCE699E7B6BCD","F7AAEFF24C4A0FF8066C906A25F99462E1F2488765AD046364B970277AAD5B46","3334836C955F4F97C5769FF2CF87B7ACB9A9C7BF38ECE70BC692A6149376311D","10000","860.86","10860.86","8.61","2.15","2.09","1.79","4.6","5.1","44.92","187","105.51","1.01","8.159","0"
"2","pwa_control","1","discovery_2019_2020","2019.01.01","2020.12.31","1","10000","false","1.25","6","0.50","0.75","1.25","PARSED","outputs\three_lane_protected_winner_addon_discovery_exact_model1_package\reports_here\pwa_control_discovery_2019_2020_m1.htm","17E1CE91828327AB902258C8E824C6FFB1E7F36EFCF77B552F08CED73721CB2E","8B663B39419299B9C0D3C38D3AD60B18FF77D066173AFCE425777A555BC38119","65A3228E1C705BFE1DC97ADE7CEF94D3F5AE49C63E4E8E92708DCE699E7B6BCD","F7AAEFF24C4A0FF8066C906A25F99462E1F2488765AD046364B970277AAD5B46","3334836C955F4F97C5769FF2CF87B7ACB9A9C7BF38ECE70BC692A6149376311D","10000","330.02","10330.02","3.3","1.65","1.64","1.84","4.4","5.54","46.67","75","94.65","0.93","3.4867","0"
"3","pwa_control","1","continuous_2015_2020","2015.01.01","2020.12.31","1","10000","false","1.25","6","0.50","0.75","1.25","PARSED","outputs\three_lane_protected_winner_addon_discovery_exact_model1_package\reports_here\pwa_control_continuous_2015_2020_m1.htm","9D9571869A5F57C2EE4792AA137BEA205DF3D142D5E5F86C8438B4797FBABA28","88655575408D0C24522434291197ABA44E3AA722CB9DA2A017F8C584AC32D385","65A3228E1C705BFE1DC97ADE7CEF94D3F5AE49C63E4E8E92708DCE699E7B6BCD","F7AAEFF24C4A0FF8066C906A25F99462E1F2488765AD046364B970277AAD5B46","3334836C955F4F97C5769FF2CF87B7ACB9A9C7BF38ECE70BC692A6149376311D","10000","1191.69","11191.69","11.92","1.99","1.89","1.77","4.5","4.96","45.28","265","112.66","1.02","10.5778","0"
"4","pwa_center","2","older_2015_2018","2015.01.01","2018.12.31","1","10000","true","1.25","6","0.50","0.75","1.25","PARSED","outputs\three_lane_protected_winner_addon_discovery_exact_model1_package\reports_here\pwa_center_older_2015_2018_m1.htm","3067EFDE39691245004658A747C73500CF8185687AA1DD38A3CDC3C52015B998","7BE12A7612868B1267E6F48830AB2FB9F3F111FB5F1F60026CC9E9A26935EC5F","25F19A9ED2CF375BA01AF1709A78C664A6C24B7F9C0E123D716FD5F7B992FEC6","F7AAEFF24C4A0FF8066C906A25F99462E1F2488765AD046364B970277AAD5B46","3334836C955F4F97C5769FF2CF87B7ACB9A9C7BF38ECE70BC692A6149376311D","10000","871.4","10871.4","8.71","2.18","2.11","1.8","4.59","5.15","44.74","190","103.84","0.99","8.3918","5"
"5","pwa_center","2","discovery_2019_2020","2019.01.01","2020.12.31","1","10000","true","1.25","6","0.50","0.75","1.25","PARSED","outputs\three_lane_protected_winner_addon_discovery_exact_model1_package\reports_here\pwa_center_discovery_2019_2020_m1.htm","0196B27429E62EEE155B2E9824B28AC7329BA7E9844B07AF67E7B980EF750EF0","30F6E57035C24EAFBB1DB4919F90DC064787D2071292A261EF89869FD5973C56","25F19A9ED2CF375BA01AF1709A78C664A6C24B7F9C0E123D716FD5F7B992FEC6","F7AAEFF24C4A0FF8066C906A25F99462E1F2488765AD046364B970277AAD5B46","3334836C955F4F97C5769FF2CF87B7ACB9A9C7BF38ECE70BC692A6149376311D","10000","343.23","10343.23","3.43","1.72","1.7","1.88","4.52","5.71","47.37","76","94.65","0.93","3.6263","1"
"6","pwa_center","2","continuous_2015_2020","2015.01.01","2020.12.31","1","10000","true","1.25","6","0.50","0.75","1.25","PARSED","outputs\three_lane_protected_winner_addon_discovery_exact_model1_package\reports_here\pwa_center_continuous_2015_2020_m1.htm","2AA5B923E5572128EFB0D381A46C8F618105FB4C036D506DE49EC7D6D640460B","E44A8076C3559E03CC8D102501D23EF899DBC93F3C6420F158403439719AA45B","25F19A9ED2CF375BA01AF1709A78C664A6C24B7F9C0E123D716FD5F7B992FEC6","F7AAEFF24C4A0FF8066C906A25F99462E1F2488765AD046364B970277AAD5B46","3334836C955F4F97C5769FF2CF87B7ACB9A9C7BF38ECE70BC692A6149376311D","10000","1215.44","11215.44","12.15","2.03","1.93","1.79","4.52","5.04","45.35","269","112.66","1.02","10.7886","6"
"7","pwa_lookback4","3","older_2015_2018","2015.01.01","2018.12.31","1","10000","true","1.25","4","0.50","0.75","1.25","PARSED","outputs\three_lane_protected_winner_addon_discovery_exact_model1_package\reports_here\pwa_lookback4_older_2015_2018_m1.htm","B4597408BD42FE8048955C5E3FED50C14366C080E5E07DBAA15B3698D55F0A06","384992027ED07CF3F66E9DEA0BA477697C9E43C1DD34249B64962130F983D025","28CE46A314B8A5B375CC28ED24696E484C8CB8C6F504F0E465945C5EB9535033","F7AAEFF24C4A0FF8066C906A25F99462E1F2488765AD046364B970277AAD5B46","3334836C955F4F97C5769FF2CF87B7ACB9A9C7BF38ECE70BC692A6149376311D","10000","871.4","10871.4","8.71","2.18","2.11","1.8","4.59","5.15","44.74","190","103.84","0.99","8.3918","5"
"8","pwa_lookback4","3","discovery_2019_2020","2019.01.01","2020.12.31","1","10000","true","1.25","4","0.50","0.75","1.25","PARSED","outputs\three_lane_protected_winner_addon_discovery_exact_model1_package\reports_here\pwa_lookback4_discovery_2019_2020_m1.htm","D635FA84049170FD85DCCB6A44153D6A18AF8C9864B3C79E09AD6CB37900C58F","ADD4C980B9E351F0B1580FD5F92EBD8410D5E39219FC8BCE15580DDACBBDD5F7","28CE46A314B8A5B375CC28ED24696E484C8CB8C6F504F0E465945C5EB9535033","F7AAEFF24C4A0FF8066C906A25F99462E1F2488765AD046364B970277AAD5B46","3334836C955F4F97C5769FF2CF87B7ACB9A9C7BF38ECE70BC692A6149376311D","10000","343.23","10343.23","3.43","1.72","1.7","1.88","4.52","5.71","47.37","76","94.65","0.93","3.6263","1"
"9","pwa_lookback4","3","continuous_2015_2020","2015.01.01","2020.12.31","1","10000","true","1.25","4","0.50","0.75","1.25","PARSED","outputs\three_lane_protected_winner_addon_discovery_exact_model1_package\reports_here\pwa_lookback4_continuous_2015_2020_m1.htm","667595E9E257C769663B8186C8D9FC5466D2F2F0DEDF683A287494197FBFFFAE","E068225ABC86B3A86652D37F50D1119114C330D4F3D12E95454DD0B353081204","28CE46A314B8A5B375CC28ED24696E484C8CB8C6F504F0E465945C5EB9535033","F7AAEFF24C4A0FF8066C906A25F99462E1F2488765AD046364B970277AAD5B46","3334836C955F4F97C5769FF2CF87B7ACB9A9C7BF38ECE70BC692A6149376311D","10000","1215.44","11215.44","12.15","2.03","1.93","1.79","4.52","5.04","45.35","269","112.66","1.02","10.7886","6"
"10","pwa_lookback8","4","older_2015_2018","2015.01.01","2018.12.31","1","10000","true","1.25","8","0.50","0.75","1.25","PARSED","outputs\three_lane_protected_winner_addon_discovery_exact_model1_package\reports_here\pwa_lookback8_older_2015_2018_m1.htm","E6FC15A173824D3076F575B40D0B96ED98CF61F257A41B2F46EA21117CC94F53","E1E0391FBC45E54A65BCAD65E0D2BF20C57A26CB51165D00A747665ADDB317AD","B7CF25DE09A7B594881FB2CAF46795C92F2C5B8277EEF4E852B97C82C90D6C00","F7AAEFF24C4A0FF8066C906A25F99462E1F2488765AD046364B970277AAD5B46","3334836C955F4F97C5769FF2CF87B7ACB9A9C7BF38ECE70BC692A6149376311D","10000","871.4","10871.4","8.71","2.18","2.11","1.8","4.59","5.15","44.74","190","103.84","0.99","8.3918","5"
