"QueueRank","Candidate","Window","Status","ConfigSha256","ProfileSha256","SourceSha256","PortableBinarySha256","ReportSha256","IdentityCreatedUtc","AddOnEntries"
"1","pwa_control","older_2015_2018","REPORT_FOUND","12497485ECF817C6D866EAF6A6E8E83F4BA35F9343B5344FC2C0DA8103C32A5D","65A3228E1C705BFE1DC97ADE7CEF94D3F5AE49C63E4E8E92708DCE699E7B6BCD","F7AAEFF24C4A0FF8066C906A25F99462E1F2488765AD046364B970277AAD5B46","3334836C955F4F97C5769FF2CF87B7ACB9A9C7BF38ECE70BC692A6149376311D","CDEDC837A8915C6EAF9555E1FD162B9C43A0D9BF25BE23F64CDBC94CC698DDC3","2026-07-19T16:35:36.5347793Z","0"
"2","pwa_control","discovery_2019_2020","REPORT_FOUND","8B663B39419299B9C0D3C38D3AD60B18FF77D066173AFCE425777A555BC38119","65A3228E1C705BFE1DC97ADE7CEF94D3F5AE49C63E4E8E92708DCE699E7B6BCD","F7AAEFF24C4A0FF8066C906A25F99462E1F2488765AD046364B970277AAD5B46","3334836C955F4F97C5769FF2CF87B7ACB9A9C7BF38ECE70BC692A6149376311D","17E1CE91828327AB902258C8E824C6FFB1E7F36EFCF77B552F08CED73721CB2E","2026-07-19T16:35:55.8129151Z","0"
"3","pwa_control","continuous_2015_2020","REPORT_FOUND","88655575408D0C24522434291197ABA44E3AA722CB9DA2A017F8C584AC32D385","65A3228E1C705BFE1DC97ADE7CEF94D3F5AE49C63E4E8E92708DCE699E7B6BCD","F7AAEFF24C4A0FF8066C906A25F99462E1F2488765AD046364B970277AAD5B46","3334836C955F4F97C5769FF2CF87B7ACB9A9C7BF38ECE70BC692A6149376311D","9D9571869A5F57C2EE4792AA137BEA205DF3D142D5E5F86C8438B4797FBABA28","2026-07-19T16:36:20.0567660Z","0"
"4","pwa_center","older_2015_2018","REPORT_FOUND","7BE12A7612868B1267E6F48830AB2FB9F3F111FB5F1F60026CC9E9A26935EC5F","25F19A9ED2CF375BA01AF1709A78C664A6C24B7F9C0E123D716FD5F7B992FEC6","F7AAEFF24C4A0FF8066C906A25F99462E1F2488765AD046364B970277AAD5B46","3334836C955F4F97C5769FF2CF87B7ACB9A9C7BF38ECE70BC692A6149376311D","3067EFDE39691245004658A747C73500CF8185687AA1DD38A3CDC3C52015B998","2026-07-19T16:36:42.3675167Z","5"
"5","pwa_center","discovery_2019_2020","REPORT_FOUND","30F6E57035C24EAFBB1DB4919F90DC064787D2071292A261EF89869FD5973C56","25F19A9ED2CF375BA01AF1709A78C664A6C24B7F9C0E123D716FD5F7B992FEC6","F7AAEFF24C4A0FF8066C906A25F99462E1F2488765AD046364B970277AAD5B46","3334836C955F4F97C5769FF2CF87B7ACB9A9C7BF38ECE70BC692A6149376311D","0196B27429E62EEE155B2E9824B28AC7329BA7E9844B07AF67E7B980EF750EF0","2026-07-19T16:37:02.2527583Z","1"
"6","pwa_center","continuous_2015_2020","REPORT_FOUND","E44A8076C3559E03CC8D102501D23EF899DBC93F3C6420F158403439719AA45B","25F19A9ED2CF375BA01AF1709A78C664A6C24B7F9C0E123D716FD5F7B992FEC6","F7AAEFF24C4A0FF8066C906A25F99462E1F2488765AD046364B970277AAD5B46","3334836C955F4F97C5769FF2CF87B7ACB9A9C7BF38ECE70BC692A6149376311D","2AA5B923E5572128EFB0D381A46C8F618105FB4C036D506DE49EC7D6D640460B","2026-07-19T16:37:28.4459010Z","6"
"7","pwa_lookback4","older_2015_2018","REPORT_FOUND","384992027ED07CF3F66E9DEA0BA477697C9E43C1DD34249B64962130F983D025","28CE46A314B8A5B375CC28ED24696E484C8CB8C6F504F0E465945C5EB9535033","F7AAEFF24C4A0FF8066C906A25F99462E1F2488765AD046364B970277AAD5B46","3334836C955F4F97C5769FF2CF87B7ACB9A9C7BF38ECE70BC692A6149376311D","B4597408BD42FE8048955C5E3FED50C14366C080E5E07DBAA15B3698D55F0A06","2026-07-19T16:37:50.6716109Z","5"
"8","pwa_lookback4","discovery_2019_2020","REPORT_FOUND","ADD4C980B9E351F0B1580FD5F92EBD8410D5E39219FC8BCE15580DDACBBDD5F7","28CE46A314B8A5B375CC28ED24696E484C8CB8C6F504F0E465945C5EB9535033","F7AAEFF24C4A0FF8066C906A25F99462E1F2488765AD046364B970277AAD5B46","3334836C955F4F97C5769FF2CF87B7ACB9A9C7BF38ECE70BC692A6149376311D","D635FA84049170FD85DCCB6A44153D6A18AF8C9864B3C79E09AD6CB37900C58F","2026-07-19T16:38:11.7349163Z","1"
"9","pwa_lookback4","continuous_2015_2020","REPORT_FOUND","E068225ABC86B3A86652D37F50D1119114C330D4F3D12E95454DD0B353081204","28CE46A314B8A5B375CC28ED24696E484C8CB8C6F504F0E465945C5EB9535033","F7AAEFF24C4A0FF8066C906A25F99462E1F2488765AD046364B970277AAD5B46","3334836C955F4F97C5769FF2CF87B7ACB9A9C7BF38ECE70BC692A6149376311D","667595E9E257C769663B8186C8D9FC5466D2F2F0DEDF683A287494197FBFFFAE","2026-07-19T16:38:34.9200566Z","6"
"10","pwa_lookback8","older_2015_2018","REPORT_FOUND","E1E0391FBC45E54A65BCAD65E0D2BF20C57A26CB51165D00A747665ADDB317AD","B7CF25DE09A7B594881FB2CAF46795C92F2C5B8277EEF4E852B97C82C90D6C00","F7AAEFF24C4A0FF8066C906A25F99462E1F2488765AD046364B970277AAD5B46","3334836C955F4F97C5769FF2CF87B7ACB9A9C7BF38ECE70BC692A6149376311D","E6FC15A173824D3076F575B40D0B96ED98CF61F257A41B2F46EA21117CC94F53","2026-07-19T16:38:57.1945474Z","5"
